/tmp/tmp.Arg0o1DGVk ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k2.mat
  Evaluating with: datasets/N10dataset100k2.mat
Gen 0 Train time: 8.410739854971569 minutes:
 Average MSE:        0.9794766229838545
 Average Error:      2.0731803268485307
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.20421109127830955 |0.16677643784360438 |81        
 [11, 1, 12, 1, 0]   |2.6736481141478334  |2.1672170405961344  |84        
 [10, 0, 0, 0, 0]    |0.2923769958954378  |0.263893087985623   |41        
 [17, 19, 0, 0, 0]   |0.5056229211286837  |0.18006018863736223 |413       
 [15, 0, 0, 0, 0]    |0.35021764457624577 |0.3006824735713953  |61        
 [14, 0, 0, 0, 0]    |1.049342965241184   |0.9099771596412852  |57        
 [7, 18, 3, 9, 18]   |2.8463774928811723  |0.9080526937280127  |457       
 [5, 20, 1, 0, 0]    |1.5225077915085101  |1.0256831087401599  |158       
 [17, 15, 16, 8, 0]  |0.8426961269142907  |0.13860198753390113 |722       
 [2, 12, 12, 12, 0]  |5.975955336922485   |2.3874932689035737  |367       
 [16, 4, 15, 20, 1]  |13.195792912930305  |3.4725807866623333  |534       
 [2, 5, 7, 7, 16]    |2.393538574416435   |1.2371036063444936  |264       
 [6, 8, 1, 3, 14]    |1.3789641212014374  |0.9243472932052423  |160       
 [7, 0, 0, 0, 0]     |0.5912859898426528  |0.5499348456327687  |29        
 [20, 1, 0, 0, 0]    |0.2515496080084933  |0.20441254243053372 |83        
 [11, 0, 0, 0, 0]    |1.128054974301597   |1.0080269324284719  |45        
 [2, 10, 0, 0, 0]    |3.9048024192490627  |3.4719180213198797  |47        
 [7, 6, 10, 18, 0]   |0.63273953732115    |0.25983813099478764 |356       
 [9, 2, 14, 8, 0]    |0.34142610959908204 |0.19797312426871755 |218       
 [15, 0, 0, 0, 0]    |0.599927992638008   |0.5150735138127682  |61        
 [11, 3, 19, 12, 2]  |9.426474382405603   |3.3485323797437103  |414       
 [10, 1, 17, 4, 17]  |0.5305173894646071  |0.2839654957389911  |250       
 [8, 15, 5, 15, 0]   |0.4794579998729241  |0.20238185799447145 |345       
 [5, 15, 8, 7, 0]    |0.43938307721430886 |0.2054847138094349  |304       
 [12, 13, 1, 0, 0]   |0.27263660225343567 |0.15690488302870667 |221       
Gen 1 Train time: 8.271053544680278 minutes:
 Average MSE:        0.4586073376165059
 Average Error:      0.6764514174751511
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.3083083116114835  |0.25179123056574476 |81        
 [20, 1, 0, 0, 0]    |1.0200218574522673  |0.8288832682637034  |83        
 [12, 13, 1, 0, 0]   |1.4475178270045312  |0.8330598806281578  |221       
 [14, 7, 1, 0, 0]    |1.2693597031585226  |0.8572828249293728  |157       
 [20, 7, 1, 0, 0]    |1.4048059374393773  |0.8166041406000588  |217       
 [9, 8, 3, 8, 0]     |0.3548529946309214  |0.2291103130819791  |175       
 [15, 4, 0, 0, 0]    |0.18475808160609591 |0.13894071096848787 |114       
 [18, 0, 0, 0, 0]    |0.2395568484619446  |0.19959508748635835 |73        
 [16, 7, 1, 15, 0]   |0.3050868564902901  |0.17558030409543646 |221       
 [15, 1, 7, 4, 0]    |0.25532134492522074 |0.19296772134109114 |112       
 [10, 14, 3, 8, 0]   |0.6126613495986343  |0.3119404598062309  |270       
 [12, 9, 1, 8, 0]    |0.2576985973518961  |0.16106220787820544 |188       
 [13, 8, 4, 4, 0]    |0.2544050339184042  |0.14974406727556322 |212       
 [19, 10, 0, 0, 0]   |0.24526907268599107 |0.1255062883591726  |268       
 [6, 2, 3, 2, 14]    |0.35945875805823335 |0.2757788979532082  |106       
 [15, 0, 0, 0, 0]    |0.21688615605245615 |0.18620953825485076 |61        
 [9, 2, 14, 8, 0]    |0.6390696791604075  |0.3705593024427941  |218       
 [16, 7, 1, 0, 0]    |1.2696587515545392  |0.8156647653568356  |177       
 [19, 10, 9, 0, 0]   |0.35295858760607396 |0.14136578265776545 |366       
 [10, 3, 0, 0, 0]    |0.3083522062261737  |0.26079708591552525 |67        
 [12, 13, 7, 0, 0]   |0.4057966877691816  |0.1864852719398519  |311       
 [20, 6, 0, 0, 0]    |0.2166754272246026  |0.1337403865255624  |193       
 [5, 1, 9, 2, 9]     |4.413471708985895   |3.471759810317321   |96        
 [15, 1, 7, 4, 12]   |0.2941932564903018  |0.18758590235550138 |180       
 [16, 7, 1, 11, 0]   |0.275140401415334   |0.1631681914138679  |209       
Gen 2 Train time: 8.85424652894338 minutes:
 Average MSE:        0.44679420646160645
 Average Error:      0.919350270508674
 Structure           |Error               |MSE                 |weights&biases
 [15, 4, 0, 0, 0]    |0.18790111676819116 |0.1413043182122105  |114       
 [20, 6, 0, 0, 0]    |0.21855430484146873 |0.13490010187461038 |193       
 [15, 0, 0, 0, 0]    |0.24494047925901782 |0.21029582695777158 |61        
 [15, 1, 4, 2, 6]    |1.0786014948838727  |0.8316573930803072  |104       
 [18, 9, 1, 6, 0]    |0.32423705680057857 |0.17182472302626578 |254       
 [15, 3, 4, 2, 0]    |0.23148665303694582 |0.17063422281321744 |122       
 [15, 6, 16, 10, 1]  |10.325160138183811  |3.471489138620691   |436       
 [18, 7, 1, 6, 0]    |0.20896103009143907 |0.12238205816157802 |214       
 [15, 1, 19, 2, 6]   |1.287246523627852   |0.8542814773927315  |164       
 [11, 8, 4, 6, 0]    |0.3137502804775891  |0.1893500435600228  |202       
 [16, 4, 1, 6, 0]    |0.21989689378390545 |0.15495872201565916 |140       
 [17, 5, 5, 0, 0]    |0.21661500531006186 |0.1391596184901433  |177       
 [16, 4, 4, 8, 6]    |0.3030571884968355  |0.16757341078818336 |237       
 [14, 5, 4, 6, 6]    |0.28297179994376254 |0.1632605263205788  |220       
 [12, 5, 5, 6, 0]    |0.28147482797730355 |0.18218871082157645 |174       
 [13, 6, 10, 1, 7]   |0.35220593562767916 |0.20017981726222459 |226       
 [18, 4, 4, 2, 0]    |0.19415373518004764 |0.12917270334698594 |163       
 [19, 19, 9, 6, 18]  |1.825761604490856   |0.23386698100781822 |822       
 [15, 3, 4, 2, 6]    |1.1856762877914382  |0.8272182763758691  |144       
 [13, 2, 4, 2, 6]    |0.36631325008265053 |0.275472785608214   |114       
 [8, 4, 4, 2, 0]     |0.4732938025077319  |0.3751088845448864  |93        
 [15, 5, 1, 4, 0]    |0.22052256578375423 |0.15385337351176692 |144       
 [17, 13, 3, 11, 10] |0.5458025507744051  |0.15559512512508392 |502       
 [5, 6, 2, 2, 0]     |1.8859863438024989  |1.5674513296208648  |74        
 [17, 4, 2, 2, 0]    |0.20918589319315112 |0.14667559300090244 |142       
Increasing Epochs
Gen 3 Train time: 10.425602173805236 minutes:
 Average MSE:        0.6332464936480747
 Average Error:      1.1487849467609754
 Structure           |Error               |MSE                 |weights&biases
 [15, 4, 0, 0, 0]    |0.18636943243874649 |0.1401524697633505  |114       
 [18, 4, 4, 2, 0]    |0.22241038247280148 |0.14797217436897017 |163       
 [18, 7, 1, 6, 0]    |0.21593168569356128 |0.12646455707991675 |214       
 [18, 5, 5, 4, 13]   |0.32396473976466067 |0.16007375567437845 |282       
 [15, 5, 4, 7, 6]    |0.3105244236112689  |0.17084599851643428 |239       
 [2, 11, 5, 15, 5]   |5.692476265281575   |2.8623568230336627  |275       
 [12, 7, 2, 20, 0]   |0.27295345087853157 |0.15591348515062947 |224       
 [18, 9, 4, 7, 5]    |0.3639163782672289  |0.15322755609592822 |346       
 [17, 9, 3, 7, 5]    |0.3611289326664417  |0.16348725705021877 |317       
 [17, 6, 5, 1, 1]    |4.674887232244297   |2.8072491144086107  |204       
 [18, 5, 0, 0, 0]    |0.18626112904691466 |0.12642504573810692 |155       
 [18, 4, 4, 5, 9]    |0.3409776784227262  |0.18760093413738238 |239       
 [18, 7, 2, 4, 0]    |0.26381831475399786 |0.1522099266722186  |220       
 [9, 3, 16, 18, 20]  |1.5369831832104444  |0.19394542444090873 |828       
 [14, 3, 3, 3, 0]    |0.2099092917675772  |0.15746063545985867 |115       
 [15, 3, 3, 2, 3]    |0.22852686346876722 |0.16677636243111005 |126       
 [15, 3, 3, 4, 3]    |0.24233465500916587 |0.17077034511105255 |140       
 [17, 5, 3, 3, 0]    |0.2215636730635424  |0.14305225902342739 |175       
 [19, 6, 3, 0, 0]    |0.24571457582200512 |0.1482901164722704  |202       
 [16, 5, 3, 3, 8]    |0.257277672696755   |0.1544941049815106  |204       
 [15, 3, 3, 18, 3]   |6.280130723336774   |3.463885015749021   |238       
 [16, 5, 5, 3, 3]    |1.1537204622449562  |0.7050348145744972  |197       
 [13, 4, 3, 2, 4]    |1.1862697553721313  |0.846465126480384   |135       
 [13, 5, 5, 6, 3]    |2.431147788843062   |1.4745656722258924  |200       
 [17, 5, 4, 1, 0]    |1.3104249786464568  |0.8524433665621279  |172       
Increasing Epochs
Gen 4 Train time: 11.879391320546468 minutes:
 Average MSE:        0.757925171560744
 Average Error:      2.366790770910112
 Structure           |Error               |MSE                 |weights&biases
 [18, 5, 0, 0, 0]    |0.21063850826050093 |0.14297123171809506 |155       
 [15, 4, 0, 0, 0]    |0.2096060779164691  |0.15762675838516393 |114       
 [14, 3, 3, 3, 0]    |0.2254646576623499  |0.16912928422702989 |115       
 [12, 7, 2, 5, 0]    |0.4312766065262509  |0.28621682779908936 |164       
 [1, 19, 3, 11, 2]   |5.338023742027482   |3.4724329920378674  |172       
 [17, 5, 14, 16, 2]  |7.536257419186764   |2.148404976212498   |502       
 [16, 4, 3, 3, 2]    |2.169713473108018   |1.4763829131580162  |154       
 [16, 5, 4, 5, 3]    |0.33944396076997196 |0.2038345976968924  |204       
 [15, 4, 4, 6, 9]    |0.2685111264528535  |0.1503389411055888  |232       
 [18, 6, 3, 3, 0]    |0.28395374797150164 |0.17008722022771422 |205       
 [15, 5, 2, 10, 3]   |3.5000841648262604  |2.1017850664489917  |204       
 [15, 5, 2, 4, 3]    |0.22055393123136613 |0.14491425911327785 |168       
 [17, 4, 4, 2, 2]    |0.30315067467153806 |0.2021944702020173  |162       
 [16, 4, 4, 3, 0]    |0.2305050258436469  |0.15645566299453986 |155       
 [3, 11, 18, 18, 16] |29.1139611955373    |2.8326646052554683  |932       
 [15, 4, 2, 2, 2]    |2.092418076702492   |1.4967863428378645  |134       
 [18, 6, 3, 6, 5]    |0.27117077950114754 |0.1437030194523963  |254       
