/tmp/tmp.nzcEntteac ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k3.mat
  Evaluating with: datasets/N10dataset100k3.mat
Gen 0 Train time: 8.383457199732463 minutes:
 Average MSE:        0.7362518455250412
 Average Error:      1.6340397731042489
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.2765554083605743  |0.23743910551971376 |61        
 [9, 3, 11, 5, 7]    |1.7995534235411215  |1.0618774663603991  |211       
 [1, 9, 20, 15, 0]   |9.474089202697986   |2.3834776531738213  |552       
 [20, 4, 14, 12, 0]  |0.395492250487441   |0.1429694817001387  |407       
 [13, 10, 1, 18, 0]  |0.2554050643342801  |0.13842806057222462 |245       
 [11, 0, 0, 0, 0]    |0.5405599736563896  |0.4830429584123988  |45        
 [7, 16, 10, 9, 7]   |0.9102113089141769  |0.26340078778940873 |496       
 [16, 0, 0, 0, 0]    |0.34044216796000165 |0.28938132055721894 |65        
 [1, 17, 12, 14, 0]  |9.082566651229481   |2.9486776732683153  |450       
 [12, 14, 17, 8, 0]  |0.8586511043538     |0.1795336534183813  |626       
 [11, 8, 2, 0, 0]    |0.2602940810059906  |0.17889733120816617 |150       
 [12, 0, 0, 0, 0]    |0.20288898085361318 |0.17949707940915696 |49        
 [15, 0, 0, 0, 0]    |0.2680028893719556  |0.2300962642763042  |61        
 [14, 0, 0, 0, 0]    |0.35922474242277563 |0.31151522582287205 |57        
 [8, 20, 14, 0, 0]   |1.4445683160115865  |0.40064101930863283 |513       
 [11, 3, 15, 1, 1]   |5.072202346702775   |3.4947963715327446  |149       
 [3, 11, 6, 12, 0]   |4.122137967148371   |2.366405063764545   |222       
 [13, 0, 0, 0, 0]    |0.28890194812429126 |0.2530500640310648  |53        
 [7, 10, 3, 0, 0]    |0.3683978876233156  |0.2609068821893754  |138       
 [12, 12, 2, 10, 0]  |0.36917168467397354 |0.19320693294732902 |259       
 [19, 13, 0, 0, 0]   |0.29637399445860446 |0.12955715713182842 |331       
 [8, 10, 16, 10, 0]  |0.6054914975942297  |0.18652038217914507 |471       
 [16, 18, 14, 0, 0]  |0.6176451631319132  |0.1262689458290904  |635       
 [10, 20, 6, 2, 13]  |0.5372542093930319  |0.17750013519285052 |443       
 [3, 11, 0, 0, 0]    |2.104912063554542   |1.7892091225309066  |65        
Gen 1 Train time: 8.452249578634898 minutes:
 Average MSE:        0.45589710017242496
 Average Error:      1.0682583072198442
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.4835527398110784  |0.427801964262461   |49        
 [13, 10, 1, 18, 0]  |0.3397961162055819  |0.184167520244428   |245       
 [11, 8, 2, 0, 0]    |0.23432882749862927 |0.16105169085146706 |150       
 [15, 0, 0, 0, 0]    |0.27266506724407574 |0.23409901855361964 |61        
 [11, 5, 2, 0, 0]    |0.17084321624556756 |0.13041820802842302 |108       
 [15, 10, 0, 0, 0]   |0.243128625307829   |0.1416827815002279  |216       
 [11, 10, 9, 14, 16] |1.0363064595637859  |0.2045716313019453  |649       
 [2, 7, 13, 15, 0]   |5.993716748141866   |2.455208562661356   |357       
 [11, 2, 6, 3, 4]    |0.2306349966190261  |0.17214486481530772 |117       
 [11, 15, 11, 1, 0]  |2.293690373291463   |0.8374966939505694  |403       
 [14, 0, 0, 0, 0]    |0.3304350235391189  |0.2865491399153922  |57        
 [13, 5, 1, 9, 0]    |0.2146678172856511  |0.15014354414207473 |143       
 [8, 19, 9, 15, 15]  |6.8212279748269635  |0.9680606977418573  |781       
 [13, 4, 8, 8, 3]    |2.7222482422954264  |1.501490225449655   |238       
 [11, 10, 3, 1, 7]   |0.3245366519803031  |0.19102388619838123 |212       
 [16, 12, 1, 9, 0]   |0.2915287214248513  |0.1401395246114202  |293       
 [12, 7, 1, 0, 0]    |1.185602849779735   |0.8417698656675132  |137       
 [12, 4, 1, 17, 0]   |0.3002249091805591  |0.20893681611980502 |145       
 [20, 9, 7, 6, 0]    |0.37657228281964705 |0.14783695558593085 |374       
 [16, 9, 7, 0, 0]    |0.277263183405666   |0.13802946484092785 |279       
 [9, 9, 3, 0, 0]     |0.27608329100394013 |0.18927530571749937 |151       
 [15, 16, 0, 0, 0]   |0.31314445416387016 |0.14141015932048154 |318       
 [13, 0, 0, 0, 0]    |0.32998923858964546 |0.2890385423041424  |53        
 [17, 7, 15, 0, 0]   |0.3203555864784691  |0.1464862528136533  |313       
 [4, 5, 1, 9, 0]     |1.323914283793358   |1.108594187712085   |71        
Gen 2 Train time: 8.721009159088135 minutes:
 Average MSE:        0.4782439535154714
 Average Error:      0.7546344656945776
 Structure           |Error               |MSE                 |weights&biases
 [11, 5, 2, 0, 0]    |0.21552571866848808 |0.16452791413373732 |108       
 [13, 5, 1, 9, 0]    |0.22299953271467926 |0.1559709350342684  |143       
 [11, 2, 6, 3, 4]    |1.9820043038626591  |1.4793585880437417  |117       
 [11, 5, 2, 5, 0]    |0.2548283650377149  |0.1859709056526982  |126       
 [14, 7, 2, 0, 0]    |0.31468725805187076 |0.2078006723162537  |166       
 [11, 19, 2, 0, 0]   |0.4315224245608436  |0.20180855046902285 |304       
 [16, 4, 8, 0, 0]    |0.18973841643644113 |0.12560554083181633 |165       
 [12, 5, 2, 5, 0]    |0.532646610044868   |0.38102240673167415 |134       
 [14, 3, 1, 5, 11]   |0.30787301404249984 |0.19679988610594376 |179       
 [13, 3, 1, 11, 0]   |0.24450520989258528 |0.18158731584186588 |119       
 [15, 6, 8, 9, 0]    |0.28036004464561554 |0.13646588421229175 |288       
 [16, 9, 5, 3, 0]    |0.3086671385195076  |0.15598556558352808 |273       
 [13, 3, 1, 0, 0]    |1.034764767621809   |0.8324968201501963  |87        
 [19, 16, 3, 12, 16] |0.8313710123190826  |0.14410989382756761 |701       
 [10, 10, 2, 17, 0]  |0.3514873990181488  |0.1972898291341572  |231       
 [13, 5, 2, 1, 4]    |1.1492862320982988  |0.8159853169943379  |137       
 [11, 4, 4, 2, 2]    |2.063657534568468   |1.5287951028554327  |120       
 [14, 2, 1, 9, 0]    |0.257486535776129   |0.19903236117805712 |103       
 [18, 10, 4, 3, 0]   |0.3062386112209932  |0.14214740368532242 |307       
 [12, 5, 2, 6, 0]    |0.3378421439734112  |0.23926668262116868 |138       
 [15, 5, 1, 0, 0]    |0.19267866396554267 |0.13817539380810082 |133       
 [7, 5, 2, 1, 4]     |1.265039365502438   |1.0126829962144892  |89        
 [16, 6, 7, 5, 2]    |5.298714198213884   |2.8079766960857078  |254       
 [13, 4, 1, 0, 0]    |0.18910992187026712 |0.14654439838540104 |102       
 [14, 8, 1, 13, 0]   |0.3028272197381967  |0.17869177799000313 |211       
Increasing Epochs
Gen 3 Train time: 10.238319849967956 minutes:
 Average MSE:        0.3238428723972691
 Average Error:      0.7721459498364237
 Structure           |Error               |MSE                 |weights&biases
 [13, 4, 1, 0, 0]    |1.132286332223455   |0.8774273592557968  |102       
 [16, 4, 8, 0, 0]    |0.21738490844243397 |0.14390733045215112 |165       
 [15, 5, 1, 0, 0]    |0.21041187126435956 |0.1508923851529905  |133       
 [9, 6, 2, 5, 0]     |0.3464908620833412  |0.25540651345473653 |122       
 [15, 7, 3, 6, 0]    |0.2489397499923568  |0.1465271739959885  |212       
