/tmp/tmp.VEo2wljw0I ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k0.mat
  Evaluating with: datasets/N2dataset100k0.mat
Gen 0 Train time: 8.480378301938375 minutes:
 Average MSE:        1.0589296607288117
 Average Error:      2.7478717762941387
 Structure           |Error               |MSE                 |weights&biases
 [20, 1, 12, 18, 3]  |9.617114356965688   |3.5379386553223924  |400       
 [16, 2, 3, 2, 0]    |0.6648827139077637  |0.5152285842162635  |102       
 [1, 6, 11, 17, 9]   |10.075221946427746  |3.127015818083666   |468       
 [19, 1, 16, 0, 0]   |0.5890646859285794  |0.42989285401547345 |126       
 [3, 7, 5, 3, 0]     |2.1101161311553613  |1.647473635336245   |99        
 [18, 20, 16, 7, 0]  |4.7985111185800395  |0.5095668061916712  |897       
 [14, 10, 0, 0, 0]   |0.607620432946522   |0.3657867082194412  |203       
 [13, 13, 19, 17, 0] |3.3209489508656693  |0.4016197918440277  |845       
 [12, 4, 1, 1, 9]    |0.7672666875755937  |0.5641580502144851  |123       
 [6, 0, 0, 0, 0]     |0.6761114784784986  |0.6351479548008339  |25        
 [13, 0, 0, 0, 0]    |0.4002028520804164  |0.3505388523749075  |53        
 [8, 14, 3, 0, 0]    |0.7223220331142364  |0.4392071056547341  |199       
 [6, 19, 5, 0, 0]    |0.9742969057493085  |0.5124566328257955  |257       
 [9, 16, 20, 9, 0]   |2.89098647095585    |0.4707621901148076  |726       
 [2, 17, 4, 7, 0]    |3.323233992211359   |2.161793935827164   |172       
 [13, 17, 8, 15, 10] |3.3871003078872515  |0.5501711809731453  |727       
 [7, 0, 0, 0, 0]     |0.8071365650708734  |0.7506900720494543  |29        
 [7, 0, 0, 0, 0]     |1.0239089840365978  |0.9523026737501654  |29        
 [3, 8, 7, 14, 0]    |2.7959339272215975  |1.569357332048937   |231       
 [18, 10, 6, 0, 0]   |0.9002991947625811  |0.40757588927998023 |317       
 [10, 3, 17, 19, 3]  |12.59936642692433   |3.290852103000904   |537       
 [13, 0, 0, 0, 0]    |0.6287076088178813  |0.5506868392584773  |53        
 [20, 1, 14, 6, 0]   |0.8428121832802824  |0.5035807806614637  |206       
