/tmp/tmp.2r5qf01AcW ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k4.mat
  Evaluating with: datasets/N2dataset100k4.mat
Gen 0 Train time: 8.53452498515447 minutes:
 Average MSE:        0.9714749315093535
 Average Error:      2.3643771997280094
 Structure           |Error               |MSE                 |weights&biases
 [6, 0, 0, 0, 0]     |1.4553538197774736  |1.3671783893144478  |25        
 [16, 10, 16, 9, 0]  |2.276602041002526   |0.565629504061513   |557       
 [17, 16, 12, 17, 0] |3.4145054161615445  |0.4833726724081953  |782       
 [17, 8, 17, 0, 0]   |1.4541186499971395  |0.5823986956325905  |366       
 [5, 5, 16, 1, 0]    |4.014420599860013   |2.6909466013045824  |160       
 [8, 9, 0, 0, 0]     |0.6272262006551448  |0.47050530874825724 |115       
 [2, 16, 6, 20, 3]   |9.938729824074597   |4.010593471327032   |363       
 [12, 2, 1, 15, 15]  |3.054187172268129   |1.2699956718823557  |351       
 [6, 14, 13, 0, 0]   |2.7989877569060297  |1.242043288076926   |325       
 [17, 13, 0, 0, 0]   |0.9427962819468564  |0.4464601860793295  |299       
 [11, 15, 18, 11, 0] |3.6101291084658698  |0.5937740232882927  |722       
 [20, 18, 0, 0, 0]   |1.0744026719091764  |0.34275644843866493 |457       
 [15, 0, 0, 0, 0]    |0.7243466575503202  |0.6218942651474143  |61        
 [11, 7, 0, 0, 0]    |0.5984388203172638  |0.4378271939125013  |125       
 [11, 17, 16, 0, 0]  |1.6829616325937888  |0.4341153997937953  |542       
 [19, 0, 0, 0, 0]    |0.5720573277644568  |0.47188683935963693 |77        
 [8, 18, 16, 13, 16] |8.105889787044733   |0.7502047810261836  |952       
 [3, 17, 2, 3, 0]    |1.247315662908773   |0.9102770934923556  |126       
 [7, 13, 0, 0, 0]    |1.686771063168234   |1.1916228146133097  |139       
 [6, 6, 19, 5, 0]    |2.82492175483304    |1.3377387209439562  |299       
 [3, 15, 0, 0, 0]    |1.8048917488656873  |1.4593638433888196  |85        
 [7, 8, 6, 10, 5]    |2.5764213951651     |1.31180149553897    |270       
 [18, 3, 6, 17, 0]   |0.9428500433183954  |0.4776638531977313  |272       
 [15, 15, 0, 0, 0]   |0.8331009889842256  |0.39254644840006164 |301       
 [12, 12, 6, 0, 0]   |0.8480035676617201  |0.4242762783569172  |277       
Gen 1 Train time: 8.343735229969024 minutes:
 Average MSE:        0.5097827155550223
 Average Error:      1.1202307976291015
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.4710706601467011  |0.3885835110274344  |77        
 [11, 7, 0, 0, 0]    |0.6331047573012711  |0.4631893352020805  |125       
 [8, 9, 0, 0, 0]     |0.8759392736389537  |0.6570740794273923  |115       
 [17, 13, 0, 0, 0]   |0.7828598061951616  |0.370722436480314   |299       
 [14, 14, 0, 0, 0]   |0.7461444757746843  |0.38276424398982034 |267       
 [19, 6, 15, 17, 7]  |2.8240647152839053  |0.5056943900186568  |688       
 [20, 7, 0, 0, 0]    |0.7753048184904704  |0.452938459928379   |215       
 [10, 8, 1, 8, 8]    |1.0761314194684193  |0.614696020692852   |224       
 [16, 18, 8, 0, 0]   |1.9305045025041092  |0.532741676923649   |515       
 [10, 8, 0, 0, 0]    |0.6794757737609717  |0.49463572369133163 |127       
 [6, 13, 1, 2, 0]    |1.2346637450108344  |0.8920783283204884  |130       
 [16, 13, 11, 0, 0]  |1.3467514557036167  |0.45393346864200435 |435       
 [13, 11, 0, 0, 0]   |0.7437396990978887  |0.4454972645941354  |205       
 [9, 10, 0, 0, 0]    |0.5955440875537349  |0.42177644419296456 |138       
 [10, 15, 11, 3, 13] |1.9415324169028352  |0.5951020157352576  |473       
 [11, 7, 15, 0, 0]   |0.8872089466519093  |0.4713403856357615  |253       
 [11, 9, 1, 2, 0]    |0.8246511872354012  |0.5555510441833703  |158       
 [18, 7, 2, 0, 0]    |0.753566628901708   |0.4502565088532312  |206       
 [18, 7, 0, 0, 0]    |0.7528783963542272  |0.46238770271643836 |195       
 [14, 14, 10, 0, 0]  |1.4050774620405795  |0.5003699442667147  |413       
 [12, 10, 3, 0, 0]   |1.0740412552124217  |0.6465714349514079  |203       
 [19, 10, 19, 0, 0]  |1.529291722983993   |0.45375616898634574 |486       
 [17, 10, 16, 6, 12] |2.329174241920454   |0.5119715623106964  |606       
 [15, 9, 0, 0, 0]    |0.8406124475292085  |0.5111334600508519  |199       
 [13, 14, 0, 0, 0]   |0.9524360450640789  |0.5098022780539763  |250       
Gen 2 Train time: 8.371652396519979 minutes:
 Average MSE:        0.6786143004388364
 Average Error:      1.3322576611310262
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.538771805438585   |0.4444298011145861  |77        
 [9, 10, 0, 0, 0]    |0.6994493983279764  |0.4953643001166794  |138       
 [11, 7, 0, 0, 0]    |0.5575747095813581  |0.4079303718351065  |125       
 [12, 13, 0, 0, 0]   |0.7139162366587456  |0.4129248602027862  |219       
 [16, 7, 0, 0, 0]    |0.7293930744091005  |0.4709315636789455  |175       
 [10, 9, 8, 0, 0]    |0.9225177818277025  |0.5349143557776943  |218       
