/tmp/tmp.rpa6EDUKli ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k5.mat
  Evaluating with: datasets/N2dataset100k5.mat
Gen 0 Train time: 9.2649818499883 minutes:
 Average MSE:        1.08630329181899
 Average Error:      3.038917162313159
 Structure           |Error               |MSE                 |weights&biases
 [16, 14, 15, 0, 0]  |1.584466462406571   |0.42432641801905974 |527       
 [14, 8, 16, 12, 4]  |2.354302550205887   |0.5704923760373493  |567       
 [5, 5, 3, 10, 0]    |0.97451828561909    |0.7328516418804432  |114       
 [2, 11, 0, 0, 0]    |2.523091853421754   |2.221061146112132   |51        
 [11, 10, 5, 19, 0]  |1.279131580629779   |0.5439931604243455  |342       
 [14, 8, 17, 0, 0]   |0.9923774418801002  |0.43164501274610034 |333       
 [15, 19, 12, 6, 0]  |2.5706094572529437  |0.4767052105809187  |674       
 [17, 16, 10, 0, 0]  |1.7009087598513728  |0.46355171410955337 |520       
 [16, 0, 0, 0, 0]    |0.5467619557526988  |0.46475645991290115 |65        
 [19, 11, 15, 9, 10] |2.660111036003293   |0.4485961966403395  |712       
 [13, 10, 18, 0, 0]  |1.3792800373520633  |0.5125083122720433  |396       
 [7, 14, 7, 12, 0]   |1.3238652794375712  |0.5560237330209896  |347       
 [17, 1, 9, 9, 0]    |0.7732661182478271  |0.4845028221360098  |187       
 [2, 15, 0, 0, 0]    |2.277850826318172   |1.9265529665719818  |67        
 [1, 9, 11, 19, 0]   |5.901118484777366   |2.2879172516712365  |379       
 [1, 3, 10, 20, 6]   |11.099189754639907  |4.062798860357633   |402       
 [13, 3, 18, 14, 15] |2.6807333332520433  |0.5148345916876644  |660       
 [5, 4, 15, 0, 0]    |1.1848226091662668  |0.856066744336198   |130       
 [9, 0, 0, 0, 0]     |0.5951071612618554  |0.5425289740036712  |37        
 [10, 20, 14, 0, 0]  |2.0261273181282116  |0.5008874999896828  |559       
 [11, 18, 9, 10, 2]  |13.099574282220066  |3.3537520437118147  |545       
 [9, 10, 18, 8, 1]   |11.766696113712243  |3.4738836577954144  |488       
 [11, 19, 6, 9, 0]   |1.344154820844486   |0.43204109391768347 |454       
 [16, 17, 0, 0, 0]   |0.9629143803711656  |0.3964161322693281  |355       
 [14, 17, 18, 0, 0]  |2.3719491550762446  |0.47888827527025873 |640       
Gen 1 Train time: 9.090926051139832 minutes:
 Average MSE:        0.97936134555366
 Average Error:      2.410572534406933
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.6215483370176752  |0.5283260873178623  |65        
 [9, 0, 0, 0, 0]     |0.631102405130817   |0.5753440096752833  |37        
 [17, 1, 9, 9, 0]    |0.8241398257851545  |0.5163785946452322  |187       
 [16, 5, 13, 15, 0]  |1.6955351685574818  |0.5686435020809368  |437       
 [5, 5, 3, 10, 0]    |0.838343904506375   |0.6304465662105613  |114       
 [17, 2, 15, 17, 15] |2.7721728197081057  |0.4939264913292741  |690       
 [4, 1, 18, 16, 10]  |9.524734619485418   |2.481571575204527   |538       
 [8, 2, 10, 6, 17]   |1.120273233773884   |0.563308757897131   |275       
 [9, 2, 0, 0, 0]     |0.7262883046451757  |0.6409471792327845  |50        
 [7, 2, 8, 13, 0]    |0.9065374069140335  |0.5609502914494093  |192       
 [13, 0, 0, 0, 0]    |0.6583357635482392  |0.5766382269189503  |53        
 [15, 4, 8, 6, 2]    |4.883563030617844   |2.81757076449612    |220       
 [11, 3, 12, 5, 0]   |0.7816522870634847  |0.4885344524230387  |188       
 [8, 20, 7, 13, 3]   |7.509021750259495   |2.145999041733473   |501       
 [12, 4, 9, 0, 0]    |0.7779986041643707  |0.5441498834983202  |143       
 [10, 10, 7, 0, 0]   |1.0294925830212305  |0.586587191993371   |225       
 [15, 4, 9, 0, 0]    |0.7247301834182204  |0.48096736750684255 |164       
 [19, 1, 17, 12, 14] |2.9500376149865626  |0.7959793156126214  |524       
 [15, 12, 14, 12, 8] |7.693451347689968   |1.2974093813755154  |712       
 [13, 16, 0, 0, 0]   |0.8009262127212992  |0.3977281866587094  |280       
 [6, 16, 7, 0, 0]    |1.034028649032529   |0.5438740866379808  |257       
 [6, 10, 5, 11, 0]   |2.1772659585404543  |1.253036671244937   |221       
 [7, 8, 8, 15, 5]    |4.917408583690586   |1.911296258257454   |378       
 [11, 11, 8, 0, 0]   |0.9057184559224548  |0.4611523670956733  |270       
 [12, 4, 3, 6, 2]    |3.7600063099724674  |2.623267388345486   |144       
Increasing Epochs
Gen 2 Train time: 10.16580574909846 minutes:
 Average MSE:        0.6753971707669784
 Average Error:      1.4161912758801745
 Structure           |Error               |MSE                 |weights&biases
