/tmp/tmp.Bp8Ex9Y4zV ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k1.mat
  Evaluating with: datasets/N3dataset100k1.mat
Gen 0 Train time: 8.502403088410695 minutes:
 Average MSE:        0.9818393119305964
 Average Error:      2.1198796928672032
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.3564548160778715  |0.2999775050572089  |69        
 [17, 14, 15, 1, 0]  |4.715682893620511   |1.2042942851182203  |546       
 [14, 14, 1, 0, 0]   |0.8760669655987774  |0.4471716533024119  |269       
 [13, 9, 14, 7, 0]   |1.065130118453044   |0.374597549233127   |418       
 [17, 5, 5, 0, 0]    |0.45963240397460414 |0.29528088274059316 |177       
 [3, 20, 19, 19, 0]  |6.688092747475164   |0.7263877930419422  |888       
 [2, 2, 20, 15, 8]   |5.546706931582301   |1.49661277702887    |524       
 [5, 0, 0, 0, 0]     |1.3322725954599492  |1.2641326090264002  |21        
 [13, 10, 0, 0, 0]   |0.5021537965539578  |0.3122819421240822  |190       
 [10, 15, 10, 7, 8]  |1.3949985456825096  |0.3947089475812229  |505       
 [18, 20, 3, 16, 16] |3.2988552291652815  |0.3939920719013991  |850       
 [9, 7, 14, 0, 0]    |0.887296242970751   |0.5068316563038933  |224       
 [3, 4, 3, 1, 0]     |3.4253344836346287  |3.053227190268496   |46        
 [16, 8, 13, 5, 0]   |0.7946993666984457  |0.30965658343189684 |377       
 [19, 1, 6, 7, 6]    |2.6487448487143204  |1.6349069408200179  |193       
 [1, 13, 20, 0, 0]   |7.147813534245864   |3.132422010321098   |330       
 [7, 3, 4, 19, 0]    |0.7399092318868226  |0.4765284936307653  |176       
 [3, 0, 0, 0, 0]     |2.6316230044308777  |2.5474701477816     |13        
 [18, 0, 0, 0, 0]    |0.4675313191248053  |0.3895399156503435  |73        
 [3, 9, 20, 0, 0]    |1.049668880194438   |0.5398169179414637  |266       
 [2, 6, 6, 5, 0]     |1.223919609370518   |0.9366538425109233  |107       
 [9, 0, 0, 0, 0]     |0.7809129363234225  |0.711918662231189   |37        
 [15, 16, 15, 0, 0]  |1.2706703631723997  |0.30408275513786714 |572       
 [10, 4, 16, 0, 0]   |0.45298359633796376 |0.29540754566270755 |171       
 [1, 11, 6, 0, 0]    |3.2398378609308556  |2.49808212041717    |104       
Gen 1 Train time: 8.507856412728627 minutes:
 Average MSE:        0.7132695625277959
 Average Error:      2.40904833396287
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.35237371479671287 |0.2965430204465695  |69        
 [10, 4, 16, 0, 0]   |0.5356823568530191  |0.3493385004932966  |171       
 [17, 5, 5, 0, 0]    |0.4797205727711149  |0.3081860916936231  |177       
 [14, 2, 8, 0, 0]    |0.643093512407041   |0.49462017514664164 |105       
 [17, 4, 9, 3, 0]    |0.5195362341122499  |0.313543013923111   |202       
 [12, 4, 5, 10, 0]   |0.5433874842338756  |0.34303163196999825 |184       
 [6, 5, 10, 12, 0]   |1.0202220356957565  |0.5352722867612988  |258       
 [12, 4, 5, 2, 0]    |0.6788918557001515  |0.4929766672938361  |128       
 [19, 8, 11, 19, 5]  |2.180658596733047   |0.42939713733113133 |650       
 [7, 16, 11, 18, 17] |3.3931644468594016  |0.3639506312910533  |893       
 [13, 5, 9, 10, 0]   |0.6195713730039757  |0.31231987565556396 |274       
 [13, 10, 0, 0, 0]   |0.40812670031270093 |0.25380789606884635 |190       
 [6, 2, 2, 10, 0]    |0.8750247362356733  |0.7182029260602537  |79        
 [17, 14, 0, 0, 0]   |0.7885090857071025  |0.35607590667129746 |318       
 [2, 8, 5, 4, 4]     |4.081160782316648   |2.993314953652084   |124       
 [7, 3, 4, 19, 0]    |0.6324291273029363  |0.40730739173691755 |176       
 [17, 7, 9, 3, 0]    |0.6679649782183716  |0.329223135521524   |283       
 [9, 9, 7, 13, 4]    |5.704926893239184   |2.366306187708307   |352       
 [11, 5, 0, 0, 0]    |0.4183095405591904  |0.32659526615890483 |99        
 [8, 20, 19, 12, 2]  |32.69407527822931   |3.6957883123251327  |872       
 [15, 5, 7, 4, 0]    |0.5593256886343785  |0.3358726031410703  |204       
