/tmp/tmp.qS0lbyW6o8 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k3.mat
  Evaluating with: datasets/N3dataset100k3.mat
Gen 0 Train time: 8.216552551587423 minutes:
 Average MSE:        0.9324082101771058
 Average Error:      2.126028921301282
 Structure           |Error               |MSE                 |weights&biases
 [6, 0, 0, 0, 0]     |2.561548129957535   |2.4063517743075398  |25        
 [16, 17, 12, 0, 0]  |1.2886934471595977  |0.3130566461986198  |566       
 [1, 12, 12, 7, 6]   |7.130847851745466   |3.132809295942441   |329       
 [2, 20, 17, 17, 14] |14.9576308918434    |1.2401366772865063  |996       
 [18, 1, 16, 0, 0]   |0.43163162793933857 |0.31816576208079683 |122       
 [5, 10, 0, 0, 0]    |0.6778685852232623  |0.546729104976937   |86        
 [6, 13, 0, 0, 0]    |0.6043487819203622  |0.4443673053694244  |123       
 [11, 7, 4, 0, 0]    |0.49181485422579074 |0.33465573045280583 |154       
 [11, 14, 18, 15, 0] |2.467962867769557   |0.35822036418122893 |772       
 [3, 8, 6, 6, 0]     |2.6316879360864673  |1.836066370614261   |144       
 [11, 10, 5, 12, 0]  |0.7628789226317869  |0.36672026355128645 |293       
 [7, 0, 0, 0, 0]     |1.2603051878519111  |1.1721666855593103  |29        
 [2, 0, 0, 0, 0]     |2.596153583782327   |2.538392378487084   |9         
 [12, 3, 14, 1, 19]  |0.6559359811874865  |0.39388665668697126 |204       
 [19, 1, 14, 7, 7]   |2.6728900445312838  |1.3473777561760405  |274       
 [4, 3, 0, 0, 0]     |0.6726391362164257  |0.6224784343214909  |31        
 [20, 5, 15, 5, 0]   |0.9223197874834383  |0.39322894696964045 |341       
 [11, 3, 18, 16, 0]  |0.9846087497911511  |0.31020840752274925 |462       
 [16, 0, 0, 0, 0]    |0.35085222776647434 |0.29823003889292937 |65        
 [14, 17, 0, 0, 0]   |0.6554772531564906  |0.2982295825360976  |315       
 [18, 0, 0, 0, 0]    |0.3883020984565075  |0.32352734563910873 |73        
 [17, 9, 0, 0, 0]    |0.5471799685981337  |0.31333652056000794 |223       
 [4, 0, 0, 0, 0]     |1.940413673746044   |1.859673964084682   |17        
 [5, 17, 1, 0, 0]    |1.5569047001530456  |1.1053916246476871  |137       
 [5, 13, 16, 12, 0]  |3.9398267433087675  |1.0367976173820028  |534       
Gen 1 Train time: 7.998427557945251 minutes:
 Average MSE:        0.5698789723659831
 Average Error:      0.8439889523748073
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.4405185318582331  |0.3744478401219678  |65        
 [18, 0, 0, 0, 0]    |0.48530050373405687 |0.4043449274018996  |73        
 [18, 1, 16, 0, 0]   |0.6160293302239216  |0.4540896186188714  |122       
 [15, 4, 2, 0, 0]    |0.3919552552860182  |0.28891938038696163 |122       
 [15, 4, 10, 0, 0]   |0.4760210216081238  |0.3112081610140335  |170       
 [17, 6, 10, 3, 0]   |0.6934806714750955  |0.35663875131586126 |266       
 [15, 0, 0, 0, 0]    |0.3883021442779948  |0.3333802595122116  |61        
 [15, 2, 17, 8, 0]   |0.7903073965715949  |0.3914751264191814  |281       
 [15, 9, 0, 0, 0]    |0.4907781302105347  |0.29841709404747047 |199       
 [16, 1, 0, 0, 0]    |1.1830241871002918  |1.0005741951365694  |67        
 [12, 9, 16, 8, 10]  |1.530386670276503   |0.38694234713768283 |550       
 [14, 2, 7, 1, 10]   |0.5774418022417317  |0.41513661630728577 |132       
 [6, 15, 1, 0, 0]    |2.533888174650955   |1.781142390667687   |141       
 [2, 4, 2, 0, 0]     |2.1337300976787437  |1.974611495160385   |31        
 [18, 1, 8, 0, 0]    |0.37402737545975745 |0.2927529241990473  |98        
 [15, 4, 10, 1, 0]   |1.62488759556329    |1.0570041588170223  |172       
 [10, 0, 0, 0, 0]    |0.5915503371189927  |0.5339204087625798  |41        
 [8, 9, 15, 0, 0]    |2.137019098388588   |1.0853601998270868  |271       
 [15, 4, 8, 0, 0]    |0.4545243411390682  |0.30620397597813315 |158       
 [20, 1, 8, 0, 0]    |0.5300167562072445  |0.40663200894910057 |106       
 [14, 10, 3, 6, 0]   |0.5922329091711364  |0.3122799262749151  |256       
 [17, 0, 0, 0, 0]    |0.46680375086516557 |0.392842565789006   |69        
 [18, 1, 8, 5, 0]    |0.5982891706712632  |0.42160725277972577 |140       
 [14, 5, 3, 6, 0]    |0.6067862892547741  |0.4006854285744324  |166       
 [18, 5, 0, 0, 0]    |0.39242226833710475 |0.26635725595045695 |155       
Increasing Epochs
Gen 2 Train time: 9.228988754749299 minutes:
