/tmp/tmp.1RP3mYpPpl ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k4.mat
  Evaluating with: datasets/N3dataset100k4.mat
Gen 0 Train time: 8.559805671374003 minutes:
 Average MSE:        0.7483067700838307
 Average Error:      1.5575957850898348
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.44363559230120675 |0.373345209913001   |69        
 [13, 0, 0, 0, 0]    |0.3608527366141774  |0.3160719707806109  |53        
 [6, 1, 0, 0, 0]     |0.3835993745432209  |0.3585609689965187  |27        
 [8, 9, 17, 5, 6]    |2.7094290087059036  |0.9770063912975082  |408       
 [4, 12, 7, 11, 0]   |2.3947973991575635  |1.2408524883781245  |263       
 [18, 10, 13, 11, 5] |4.111044307513349   |0.9013849056225218  |607       
 [17, 5, 0, 0, 0]    |0.35872699127999114 |0.24840528579779786 |147       
 [9, 12, 0, 0, 0]    |0.6475986546351944  |0.43409835998768154 |160       
 [5, 12, 13, 0, 0]   |2.1151073603879067  |1.076920492815788   |270       
 [5, 16, 7, 19, 10]  |3.7571732526639052  |0.8531387190147637  |593       
 [3, 2, 1, 0, 0]     |0.7769742132715018  |0.7353945532043191  |22        
 [5, 18, 3, 3, 0]    |1.5761246843411354  |0.9655755821529608  |196       
 [1, 0, 0, 0, 0]     |3.6961563541450912  |3.650241962508093   |5         
 [4, 0, 0, 0, 0]     |2.125709512329312   |2.0372597290835945  |17        
 [16, 5, 11, 15, 0]  |0.753255725960438   |0.28059287621383894 |395       
 [15, 15, 6, 11, 10] |1.5765801217541557  |0.3615908414129251  |589       
 [13, 13, 2, 11, 0]  |0.6419582903515659  |0.30782250465776595 |294       
 [7, 3, 4, 18, 9]    |2.5213882051560246  |1.099449527397822   |332       
 [12, 10, 17, 14, 20]|3.4266414786222863  |0.3384363027869448  |926       
 [7, 7, 8, 2, 0]     |0.5455331457936311  |0.3638579577990272  |162       
 [15, 12, 4, 3, 0]   |0.7016644265682761  |0.32487979907021586 |308       
 [9, 20, 0, 0, 0]    |0.5998032162488812  |0.3226608038324813  |248       
 [15, 7, 6, 7, 0]    |0.5991415593093848  |0.3112193273492871  |262       
 [15, 12, 8, 4, 6]   |1.0518883823764416  |0.37365850320858496 |414       
 [19, 12, 3, 0, 0]   |1.065110633215316   |0.4552441888135895  |340       
Gen 1 Train time: 8.1723730524381 minutes:
 Average MSE:        0.6212913860741461
 Average Error:      1.0714506714813798
 Structure           |Error               |MSE                 |weights&biases
 [17, 5, 0, 0, 0]    |0.45316620615867476 |0.31380097871388746 |147       
 [13, 0, 0, 0, 0]    |0.3364927160291979  |0.2947349572753398  |53        
 [6, 1, 0, 0, 0]     |0.5857106500152213  |0.5474799808292596  |27        
 [15, 10, 5, 5, 0]   |0.8275168391257167  |0.39481979927486066 |296       
 [12, 3, 0, 0, 0]    |0.4506614626281518  |0.3698939786714306  |79        
 [14, 7, 8, 2, 0]    |0.5865198075534642  |0.3283914822074386  |232       
 [15, 0, 0, 0, 0]    |0.3802815887688777  |0.32649414024538814 |61        
 [12, 6, 4, 1, 0]    |1.5365856392249155  |1.0587223358712028  |149       
 [12, 1, 0, 0, 0]    |0.5969116822681281  |0.5254574237351617  |51        
 [10, 4, 1, 0, 0]    |0.4288205965827558  |0.35021198468879433 |81        
 [13, 13, 0, 0, 0]   |0.5815710944163983  |0.3231876857418633  |235       
 [15, 3, 5, 0, 0]    |0.3705169602085527  |0.2751727879651976  |119       
 [9, 16, 0, 0, 0]    |0.6185582259815373  |0.37144147993987164 |204       
 [7, 5, 9, 3, 3]     |4.451250505176683   |2.9763123539296066  |161       
 [7, 7, 8, 2, 0]     |1.6253035611062714  |1.0840397858635824  |162       
 [6, 11, 1, 0, 0]    |3.1612136224252314  |2.4071801774235135  |109       
 [12, 10, 3, 4, 14]  |0.9177954474557847  |0.4335358716360861  |300       
 [10, 1, 0, 0, 0]    |0.4770227850356758  |0.42840296391463645 |43        
 [15, 1, 0, 0, 0]    |0.5278584307270299  |0.4509372182378593  |63        
 [13, 14, 16, 14, 15]|4.036650693445071   |0.37173104327735423 |954       
 [11, 7, 7, 5, 0]    |0.8102511466979667  |0.46864439313674283 |219       
 [8, 4, 3, 4, 0]     |0.4501757528190784  |0.3541207895440971  |96        
 [13, 7, 1, 6, 0]    |0.5500768277069015  |0.3650586243018782  |164       
 [15, 3, 0, 0, 0]    |0.5374470832115595  |0.4217152424380358  |97        
 [20, 9, 18, 7, 10]  |1.4879074622656507  |0.2907971729905595  |653       
Gen 2 Train time: 8.313025931517283 minutes:
