/tmp/tmp.KzjfSGt9nr ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k0.mat
  Evaluating with: datasets/N4dataset100k0.mat
Gen 0 Train time: 8.54155786037445 minutes:
 Average MSE:        1.0440221044280085
 Average Error:      2.3633709451122438
 Structure           |Error               |MSE                 |weights&biases
 [12, 16, 18, 0, 0]  |1.1549191828737495  |0.2784631261456059  |569       
 [10, 12, 9, 0, 0]   |0.6045573643083884  |0.29353490560882856 |289       
 [13, 0, 0, 0, 0]    |0.4459345921788432  |0.3905954177089018  |53        
 [16, 14, 7, 7, 7]   |1.2478244509811822  |0.3478101812417749  |511       
 [1, 16, 5, 1, 12]   |2.102041045164596   |1.3985119786566858  |163       
 [1, 17, 17, 14, 0]  |8.778652818220447   |1.9104197041540885  |610       
 [16, 0, 0, 0, 0]    |0.3676032631506311  |0.3124686884973976  |65        
 [3, 0, 0, 0, 0]     |2.5134578274124975  |2.433083603639518   |13        
 [14, 18, 0, 0, 0]   |0.8594024477438791  |0.3756798506064039  |331       
 [18, 18, 12, 19, 6] |3.31131393439034    |0.2731716490312405  |998       
 [1, 6, 1, 1, 0]     |3.2175858048475203  |3.015094968347607   |26        
 [12, 14, 18, 1, 0]  |10.610221092337978  |2.972245686559215   |509       
 [2, 17, 7, 0, 0]    |3.529985537823738   |2.189763996799654   |191       
 [16, 6, 17, 1, 0]   |3.4371730405390015  |1.6688743262106136  |289       
 [16, 8, 0, 0, 0]    |0.3844673959311851  |0.23730802701966353 |193       
 [7, 16, 14, 0, 0]   |1.3242551589611662  |0.4847364960492733  |402       
 [17, 17, 7, 3, 5]   |1.3180896243046123  |0.3477343106313742  |533       
 [6, 0, 0, 0, 0]     |1.3672714501411563  |1.2844326606745262  |25        
 [11, 16, 1, 12, 0]  |0.6414370154654944  |0.3193255119065867  |279       
 [7, 4, 0, 0, 0]     |0.44819157761924633 |0.3876957062251213  |58        
 [18, 4, 11, 0, 0]   |0.4466301907785583  |0.2729342540446996  |197       
 [5, 1, 6, 6, 4]     |4.178146070166454   |3.189511034309178   |108       
 [10, 20, 12, 0, 0]  |0.9393824255658608  |0.2592318059965242  |515       
 [6, 7, 4, 18, 18]   |4.691293062227114   |1.186144641655115   |550       
 [11, 20, 14, 0, 0]  |1.1644372546724668  |0.2717800789806114  |582       
Gen 1 Train time: 8.407858657836915 minutes:
 Average MSE:        0.7419370391598481
 Average Error:      1.9505153534672348
 Structure           |Error               |MSE                 |weights&biases
