/tmp/tmp.1S99NqwESQ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k1.mat
  Evaluating with: datasets/N4dataset100k1.mat
Gen 0 Train time: 8.584625856081646 minutes:
 Average MSE:        0.7582374586387364
 Average Error:      1.1929731686115408
 Structure           |Error               |MSE                 |weights&biases
 [13, 10, 13, 0, 0]  |0.6827279901035216  |0.2947408579672749  |336       
 [2, 20, 11, 0, 0]   |2.7670853475231496  |1.2779976857483955  |309       
 [14, 13, 8, 3, 0]   |0.6827704058270211  |0.26405532553398725 |380       
 [20, 16, 0, 0, 0]   |0.6420861353789808  |0.22865686231093507 |413       
 [1, 11, 0, 0, 0]    |1.0242581481226178  |0.9337641325599053  |37        
 [9, 3, 15, 5, 0]    |0.5294990043698599  |0.3187577100965745  |203       
 [17, 0, 0, 0, 0]    |0.34824769529774907 |0.2930707345374175  |69        
 [10, 0, 0, 0, 0]    |0.3629615893277606  |0.3276011997268314  |41        
 [2, 5, 10, 1, 0]    |3.730477917154344   |2.949207096485946   |94        
 [11, 18, 2, 8, 4]   |0.7256302347305112  |0.3009790215657108  |352       
 [4, 4, 19, 4, 0]    |0.8127569824717765  |0.4783927990236715  |212       
 [5, 1, 0, 0, 0]     |1.9086534667858164  |1.8020015191544232  |23        
 [2, 16, 0, 0, 0]    |2.9324146833094256  |2.4554896896828184  |71        
 [13, 14, 1, 5, 13]  |0.7367307007463938  |0.305583305180801   |352       
 [9, 0, 0, 0, 0]     |1.2066016789546135  |1.0999974685673681  |37        
 [12, 5, 18, 10, 13] |1.257076739539506   |0.3131067718461866  |556       
 [2, 1, 20, 3, 9]    |2.911326935621898   |1.9613028442560458  |158       
 [16, 0, 0, 0, 0]    |0.3257010687741641  |0.2768511490616485  |65        
 [4, 5, 12, 8, 0]    |0.6943234154478238  |0.39859181310776465 |222       
 [14, 0, 0, 0, 0]    |0.4516210390574423  |0.39164014432715033 |57        
 [7, 8, 0, 0, 0]     |0.4033541107859422  |0.31888000206528544 |94        
 [15, 15, 2, 18, 8]  |3.4191468343106455  |0.9042865907204425  |532       
 [14, 8, 0, 0, 0]    |0.3725551717891775  |0.24295716183081956 |171       
 [15, 0, 0, 0, 0]    |0.38628910516274106 |0.3316519468759284  |61        
 [4, 1, 0, 0, 0]     |0.5100328146956423  |0.48637263373507666 |19        
Gen 1 Train time: 8.835111637910208 minutes:
 Average MSE:        0.7762422858213192
 Average Error:      1.3127730611119721
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.3292013984595842  |0.2798264856153492  |65        
 [17, 0, 0, 0, 0]    |0.3620778552262107  |0.30470962026080683 |69        
 [10, 0, 0, 0, 0]    |0.44851694736602704 |0.404821596486459   |41        
 [14, 5, 7, 0, 0]    |0.42718876618221524 |0.2813856056972851  |167       
 [15, 4, 0, 0, 0]    |0.4017122582130321  |0.30209334431102863 |114       
 [11, 7, 14, 3, 0]   |0.6530821906781772  |0.3259366338016346  |278       
 [14, 13, 8, 3, 0]   |0.8109593372552758  |0.31363124407008935 |380       
 [15, 12, 17, 0, 0]  |0.85389106293651    |0.25977181854180664 |476       
 [19, 3, 9, 5, 7]    |0.6217252681019232  |0.3302989997255198  |253       
 [13, 2, 8, 3, 5]    |2.201701061371605   |1.5360747076044312  |144       
 [14, 11, 4, 2, 0]   |0.6317005160899566  |0.32324657267541657 |268       
 [6, 2, 18, 4, 5]    |5.770919011459582   |3.5620326175717154  |193       
 [9, 6, 0, 0, 0]     |0.3998651004537439  |0.316121692202596   |94        
 [13, 9, 1, 14, 2]   |6.42435346093904    |3.561194410177071   |236       
 [12, 10, 20, 2, 0]  |1.3922018781526986  |0.4739689711234341  |431       
 [12, 6, 8, 10, 0]   |0.5315329126746711  |0.2699576567894351  |271       
 [9, 7, 1, 15, 18]   |2.973180429479106   |0.9847497131123667  |442       
 [15, 10, 8, 3, 0]   |0.5720470926722371  |0.25447976343462697 |324       
 [12, 4, 0, 0, 0]    |0.5596061363538837  |0.44351570310018945 |93        
 [14, 2, 2, 1, 9]    |0.5649567352904658  |0.4301995425572597  |109       
 [7, 1, 0, 0, 0]     |1.188356205846337   |1.099736947499653   |31        
 [6, 5, 0, 0, 0]     |1.1182187894931628  |0.9648689912788473  |59        
 [15, 0, 0, 0, 0]    |0.3640729158739697  |0.312578039972235   |61        
 [10, 3, 17, 4, 0]   |1.5809132566648103  |0.9398854156457075  |208       
 [6, 7, 6, 4, 0]     |1.637345940565084   |1.1309710522780132  |148       
Increasing Epochs
Gen 2 Train time: 10.206876917680104 minutes:
 Average MSE:        0.44746514749294897
 Average Error:      0.7459782785971061
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.3809837167788577  |0.32384228937590503 |65        
 [17, 0, 0, 0, 0]    |0.2682945019992107  |0.2257854620000626  |69        
 [15, 0, 0, 0, 0]    |0.37317195096428446 |0.320390097475446   |61        
 [15, 1, 1, 1, 5]    |1.5469971986553988  |1.2634117007590087  |81        
 [17, 18, 0, 0, 0]   |0.615124707258343   |0.22971169514819545 |394       
 [19, 2, 17, 15, 7]  |1.0175406341383075  |0.265109739554049   |538       
 [14, 2, 0, 0, 0]    |0.4827250571248476  |0.4001931284317958  |75        
 [15, 2, 0, 0, 0]    |0.43608905315109914 |0.3570395188954634  |80        
 [14, 9, 8, 2, 0]    |0.6311954680427604  |0.3150135297841602  |278       
 [18, 2, 6, 3, 4]    |1.4173494058284977  |0.9692705620161718  |152       
 [15, 20, 2, 1, 0]   |2.798203358055596   |0.9989780759138099  |412       
 [14, 5, 8, 2, 0]    |0.5538215849793795  |0.34787477953731616 |186       
 [15, 11, 6, 3, 0]   |0.6125401164196723  |0.276611622212424   |318       
 [15, 5, 4, 2, 0]    |0.47952742230005374 |0.3198336708448747  |162       
 [10, 5, 4, 0, 0]    |0.39228427624158657 |0.29500336747903544 |114       
 [14, 4, 7, 2, 0]    |0.5503065378382891  |0.372588824524698   |156       
