/tmp/tmp.r0eD7NQQAX ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k2.mat
  Evaluating with: datasets/N4dataset100k2.mat
Gen 0 Train time: 8.602893900871276 minutes:
 Average MSE:        0.9711180728006322
 Average Error:      1.958690162163871
 Structure           |Error               |MSE                 |weights&biases
 [9, 0, 0, 0, 0]     |0.8211813449493842  |0.7486293251818416  |37        
 [11, 13, 16, 8, 12] |1.6545217577014837  |0.30990545834835254 |670       
 [10, 12, 10, 8, 7]  |2.8843261803285576  |0.9340655259064328  |451       
 [11, 20, 6, 1, 2]   |6.298985856531565   |2.2431668624106766  |413       
 [19, 7, 3, 12, 20]  |1.105903610425786   |0.27961622185906554 |550       
 [11, 8, 4, 2, 18]   |0.6146593621385398  |0.33065258487791815 |248       
 [2, 0, 0, 0, 0]     |3.619930352174564   |3.5393913803923893  |9         
 [16, 13, 0, 0, 0]   |0.6106958378951913  |0.30099661682572537 |283       
 [20, 17, 17, 0, 0]  |1.6848825071906306  |0.2642646628292909  |741       
 [7, 13, 6, 4, 7]    |1.866657184015314   |0.9269545247986617  |280       
 [17, 5, 6, 19, 0]   |0.6170349333193343  |0.2704062993538089  |330       
 [14, 16, 12, 15, 0] |1.483468188100079   |0.25972879635771345 |697       
 [2, 9, 0, 0, 0]     |0.6860847340619465  |0.6161565920729366  |43        
 [2, 18, 11, 0, 0]   |2.5238832360566885  |1.2501939285760404  |281       
 [16, 10, 15, 8, 16] |1.415513504665613   |0.2638148800020102  |672       
 [1, 17, 2, 14, 0]   |3.378579816025075   |2.4411163335411166  |130       
 [11, 0, 0, 0, 0]    |0.6245005526225187  |0.5580520370912846  |45        
 [2, 11, 16, 11, 18] |7.186904843439364   |1.4046112839853415  |653       
 [17, 4, 12, 10, 0]  |0.6795729605251579  |0.3023135130766208  |324       
 [1, 0, 0, 0, 0]     |3.5838030653335404  |3.5392843486653276  |5         
 [11, 0, 0, 0, 0]    |0.9757985865105449  |0.8719710282180623  |45        
 [15, 9, 6, 11, 0]   |0.6294727583373726  |0.2703946551370288  |338       
 [19, 0, 0, 0, 0]    |0.3457048424805587  |0.2851699603376846  |77        
 [20, 6, 4, 14, 0]   |0.4708663042588836  |0.22297824232378255 |299       
 [1, 15, 11, 0, 0]   |3.2043217350090987  |1.8441167578466964  |221       
Gen 1 Train time: 8.431181410948435 minutes:
 Average MSE:        0.3260383352454053
 Average Error:      0.5594386007128639
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.37562697864216044 |0.3098525604459044  |77        
 [20, 6, 4, 14, 0]   |0.6498169182493789  |0.30772011705437285 |299       
 [16, 13, 0, 0, 0]   |0.40484862805336735 |0.1995397050528344  |283       
 [19, 10, 0, 0, 0]   |0.4306376560416181  |0.22036098251438663 |268       
 [11, 8, 0, 0, 0]    |0.35794884500613655 |0.25350665753363677 |138       
 [16, 7, 4, 8, 9]    |0.6343458623218163  |0.27799255419477287 |330       
 [19, 10, 0, 0, 0]   |0.5370033094317076  |0.27478919973596566 |268       
 [18, 7, 4, 0, 0]    |0.628646893332838   |0.35908880343211613 |224       
 [18, 10, 2, 7, 0]   |0.5440335804184357  |0.2602157185277883  |295       
 [11, 4, 2, 1, 9]    |0.6202794551437558  |0.45722248504136553 |122       
 [11, 5, 0, 0, 0]    |0.3522807106425919  |0.2750432426216335  |99        
 [18, 5, 11, 10, 0]  |0.8128055619009766  |0.3422330438225284  |346       
 [9, 11, 0, 0, 0]    |0.46246443914022367 |0.3186424620699163  |149       
 [14, 2, 6, 5, 0]    |0.43752881230658214 |0.3153372056334783  |131       
 [16, 7, 4, 8, 13]   |0.6452917236089388  |0.2558784428800006  |370       
 [15, 0, 0, 0, 0]    |0.38137964766299715 |0.32743688847502234 |61        
 [13, 5, 3, 6, 0]    |0.4710523962356801  |0.31733859678432613 |158       
 [15, 9, 0, 0, 0]    |0.47055059383927705 |0.2861177631439912  |199       
 [14, 5, 8, 18, 8]   |1.0928651078978606  |0.3226467482301162  |488       
 [18, 2, 6, 5, 0]    |0.3702028270091646  |0.2538011373482293  |151       
 [18, 3, 3, 10, 0]   |0.5420112608901236  |0.35082473833259165 |174       
 [19, 1, 0, 0, 0]    |1.1270155139408478  |0.9250319520219966  |79        
 [16, 3, 2, 7, 0]    |0.33808712363926874 |0.24064038111460467 |136       
 [11, 8, 4, 2, 18]   |0.7218864416854189  |0.38833479587968345 |248       
 [18, 2, 18, 5, 0]   |0.5773547307804276  |0.31136219924387143 |247       
Gen 2 Train time: 8.59230983654658 minutes:
 Average MSE:        0.3354054794231755
 Average Error:      0.677983954938325
 Structure           |Error               |MSE                 |weights&biases
 [16, 3, 2, 7, 0]    |0.3968333157455003  |0.28245417723113136 |136       
 [11, 5, 0, 0, 0]    |0.347722304367068   |0.2714842659154723  |99        
 [11, 8, 0, 0, 0]    |0.4697956566122788  |0.33271884598358525 |138       
 [18, 12, 0, 0, 0]   |0.5753117119115927  |0.2751763050681236  |295       
 [18, 8, 2, 7, 8]    |2.0710628757352865  |0.9352531310268757  |318       
 [15, 8, 0, 0, 0]    |0.39120747261755884 |0.2482007860483723  |182       
 [16, 2, 1, 4, 0]    |0.38444495533573153 |0.30090681124546936 |98        
 [19, 10, 1, 4, 0]   |0.5054398935306637  |0.2503673217226294  |281       
 [12, 7, 2, 3, 0]    |0.43282833736694293 |0.29304940129189955 |156       
 [17, 3, 6, 5, 0]    |0.40695935681182727 |0.26605773125944915 |170       
 [16, 11, 0, 0, 0]   |0.4566719842519308  |0.2462790824586139  |247       
 [14, 8, 2, 4, 7]    |0.6187669688721196  |0.3438579850395831  |235       
 [19, 5, 0, 0, 0]    |0.365747956516706   |0.24333630379599264 |163       
 [17, 8, 3, 3, 0]    |0.48330129129765304 |0.26657090031536895 |238       
 [14, 3, 2, 3, 0]    |0.3926779822993151  |0.299762319564867   |108       
 [18, 3, 5, 8, 0]    |0.41657851141703156 |0.2603625145534757  |188       
 [18, 5, 3, 11, 0]   |0.5134812806581963  |0.2940393418756538  |223       
 [19, 5, 1, 4, 0]    |0.40833795638900733 |0.26298451602518014 |176       
 [14, 8, 2, 2, 7]    |0.48880061375557776 |0.28556071357528795 |215       
 [14, 6, 1, 4, 0]    |0.4614553998959988  |0.315571540061529   |152       
 [17, 5, 17, 12, 0]  |0.8908808544405878  |0.27374874519640185 |472       
 [20, 10, 5, 19, 5]  |3.625969791045095   |0.9283205190614681  |545       
 [17, 7, 20, 5, 0]   |0.8596219771835911  |0.2804772821689132  |448       
 [17, 5, 0, 0, 0]    |0.506529664162941   |0.350753216373535   |147       
 [17, 3, 10, 6, 0]   |0.4791707612379224  |0.27784322872050865 |218       
Increasing Epochs
Gen 3 Train time: 10.130275313059489 minutes:
 Average MSE:        0.6386638349227028
 Average Error:      1.2210313633401746
 Structure           |Error               |MSE                 |weights&biases
 [11, 5, 0, 0, 0]    |0.3403035676557835  |0.2656920855899988  |99        
 [19, 5, 0, 0, 0]    |0.43889249194741603 |0.29200020082523287 |163       
 [16, 2, 1, 4, 0]    |0.38926962745977073 |0.3046831040124839  |98        
 [18, 8, 3, 4, 0]    |0.4904434529931506  |0.2599033907540797  |254       
 [17, 7, 3, 3, 17]   |0.6352946456162284  |0.3008431101481698  |299       
 [14, 6, 2, 4, 4]    |0.4583030405264933  |0.29004341708235015 |183       
 [12, 9, 5, 4, 11]   |0.6576128944239334  |0.3153289727685568  |294       
 [15, 6, 1, 2, 0]    |1.4809889067536581  |1.005223640767261   |155       
 [16, 6, 5, 3, 0]    |0.4148701195902175  |0.2472662042825744  |207       
 [14, 5, 0, 0, 0]    |0.36305468059095614 |0.2669478866215691  |123       
 [16, 6, 6, 4, 4]    |0.5885220718001911  |0.318975542695664   |245       
 [18, 7, 6, 5, 0]    |0.5991916546049554  |0.30054019473393917 |276       
 [4, 3, 5, 10, 4]    |4.383632332589341   |2.967968406052038   |156       
 [14, 6, 5, 3, 6]    |0.5071199724391467  |0.2955232776828586  |216       
 [16, 5, 1, 2, 0]    |0.46789888043472566 |0.3248138357473424  |146       
 [14, 4, 1, 2, 0]    |0.4276287790674281  |0.32158293741589994 |114       
 [16, 5, 1, 2, 9]    |0.4904838312704376  |0.3127462987333348  |180       
 [18, 4, 1, 4, 0]    |0.44919104628751516 |0.31027167668569977 |148       
 [17, 7, 2, 3, 4]    |0.5404162616276081  |0.3094633590229334  |223       
 [7, 19, 2, 12, 7]   |2.3738520936023724  |0.9945290122994652  |348       
 [12, 6, 1, 2, 0]    |1.2954138422015902  |0.9406635141266149  |128       
 [19, 9, 1, 2, 0]    |1.7511867292450247  |0.9280159944977078  |254       
 [11, 6, 2, 4, 0]    |0.4169144126790898  |0.29674730607697963 |136       
 [17, 12, 3, 4, 0]   |0.7092257093181369  |0.31314734316061055 |327       
 [7, 10, 18, 5, 3]   |9.856073038779193   |3.483675161284207   |416       
Increasing Epochs
Gen 4 Train time: 11.587928521633149 minutes:
 Average MSE:        0.7098959920446855
 Average Error:      1.3185134455671566
 Structure           |Error               |MSE                 |weights&biases
 [11, 5, 0, 0, 0]    |0.39127415075252003 |0.3054873795976375  |99        
 [14, 5, 0, 0, 0]    |0.3532300023190096  |0.25972396900903766 |123       
 [16, 2, 1, 4, 0]    |0.40204272095563237 |0.3146806622590825  |98        
 [15, 6, 3, 3, 8]    |0.4619989158911747  |0.26990297552871645 |215       
 [14, 5, 1, 1, 0]    |2.2046535226347923  |1.6049143071298435  |127       
 [9, 14, 9, 2, 1]    |7.920961367346182   |3.4973746366964398  |327       
 [15, 5, 0, 0, 0]    |0.30305036718870504 |0.21841545806250467 |131       
 [18, 6, 2, 4, 11]   |0.5418703487575541  |0.28217480757041064 |261       
 [15, 5, 19, 0, 0]   |0.4943114458235288  |0.2586991427922392  |259       
 [16, 7, 3, 2, 6]    |0.49385482974890477 |0.2820943549780877  |224       
 [17, 5, 4, 4, 2]    |2.6987957032379617  |1.6451073454301455  |198       
 [16, 6, 3, 3, 0]    |0.44174135387199814 |0.276780435033326   |187       
 [13, 20, 13, 2, 20] |1.8739355683993042  |0.3248280873402395  |701       
 [14, 5, 1, 1, 5]    |0.4573577748178978  |0.32148984654455737 |141       
 [14, 6, 1, 2, 6]    |0.47496592026484963 |0.3120748474305513  |168       
 [18, 14, 3, 20, 12] |1.4197083688511485  |0.24061707163615864 |710       
 [1, 4, 1, 2, 0]     |3.7490295651342724  |3.5395408801491555  |23        
 [16, 17, 2, 4, 2]   |2.6553310549573332  |0.9817381440436351  |398       
 [13, 7, 3, 3, 6]    |0.5447278498301852  |0.32710666547893813 |204       
 [11, 5, 13, 0, 0]   |0.447247579334733   |0.28163511369871785 |185       
 [16, 19, 3, 2, 6]   |1.200996562267308   |0.37649582555831645 |464       
 [12, 7, 3, 2, 6]    |0.4506790297398587  |0.2845063008477023  |184       
 [14, 3, 12, 16, 11] |1.1389391251257353  |0.29378626587151274 |542       
 [13, 5, 1, 5, 0]    |1.2839704422044274  |0.9253874030060866  |131       
 [18, 6, 2, 4, 4]    |0.5581625697239053  |0.3228378754240903  |219       
Gen 5 Train time: 11.419909071922302 minutes:
 Average MSE:        0.6355009986874638
 Average Error:      1.0559796376098805
 Structure           |Error               |MSE                 |weights&biases
 [15, 5, 0, 0, 0]    |0.4618183206482041  |0.33284322002891675 |131       
 [14, 5, 0, 0, 0]    |0.4650529587844447  |0.34194547309661566 |123       
 [11, 5, 0, 0, 0]    |0.2877567400471237  |0.22466613833162402 |99        
 [14, 6, 2, 1, 3]    |1.4738992615940238  |0.9904572714609845  |159       
 [1, 5, 13, 2, 3]    |4.168957919372574   |2.997162791915926   |132       
 [16, 6, 2, 3, 5]    |0.4635198599533289  |0.2818427332555043  |199       
 [7, 6, 2, 2, 15]    |0.809255345449217   |0.5561925227315314  |150       
 [15, 5, 14, 0, 0]   |0.739788969180668   |0.42257416453136915 |224       
 [11, 1, 5, 5, 19]   |0.6593285098006477  |0.3813516470942539  |219       
 [11, 5, 7, 0, 0]    |0.3149987099867069  |0.22031724790238055 |143       
 [14, 5, 10, 11, 0]  |0.7241238863418381  |0.3336066123493502  |310       
 [15, 6, 8, 2, 2]    |1.52606458488606    |0.8717019229055964  |224       
 [11, 6, 13, 0, 0]   |0.39090731025449155 |0.23124331635124737 |210       
 [9, 2, 4, 11, 13]   |0.7175494173837005  |0.3527790074481925  |284       
 [12, 5, 1, 10, 0]   |0.46916930729086237 |0.3322752526457774  |138       
 [18, 6, 2, 4, 4]    |0.49535754331341636 |0.28651182564553646 |219       
 [13, 5, 7, 0, 0]    |0.4213818428144055  |0.2831677314403302  |159       
 [15, 7, 6, 8, 6]    |0.7288616973395691  |0.32586526501208113 |322       
 [13, 5, 0, 0, 0]    |0.6354130781054829  |0.4766465848914286  |115       
 [14, 6, 2, 2, 3]    |0.4516490101576665  |0.29898857201652457 |165       
 [14, 5, 20, 3, 3]   |6.331927416907144   |2.8737123022689586  |316       
 [13, 6, 2, 1, 3]    |2.2932850066021366  |1.5761501982497326  |150       
 [15, 7, 3, 3, 5]    |0.5377179039305563  |0.3110128036143751  |219       
 [14, 5, 2, 3, 3]    |0.42523142223278887 |0.2893489917924828  |154       
 [16, 4, 1, 2, 0]    |0.4064749178699553  |0.29516137020587563 |128       
Gen 6 Train time: 11.62229890426 minutes:
 Average MSE:        0.708821132537534
 Average Error:      1.5733120579181712
 Structure           |Error               |MSE                 |weights&biases
 [11, 5, 0, 0, 0]    |0.3218596389397684  |0.251291984172349   |99        
 [11, 5, 7, 0, 0]    |0.4092719650618969  |0.2862541024051863  |143       
 [11, 6, 13, 0, 0]   |0.4639860606035001  |0.27447344314142663 |210       
 [12, 3, 6, 3, 10]   |0.8081522745853585  |0.5270263247653663  |171       
 [15, 6, 1, 2, 2]    |2.3653354560615965  |1.5815728930278241  |161       
 [11, 6, 10, 0, 0]   |0.45848292295944637 |0.28798921904078584 |186       
 [12, 5, 4, 5, 0]    |0.49477233690040145 |0.33498901200993875 |156       
 [13, 6, 2, 2, 3]    |0.5200543293257901  |0.35210635878255864 |156       
 [11, 5, 7, 14, 0]   |0.5234286243988396  |0.27189084427483456 |262       
 [4, 18, 19, 4, 19]  |5.864748012071739   |1.1319700439495857  |658       
 [14, 6, 1, 2, 3]    |2.368855260413886   |1.6038497387543615  |156       
 [14, 5, 1, 1, 8]    |0.45428177463048003 |0.3122229932536656  |150       
 [17, 8, 2, 3, 2]    |1.6807049420913853  |0.9386743301267737  |233       
 [15, 6, 2, 2, 15]   |0.5887709231119931  |0.33799705515761486 |222       
 [15, 6, 1, 3, 2]    |2.31691887462991    |1.5337845322895836  |165       
 [15, 6, 10, 6, 5]   |0.5641867674432376  |0.25477615716900254 |318       
 [13, 5, 0, 0, 0]    |0.4943125460065199  |0.37080191617315383 |115       
 [13, 3, 10, 3, 10]  |0.5448184285240818  |0.3263441764670525  |205       
 [14, 5, 7, 1, 0]    |0.4385360540183395  |0.2874192725514329  |169       
 [4, 17, 20, 8, 15]  |3.958325741378452   |0.5688270435428378  |776       
 [9, 7, 8, 2, 3]     |2.2993992408611237  |1.4228300613765115  |192       
 [14, 6, 2, 3, 3]    |0.49618147860673084 |0.3235785003771964  |171       
 [15, 7, 3, 3, 5]    |0.5505890157767223  |0.31845737734280954 |219       
 [14, 5, 0, 0, 0]    |0.3839807949930869  |0.2823345000258011  |123       
 [9, 19, 4, 19, 1]   |9.962847984559998   |3.539066433260696   |414       
Result:  [11, 5]
Fold 0
Fold 0 Train time: 18.404743627707163 minutes, MSE: 1.1231011345975894
Fold 1
Fold 1 Train time: 18.457204671700797 minutes, MSE: 0.22855307936382288
Fold 2
Fold 2 Train time: 18.59375298420588 minutes, MSE: 0.6293806799166632
Fold 3
Fold 3 Train time: 18.509142390886943 minutes, MSE: 0.5639780897653783
Fold 4
Fold 4 Train time: 18.134332064787547 minutes, MSE: 0.32705166160700283
Total Time: 162.49135643641154 minutes
CellsPerSensor: 4
 Resulting Network Architecture: [11, 5]
 MSE after 5-Fold CV: 0.5744129290500913
 Weights and Biases: 99
 Objective Function Value: 0.7357192015309041
~/workspace/SolarCellResearch
