/tmp/tmp.vzksU8nkxd ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k3.mat
  Evaluating with: datasets/N4dataset100k3.mat
Gen 0 Train time: 8.40633266766866 minutes:
 Average MSE:        1.0139365551387238
 Average Error:      1.8532565460716952
 Structure           |Error               |MSE                 |weights&biases
 [16, 2, 9, 8, 0]    |0.4422513109945893  |0.26958353289595405 |198       
 [2, 0, 0, 0, 0]     |3.5885081533443834  |3.5086682866108454  |9         
 [7, 15, 17, 0, 0]   |1.1799750608840243  |0.4017172899526651  |431       
 [10, 16, 0, 0, 0]   |0.5801701045395415  |0.3322279548264444  |223       
 [3, 4, 0, 0, 0]     |1.388033317531899   |1.2877388691472313  |30        
 [8, 13, 15, 2, 17]  |0.9718282870645812  |0.3139328562537317  |452       
 [1, 15, 1, 0, 0]    |3.9908254141945454  |3.5130973358593365  |51        
 [20, 16, 11, 0, 0]  |0.9498435358728192  |0.21460460144938837 |595       
 [18, 16, 17, 9, 0]  |2.110009714171442   |0.27231182642349444 |819       
 [20, 10, 2, 4, 0]   |0.5765897097399204  |0.26630198281868955 |309       
 [8, 9, 0, 0, 0]     |0.3795210143416427  |0.28469259071568037 |115       
 [5, 17, 14, 5, 0]   |3.2681704825318083  |1.06101961090168    |450       
 [10, 3, 19, 6, 0]   |0.5801521889198633  |0.2983569128025425  |266       
 [2, 0, 0, 0, 0]     |2.6449978041497157  |2.586149875381042   |9         
 [19, 5, 19, 2, 2]   |6.409615366303681   |2.8800258329310586  |320       
 [5, 5, 1, 0, 0]     |1.4425697810287115  |1.2635511038559912  |53        
 [12, 14, 0, 0, 0]   |0.5159621243396736  |0.2881650367688371  |233       
 [9, 15, 8, 11, 0]   |0.7996198663038666  |0.28262938553235545 |416       
 [15, 11, 16, 4, 0]  |1.115653182719013   |0.33102547179175545 |486       
 [17, 2, 14, 17, 3]  |10.579012019008786  |3.5038839040644207  |442       
 [20, 14, 1, 7, 0]   |0.6226657971454758  |0.23427834890599453 |391       
 [5, 0, 0, 0, 0]     |0.6766791478132722  |0.6420699333709806  |21        
 [19, 1, 8, 4, 0]    |0.3677594210476962  |0.26307232049038437 |134       
 [5, 3, 0, 0, 0]     |0.636334624418769   |0.5801139582607379  |37        
 [9, 0, 0, 0, 0]     |0.514666223382656   |0.4691950564568578  |37        
Gen 1 Train time: 8.59001874923706 minutes:
 Average MSE:        0.4350270554832251
 Average Error:      0.8351289295445083
 Structure           |Error               |MSE                 |weights&biases
 [19, 1, 8, 4, 0]    |0.45531508312025953 |0.3257042202467032  |134       
 [8, 9, 0, 0, 0]     |0.4706866328543588  |0.3530792547943623  |115       
 [16, 2, 9, 8, 0]    |0.6430603308600648  |0.39199086932863453 |198       
 [12, 3, 5, 2, 0]    |0.4790749070061892  |0.3638919442984955  |110       
 [7, 2, 0, 0, 0]     |1.4451655594291584  |1.3076398734283727  |40        
 [13, 3, 4, 7, 0]    |0.4203108874438227  |0.2961880763607646  |140       
 [16, 8, 4, 2, 0]    |0.523110235585366   |0.2921572595363103  |233       
 [14, 8, 8, 8, 0]    |0.7072082968377738  |0.32176621555720175 |315       
 [14, 1, 4, 2, 0]    |0.36629501345141496 |0.3014002321409197  |78        
 [9, 6, 10, 3, 0]    |0.558478354483737   |0.34385355730916756 |194       
 [14, 1, 4, 2, 9]    |1.1908662029425565  |0.9000373144330988  |112       
 [9, 8, 0, 0, 0]     |0.5006318179357171  |0.3746045501319224  |116       
 [10, 8, 0, 0, 0]    |0.3981254751931837  |0.28982208070807747 |127       
 [13, 5, 1, 2, 0]    |1.2964651437019084  |0.9556547615066773  |122       
 [14, 10, 1, 2, 0]   |0.5295443591804956  |0.31325480634340963 |210       
 [10, 8, 14, 0, 0]   |0.6207565118620986  |0.3248744872453477  |259       
 [19, 1, 20, 16, 17] |2.2254928777756975  |0.33286389681871953 |760       
 [10, 10, 10, 3, 0]  |0.778078838013326   |0.3796796433152339  |287       
 [15, 10, 15, 3, 0]  |0.7620076750689398  |0.2653253020082065  |422       
 [11, 7, 0, 0, 0]    |0.4396009128270564  |0.3216188983234847  |125       
 [6, 7, 1, 4, 0]     |1.2177355631952462  |0.9772556804116108  |88        
 [10, 10, 12, 17, 13]|2.152531928642902   |0.33761293260773373 |741       
 [16, 16, 4, 2, 0]   |0.7276471241815137  |0.26701803719375744 |401       
 [16, 12, 14, 2, 0]  |0.780357985534921   |0.24280357186297033 |467       
 [14, 8, 18, 8, 8]   |1.1896755214850074  |0.2955789211694465  |557       
Gen 2 Train time: 8.821087010701497 minutes:
 Average MSE:        0.5541518877243246
