/tmp/tmp.hMnlk8EFkN ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k4.mat
  Evaluating with: datasets/N4dataset100k4.mat
Gen 0 Train time: 8.566171312332154 minutes:
 Average MSE:        0.9477494396974306
 Average Error:      2.5296996117283554
 Structure           |Error               |MSE                 |weights&biases
 [6, 2, 13, 0, 0]    |0.4994908915182258  |0.4038685132456609  |85        
 [3, 15, 17, 20, 9]  |23.20700354955577   |2.446000178527611   |900       
 [13, 18, 9, 20, 0]  |1.932829078702614   |0.3504577133280162  |683       
 [4, 0, 0, 0, 0]     |3.2054538394786096  |3.0720763974238117  |17        
 [17, 16, 0, 0, 0]   |0.6740653341593781  |0.2768088072034807  |356       
 [7, 2, 5, 17, 14]   |1.3391470267627843  |0.46744801424553273 |421       
 [6, 0, 0, 0, 0]     |0.6749185583461143  |0.6340273100455788  |25        
 [2, 0, 0, 0, 0]     |3.7438499926376836  |3.660553962167758   |9         
 [10, 16, 19, 2, 0]  |9.439216038789217   |2.2588886170686093  |572       
 [6, 3, 5, 18, 0]    |0.8988288401960968  |0.5645859480840582  |186       
 [11, 19, 2, 2, 10]  |0.7149442334512309  |0.2995269942300589  |348       
 [10, 6, 0, 0, 0]    |0.4965553817448955  |0.38382818653588185 |103       
 [11, 3, 8, 0, 0]    |1.341322791372546   |1.0188314005728862  |110       
 [16, 9, 12, 0, 0]   |0.541938447581085   |0.23513326291284337 |334       
 [4, 8, 0, 0, 0]     |0.45906719935776713 |0.3941362269322643  |61        
 [20, 1, 19, 0, 0]   |0.4423269801004991  |0.3124827859073795  |139       
 [8, 15, 1, 17, 0]   |0.6370046898334667  |0.3611440892594955  |227       
 [4, 2, 8, 1, 0]     |2.7498079035206997  |2.3845991906276285  |57        
 [8, 6, 18, 1, 0]    |4.0659397936645     |2.316702660820025   |225       
 [11, 0, 0, 0, 0]    |0.39666507165578113 |0.35445885572221525 |45        
 [17, 6, 20, 5, 0]   |0.9290030225345176  |0.33332300083683053 |410       
 [17, 2, 20, 10, 0]  |0.6723277166408688  |0.26793539693026    |368       
 [12, 16, 20, 2, 0]  |1.6587141738181277  |0.34422585153855245 |629       
 [19, 8, 11, 20, 10] |1.8014016413259024  |0.25822216795752634 |777       
 [15, 7, 16, 4, 0]   |0.72066809646051    |0.29447046031180035 |358       
Gen 1 Train time: 8.6953404823939 minutes:
 Average MSE:        0.49071918525730135
 Average Error:      1.187139056527942
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.6098217432469236  |0.5449350919745413  |45        
 [20, 1, 19, 0, 0]   |0.45679020451671687 |0.32270035992413176 |139       
 [4, 8, 0, 0, 0]     |1.3125010057293873  |1.1268594117956785  |61        
 [13, 11, 11, 11, 0] |0.740700735285681   |0.2293150168546004  |469       
 [10, 10, 1, 9, 0]   |0.5083665240919301  |0.3249601929305684  |179       
 [11, 18, 1, 1, 5]   |0.6861965783265196  |0.335681953258967   |286       
 [13, 11, 11, 11, 3] |5.703651998335452   |1.646425659415835   |497       
 [11, 5, 10, 5, 0]   |0.47464009726446094 |0.2779821288391327  |214       
 [11, 12, 0, 0, 0]   |0.5483671004546251  |0.34102130522978386 |190       
 [7, 5, 0, 0, 0]     |0.39371358895525066 |0.3329937474472223  |67        
 [3, 5, 16, 0, 0]    |2.302274536739003   |1.6142937641367077  |142       
 [12, 9, 5, 10, 0]   |0.45558175265415984 |0.2296543102855368  |274       
 [13, 9, 11, 14, 0]  |0.7974835463739722  |0.2537783385005228  |458       
 [17, 5, 6, 11, 0]   |0.47632532040409337 |0.24496150286020485 |266       
 [6, 18, 7, 20, 15]  |7.706775169196028   |1.129866895377445   |768       
 [20, 3, 19, 3, 17]  |0.5751446762680178  |0.24277173022371232 |345       
 [12, 10, 3, 9, 0]   |0.640844921784569   |0.34733422331081865 |245       
 [16, 1, 10, 0, 0]   |0.33555027083630806 |0.2639531918282677  |96        
 [16, 5, 18, 7, 0]   |0.7289271556646351  |0.28050002199421104 |382       
 [14, 11, 10, 7, 11] |1.2725234227528306  |0.3609563926791099  |504       
 [18, 4, 18, 2, 0]   |0.7028234771245034  |0.3659899085976863  |261       
 [14, 14, 7, 1, 5]   |0.8086841740611229  |0.3119704432990427  |381       
 [7, 7, 0, 0, 0]     |0.7158987926614688  |0.5788473542485031  |85        
 [10, 7, 1, 5, 0]    |0.38893551311019814 |0.2803148831027233  |131       
 [11, 3, 0, 0, 0]    |0.33595410736069165 |0.279911803317578   |73        
Gen 2 Train time: 8.649368552366893 minutes:
 Average MSE:        0.4893879134981327
 Average Error:      0.7699492557028245
 Structure           |Error               |MSE                 |weights&biases
 [16, 1, 10, 0, 0]   |0.3879772040463714  |0.3051936781615789  |96        
 [11, 3, 0, 0, 0]    |0.36386498877609363 |0.30316672111139553 |73        
 [10, 7, 1, 5, 0]    |0.41032084260819285 |0.29572778816352996 |131       
 [9, 4, 0, 0, 0]     |0.31758599209506216 |0.26527011875850115 |72        
 [12, 8, 6, 6, 0]    |0.5519250089433094  |0.30063959354084707 |243       
 [12, 7, 6, 6, 0]    |0.614141897740028   |0.350803418478416   |224       
 [20, 2, 19, 4, 9]   |1.8062803275120092  |0.866121277480968   |294       
 [14, 4, 3, 6, 0]    |0.4145975685828545  |0.28637677401895273 |148       
 [12, 8, 7, 7, 0]    |0.4856491625765307  |0.2491328966349255  |267       
 [7, 8, 6, 5, 0]     |0.45394613833339476 |0.28944883712136427 |180       
 [14, 7, 5, 0, 0]    |0.4192428392544343  |0.25877276481306405 |193       
 [11, 5, 1, 3, 0]    |0.4541603145734432  |0.34583101213352974 |109       
 [14, 3, 16, 3, 0]   |1.5538468655894146  |0.9284244261353598  |206       
 [16, 3, 15, 3, 0]   |0.43609467561061466 |0.2573300148652563  |211       
 [12, 9, 5, 10, 0]   |0.6868561459369128  |0.34623747229021823 |274       
 [1, 7, 1, 5, 0]     |3.409434759914908   |3.0772813173073077  |41        
 [15, 8, 9, 1, 3]    |1.9429295063149206  |0.9794117808859907  |274       
 [16, 1, 10, 7, 0]   |0.4379330032811628  |0.2863073654563945  |170       
 [17, 7, 15, 5, 9]   |0.8563685000044298  |0.2843485499363599  |441       
 [15, 4, 10, 3, 0]   |0.563795461820851   |0.3453959808328456  |196       
 [14, 8, 4, 10, 6]   |0.6251992213753913  |0.2802186953554939  |321       
 [16, 2, 10, 0, 0]   |0.36531817505567665 |0.2686121953222674  |123       
 [19, 2, 0, 0, 0]    |0.35804086717930333 |0.2788425077308063  |100       
 [11, 5, 4, 1, 0]    |0.4191333882181724  |0.3074121078405919  |124       
 [8, 10, 12, 0, 0]   |0.9140885372271249  |0.47839054307735207 |259       
Gen 3 Train time: 8.681636861960094 minutes:
 Average MSE:        0.5679175035153635
 Average Error:      1.054050910755419
 Structure           |Error               |MSE                 |weights&biases
 [9, 4, 0, 0, 0]     |0.4190897379023907  |0.35005317397802443 |72        
 [19, 2, 0, 0, 0]    |0.35658066703193086 |0.27770530271259164 |100       
 [11, 3, 0, 0, 0]    |0.33794243881765423 |0.28156845055455887 |73        
 [13, 4, 6, 6, 0]    |0.44057637921967496 |0.28516952341806884 |174       
 [13, 12, 4, 7, 8]   |0.7680709954813928  |0.30685710122730764 |367       
 [11, 4, 2, 1, 0]    |1.2728478828059417  |1.001257607514729   |96        
 [14, 5, 9, 12, 0]   |0.5779380234999795  |0.2702822104834044  |304       
 [18, 2, 5, 4, 0]    |0.3628014035538248  |0.2582312721062337  |136       
 [16, 2, 10, 0, 0]   |0.3977019466539547  |0.29242342776506225 |123       
 [12, 6, 3, 0, 0]    |0.4231902086138624  |0.2989635751505352  |139       
 [14, 5, 9, 7, 0]    |0.4546504431567633  |0.2439659989193641  |249       
 [15, 3, 10, 0, 0]   |0.32542404147142245 |0.2270406496689689  |144       
 [18, 2, 5, 0, 0]    |0.42407705010488383 |0.3197102640060866  |113       
 [14, 6, 11, 5, 0]   |0.535545903450092   |0.26928939170768296 |275       
 [11, 7, 3, 5, 0]    |0.6110049109610082  |0.40246373632738275 |167       
 [16, 3, 13, 2, 0]   |1.3033093555681345  |0.8268819722481178  |182       
 [16, 4, 12, 3, 5]   |2.9651134073333254  |1.6232255994744578  |241       
