/tmp/tmp.Kb9CgURbC0 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k7.mat
  Evaluating with: datasets/N4dataset100k7.mat
Gen 0 Train time: 8.156118750572205 minutes:
 Average MSE:        1.0699265320932323
 Average Error:      2.165131598074968
 Structure           |Error               |MSE                 |weights&biases
 [3, 12, 10, 1, 12]  |3.2855107320453114  |1.8258070598149712  |235       
 [7, 0, 0, 0, 0]     |0.7127894842152032  |0.6629410838482077  |29        
 [14, 1, 0, 0, 0]    |0.3543967222710301  |0.3057956199118843  |59        
 [19, 0, 0, 0, 0]    |0.3551234266110558  |0.29293929687245424 |77        
 [18, 0, 0, 0, 0]    |0.3540856910721593  |0.2950187604360739  |73        
 [14, 15, 7, 8, 2]   |7.287459060230985   |2.2845177091301516  |464       
 [13, 6, 6, 6, 13]   |0.6061099254274124  |0.2778444333276866  |312       
 [2, 0, 0, 0, 0]     |3.2019524926258764  |3.1307130110992376  |9         
 [11, 5, 13, 13, 8]  |3.47702177060077    |1.0630861223950316  |474       
 [6, 7, 6, 0, 0]     |0.5724884289051851  |0.4219946025147515  |122       
 [18, 4, 0, 0, 0]    |0.3744976657853775  |0.2672235489441319  |135       
 [16, 17, 0, 0, 0]   |0.5570767075677306  |0.2293393870659699  |355       
 [12, 5, 9, 9, 5]    |0.6638150156098652  |0.3127810796263717  |301       
 [2, 15, 20, 14, 0]  |10.913322779097989  |1.9936842644106043  |680       
 [6, 0, 0, 0, 0]     |1.40431180019215    |1.3192288493636135  |25        
 [12, 0, 0, 0, 0]    |0.49452072272260533 |0.4375054035096081  |49        
 [6, 5, 0, 0, 0]     |0.5663923028898492  |0.4887186435179943  |59        
 [9, 17, 10, 1, 0]   |7.98264105900288    |3.010991168695188   |390       
 [3, 0, 0, 0, 0]     |2.5845700722946985  |2.5019218531433896  |13        
 [2, 6, 4, 4, 0]     |3.070115297888963   |2.532520665458569   |77        
 [19, 3, 1, 10, 0]   |0.5270565602871874  |0.36043364205261297 |152       
 [5, 10, 7, 8, 0]    |0.5928874377509957  |0.33781707902924163 |225       
 [3, 3, 3, 16, 9]    |2.556384259068473   |1.3345496062250353  |260       
 [9, 9, 16, 0, 0]    |0.7069391238260986  |0.33898116903754294 |294       
 [5, 12, 0, 0, 0]    |0.9268214138843571  |0.721809242900484   |100       
Gen 1 Train time: 8.067397503058116 minutes:
 Average MSE:        0.5410440838654786
 Average Error:      0.7769004085707836
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.30881180125830393 |0.25729725067226633 |73        
 [14, 1, 0, 0, 0]    |1.1949713084838485  |1.031095856962458   |59        
 [19, 0, 0, 0, 0]    |0.6951973105668801  |0.5734643115170452  |77        
 [14, 9, 9, 0, 0]    |0.604235607084905   |0.3023133915952846  |277       
 [18, 4, 3, 0, 0]    |0.3184339847554744  |0.21940408888055699 |149       
 [9, 5, 4, 4, 0]     |1.341182500932413   |0.9787800675448238  |126       
 [15, 0, 0, 0, 0]    |0.3369373605430286  |0.2892805676004096  |61        
 [17, 11, 2, 0, 0]   |0.5080871969955884  |0.25484437901183776 |276       
 [19, 2, 1, 5, 0]    |0.35012598055252797 |0.2619865153101779  |116       
 [12, 5, 4, 4, 0]    |0.4010147459718525  |0.27561313554353944 |150       
 [18, 4, 0, 0, 0]    |0.4214195894910401  |0.3007047802613353  |135       
 [18, 10, 1, 5, 0]   |0.5390573707051944  |0.273779217054272   |271       
 [15, 3, 5, 5, 3]    |2.476787995560979   |1.6396168027068954  |165       
 [16, 1, 0, 0, 0]    |0.6150946155249625  |0.5202326432312849  |67        
 [9, 4, 3, 0, 0]     |0.3273966686724706  |0.26405898066035355 |86        
 [9, 9, 19, 2, 13]   |0.8003606011827563  |0.29443621069875203 |400       
 [13, 3, 0, 0, 0]    |0.3176481379597911  |0.25683767890768905 |85        
 [18, 2, 0, 0, 0]    |0.3950345496397831  |0.3115230176760427  |95        
 [15, 8, 0, 0, 0]    |0.4132748348017688  |0.2622013791441219  |182       
 [8, 14, 1, 7, 3]    |2.727502056243151   |1.6256149786981748  |207       
 [12, 7, 4, 9, 7]    |0.5950904314691764  |0.294039284646707   |282       
 [6, 5, 4, 4, 0]     |1.3456862676380152  |1.0427944898723687  |102       
 [13, 0, 0, 0, 0]    |0.4488060459400893  |0.3931105324835276  |53        
 [10, 4, 3, 0, 0]    |1.196754827270839   |0.9484877383830502  |93        
