/tmp/tmp.sGX5qhmCZk ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k1.mat
  Evaluating with: datasets/N5dataset100k1.mat
Gen 0 Train time: 8.255000738302867 minutes:
 Average MSE:        0.5619028383415814
 Average Error:      1.0779021244087081
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.3537968643404279  |0.29477811443843926 |73        
 [15, 5, 13, 15, 16] |1.396906818834873   |0.2513925486070411  |686       
 [3, 4, 16, 7, 8]    |3.6538541274303133  |1.7389518311472767  |297       
 [10, 3, 3, 0, 0]    |0.40190545050234533 |0.32987601218236406 |79        
 [5, 12, 9, 6, 0]    |2.339739700435264   |1.1883189769912013  |271       
 [15, 6, 20, 0, 0]   |0.4378159445797411  |0.20577814125075525 |302       
 [20, 14, 10, 0, 0]  |0.5995719859988121  |0.16545777792443656 |515       
 [16, 3, 14, 19, 0]  |0.6762202781253132  |0.21411620425420397 |460       
 [3, 13, 13, 2, 4]   |3.680314914236838   |1.7914015871479105  |288       
 [11, 0, 0, 0, 0]    |0.5290940876426622  |0.47279707308828334 |45        
 [6, 0, 0, 0, 0]     |1.2631818594701718  |1.1866495394952958  |25        
 [14, 12, 0, 0, 0]   |0.5909741884947846  |0.32841312463176586 |235       
 [12, 0, 0, 0, 0]    |0.36159371526994244 |0.31990409508977075 |49        
 [8, 10, 0, 0, 0]    |0.37507936664040203 |0.2744139267295258  |125       
 [17, 0, 0, 0, 0]    |0.28707810720858096 |0.24159296065777616 |69        
 [18, 0, 0, 0, 0]    |0.3440412433455142  |0.28664988083349235 |73        
 [4, 11, 0, 0, 0]    |0.7110685254467856  |0.5836309243121616  |79        
 [18, 14, 11, 10, 12]|1.5921309788682245  |0.2441611934771201  |750       
 [17, 15, 8, 8, 0]   |0.8162102665130633  |0.21695110407793364 |530       
 [3, 1, 10, 5, 6]    |3.2529177880617124  |2.3444536144605896  |131       
 [16, 4, 16, 10, 0]  |0.6364737227560601  |0.2480035680053693  |377       
