/tmp/tmp.MdK5fuRXui ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k2.mat
  Evaluating with: datasets/N5dataset100k2.mat
Gen 0 Train time: 8.622307546933492 minutes:
 Average MSE:        0.6632392796454859
 Average Error:      1.4265157348933386
 Structure           |Error               |MSE                 |weights&biases
 [10, 11, 17, 1, 0]  |7.339116727458967   |2.874039405310747   |375       
 [12, 12, 19, 9, 0]  |1.3050143588758114  |0.2708240431321712  |629       
 [3, 16, 12, 6, 0]   |4.716510767862489   |1.9080261571397776  |362       
 [16, 8, 0, 0, 0]    |0.4768347202741386  |0.2943206833148021  |193       
 [7, 10, 3, 5, 0]    |0.43183848990055806 |0.289469996430103   |160       
 [13, 11, 5, 18, 8]  |1.0376497069437214  |0.2813821015212527  |522       
 [7, 19, 19, 0, 0]   |1.452878336533983   |0.34681861761129984 |573       
 [8, 19, 9, 15, 0]   |1.057554088957658   |0.2734760522126941  |541       
 [6, 15, 7, 0, 0]    |1.8110913409330769  |0.9865212769501344  |243       
 [13, 13, 0, 0, 0]   |0.37819546121389724 |0.21016882895538497 |235       
 [13, 12, 2, 11, 0]  |0.6225388194142705  |0.3106932176484953  |278       
 [20, 8, 18, 19, 0]  |1.303858591812507   |0.18972644940109892 |771       
 [8, 14, 12, 7, 9]   |1.0174925330290476  |0.2893382962385751  |503       
 [18, 12, 0, 0, 0]   |0.5298373903435915  |0.2534255645122192  |295       
 [11, 0, 0, 0, 0]    |0.42158053676601825 |0.3767232492466979  |45        
 [13, 0, 0, 0, 0]    |0.3061265423272245  |0.26813713663220273 |53        
 [2, 11, 9, 0, 0]    |1.7233407964841494  |1.163886377241853   |157       
 [7, 0, 0, 0, 0]     |1.2860135183717696  |1.1960771231796516  |29        
 [5, 0, 0, 0, 0]     |1.4169379367907964  |1.3444676839918388  |21        
 [12, 10, 17, 5, 0]  |0.7506333360982315  |0.24430496423911818 |449       
 [20, 4, 14, 20, 0]  |0.7927942472055007  |0.20810936331429888 |535       
 [8, 10, 17, 15, 0]  |1.0846417352259907  |0.25001102415219967 |587       
 [17, 8, 5, 0, 0]    |0.4820896038649834  |0.2606373550528784  |246       
 [2, 3, 3, 0, 0]     |2.463461250826209   |2.2797536150685156  |31        
 [20, 14, 12, 17, 0] |1.454862534818873   |0.2106434086391343  |773       
Gen 1 Train time: 8.321357258160909 minutes:
 Average MSE:        0.5006218337054311
 Average Error:      0.9425912509538922
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.3437495462123035  |0.3010912361250325  |53        
 [13, 13, 0, 0, 0]   |0.4954555533769161  |0.27533200191891233 |235       
 [11, 0, 0, 0, 0]    |0.8030775861724626  |0.7176280005260229  |45        
 [17, 4, 0, 0, 0]    |0.48923459000360486 |0.3552572264342596  |128       
 [7, 7, 4, 18, 10]   |4.548741282977229   |1.6733884012151325  |400       
 [14, 4, 3, 0, 0]    |0.41928753121740503 |0.3098402730895507  |121       
 [15, 4, 0, 0, 0]    |0.327542911460625   |0.24631693831966145 |114       
 [9, 0, 0, 0, 0]     |0.7650043106003425  |0.6974155761432143  |37        
 [12, 14, 12, 0, 0]  |0.6265673438862355  |0.22424882490099982 |411       
 [13, 6, 3, 9, 4]    |0.4338237794325771  |0.2471853384805387  |225       
 [16, 12, 1, 6, 0]   |0.5127797764135458  |0.2521052016490508  |284       
 [8, 12, 5, 0, 0]    |0.5378690390524745  |0.32379646005991825 |203       
 [12, 7, 0, 0, 0]    |0.2793079583586913  |0.19930074523808577 |135       
 [12, 0, 0, 0, 0]    |0.45880521072854585 |0.40590767915038384 |49        
 [13, 11, 2, 3, 0]   |0.43109174858141425 |0.2425774258292658  |230       
 [9, 11, 14, 3, 0]   |4.008866651762277   |1.65451608596802    |354       
 [12, 9, 2, 3, 0]    |0.3835153146167327  |0.2408994324886196  |186       
 [14, 5, 3, 9, 0]    |0.36105197542726447 |0.22964208030042435 |181       
 [10, 10, 10, 5, 0]  |2.495202792752474   |1.146679076927798   |311       
 [10, 7, 6, 4, 5]    |0.6467691356482959  |0.37879282056269925 |214       
 [13, 11, 8, 8, 0]   |0.590108658857185   |0.23399662390508044 |370       
 [19, 3, 3, 8, 8]    |0.43116432489971923 |0.23544781150711155 |242       
 [8, 12, 8, 6, 5]    |1.7751728096747337  |0.776000414811367   |331       
 [9, 1, 0, 0, 0]     |1.0268842955317365  |0.931489148983718   |39        
 [15, 4, 18, 0, 0]   |0.3737071462025149  |0.2166910181009109  |218       
Gen 2 Train time: 8.63078750371933 minutes:
 Average MSE:        0.9299949368423335
 Average Error:      2.079383075211537
 Structure           |Error               |MSE                 |weights&biases
 [12, 7, 0, 0, 0]    |0.300702738861006   |0.21456703311392458 |135       
 [15, 4, 0, 0, 0]    |0.31908442893143163 |0.2399560388877966  |114       
 [13, 0, 0, 0, 0]    |0.3419227929806396  |0.2994911776095301  |53        
 [10, 10, 3, 0, 0]   |0.3819794368679853  |0.2453944159110361  |177       
 [17, 4, 2, 4, 4]    |0.3957551360210235  |0.258732750240498   |170       
 [12, 2, 2, 0, 0]    |0.29903656660441846 |0.25040155824980853 |71        
 [11, 20, 14, 8, 8]  |1.6703524528907923  |0.24488529880529786 |768       
 [15, 5, 2, 5, 0]    |1.3166609007940768  |0.887008167324403   |158       
 [16, 5, 2, 4, 4]    |0.38040838049367254 |0.24134932399468695 |182       
 [14, 7, 1, 2, 0]    |0.38427121992742114 |0.25629999277188675 |162       
 [13, 7, 3, 6, 0]    |0.45850338217500036 |0.28371427797683396 |192       
 [11, 6, 3, 0, 0]    |0.33603632598961475 |0.24279543734488102 |130       
 [15, 8, 1, 2, 0]    |1.5198216210333597  |0.9475201965698586  |189       
 [15, 5, 8, 5, 0]    |0.4356966641882069  |0.24887388367299712 |224       
 [13, 6, 1, 2, 2]    |4.1382095056811465  |2.8943576612539643  |143       
 [15, 5, 2, 5, 2]    |5.396558402325371   |3.554667104872751   |167       
