/tmp/tmp.mUUeLSt7G6 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k3.mat
  Evaluating with: datasets/N5dataset100k3.mat
Gen 0 Train time: 8.564192219575245 minutes:
 Average MSE:        0.6815121114722023
 Average Error:      1.214937176383391
 Structure           |Error               |MSE                 |weights&biases
 [5, 11, 18, 6, 0]   |1.1888451943357485  |0.418107129354811   |418       
 [12, 19, 0, 0, 0]   |0.45068059829829654 |0.21129576479147186 |303       
 [12, 14, 4, 6, 12]  |0.8131756967492809  |0.2954345121991952  |405       
 [20, 11, 18, 13, 0] |1.5023794520188285  |0.22025928742754058 |768       
 [1, 14, 2, 14, 0]   |4.009748026983222   |2.9853840638681164  |118       
 [18, 6, 0, 0, 0]    |0.4873093762314427  |0.3146305806783262  |175       
 [18, 20, 6, 0, 0]   |1.0324047127590985  |0.2501713373935682  |567       
 [2, 16, 0, 0, 0]    |2.2210946210911957  |1.8598580115361911  |71        
 [11, 18, 0, 0, 0]   |0.7835557633402587  |0.4009522052752924  |268       
 [18, 20, 0, 0, 0]   |0.5223562785087671  |0.1674776452135385  |455       
 [13, 1, 0, 0, 0]    |0.3105204168175483  |0.27062920963192844 |55        
 [4, 5, 11, 14, 0]   |2.0626067138283393  |1.0090109341429772  |286       
 [2, 14, 9, 0, 0]    |1.8711038972066714  |1.154917111032203   |193       
 [4, 15, 0, 0, 0]    |0.6037468274377064  |0.4666852045544042  |103       
 [18, 15, 12, 0, 0]  |0.8087183341862165  |0.20756627598881977 |544       
 [14, 3, 1, 10, 5]   |2.455920529931589   |1.597598640638206   |172       
 [14, 13, 0, 0, 0]   |0.4958367682206159  |0.26473961981928895 |251       
 [5, 10, 1, 0, 0]    |0.5981275674701372  |0.4800086164743558  |88        
 [4, 12, 0, 0, 0]    |1.242364574385454   |1.0045266932516692  |85        
 [19, 4, 12, 17, 0]  |0.7503573917090697  |0.2522825312673532  |436       
 [13, 7, 11, 6, 0]   |0.5592458001160809  |0.2615404851605855  |304       
 [19, 11, 18, 7, 0]  |1.0982290109676462  |0.2250796121346621  |634       
 [2, 10, 0, 0, 0]    |2.5245757187281495  |2.2447025464926034  |47        
 [20, 5, 15, 11, 12] |1.0496618450032495  |0.24134400899436387 |588       
 [18, 4, 16, 19, 0]  |0.9308642932601587  |0.23360075948358552 |553       
Gen 1 Train time: 8.672140542666117 minutes:
 Average MSE:        0.48442637928536136
 Average Error:      1.1766142760156308
 Structure           |Error               |MSE                 |weights&biases
 [13, 1, 0, 0, 0]    |0.2934609821337471  |0.2557613263134628  |55        
 [12, 19, 0, 0, 0]   |0.53256395825124    |0.24968571818702712 |303       
 [18, 6, 0, 0, 0]    |0.3635175833191651  |0.23470459200064742 |175       
 [11, 9, 0, 0, 0]    |0.3826272621250612  |0.2623189971085108  |151       
 [16, 3, 0, 0, 0]    |0.28128228242432746 |0.21742603612152514 |103       
 [6, 17, 1, 18, 6]   |4.897116765623514   |2.2448677634254124  |312       
 [11, 9, 14, 0, 0]   |0.5236962977385151  |0.2498627911578924  |296       
 [6, 10, 19, 10, 12] |1.6474678819532054  |0.33095908953448216 |642       
 [16, 15, 9, 7, 0]   |0.9205950905467514  |0.24777480727867057 |525       
 [13, 4, 6, 3, 0]    |0.3286952670350892  |0.2259087330225525  |150       
 [16, 12, 20, 9, 0]  |1.5236315906082791  |0.2575855681960496  |711       
 [13, 4, 6, 3, 19]   |0.42367307387899483 |0.23135703090115536 |242       
 [15, 11, 6, 9, 0]   |0.575753263179608   |0.23059875442947586 |366       
 [17, 9, 6, 9, 0]    |0.6090341963754647  |0.25643479398702224 |346       
 [13, 8, 15, 12, 4]  |5.8930968241764665  |1.5469444087817439  |535       
 [9, 15, 9, 3, 0]    |0.8249823661940962  |0.33963177356537394 |355       
 [16, 11, 8, 0, 0]   |0.42808424504381637 |0.18296959846372482 |340       
 [13, 13, 0, 0, 0]   |0.4139666056396541  |0.23004738463721347 |235       
 [9, 13, 0, 0, 0]    |0.3155021405000374  |0.2057507462299153  |171       
 [1, 1, 0, 0, 0]     |2.5127377797233845  |2.469147396885276   |7         
 [16, 11, 3, 19, 0]  |0.4807808258477158  |0.19207991372312558 |367       
 [16, 9, 15, 7, 0]   |0.7110101550926248  |0.21902518266243848 |471       
 [18, 14, 10, 13, 9] |1.6805940257295566  |0.2583725657681182  |749       
 [4, 8, 6, 19, 15]   |2.331129102507062   |0.5820800740424551  |555       
 [9, 8, 0, 0, 0]     |0.5203573347433899  |0.38936443571076257 |116       
Gen 2 Train time: 8.561569392681122 minutes:
 Average MSE:        0.3732144067074348
 Average Error:      0.7297778443743469
 Structure           |Error               |MSE                 |weights&biases
 [16, 3, 0, 0, 0]    |1.2159418757114084  |0.9399007285900718  |103       
 [13, 1, 0, 0, 0]    |0.309342548439547   |0.26960265688072493 |55        
 [9, 13, 0, 0, 0]    |0.6370217524008586  |0.4154257106257238  |171       
 [12, 11, 0, 0, 0]   |0.694592305902701   |0.4308780326781424  |191       
 [16, 9, 8, 8, 5]    |0.6462795503383677  |0.23538727834218323 |404       
