/tmp/tmp.L4Kbr5hBSE ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k7.mat
  Evaluating with: datasets/N5dataset100k7.mat
Gen 0 Train time: 8.309795264403025 minutes:
 Average MSE:        1.1151923160362183
 Average Error:      1.875192102676533
 Structure           |Error               |MSE                 |weights&biases
 [17, 14, 0, 0, 0]   |0.566565742447901   |0.25585045763945846 |318       
 [6, 10, 0, 0, 0]    |0.6173207351702209  |0.48197330029531305 |99        
 [6, 11, 14, 18, 0]  |1.6104735677651416  |0.405160609919338   |552       
 [1, 13, 9, 9, 10]   |6.089813476895111   |2.5008169374757405  |356       
 [5, 4, 4, 11, 0]    |0.6641812847106998  |0.4847121120795975  |126       
 [14, 16, 7, 9, 12]  |1.0644774261872185  |0.23398085086162973 |606       
 [2, 0, 0, 0, 0]     |3.075468329879766   |3.007042964488865   |9         
 [3, 0, 0, 0, 0]     |2.581437829443991   |2.4988897717455814  |13        
 [5, 0, 0, 0, 0]     |1.9712829853608673  |1.8704603786834386  |21        
 [6, 11, 0, 0, 0]    |0.5639174921363285  |0.43156060400100554 |107       
 [2, 15, 0, 0, 0]    |1.4910093050441993  |1.2610608063664732  |67        
 [12, 19, 17, 20, 0] |3.0873659107358846  |0.25090479145785727 |1004      
 [14, 0, 0, 0, 0]    |0.35350818037734943 |0.306557894363739   |57        
 [3, 15, 0, 0, 0]    |2.13538063083305    |1.7265840383330733  |85        
 [19, 1, 0, 0, 0]    |1.0889582374616453  |0.8937952952814886  |79        
 [17, 1, 3, 16, 2]   |5.524225043817221   |3.5578021264779034  |176       
 [14, 5, 16, 19, 0]  |0.8778024642483625  |0.2186389161890899  |556       
 [2, 13, 13, 0, 0]   |2.8296137372545376  |1.5490474811440562  |241       
 [17, 3, 14, 6, 0]   |0.43579276271214173 |0.22864413871620748 |258       
 [13, 11, 18, 14, 0] |1.3379267474285859  |0.23838249163793898 |690       
 [20, 0, 0, 0, 0]    |0.2946398762732433  |0.24062840418673764 |81        
 [17, 3, 11, 16, 0]  |0.5663739009922752  |0.23142467961730326 |358       
 [1, 3, 0, 0, 0]     |2.512159564694865   |2.4318268561830707  |13        
 [20, 18, 7, 0, 0]   |0.8351111280792467  |0.196382601222406   |579       
 [2, 2, 17, 11, 0]   |4.704996206963468   |2.377679392538147   |273       
Gen 1 Train time: 8.581393845876057 minutes:
 Average MSE:        0.5464245983474847
 Average Error:      2.0132962422371734
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.33058768316055254 |0.2699864921506504  |81        
