/tmp/tmp.ouCMp6yOdU ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k3.mat
  Evaluating with: datasets/N6dataset100k3.mat
Gen 0 Train time: 8.096729250748952 minutes:
 Average MSE:        0.8717274931952598
 Average Error:      1.5897423793752938
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.3960587214873285  |0.3400397378619445  |61        
 [18, 3, 9, 8, 0]    |0.4185475799469799  |0.23201234352420835 |236       
 [7, 2, 6, 0, 0]     |0.2826511805758981  |0.2420667609788607  |62        
 [13, 0, 0, 0, 0]    |1.041286043363605   |0.9120655006260208  |53        
 [6, 6, 2, 13, 0]    |0.37323021977270826 |0.27169916425260526 |127       
 [4, 16, 16, 1, 10]  |4.260985025612556   |1.5212013130245894  |412       
 [11, 6, 20, 8, 14]  |1.0896680579130775  |0.2727698487684395  |554       
 [8, 11, 17, 0, 0]   |0.7741908021864367  |0.32679019440753626 |345       
 [13, 8, 3, 15, 8]   |0.704202110727549   |0.2757695088785864  |375       
 [15, 5, 0, 0, 0]    |0.3318758125695424  |0.23919062792986515 |131       
 [17, 0, 0, 0, 0]    |0.29528401744155885 |0.24849871243158406 |69        
 [15, 4, 0, 0, 0]    |0.3097783434442423  |0.23295772994951552 |114       
 [2, 0, 0, 0, 0]     |3.687337136683378   |3.6052984473411067  |9         
 [1, 0, 0, 0, 0]     |3.652121442039904   |3.6067540608663107  |5         
 [2, 6, 13, 0, 0]    |1.0092576101232194  |0.7310415514618229  |129       
 [18, 4, 0, 0, 0]    |0.2657893999058077  |0.18965455115884539 |135       
 [10, 6, 6, 19, 0]   |0.42474343318613467 |0.20520003831388176 |291       
 [9, 15, 1, 0, 0]    |0.45513523781395787 |0.27952580132088184 |195       
 [4, 11, 8, 16, 16]  |10.734402684969815  |2.4192408387413287  |596       
 [9, 3, 12, 10, 3]   |5.444158590219875   |2.7581032509384813  |272       
 [18, 18, 0, 0, 0]   |0.4698179725676536  |0.16647502984582307 |415       
 [15, 13, 0, 0, 0]   |0.46363375871270146 |0.23783922672291533 |267       
 [1, 1, 0, 0, 0]     |1.954640457225169   |1.9207318152137134  |7         
 [15, 0, 0, 0, 0]    |0.3371635203885662  |0.2894747391472517  |61        
 [14, 16, 0, 0, 0]   |0.5676003255046952  |0.26878653617537124 |299       
Gen 1 Train time: 8.240753583113353 minutes:
 Average MSE:        0.2633287001150768
 Average Error:      0.46237903065873226
 Structure           |Error               |MSE                 |weights&biases
 [18, 4, 0, 0, 0]    |0.29451521317669765 |0.21015191194333918 |135       
 [7, 2, 6, 0, 0]     |0.4857795913579324  |0.416029014950721   |62        
 [17, 0, 0, 0, 0]    |0.27142638867755714 |0.22842112719384425 |69        
 [13, 7, 1, 20, 0]   |0.5510191514604517  |0.3292342706436565  |206       
 [14, 17, 20, 0, 0]  |1.1760949447302274  |0.2159301251158662  |678       
 [17, 6, 8, 14, 12]  |0.9566373094429732  |0.25174692892617717 |534       
 [13, 6, 9, 7, 0]    |0.398039121584325   |0.20572705117076207 |264       
 [10, 2, 4, 2, 0]    |0.32407131484567975 |0.26732458630897227 |77        
 [18, 9, 0, 0, 0]    |0.4342763024153627  |0.24133378446361303 |235       
 [11, 9, 3, 0, 0]    |0.5637654115697932  |0.36399430723105103 |175       
 [11, 3, 3, 0, 0]    |0.2399625914609772  |0.19402422885700318 |85        
 [4, 6, 8, 7, 19]    |1.3357766576679855  |0.5810101158009836  |333       
 [12, 12, 1, 7, 0]   |0.5059580839426204  |0.2868483927123156  |227       
 [11, 3, 18, 0, 0]   |0.38534761703749393 |0.25830623239229683 |160       
 [9, 6, 7, 0, 0]     |0.3048407409125851  |0.21268016815666346 |144       
 [15, 5, 8, 0, 0]    |0.32383197539018016 |0.20545453874296044 |182       
 [18, 4, 9, 0, 0]    |0.3373054471474466  |0.212403738662763   |185       
 [9, 11, 4, 10, 0]   |0.5620220390739994  |0.3038520983885347  |246       
 [13, 3, 8, 4, 0]    |0.31514303655657    |0.21443927972036367 |154       
 [11, 4, 3, 0, 0]    |0.2698369318486572  |0.21014921382531954 |100       
 [17, 2, 0, 0, 0]    |0.2902528183232273  |0.23177158297171588 |90        
 [13, 5, 3, 10, 0]   |0.3760857381931679  |0.241004870903717   |178       
 [15, 0, 0, 0, 0]    |0.270268221999204   |0.23204118575119792 |61        
 [15, 2, 0, 0, 0]    |0.2515394121049784  |0.20594305230150178 |80        
 [15, 3, 0, 0, 0]    |0.33567970554821086 |0.2633956957415812  |97        
Gen 2 Train time: 8.539681605497996 minutes:
 Average MSE:        0.5430379593665908
 Average Error:      1.282867104199271
 Structure           |Error               |MSE                 |weights&biases
 [11, 3, 3, 0, 0]    |0.752102074741458   |0.6081198914589739  |85        
 [15, 2, 0, 0, 0]    |0.27066346094122895 |0.22160049920710528 |80        
 [11, 4, 3, 0, 0]    |0.3095534122347333  |0.24108043985083571 |100       
 [10, 4, 6, 1, 0]    |1.2063930358716917  |0.909495658626779   |113       
 [14, 3, 4, 2, 0]    |0.4151762149071591  |0.310661235740196   |116       
 [14, 4, 2, 2, 5]    |0.3434808640715744  |0.24265274816963034 |139       
 [5, 4, 19, 9, 9]    |5.102892291643926   |1.812681961010504   |414       
 [17, 2, 0, 0, 0]    |0.2750691789496478  |0.21964720067211915 |90        
 [14, 3, 1, 1, 0]    |0.3392771928255738  |0.2675529394430347  |95        
 [13, 2, 9, 0, 0]    |0.3290808858363363  |0.25373833888174946 |104       
 [18, 3, 4, 0, 0]    |0.3003113553507791  |0.21590096078078397 |132       
 [7, 1, 17, 17, 7]   |12.556004583824839  |3.5704762992534946  |503       
 [12, 1, 3, 0, 0]    |0.282194964890264   |0.24349543548722816 |59        
 [14, 2, 2, 0, 0]    |0.34979343789904    |0.2856715724336677  |81        
 [14, 3, 4, 13, 0]   |0.36063910252522985 |0.22880674575980478 |182       
 [14, 18, 10, 13, 14]|2.142484332203359   |0.25207365778200763 |856       
 [12, 3, 4, 0, 0]    |0.27568982992197516 |0.2168653012293252  |96        
 [13, 16, 15, 11, 8] |1.6895567230526227  |0.22922899440062153 |799       
 [5, 2, 14, 4, 10]   |1.5784124502016612  |0.9815911157187507  |190       
 [14, 3, 7, 1, 0]    |1.271390762623581   |0.9301693524338017  |125       
 [12, 6, 2, 10, 0]   |0.5009793367355801  |0.3283449905850115  |169       
 [15, 4, 6, 0, 0]    |0.27992457027390055 |0.1943226991825992  |146       
 [13, 4, 4, 0, 0]    |0.43999277663420927 |0.32595466589896344 |120       
 [12, 4, 4, 6, 0]    |0.3610796704241409  |0.25128773261993476 |145       
 [11, 4, 11, 0, 0]   |0.33953509639725893 |0.23452854753785032 |148       
Increasing Epochs
Gen 3 Train time: 9.67707021633784 minutes:
 Average MSE:        0.5525234824378061
 Average Error:      1.729783386074581
 Structure           |Error               |MSE                 |weights&biases
 [15, 2, 0, 0, 0]    |0.2481240019876067  |0.2031467510040359  |80        
 [17, 2, 0, 0, 0]    |0.29075429616651005 |0.23217202116292562 |90        
 [12, 3, 4, 0, 0]    |0.32757330068154056 |0.2576782848576312  |96        
 [15, 18, 4, 0, 0]   |0.6281819889853255  |0.22314681450949497 |414       
 [15, 3, 3, 0, 0]    |0.28071260130421966 |0.21375518712781635 |109       
 [14, 3, 2, 1, 3]    |0.3023938581651042  |0.23084127053664738 |108       
 [6, 2, 0, 0, 0]     |0.27249133370263995 |0.2496617022996755  |35        
 [8, 4, 6, 5, 0]     |1.5240275251174284  |1.0984021338971501  |131       
 [14, 4, 3, 8, 3]    |3.493387069341433   |2.2274819399235812  |180       
 [14, 3, 3, 2, 0]    |0.3724006180524395  |0.282865128144382   |110       
 [15, 20, 10, 8, 2]  |16.500123942001203  |2.9843079950508007  |684       
 [13, 3, 2, 0, 0]    |0.2485746272457539  |0.19750089407649227 |92        
 [13, 3, 2, 13, 0]   |0.3039552950400542  |0.2131253808047123  |142       
 [17, 4, 5, 0, 0]    |0.25587663739681893 |0.17411142070655602 |154       
 [11, 13, 16, 20, 14]|12.75711173187364   |0.896810139473278   |1062      
 [13, 3, 3, 1, 3]    |1.399765933214315   |1.0712273338241514  |107       
 [14, 2, 2, 0, 0]    |0.30024593502404545 |0.2452067965891686  |81        
 [15, 2, 2, 0, 0]    |0.2965812453420503  |0.23920506474776243 |86        
 [14, 4, 5, 0, 0]    |0.3769495892787413  |0.27032135718828987 |133       
 [15, 3, 1, 1, 0]    |1.1368503381902395  |0.8831692482915621  |101       
 [17, 4, 5, 0, 0]    |0.3340701799475086  |0.22731826648226328 |154       
 [16, 3, 4, 7, 0]    |0.3058362654395082  |0.20603578730501498 |158       
 [13, 2, 4, 7, 0]    |0.3831249076869383  |0.2824103247676768  |122       
 [13, 3, 4, 1, 0]    |0.6482570350022339  |0.49983961484679035 |104       
 [15, 2, 4, 0, 0]    |0.25721439567723337 |0.20334620332729214 |94        
Increasing Epochs
Gen 4 Train time: 10.902182340621948 minutes:
 Average MSE:        0.5629890797973797
 Average Error:      0.8206949340378853
 Structure           |Error               |MSE                 |weights&biases
 [15, 2, 0, 0, 0]    |0.24986660150284354 |0.20457347081745908 |80        
 [13, 3, 2, 0, 0]    |0.26466525823485354 |0.21028544108281336 |92        
 [17, 4, 5, 0, 0]    |0.31316756059346174 |0.21309506584445978 |154       
 [19, 9, 13, 12, 14] |1.3781573116488013  |0.2210751313170249  |732       
 [9, 7, 14, 2, 14]   |2.117363533840162   |1.010223606211934   |296       
 [16, 3, 4, 19, 0]   |0.404967191673203   |0.22787701046159095 |230       
 [16, 19, 5, 0, 0]   |0.7083252604644305  |0.21494955993154824 |477       
 [14, 3, 3, 0, 0]    |0.2565703074112873  |0.1983241334865272  |103       
 [2, 2, 2, 0, 0]     |2.433597420005276   |2.309129427682256   |21        
 [13, 3, 2, 7, 0]    |0.24134101904794691 |0.1796860120324082  |118       
