/tmp/tmp.edOIVrrxb0 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k2.mat
  Evaluating with: datasets/N8dataset100k2.mat
Gen 0 Train time: 8.129921547571819 minutes:
 Average MSE:        0.7455709477690802
 Average Error:      1.427951657124016
 Structure           |Error               |MSE                 |weights&biases
 [17, 1, 0, 0, 0]    |0.21497013164833187 |0.18000760426438572 |71        
 [17, 15, 13, 16, 20]|3.1852023720233253  |0.19661964080424899 |1114      
 [13, 0, 0, 0, 0]    |0.43356713814254366 |0.3797627284310835  |53        
 [19, 11, 0, 0, 0]   |0.3848717585441862  |0.18686943867603473 |289       
 [10, 4, 19, 8, 13]  |0.70956339847915    |0.22467386216405982 |460       
 [8, 19, 8, 14, 0]   |0.7010744265531428  |0.20287987464514962 |496       
 [15, 7, 19, 3, 8]   |0.4985050798718866  |0.1788618606449445  |410       
 [6, 3, 0, 0, 0]     |1.0721283028897861  |0.9628532578803398  |43        
 [15, 0, 0, 0, 0]    |0.2650422851699593  |0.2275544112071956  |61        
 [8, 17, 0, 0, 0]    |0.7325201877610171  |0.4498845078466955  |195       
 [10, 18, 1, 0, 0]   |1.728956508616661   |0.9277602343991582  |249       
 [16, 15, 5, 0, 0]   |0.48862977018331305 |0.18476875800999257 |389       
 [14, 4, 16, 1, 0]   |3.693563507638199   |2.2346658571814664  |201       
 [1, 16, 0, 0, 0]    |2.7464159203396576  |2.411615271057742   |52        
 [18, 0, 0, 0, 0]    |0.4345895974730836  |0.36209337902556765 |73        
 [15, 12, 0, 0, 0]   |0.32596103961802464 |0.17447437170747904 |250       
 [15, 0, 0, 0, 0]    |0.2567790314975876  |0.22045992127376302 |61        
 [2, 0, 0, 0, 0]     |3.615258273073903   |3.534823249271453   |9         
 [13, 1, 0, 0, 0]    |0.35347911601875737 |0.30806919161697766 |55        
 [10, 0, 0, 0, 0]    |0.7497701596054395  |0.6767261633966333  |41        
 [1, 5, 5, 17, 17]   |9.693649945320104   |3.0010764060283064  |469       
 [16, 7, 19, 4, 18]  |0.695891002433048   |0.1954281987942553  |508       
 [10, 0, 0, 0, 0]    |0.5847161805238347  |0.5277520483478003  |41        
 [16, 18, 16, 11, 0] |1.580761325598632   |0.18551984577083477 |857       
 [9, 0, 0, 0, 0]     |0.5529249690768289  |0.5040736117814404  |37        
Gen 1 Train time: 8.194460972150166 minutes:
 Average MSE:        0.4617838941851445
 Average Error:      1.491034721672846
 Structure           |Error               |MSE                 |weights&biases
 [17, 1, 0, 0, 0]    |0.21160744265044484 |0.17719181964465971 |71        
 [15, 0, 0, 0, 0]    |0.40523472756520257 |0.34791787949110126 |61        
 [15, 0, 0, 0, 0]    |0.30339137408804073 |0.260479362572939   |61        
 [15, 6, 18, 0, 0]   |0.4564032386115541  |0.22326886412707117 |286       
 [17, 10, 0, 0, 0]   |0.2761012111772034  |0.15077181058812067 |242       
 [14, 16, 17, 1, 18] |0.8893715152840206  |0.17777435021651877 |644       
 [17, 9, 10, 2, 4]   |1.5240651639673237  |0.6321561863028333  |352       
