/tmp/tmp.zONZYHVvB9 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k5.mat
  Evaluating with: datasets/N8dataset100k5.mat
Gen 0 Train time: 8.865328764915466 minutes:
 Average MSE:        1.0479054653057365
 Average Error:      2.11435083792825
 Structure           |Error               |MSE                 |weights&biases
 [9, 5, 7, 3, 0]     |1.2544281553619312  |0.8686454937043526  |147       
 [20, 12, 0, 0, 0]   |0.3787962332929128  |0.16808980959257525 |325       
 [6, 3, 7, 1, 19]    |0.9038367922382651  |0.6481672756881218  |133       
 [5, 0, 0, 0, 0]     |1.2185199057364506  |1.1561978778505388  |21        
 [14, 14, 6, 0, 0]   |0.3924478104226056  |0.16400609000398686 |349       
 [1, 12, 17, 0, 0]   |4.6768471942732     |2.4051787051437423  |266       
 [8, 0, 0, 0, 0]     |1.3798844835472872  |1.2706134153714717  |33        
 [10, 19, 12, 10, 8] |0.9996486356593081  |0.17112663755257246 |706       
 [4, 11, 1, 11, 11]  |0.7639248720327619  |0.4140428410611851  |245       
 [1, 11, 13, 0, 0]   |5.723133801823446   |3.5149191473397776  |195       
 [2, 9, 10, 15, 9]   |3.7528357719405228  |1.2122907602278663  |452       
 [13, 7, 5, 0, 0]    |0.2800735405545153  |0.17724841328450208 |183       
 [7, 20, 14, 0, 0]   |0.8268684757928207  |0.24289898191892378 |490       
 [2, 20, 15, 15, 0]  |11.710089987953808  |2.3820247523408966  |637       
 [5, 1, 0, 0, 0]     |1.0393271831556503  |0.9812515448909078  |23        
 [16, 10, 16, 0, 0]  |0.46408367319761895 |0.16609582255726607 |411       
 [19, 1, 14, 7, 0]   |0.2845866576483193  |0.1650152350855278  |218       
 [4, 3, 0, 0, 0]     |1.7932914221904697  |1.6595603447137393  |31        
 [6, 18, 14, 6, 3]   |6.088981814786676   |1.6388272229282337  |525       
 [10, 6, 11, 10, 0]  |0.7931100875505179  |0.37091096087026704 |304       
 [2, 0, 0, 0, 0]     |3.0398948226929905  |2.972260923825689   |9         
 [13, 13, 0, 0, 0]   |0.38643627654404517 |0.21474837230055277 |235       
 [10, 12, 0, 0, 0]   |0.3224413671380839  |0.2081837935520988  |175       
 [3, 13, 15, 0, 0]   |2.382447532252931   |1.162564492272645   |287       
 [7, 0, 0, 0, 0]     |2.0028344504191096  |1.8627677185659777  |29        
Gen 1 Train time: 9.481311917304993 minutes:
 Average MSE:        0.3868445295619483
 Average Error:      1.0769704189814457
 Structure           |Error               |MSE                 |weights&biases
 [13, 7, 5, 0, 0]    |0.2960485756296182  |0.18735843515097364 |183       
 [19, 1, 14, 7, 0]   |0.30825542058300476 |0.17873937279502386 |218       
 [10, 12, 0, 0, 0]   |1.4273935838505045  |0.9215945640457059  |175       
 [15, 20, 11, 0, 0]  |0.6698635854079643  |0.14650712876515196 |608       
 [11, 2, 7, 4, 9]    |0.3592108434833187  |0.23779513456353296 |165       
 [15, 7, 7, 7, 17]   |0.6731773549939613  |0.2338100009749618  |423       
 [12, 15, 15, 14, 0] |1.0984866325889757  |0.18617530372023658 |710       
 [13, 19, 18, 19, 14]|5.577047214229574   |0.20518556036658442 |1321      
 [11, 17, 10, 0, 0]  |0.6139761668326933  |0.21059905471570262 |428       
 [18, 1, 4, 15, 19]  |2.8687212715052572  |0.8640422425667964  |480       
 [13, 8, 4, 1, 10]   |0.3192170917576648  |0.18279611567449588 |223       
 [19, 1, 14, 7, 4]   |4.111089577860469   |2.2170735321089845  |247       
 [12, 10, 9, 5, 0]   |1.932917770498734   |0.8663473615450744  |321       
 [10, 12, 16, 0, 0]  |0.553013879344556   |0.21016293261461022 |387       
 [12, 6, 8, 9, 6]    |0.4107038003342675  |0.18546612934235024 |318       
 [15, 12, 8, 0, 0]   |0.37408345406409    |0.15594118418946906 |350       
 [18, 6, 15, 4, 0]   |0.6757319993057727  |0.287377460981164   |342       
