/tmp/tmp.frOp61dvPe ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k6.mat
  Evaluating with: datasets/N8dataset100k6.mat
Gen 0 Train time: 8.279392898082733 minutes:
 Average MSE:        1.0574282638518764
 Average Error:      1.8753365301883118
 Structure           |Error               |MSE                 |weights&biases
 [8, 5, 8, 19, 9]    |0.8209429848803176  |0.24850268768136327 |478       
 [10, 0, 0, 0, 0]    |0.47371130754801055 |0.4275614754837225  |41        
 [14, 12, 0, 0, 0]   |0.4184738598953069  |0.23255213269969474 |235       
 [20, 0, 0, 0, 0]    |0.3015491640878889  |0.24627112614933858 |81        
 [5, 0, 0, 0, 0]     |1.8043488989673333  |1.7120642494774316  |21        
 [17, 16, 9, 15, 0]  |0.969361508166555   |0.18709894896485274 |658       
 [2, 18, 2, 0, 0]    |3.7984719714057955  |2.950866550282587   |101       
 [18, 0, 0, 0, 0]    |0.32530462766867024 |0.27103882037235916 |73        
 [8, 1, 13, 5, 0]    |0.3947780920754127  |0.2816946871712762  |135       
 [10, 4, 8, 14, 0]   |0.37756953823553585 |0.19958790362733517 |255       
 [4, 3, 17, 0, 0]    |3.06393362842295    |2.3098892736542997  |113       
 [2, 0, 0, 0, 0]     |2.9888145142614633  |2.922317089060546   |9         
 [16, 10, 18, 0, 0]  |0.5296360645442493  |0.17851811845331422 |435       
 [13, 13, 5, 0, 0]   |0.395978770083362   |0.18845525390915915 |297       
 [3, 4, 11, 10, 13]  |4.256711047100817   |1.743678230182816   |357       
 [13, 9, 0, 0, 0]    |0.42279774352447674 |0.2729787400836162  |175       
 [1, 10, 0, 0, 0]    |3.178427237596443   |2.9194244628085224  |34        
 [13, 9, 12, 4, 1]   |8.257579166187059   |3.4942943948673757  |344       
 [7, 10, 16, 15, 7]  |5.437670431175616   |1.0654004518227258  |652       
 [5, 0, 0, 0, 0]     |1.3864299877140427  |1.3155200846838109  |21        
 [13, 16, 6, 0, 0]   |0.41791053764590325 |0.1648881532315818  |372       
 [18, 16, 5, 0, 0]   |0.49626072403396376 |0.16151555307760873 |449       
 [20, 7, 3, 16, 3]   |5.232939761947784   |2.181413838021526   |350       
 [10, 14, 3, 0, 0]   |0.7648831142333471  |0.4271875014449913  |233       
 [10, 0, 0, 0, 0]    |0.3689285733054842  |0.3329868690850505  |41        
Gen 1 Train time: 8.20257311264674 minutes:
 Average MSE:        0.6137654148042895
 Average Error:      0.925069258637186
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.20859187213359215 |0.17035416235133827 |81        
 [18, 0, 0, 0, 0]    |0.3146295449708015  |0.2621445053958299  |73        
 [10, 0, 0, 0, 0]    |0.8371726434065752  |0.7556137355096724  |41        
 [14, 8, 5, 11, 0]   |0.43220569230105477 |0.21196085566026174 |285       
 [2, 6, 0, 0, 0]     |1.9349733853492073  |1.7906766622904038  |31        
 [2, 0, 0, 0, 0]     |3.574191582861577   |3.4946702421089157  |9         
 [17, 17, 3, 9, 0]   |0.5368523799212721  |0.17126690010057527 |457       
 [3, 6, 14, 2, 17]   |2.148196071912369   |1.208800388817067   |230       
 [16, 18, 8, 0, 0]   |0.5222691797897833  |0.1441253093612796  |515       
 [10, 18, 2, 12, 10] |1.0168228342191052  |0.3359418826052096  |443       
 [13, 15, 6, 0, 0]   |0.5732910538371163  |0.23779133255156135 |352       
 [13, 9, 11, 10, 0]  |0.5467305599920199  |0.19813648340478612 |406       
