/tmp/tmp.zH8Xeiia2T ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k7.mat
  Evaluating with: datasets/N8dataset100k7.mat
Gen 0 Train time: 8.696886885166169 minutes:
 Average MSE:        0.9662006601280331
 Average Error:      1.7593198627989128
 Structure           |Error               |MSE                 |weights&biases
 [13, 2, 2, 15, 5]   |3.553965296166349   |2.134140447600118   |204       
 [1, 0, 0, 0, 0]     |3.5756556461982036  |3.53123813839595    |5         
 [3, 17, 13, 10, 0]  |5.333791360782715   |1.6804511684849075  |462       
 [7, 0, 0, 0, 0]     |0.9563205676921328  |0.8894410028371649  |29        
 [2, 0, 0, 0, 0]     |1.8364607753612063  |1.7956017951664531  |9         
 [4, 10, 7, 4, 0]    |0.7285652444997331  |0.469222552593172   |176       
 [8, 15, 19, 3, 12]  |1.0388119424223572  |0.24124981565295295 |584       
 [20, 18, 9, 14, 0]  |0.9654248702475783  |0.14296048801513556 |764       
 [11, 12, 20, 3, 0]  |3.1157880167016008  |0.8838058166571428  |504       
 [7, 14, 9, 14, 9]   |3.420053468780845   |0.8582637593537941  |553       
 [20, 2, 18, 19, 0]  |0.6723757933877658  |0.17561909215915839 |537       
 [9, 8, 8, 0, 0]     |0.26608923063774703 |0.1663063727141906  |188       
 [6, 0, 0, 0, 0]     |1.2402589272424223  |1.1651154375225599  |25        
 [12, 9, 4, 18, 0]   |0.42023059798009643 |0.1975128416852067  |302       
 [11, 12, 2, 0, 0]   |0.47741915396226997 |0.2852582283745922  |206       
 [12, 10, 1, 18, 2]  |6.663587073952059   |3.531271269981422   |254       
 [19, 0, 0, 0, 0]    |0.3140305857092462  |0.2590420458937069  |77        
 [2, 2, 19, 0, 0]    |2.375921644384384   |1.9019609311923797  |89        
 [15, 12, 9, 8, 12]  |0.703875194426879   |0.175756771621105   |555       
 [14, 16, 6, 9, 15]  |1.0241077694717307  |0.22120216202783533 |613       
 [13, 0, 0, 0, 0]    |0.3044351201019909  |0.26665561494230816 |53        
 [3, 18, 4, 17, 18]  |1.6759094794279672  |0.3882351721097918  |585       
 [10, 6, 6, 3, 0]    |0.3515790932537014  |0.23390959681382287 |163       
 [2, 6, 0, 0, 0]     |2.5667050273281515  |2.37529819594418    |31        
 [10, 18, 4, 0, 0]   |0.40163468985367484 |0.18549778546177526 |309       
Gen 1 Train time: 8.290866343180339 minutes:
 Average MSE:        0.8829540767803091
 Average Error:      1.3967875638956329
