/tmp/tmp.3oaG3FPthO ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k7.mat
  Evaluating with: datasets/N9dataset100k7.mat
Gen 0 Train time: 8.589580476284027 minutes:
 Average MSE:        1.056716816181092
 Average Error:      3.718564628970064
 Structure           |Error               |MSE                 |weights&biases
 [12, 18, 0, 0, 0]   |0.5066159732427429  |0.2459807466837436  |289       
 [12, 15, 13, 17, 8] |1.9934763943729044  |0.25029377436948175 |830       
 [9, 20, 0, 0, 0]    |1.061101392445264   |0.5708135917898934  |248       
 [14, 0, 0, 0, 0]    |0.4953362221649133  |0.4295494070515562  |57        
 [20, 7, 10, 15, 9]  |0.7574976712598036  |0.16650418814602394 |606       
 [1, 0, 0, 0, 0]     |2.9716916707693386  |2.934776723964371   |5         
 [16, 3, 17, 11, 10] |0.5767678395656733  |0.16690751018510822 |496       
 [16, 20, 18, 12, 2] |44.40035090268047   |3.440949231189978   |1023      
 [17, 2, 9, 12, 15]  |0.5089871336858267  |0.16732244155561252 |445       
 [3, 14, 0, 0, 0]    |1.6134958916601276  |1.3210187064671262  |80        
 [15, 5, 3, 0, 0]    |0.32504106382763137 |0.22507901640750222 |147       
 [7, 0, 0, 0, 0]     |1.1213010201998233  |1.0428836705830806  |29        
 [14, 6, 0, 0, 0]    |0.23166434299879937 |0.16365974166717095 |139       
 [6, 8, 5, 20, 0]    |1.7117218110484638  |0.8935971424475684  |260       
 [12, 16, 16, 6, 0]  |0.8292100083591462  |0.17381186009173405 |625       
 [7, 2, 0, 0, 0]     |1.911103736870694   |1.7292381708689526  |40        
 [5, 3, 5, 17, 0]    |1.5747917179184174  |1.0218584925988459  |173       
 [12, 3, 0, 0, 0]    |0.26101562139694395 |0.21423643843621662 |79        
 [6, 6, 5, 0, 0]     |2.128690219167562   |1.6536862219706001  |101       
 [15, 10, 6, 9, 0]   |0.4454407647060078  |0.18849364154220466 |344       
 [3, 18, 16, 13, 5]  |11.98141688543282   |2.1778907370269636  |682       
 [3, 13, 11, 0, 0]   |3.029147320797348   |1.717347874924115   |227       
 [11, 5, 1, 0, 0]    |1.2591232837971575  |0.9781577457484598  |101       
 [5, 6, 0, 0, 0]     |1.21660597394298    |1.0523912893923835  |58        
 [18, 6, 17, 7, 1]   |10.052520861940753  |3.4914720394186096  |423       
Gen 1 Train time: 8.604669034481049 minutes:
 Average MSE:        0.2796279332409716
 Average Error:      0.5576836981615964
 Structure           |Error               |MSE                 |weights&biases
 [14, 6, 0, 0, 0]    |1.1508483744506526  |0.8130191518582277  |139       
 [12, 3, 0, 0, 0]    |0.21215249965060728 |0.17413055849774878 |79        
 [15, 5, 3, 0, 0]    |0.2571195013578253  |0.1780458252976192  |147       
 [15, 8, 5, 5, 0]    |0.38507669848902243 |0.20406580825349718 |254       
 [15, 3, 2, 0, 0]    |0.1852664304316355  |0.14284997498047863 |104       
 [12, 4, 6, 6, 8]    |0.30342384574754283 |0.1728856959207548  |225       
 [14, 4, 2, 0, 0]    |0.22342817485188068 |0.16760164400329639 |115       
 [10, 5, 3, 9, 0]    |0.295422149994077   |0.20354871262989901 |149       
 [14, 6, 12, 0, 0]   |0.3609200736380904  |0.20359984658313243 |229       
 [13, 12, 8, 0, 0]   |0.3342210541630521  |0.15017520005325    |320       
 [16, 13, 5, 8, 5]   |0.5319571809931526  |0.17796074624293862 |438       
 [15, 6, 0, 0, 0]    |0.3474215640240343  |0.23997600147512416 |148       
 [13, 2, 0, 0, 0]    |0.528860748754607   |0.44395586855131464 |70        
 [13, 9, 0, 0, 0]    |0.3126922923968891  |0.201889317811411   |175       
 [14, 7, 2, 5, 0]    |0.3298534019011834  |0.20823105803504022 |184       
 [13, 5, 0, 0, 0]    |0.25013437593451676 |0.18763494199492048 |115       
 [14, 7, 3, 5, 0]    |0.3218925363388298  |0.19670747992885712 |197       
 [11, 8, 8, 3, 0]    |0.7657212361806403  |0.4287260693819809  |232       
 [16, 1, 5, 6, 8]    |1.1710283630895402  |0.7541849159510369  |176       
 [13, 6, 1, 20, 0]   |0.2536024577416443  |0.15731779224368242 |191       
 [11, 6, 18, 17, 0]  |1.770638709945472   |0.42372964136012276 |572       
 [16, 3, 17, 11, 10] |2.0189811342689077  |0.5842612765741053  |496       
 [15, 6, 2, 0, 0]    |0.3026783045773781  |0.20390833210746878 |158       
 [15, 2, 3, 5, 0]    |0.23297032705393186 |0.17607518542898465 |112       
 [11, 15, 11, 12, 11]|1.095781018064796   |0.1962172858593974  |688       
Gen 2 Train time: 8.706407384077709 minutes:
 Average MSE:        0.44962837318435933
 Average Error:      0.7986589733600424
 Structure           |Error               |MSE                 |weights&biases
 [15, 3, 2, 0, 0]    |0.24017760863368282 |0.18518932601150945 |104       
 [12, 3, 0, 0, 0]    |0.36607497642538633 |0.30046707063071965 |79        
 [14, 4, 2, 0, 0]    |0.24392935636908164 |0.1829803299213582  |115       
 [14, 6, 1, 0, 0]    |0.2224431521263499  |0.15636164678836315 |141       
 [10, 19, 19, 3, 10] |1.1007939417268615  |0.17746740595753538 |730       
 [13, 8, 7, 3, 4]    |1.8567261305553056  |0.9717223067217621  |259       
 [14, 5, 2, 10, 0]   |1.2940195052205714  |0.8459908538818842  |170       
 [14, 8, 5, 0, 0]    |0.3347188140297854  |0.19652522965519173 |213       
 [15, 4, 3, 10, 0]   |0.2422152493779757  |0.1563859188392544  |175       
 [15, 5, 2, 0, 0]    |0.22417048404635323 |0.15797027017394397 |140       
 [13, 9, 5, 10, 0]   |0.3588645620615517  |0.1755537129637562  |286       
 [13, 6, 5, 6, 4]    |1.4902373168775864  |0.8448766660179068  |227       
 [13, 7, 0, 0, 0]    |0.2599060330413912  |0.18087752672559904 |145       
 [15, 4, 3, 19, 0]   |0.28746056819512184 |0.1658503203120425  |220       
 [14, 4, 1, 0, 0]    |0.24116187014109577 |0.18363835624264574 |109       
 [14, 7, 2, 13, 0]   |0.2777150799314128  |0.16183797748793366 |216       
 [14, 6, 1, 6, 0]    |0.24092076062214857 |0.1623035074717961  |158       
 [14, 3, 1, 6, 0]    |0.1984534610088533  |0.15073971673983821 |110       
 [15, 5, 1, 0, 0]    |1.1875065229726816  |0.8515949720866992  |133       
 [14, 6, 1, 10, 0]   |0.358829372381011   |0.2345918016798115  |170       
 [16, 8, 4, 7, 1]    |6.734312582622128   |3.471947717036098   |265       
 [15, 7, 3, 3, 0]    |0.28061500282058677 |0.17148291371677918 |197       
 [14, 3, 1, 0, 0]    |1.0236968621922657  |0.8113306915375634  |93        
 [14, 4, 4, 3, 12]   |0.29001071895105296 |0.17678209707664833 |198       
 [14, 16, 6, 17, 0]  |0.6115144016708186  |0.16624099393234273 |521       
Increasing Epochs
Gen 3 Train time: 10.152567700544994 minutes:
 Average MSE:        0.2681279395556727
 Average Error:      0.44422118541056643
 Structure           |Error               |MSE                 |weights&biases
 [14, 3, 1, 6, 0]    |0.22060407679237962 |0.1675647070012718  |110       
 [14, 6, 1, 0, 0]    |0.2328204667354995  |0.16365615770504854 |141       
 [15, 5, 2, 0, 0]    |0.2630222548865517  |0.18534865034951262 |140       
 [15, 7, 2, 2, 0]    |0.2807427340733922  |0.17811665714909344 |182       
 [15, 5, 2, 7, 0]    |0.23815544034016964 |0.15726363032564641 |166       
 [15, 4, 3, 2, 6]    |0.2899595532214447  |0.1958289240491949  |157       
 [15, 6, 2, 2, 0]    |0.2733561778780567  |0.18141289582508055 |164       
 [14, 8, 4, 12, 0]   |0.3513208608144272  |0.17843063732303382 |271       
 [14, 5, 3, 3, 0]    |0.2707221532219764  |0.18559985332418397 |151       
 [12, 4, 2, 3, 0]    |1.1072332937644593  |0.8389236110001977  |111       
 [15, 3, 2, 0, 0]    |0.19699341232193912 |0.15189208296368695 |104       
 [15, 5, 14, 0, 0]   |0.28516538890799464 |0.16288905484021882 |224       
 [15, 7, 3, 12, 0]   |0.2990845987424486  |0.16332245077505017 |242       
 [12, 4, 5, 12, 3]   |2.82547286131114    |1.5978767794266187  |228       
 [14, 5, 19, 10, 0]  |0.43054824747462717 |0.14260226489381003 |442       
 [15, 7, 3, 8, 0]    |0.27756318068742897 |0.15934132276210727 |222       
 [13, 8, 3, 5, 0]    |0.2713730410633381  |0.16295831136737401 |204       
 [15, 5, 3, 2, 0]    |0.4099324943915113  |0.2789388266096374  |154       
