/tmp/tmp.kwm43Hm57e ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k0.mat
  Evaluating with: datasets/N10dataset100k0.mat
Gen 0 Train time: 8.13098811308543 minutes:
 Average MSE:        0.7356469308037182
 Average Error:      1.1223690958364556
 Structure           |Error               |MSE                 |weights&biases
 [3, 0, 0, 0, 0]     |3.0781682224493867  |2.9797359436883317  |13        
 [15, 2, 11, 5, 19]  |0.3407998787743476  |0.15938066163180936 |304       
 [15, 19, 11, 13, 0] |1.0071436208856517  |0.15875680533038655 |739       
 [9, 15, 6, 0, 0]    |0.29418512672057384 |0.14608801052345047 |280       
 [18, 5, 16, 10, 15] |0.673540790801327   |0.15179767663702864 |596       
 [7, 18, 17, 0, 0]   |1.233135878693122   |0.34803940244797243 |506       
 [5, 6, 0, 0, 0]     |1.213936855178168   |1.0500824421578607  |58        
 [9, 10, 5, 0, 0]    |0.33060318555191287 |0.20662774087143215 |188       
 [16, 0, 0, 0, 0]    |0.25359081479364076 |0.2155562729079636  |65        
 [5, 17, 0, 0, 0]    |2.38917655851617    |1.704801651251699   |135       
 [13, 18, 7, 0, 0]   |0.41801828791124196 |0.1419571402124157  |432       
 [5, 5, 5, 0, 0]     |0.4732336435484628  |0.3864835197966823  |81        
 [18, 11, 10, 0, 0]  |0.4032511345462681  |0.1505897919462898  |394       
 [16, 0, 0, 0, 0]    |0.23799422632393177 |0.20229892175608702 |65        
 [16, 0, 0, 0, 0]    |0.3637310542445708  |0.30917724862253226 |65        
 [1, 0, 0, 0, 0]     |3.529838580974215   |3.4859902218969587  |5         
 [13, 4, 16, 0, 0]   |0.2836469665249212  |0.17551603202181365 |192       
 [14, 13, 0, 0, 0]   |0.300356012285572   |0.16036756771442245 |251       
 [9, 12, 0, 0, 0]    |0.2346772544285113  |0.15730886799203714 |160       
 [18, 8, 10, 19, 0]  |0.5534206898468543  |0.14895115798346698 |525       
 [4, 14, 20, 13, 0]  |5.223554187789937   |0.9808635214982632  |669       
 [1, 4, 0, 0, 0]     |3.0453020289821113  |2.9258940284751547  |16        
 [18, 0, 0, 0, 0]    |0.2334275204144096  |0.19448822547955294 |73        
 [3, 0, 0, 0, 0]     |1.7444832784055746  |1.6886989768519125  |13        
 [13, 3, 0, 0, 0]    |0.2000115973205058  |0.16172144039742714 |85        
Gen 1 Train time: 8.172176678975424 minutes:
 Average MSE:        0.2780766961622145
 Average Error:      0.4158734874858998
 Structure           |Error               |MSE                 |weights&biases
 [13, 3, 0, 0, 0]    |0.23918891326736172 |0.19339866337204245 |85        
 [18, 0, 0, 0, 0]    |0.3586004052669827  |0.298780350974926   |73        
 [9, 12, 0, 0, 0]    |0.295112535603049   |0.19781984845113004 |160       
 [16, 2, 0, 0, 0]    |0.17555978280154455 |0.14195067351534235 |85        
 [16, 0, 0, 0, 0]    |0.3005117868798059  |0.2554398541502207  |65        
 [18, 10, 10, 10, 0] |0.4097170657330215  |0.12495664509542799 |475       
 [15, 2, 0, 0, 0]    |0.21850554549793522 |0.17889720981723972 |80        
 [11, 3, 0, 0, 0]    |0.20243239157330134 |0.16866356009256145 |73        
 [9, 4, 3, 0, 0]     |0.6286804806181975  |0.5070568602491751  |86        
 [16, 7, 4, 0, 0]    |0.2488043615107423  |0.14940591907640946 |204       
 [11, 3, 3, 0, 0]    |0.2560637979569678  |0.20704302547455838 |85        
 [14, 3, 6, 3, 10]   |0.2697218272439444  |0.17069718836178358 |183       
 [14, 16, 4, 0, 0]   |0.5339675124121297  |0.21982570864327436 |355       
 [16, 2, 5, 3, 0]    |1.1077329521036403  |0.8226828930575936  |119       
 [13, 6, 0, 0, 0]    |1.1205785293889423  |0.8096486393875175  |130       
 [18, 6, 5, 0, 0]    |0.23460892143424533 |0.1391315604799092  |209       
 [13, 5, 3, 0, 0]    |0.26564649756064834 |0.19145761803773043 |131       
 [15, 2, 8, 0, 0]    |0.2324679921675335  |0.17657620639253876 |110       
 [11, 15, 4, 0, 0]   |0.36498447896303354 |0.18034196052604526 |282       
 [13, 8, 15, 0, 0]   |0.3147835666834466  |0.147951617683958   |302       
 [13, 5, 3, 8, 0]    |1.2480653642906419  |0.8200373785284866  |168       
 [15, 9, 4, 0, 0]    |0.3024421064657157  |0.16849227037087178 |234       
 [13, 9, 3, 0, 0]    |0.2622504158585013  |0.15946107252102398 |199       
 [11, 7, 3, 0, 0]    |0.4326978267354661  |0.30112926507938653 |145       
 [11, 8, 8, 0, 0]    |0.37371212913069596 |0.2210714147162071  |210       
Gen 2 Train time: 8.515624578793844 minutes:
 Average MSE:        0.5228576337370793
 Average Error:      1.2883438862590477
 Structure           |Error               |MSE                 |weights&biases
 [16, 2, 0, 0, 0]    |0.21218927412847952 |0.17156782660934278 |85        
 [11, 3, 0, 0, 0]    |0.3065272430458143  |0.2553937918514596  |73        
 [15, 2, 0, 0, 0]    |0.22984808110742513 |0.18818369253861122 |80        
 [15, 3, 0, 0, 0]    |0.2172936797620782  |0.17050247308728309 |97        
 [15, 8, 10, 0, 0]   |0.4100219765446729  |0.20668807228712788 |274       
 [13, 3, 19, 0, 0]   |0.22036430430580967 |0.141568274423775   |177       
 [11, 5, 3, 0, 0]    |0.2391940998587012  |0.1794282408598815  |115       
 [1, 8, 0, 0, 0]     |2.19973461892627    |2.0510189641200203  |28        
 [13, 7, 0, 0, 0]    |0.252354482836768   |0.17562214381673477 |145       
 [9, 14, 13, 17, 13] |2.5839401558082953  |0.3101545448778169  |848       
 [16, 2, 4, 4, 0]    |0.21671646285356577 |0.1609493752939284  |119       
 [12, 3, 0, 0, 0]    |0.30830401802941315 |0.25304981527427434 |79        
 [14, 5, 10, 20, 15] |1.0008660778911613  |0.16216607785456338 |728       
 [1, 2, 17, 14, 1]   |7.895022798982555   |3.485921873969791   |327       
 [15, 6, 5, 2, 5]    |0.2591378333750187  |0.15367809082637168 |209       
 [14, 5, 2, 0, 0]    |0.2168696283812468  |0.15591272290384037 |132       
 [11, 5, 2, 0, 0]    |0.21267680913344592 |0.1623531150134654  |108       
 [14, 17, 2, 2, 0]   |0.5107571242661723  |0.21721641967592334 |342       
 [14, 5, 2, 12, 20]  |0.5561380945507647  |0.18236617838129976 |446       
 [14, 11, 12, 13, 3] |11.524761535005416  |2.7996597657416613  |566       
 [14, 3, 0, 0, 0]    |0.23273816283383975 |0.18538116503528762 |91        
 [13, 9, 3, 15, 0]   |1.6808829274598662  |0.8536954262174982  |271       
 [13, 3, 0, 0, 0]    |0.20252520800612758 |0.16375384624850248 |85        
 [17, 6, 5, 5, 0]    |0.2556587024648607  |0.14386039662984595 |230       
 [15, 12, 0, 0, 0]   |0.26407385691842833 |0.1413485498886774  |250       
Increasing Epochs
Gen 3 Train time: 9.931571571032206 minutes:
 Average MSE:        0.2466501553931341
 Average Error:      0.5093963573145985
 Structure           |Error               |MSE                 |weights&biases
 [13, 3, 0, 0, 0]    |0.20658659325012546 |0.16703772118609267 |85        
 [16, 2, 0, 0, 0]    |0.19744622009802176 |0.1596471781789316  |85        
 [11, 5, 2, 0, 0]    |0.24029554573127768 |0.18343669219174094 |108       
 [14, 5, 2, 0, 0]    |0.19771510659233418 |0.14214208258725214 |132       
 [17, 4, 3, 3, 0]    |0.2097454732671332  |0.1427214407256531  |154       
 [16, 9, 3, 18, 0]   |0.27560839236442564 |0.12322118468456864 |322       
 [14, 3, 2, 2, 4]    |0.23484342412546738 |0.17484834737006408 |118       
 [14, 17, 12, 15, 7] |1.4394108973604545  |0.18163318927818026 |828       
 [12, 4, 1, 20, 0]   |0.2665173842503464  |0.18135192367273073 |154       
 [13, 3, 10, 0, 0]   |0.20000279065790427 |0.1437867529565845  |132       
 [15, 5, 3, 1, 3]    |1.2164407028980493  |0.8215431130708255  |157       
 [15, 8, 7, 0, 0]    |0.28199406966648605 |0.15322172282714022 |244       
 [14, 19, 9, 17, 16] |1.8016932711934963  |0.15469914146952238 |982       
 [13, 9, 13, 0, 0]   |0.3438035855187965  |0.15878808618545748 |309       
 [15, 3, 12, 2, 0]   |0.2619807708056739  |0.1712751122377772  |170       
 [20, 16, 17, 3, 3]  |0.911391022318321   |0.1380301346505425  |755       
 [16, 2, 4, 4, 0]    |0.2540194523507303  |0.18865328286564528 |119       
 [15, 3, 0, 0, 0]    |0.25971390017813045 |0.20378808221205807 |97        
 [13, 9, 9, 0, 0]    |0.28652455116806136 |0.14772083254196086 |265       
 [14, 4, 11, 0, 0]   |0.20507545927330173 |0.1344077386166712  |169       
 [15, 3, 12, 2, 1]   |2.3616755183954887  |1.5362914035016686  |172       
 [14, 3, 0, 0, 0]    |0.24041030992352658 |0.1914922022132499  |91        
 [13, 11, 2, 1, 0]   |0.2690595791908985  |0.15445964102268064 |222       
