/tmp/tmp.BCXejIBML5 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k1.mat
  Evaluating with: datasets/N10dataset100k1.mat
Gen 0 Train time: 8.537629230817158 minutes:
 Average MSE:        0.6186942436704344
 Average Error:      1.8551228292483415
 Structure           |Error               |MSE                 |weights&biases
 [12, 6, 0, 0, 0]    |0.20498915372473847 |0.15148052503745033 |121       
 [16, 7, 0, 0, 0]    |0.226497288878513   |0.1462376408043245  |175       
 [16, 7, 7, 1, 0]    |1.4845257326510497  |0.8291081692888922  |233       
 [16, 0, 0, 0, 0]    |0.20548717946824638 |0.1746674088830435  |65        
 [16, 0, 0, 0, 0]    |0.20066315431935564 |0.1705669098868344  |65        
 [10, 7, 14, 17, 0]  |0.962603941478457   |0.28136198734049334 |492       
 [4, 15, 4, 17, 12]  |7.428271933122483   |2.322846218378774   |465       
 [11, 5, 0, 0, 0]    |0.32261536688412135 |0.2518820189317756  |99        
 [13, 4, 14, 20, 0]  |0.5032345587174137  |0.1493147331103014  |486       
 [13, 19, 15, 14, 6] |8.340686702647075   |0.8237777975777728  |926       
 [14, 16, 6, 19, 1]  |13.54657593444016   |3.520608404375828   |539       
 [7, 13, 0, 0, 0]    |1.2783688730741007  |0.9031062649280649  |139       
 [15, 10, 3, 6, 0]   |1.598950876196163   |0.8161539413477186  |269       
 [11, 10, 9, 0, 0]   |0.3287560726481459  |0.17076973246437033 |262       
 [2, 20, 10, 8, 18]  |2.8083674307108946  |0.7189980229375925  |545       
 [6, 6, 0, 0, 0]     |1.0422697873130629  |0.8815274150160054  |67        
 [16, 2, 5, 12, 0]   |0.26751748118380964 |0.16972592232769637 |182       
 [15, 4, 14, 0, 0]   |0.3649070247162519  |0.22467223219739202 |194       
 [7, 7, 5, 0, 0]     |1.2993153702425078  |0.9553643312808434  |123       
 [9, 19, 0, 0, 0]    |0.26688746617073844 |0.14757360887782914 |237       
 [16, 20, 14, 8, 0]  |1.2368024577633343  |0.16284269362252798 |811       
 [20, 1, 10, 14, 16] |0.6624316251286511  |0.1841807007855924  |512       
 [20, 11, 5, 0, 0]   |0.3394214010188796  |0.1390373227747903  |357       
 [18, 8, 0, 0, 0]    |0.3936180362138595  |0.2299543906741885  |215       
 [5, 1, 9, 0, 0]     |1.0643058824965208  |0.9415976989107573  |49        
Gen 1 Train time: 8.349417475859324 minutes:
 Average MSE:        0.30451892784319684
 Average Error:      0.7586464288848818
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.2986297326904745  |0.2538400778066129  |65        
 [12, 6, 0, 0, 0]    |0.2354054838366122  |0.17395723451860665 |121       
 [16, 0, 0, 0, 0]    |0.21219179365208343 |0.18036643881805842 |65        
 [8, 4, 16, 12, 14]  |3.484449758407364   |0.9010542099098954  |541       
 [16, 4, 13, 0, 0]   |0.22372606266893916 |0.13740357095677988 |195       
 [11, 4, 15, 2, 16]  |0.41716927845605156 |0.22162617873150658 |253       
 [14, 3, 0, 0, 0]    |0.24500478396340047 |0.19515180380099761 |91        
 [16, 6, 7, 20, 0]   |0.4764369579603408  |0.18425771673313135 |380       
 [16, 5, 3, 6, 0]    |0.25849605707803447 |0.16400229813578815 |182       
