/tmp/tmp.NKkudDFG2R ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k4.mat
  Evaluating with: datasets/N10dataset100k4.mat
Gen 0 Train time: 8.368203874429067 minutes:
 Average MSE:        0.6100906210958101
 Average Error:      1.3545658712964812
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.25569137240084217 |0.22173237588591652 |57        
 [11, 18, 0, 0, 0]   |0.2925828187189328  |0.14971713805144288 |268       
 [20, 0, 0, 0, 0]    |0.21895088695063677 |0.17881422972545216 |81        
 [8, 0, 0, 0, 0]     |1.7039681092761927  |1.5690333247647517  |33        
 [16, 8, 12, 20, 3]  |10.269831730920627  |2.185207171272356   |619       
 [14, 10, 18, 14, 0] |1.0167400825868131  |0.18996821918201237 |671       
 [4, 14, 8, 17, 0]   |2.502460725422238   |0.9848898592791233  |373       
 [4, 11, 0, 0, 0]    |1.4898496027055053  |1.2228389664227846  |79        
 [15, 0, 0, 0, 0]    |0.26597786475378904 |0.22835766137989663 |61        
 [10, 1, 0, 0, 0]    |0.21191043537345788 |0.1903117868712306  |43        
 [7, 13, 0, 0, 0]    |0.5116419851506339  |0.36145051082058505 |139       
 [2, 12, 0, 0, 0]    |2.665143069814472   |2.3227637330001856  |55        
 [13, 16, 3, 8, 16]  |0.7754682820502946  |0.21832113644162038 |507       
 [15, 15, 1, 0, 0]   |0.4857028279032521  |0.22771548380538792 |303       
 [7, 5, 9, 11, 0]    |0.7619399188322323  |0.4213094949098097  |237       
 [19, 11, 1, 0, 0]   |0.30571196747993534 |0.14769411964611567 |291       
 [15, 3, 18, 13, 20] |0.9538154670498664  |0.1604480512530321  |713       
 [17, 9, 4, 7, 20]   |0.4576385264817139  |0.14168122348763845 |469       
 [9, 4, 8, 16, 3]    |6.043045645889911   |2.8120341854591606  |306       
 [14, 14, 4, 20, 0]  |0.4610864806813657  |0.15619193742439386 |433       
 [11, 12, 13, 0, 0]  |0.7274303944769405  |0.29575112796745945 |360       
