/tmp/tmp.svIj4HBa8a ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k0.mat
  Evaluating with: datasets/N2dataset100k0.mat
Gen 0 Train time: 9.173957494894664 minutes:
 Average MSE:        0.959657662746176
 Average Error:      2.8180129478530387
 Structure           |Error               |MSE                 |weights&biases
 [16, 12, 7, 20, 0]  |1.5823757281885766  |0.42695670820160164 |524       
 [4, 7, 15, 0, 0]    |2.6092321965701415  |1.651288678742122   |183       
 [16, 5, 6, 0, 0]    |0.766300202107567   |0.4935252396406454  |176       
 [5, 3, 9, 0, 0]     |0.7424855839996836  |0.6094174220493186  |79        
 [10, 12, 0, 0, 0]   |0.7109124687245943  |0.4589995878512492  |175       
 [4, 5, 5, 0, 0]     |1.8558046849611847  |1.5462279656399123  |73        
 [10, 17, 0, 0, 0]   |0.8391790478028951  |0.46634424748127723 |235       
 [17, 1, 7, 10, 13]  |1.1169400420948274  |0.5018735120955147  |320       
 [17, 2, 0, 0, 0]    |0.5000779335150731  |0.3993203405554593  |90        
 [11, 19, 16, 12, 12]|13.366912114339668  |1.2309452967354715  |954       
 [1, 10, 0, 0, 0]    |2.36052809686155    |2.168174054642127   |34        
 [3, 3, 12, 13, 18]  |5.248593747094549   |1.4702907686408948  |509       
 [18, 4, 13, 5, 0]   |0.8546468672721447  |0.4340624261821254  |271       
 [2, 6, 3, 3, 0]     |2.5066373166914557  |2.1520957621684413  |61        
 [14, 4, 15, 8, 6]   |1.081986739164255   |0.4333536782450742  |366       
 [4, 14, 1, 6, 16]   |2.35947787507584    |1.301399670885205   |238       
 [7, 0, 0, 0, 0]     |0.9966950634393821  |0.9269919383703625  |29        
 [15, 19, 4, 3, 0]   |1.2433383237828424  |0.4056761729308199  |448       
 [19, 10, 20, 0, 0]  |1.6794906112763461  |0.4835940518080135  |498       
 [6, 6, 1, 11, 0]    |0.5982009001302493  |0.46471608579225376 |101       
 [14, 0, 0, 0, 0]    |0.48604221382370844 |0.42148975868857497 |57        
 [4, 15, 4, 11, 5]   |5.105447205612483   |2.5865063079887003  |272       
 [9, 16, 10, 17, 16] |4.4423134563878435  |0.5318867381511685  |849       
 [6, 17, 20, 14, 4]  |16.290453414639664  |1.9166507392530363  |856       
 [20, 9, 3, 6, 0]    |1.10625186276944    |0.50965441591503    |310       
Gen 1 Train time: 9.063919750849406 minutes:
 Average MSE:        0.8357648053428547
 Average Error:      2.3153483011283957
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.5052163615615657  |0.43811734097100574 |57        
 [17, 2, 0, 0, 0]    |0.46826233885999385 |0.37391507221390435 |90        
 [6, 6, 1, 11, 0]    |1.6151473004294234  |1.2547372149892426  |101       
 [17, 15, 10, 3, 0]  |1.6183510901813174  |0.44326290733912954 |518       
 [15, 11, 2, 9, 4]   |2.888892157438878   |1.3078349919135672  |317       
 [8, 9, 1, 6, 0]     |0.7135909338205519  |0.5104587730377299  |134       
 [17, 5, 2, 3, 0]    |0.6642537156124197  |0.4386334850268331  |166       
 [16, 1, 15, 11, 0]  |0.9628706502921931  |0.474574723118509   |283       
 [17, 8, 10, 15, 1]  |12.69186132265989   |3.939134177679663   |468       
 [12, 4, 1, 6, 0]    |0.7973964427717617  |0.6026592669415284  |112       
 [9, 6, 17, 0, 0]    |0.8492229469205503  |0.4850838445094193  |224       
 [18, 8, 13, 4, 0]   |1.1664700456277153  |0.4466330821739165  |384       
 [14, 6, 0, 0, 0]    |0.6881837723441114  |0.4861688119261417  |139       
 [12, 19, 5, 7, 2]   |9.70234781471915    |3.197495665808974   |444       
 [15, 6, 4, 10, 0]   |0.7865506174868231  |0.44259586202295276 |230       
 [15, 5, 11, 4, 3]   |2.621031268264042   |1.3751569281482794  |258       
 [20, 3, 1, 6, 0]    |0.6373127466412475  |0.4424203742801998  |146       
 [19, 6, 2, 3, 0]    |0.8822949494246825  |0.5298142163379136  |204       
 [14, 11, 0, 0, 0]   |0.7148763805858864  |0.4134802016791822  |219       
 [9, 6, 5, 2, 0]     |0.6957332721987338  |0.49396583618869583 |137       
 [14, 14, 0, 0, 0]   |0.8617345985470258  |0.44206075745621    |267       
 [6, 3, 3, 0, 0]     |1.2120655927546717  |1.0563567985353626  |55        
 [13, 16, 19, 20, 15]|12.69379317663648   |0.4717119041797927  |1317      
 [9, 6, 19, 0, 0]    |0.8045478076184067  |0.44154519861491986 |240       
