/tmp/tmp.aZpgMgA3y6 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k1.mat
  Evaluating with: datasets/N2dataset100k1.mat
Gen 0 Train time: 8.375817441940308 minutes:
 Average MSE:        1.3772823752808891
 Average Error:      3.495424501761903
 Structure           |Error               |MSE                 |weights&biases
 [9, 5, 7, 19, 20]   |4.084440120305439   |0.7241075567856465  |692       
 [8, 13, 0, 0, 0]    |0.7758897499908681  |0.5266364358052231  |155       
 [19, 0, 0, 0, 0]    |0.49221897358176186 |0.4060286346196049  |77        
 [13, 4, 11, 0, 0]   |0.7385398364871603  |0.49258894483214527 |162       
 [20, 19, 15, 12, 2] |21.225906256367743  |1.831659577561399   |980       
 [18, 5, 14, 15, 0]  |1.5070244554822207  |0.4607669696748154  |474       
 [19, 0, 0, 0, 0]    |0.5061527700140918  |0.41752254412763945 |77        
 [1, 11, 13, 7, 5]   |8.943934353977953   |3.968846811119478   |325       
 [8, 8, 6, 0, 0]     |0.9043925614746334  |0.6107962999115785  |157       
 [6, 15, 9, 13, 3]   |11.98498718665695   |3.9596466788404854  |443       
 [6, 19, 14, 3, 0]   |5.126738602715663   |1.5441439931248084  |480       
 [16, 12, 4, 0, 0]   |1.0926337590944402  |0.5046405296978582  |309       
 [5, 15, 0, 0, 0]    |1.2426747631982247  |0.9182974911581336  |121       
 [19, 15, 9, 0, 0]   |1.4052479527265336  |0.3916893476026456  |511       
 [1, 0, 0, 0, 0]     |4.011695596505281   |3.961861513447675   |5         
 [2, 0, 0, 0, 0]     |2.8095603173742894  |2.747051076282014   |9         
 [18, 17, 8, 14, 0]  |2.581549363854724   |0.49331357484413374 |662       
 [18, 0, 0, 0, 0]    |0.5300636890670879  |0.4416409260346989  |73        
 [5, 9, 5, 0, 0]     |0.7128043151411693  |0.5214987773378869  |125       
 [19, 12, 4, 0, 0]   |0.9690467915437012  |0.39993934544067417 |354       
 [2, 0, 0, 0, 0]     |2.8096468579121483  |2.747135691399973   |9         
 [11, 0, 0, 0, 0]    |0.5859253109874685  |0.5235813035021338  |45        
 [10, 8, 10, 7, 2]   |8.259540400592556   |3.8627097478891157  |304       
 [9, 9, 12, 17, 0]   |1.6596284043974614  |0.5048942510668029  |476       
 [3, 20, 5, 0, 0]    |2.4253701545980193  |1.4710613599156683  |200       
Gen 1 Train time: 8.249124618371328 minutes:
 Average MSE:        0.7655892331697072
 Average Error:      2.229494190640855
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.49334855382860787 |0.4069604189471832  |77        
 [19, 0, 0, 0, 0]    |0.4848594709772895  |0.39995782273637104 |77        
 [18, 0, 0, 0, 0]    |0.47438864186857216 |0.3952533316589106  |73        
 [19, 3, 7, 8, 0]    |1.0703191502706217  |0.6206157648357062  |218       
 [12, 2, 6, 0, 0]    |0.5483275735910162  |0.441144669492681   |87        
 [5, 12, 3, 0, 0]    |0.8695658825946063  |0.6282851359685138  |130       
 [18, 3, 7, 8, 0]    |0.8828731449534336  |0.5196635207151499  |212       
 [18, 20, 4, 0, 0]   |1.8372809190387402  |0.4969761297368791  |523       
 [19, 8, 0, 0, 0]    |0.8052842572529457  |0.4576914786338212  |226       
 [19, 11, 9, 7, 7]   |1.639847502295715   |0.448029254313376   |519       
 [2, 3, 0, 0, 0]     |2.3644328025868426  |2.2547478835651407  |19        
 [19, 17, 0, 0, 0]   |1.057878848583991   |0.3748481820071815  |415       
 [19, 20, 13, 10, 2] |24.045754576504     |2.566282762837502   |895       
 [12, 11, 5, 0, 0]   |0.8916583353123763  |0.4832736358305011  |245       
 [15, 0, 0, 0, 0]    |0.4933070911790425  |0.42353319058352507 |61        
 [19, 6, 0, 0, 0]    |0.6824463135779996  |0.43081719669828233 |184       
 [16, 2, 6, 4, 0]    |0.6521813965160722  |0.4676979767414261  |133       
 [7, 11, 16, 0, 0]   |1.1869823626351585  |0.536018961150121   |318       
 [19, 6, 2, 18, 0]   |0.92712776353206    |0.4791872218258497  |264       
 [16, 2, 6, 0, 0]    |0.6202475954842004  |0.47466948741611636 |107       
 [15, 6, 0, 0, 0]    |0.5523075026408192  |0.3814977531425952  |148       
 [1, 1, 6, 0, 0]     |2.430474616688335   |2.288934793773845   |24        
 [3, 17, 20, 5, 17]  |8.185493334133985   |1.564182748183041   |662       
 [19, 7, 3, 1, 0]    |2.0545751740301657  |1.1648229469617806  |227       
 [11, 0, 0, 0, 0]    |0.4863919559447812  |0.43463856148717844 |45        
Gen 2 Train time: 8.318157104651133 minutes:
 Average MSE:        0.5559883612852734
 Average Error:      0.9775649061148107
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.5575337447469708  |0.4645285545950336  |73        
 [19, 0, 0, 0, 0]    |0.6147157292982568  |0.5070755124085163  |77        
 [11, 0, 0, 0, 0]    |0.6647025780912384  |0.5939764603985216  |45        
 [14, 2, 6, 0, 0]    |0.5593426699219782  |0.43889591556166785 |97        
 [14, 10, 13, 8, 8]  |1.9892108565417264  |0.5313884428360219  |528       
 [17, 13, 5, 4, 4]   |1.4724930265466183  |0.5363099075549933  |404       
 [17, 1, 3, 2, 0]    |0.7780635055788239  |0.6275404603389643  |86        
 [17, 3, 1, 9, 0]    |0.8321797767660806  |0.5908419155957212  |137       
 [19, 3, 0, 0, 0]    |0.6193251785684382  |0.45766179094741943 |121       
 [12, 7, 6, 0, 0]    |0.7518739609843199  |0.47702490669968717 |182       
 [16, 5, 3, 0, 0]    |0.9664127654119153  |0.6559542438847663  |155       
 [9, 13, 15, 5, 12]  |2.8567047967748294  |0.755533460993077   |532       
 [19, 7, 0, 0, 0]    |0.6611510777901356  |0.39602699304101996 |205       
 [18, 4, 3, 2, 0]    |0.6799754309383109  |0.4603820400066354  |156       
 [9, 6, 8, 0, 0]     |0.7453905125534325  |0.5097438063283106  |152       
 [17, 3, 0, 0, 0]    |0.7078305019451643  |0.5389941195909911  |109       
 [17, 17, 0, 0, 0]   |1.0334698063931844  |0.40471259118415315 |375       
 [9, 6, 8, 5, 9]     |1.1574363694434038  |0.6164411205527468  |252       
 [16, 2, 6, 0, 0]    |0.6111362541738967  |0.46769666601233667 |107       
 [17, 1, 3, 1, 0]    |1.5894224282723495  |1.2980598123082934  |81        
 [17, 3, 7, 6, 0]    |0.7351750098460846  |0.4594860487385598  |188       
 [9, 10, 3, 12, 18]  |1.8561133131512142  |0.5862462738457934  |461       
 [15, 6, 0, 0, 0]    |0.65317958099664    |0.45117356066570186 |148       
 [15, 3, 0, 0, 0]    |0.6083387795580482  |0.47734138656548436 |97        
 [6, 6, 3, 0, 0]     |0.737944998577205   |0.5966730414774186  |85        
Increasing Epochs
Gen 3 Train time: 9.700069320201873 minutes:
 Average MSE:        0.5666229445328884
 Average Error:      0.9991066884068174
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.5808118818566547  |0.48392354097408036 |73        
