/tmp/tmp.s4smlaumiE ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k2.mat
  Evaluating with: datasets/N2dataset100k2.mat
Gen 0 Train time: 8.457023763656617 minutes:
 Average MSE:        0.7690881962766576
 Average Error:      1.7634119671461415
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.5226009713943545  |0.4354231042678049  |73        
 [2, 20, 0, 0, 0]    |1.2255021350998547  |0.9859502975760215  |87        
 [15, 6, 0, 0, 0]    |0.6207365046385844  |0.4287640140337038  |148       
 [5, 3, 1, 14, 20]   |2.3484468030122807  |0.8947187774292358  |386       
 [15, 0, 0, 0, 0]    |0.5615694053785522  |0.48214040756155996 |61        
 [13, 7, 14, 16, 18] |3.3467875141704413  |0.4373598071902398  |814       
 [5, 19, 2, 0, 0]    |1.3148165357908528  |0.8553001144245547  |172       
 [10, 10, 5, 2, 2]   |2.0134950633070106  |1.173360729305816   |216       
 [7, 8, 8, 18, 0]    |1.5206890276617002  |0.6532231613824176  |338       
 [2, 20, 0, 0, 0]    |2.6988106307271313  |2.171267652871069   |87        
 [15, 0, 0, 0, 0]    |0.5354552628556352  |0.45971987824046473 |61        
 [12, 12, 11, 0, 0]  |1.0303859345615085  |0.4327623381969872  |347       
 [7, 1, 17, 16, 15]  |2.7533337811018854  |0.581474861435438   |622       
 [18, 19, 3, 14, 20] |3.719638121826013   |0.442031728508063   |852       
 [8, 15, 0, 0, 0]    |0.6321756793406884  |0.40816329580986704 |175       
 [3, 10, 0, 0, 0]    |2.068408244384801   |1.7802954744453487  |60        
 [20, 16, 6, 11, 16] |3.411046698520578   |0.48047465164155245 |784       
 [6, 6, 0, 0, 0]     |0.6050177122015378  |0.5117098340256521  |67        
 [16, 9, 1, 12, 19]  |4.303560978209217   |1.2268412962486515  |502       
 [16, 0, 0, 0, 0]    |0.4323994296277593  |0.36754647258788015 |65        
 [1, 4, 19, 6, 0]    |4.116095255611809   |2.2988407185806476  |233       
 [20, 11, 14, 19, 0] |2.235179740542353   |0.33098628008985703 |764       
 [17, 8, 0, 0, 0]    |0.5262064421719838  |0.31598464206680854 |204       
 [12, 7, 7, 0, 0]    |1.05714728635721    |0.6557825923577656  |191       
 [15, 0, 0, 0, 0]    |0.4857940201598037  |0.4170827766390316  |61        
Gen 1 Train time: 8.140097685654958 minutes:
 Average MSE:        0.6187366366039749
 Average Error:      1.411160641686245
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.47252452044509363 |0.4016534454043697  |65        
 [15, 0, 0, 0, 0]    |0.45074464063396646 |0.38699082011947084 |61        
 [18, 0, 0, 0, 0]    |0.4837005900061111  |0.40301190385216507 |73        
 [11, 6, 0, 0, 0]    |0.6265328342485331  |0.47352332961321625 |112       
 [20, 14, 6, 4, 9]   |1.7278414844475225  |0.46272281893980693 |527       
 [17, 10, 2, 7, 10]  |1.180004919149636   |0.47379459610359714 |365       
 [14, 6, 6, 0, 0]    |0.717934452806994   |0.4566322094397689  |181       
 [14, 4, 4, 0, 0]    |0.5831872795261943  |0.4245409081464843  |127       
 [15, 16, 0, 0, 0]   |0.8358220630584764  |0.3774415594114955  |318       
 [4, 13, 0, 0, 0]    |1.0833165338617696  |0.8628859087998464  |91        
 [8, 10, 0, 0, 0]    |0.8349414494868355  |0.6108562136999319  |125       
 [15, 2, 0, 0, 0]    |0.47920197953968563 |0.3923373975849865  |80        
 [9, 3, 3, 0, 0]     |0.6056669197439322  |0.5046323768660168  |73        
 [5, 14, 10, 4, 12]  |2.168383215279642   |0.8684735294557638  |366       
 [17, 0, 0, 0, 0]    |0.5165019836257801  |0.434666525507998   |69        
 [17, 4, 0, 0, 0]    |0.579334281978016   |0.4206830310021144  |128       
 [11, 14, 1, 0, 0]   |0.8892209477198283  |0.5156074601090135  |218       
 [9, 16, 14, 14, 17] |5.4838916962285875  |0.5665528064769857  |908       
 [11, 3, 0, 0, 0]    |0.500102331714262   |0.4166775831770752  |73        
 [9, 10, 15, 0, 0]   |0.9671228879165342  |0.4477905357682504  |308       
 [3, 6, 16, 15, 1]   |11.27802360401463   |3.9663886402846886  |418       
 [12, 7, 0, 0, 0]    |0.5186758682494499  |0.37010219002200473 |135       
 [16, 13, 0, 0, 0]   |0.8435228840134187  |0.4157512112383057  |283       
 [15, 12, 5, 0, 0]   |0.8047137504479206  |0.3725929827071276  |308       
 [10, 10, 1, 0, 0]   |0.6481029240133027  |0.44210593136889037 |153       
Increasing Epochs
Gen 2 Train time: 9.152908869584401 minutes:
 Average MSE:        0.4958684819319278
 Average Error:      0.7210054270955822
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.530150190962626   |0.45516516158364356 |61        
 [16, 0, 0, 0, 0]    |0.4836137999965415  |0.4110795114521079  |65        
 [15, 2, 0, 0, 0]    |0.5629645164859112  |0.46091636253869195 |80        
 [17, 2, 15, 0, 0]   |0.7438752370325419  |0.5138201639293764  |148       
 [10, 9, 0, 0, 0]    |0.5532525755245027  |0.3908463961910028  |139       
 [15, 14, 3, 0, 0]   |0.9241650227306966  |0.4173355822369934  |318       
 [15, 4, 0, 0, 0]    |0.611141667755248   |0.45958724556046676 |114       
 [15, 10, 3, 0, 0]   |0.7702186760967259  |0.42059672193671566 |242       
 [15, 4, 3, 11, 0]   |0.6684797234929022  |0.4262414904874133  |180       
 [11, 6, 0, 0, 0]    |0.5404011904893927  |0.4084264336352015  |112       
 [8, 6, 1, 0, 0]     |0.5208558874569826  |0.4190429396441576  |87        
 [12, 7, 10, 0, 0]   |0.7080371093068941  |0.4105495001312992  |218       
 [17, 0, 0, 0, 0]    |0.4716365881335296  |0.39690968005067623 |69        
 [14, 5, 1, 0, 0]    |0.5871712726353517  |0.42958367992851293 |125       
 [13, 3, 0, 0, 0]    |0.6686288278310437  |0.5406267365327106  |85        
