/tmp/tmp.1PUulmzjsC ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k4.mat
  Evaluating with: datasets/N2dataset100k4.mat
Gen 0 Train time: 8.549537285168965 minutes:
 Average MSE:        0.9107048436093631
 Average Error:      2.0112933412896963
 Structure           |Error               |MSE                 |weights&biases
 [19, 5, 7, 11, 0]   |0.9499886714013988  |0.4498661345283403  |299       
 [4, 20, 0, 0, 0]    |1.2248597354199435  |0.8783820316067977  |133       
 [13, 13, 11, 17, 0] |2.174854334621164   |0.48892884551455384 |597       
 [10, 1, 3, 3, 16]   |0.783952543327741   |0.5524420201877527  |140       
 [6, 7, 1, 20, 7]    |4.117908101364092   |2.09665934928137    |270       
 [17, 5, 3, 18, 8]   |1.625578266619042   |0.610097565513746   |392       
 [5, 4, 0, 0, 0]     |0.7369029088507851  |0.6601427801478394  |44        
 [18, 5, 20, 20, 0]  |2.4911440743435613  |0.4222076909199111  |710       
 [4, 19, 13, 8, 16]  |4.2539588639834784  |0.8588594823307643  |640       
 [6, 4, 16, 0, 0]    |0.9635506087915214  |0.6739291673688756  |143       
 [1, 16, 0, 0, 0]    |1.9326739703808962  |1.6970721828505653  |52        
 [3, 4, 17, 0, 0]    |1.9582520418038392  |1.4219828345034469  |128       
 [15, 9, 2, 0, 0]    |0.8507652556190413  |0.5007646574870439  |212       
 [2, 0, 0, 0, 0]     |3.511316461720463   |3.433194014624511   |9         
 [11, 14, 0, 0, 0]   |0.7466265982404517  |0.43509534530056015 |216       
 [1, 7, 20, 15, 0]   |10.454211806859226  |2.935873256134962   |508       
 [6, 11, 11, 15, 18] |4.186507666694394   |0.702483682326065   |714       
 [10, 6, 0, 0, 0]    |0.6154573982409024  |0.4757372606189179  |103       
 [15, 5, 0, 0, 0]    |0.6369870882695283  |0.4590914307576379  |131       
 [16, 0, 0, 0, 0]    |0.6391963208459904  |0.5433271575319679  |65        
 [11, 4, 3, 0, 0]    |0.6817453605354873  |0.5309438206403347  |100       
 [14, 0, 0, 0, 0]    |0.588377859809346   |0.510233957247778   |57        
 [20, 10, 17, 6, 0]  |1.7278699185726007  |0.41349468799101297 |572       
 [15, 1, 6, 8, 20]   |1.401435189592623   |0.6141579397512377  |330       
 [17, 17, 0, 0, 0]   |1.0282124863348887  |0.40265379506808374 |375       
Gen 1 Train time: 8.303114306926727 minutes:
 Average MSE:        0.6808129354774263
 Average Error:      1.3474985739303573
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.7336760807202255  |0.6362347660824994  |57        
 [10, 6, 0, 0, 0]    |0.6551711911308606  |0.5064352928340746  |103       
 [15, 5, 0, 0, 0]    |0.49416683272569195 |0.3561575461212704  |131       
 [12, 5, 1, 0, 0]    |0.6802523829382339  |0.5179941147405819  |109       
 [12, 11, 8, 0, 0]   |1.1162859947154298  |0.5488155320087826  |284       
 [11, 10, 2, 0, 0]   |0.8124813916866872  |0.5206577996173521  |178       
 [13, 7, 0, 0, 0]    |0.5425942506516745  |0.37760995743325015 |145       
 [10, 13, 7, 0, 0]   |1.0881279689560832  |0.541700918919712   |279       
 [13, 4, 3, 4, 10]   |0.8404624471036781  |0.5266058060888189  |187       
 [18, 10, 11, 7, 9]  |2.437319530337481   |0.646229149385439   |531       
 [9, 5, 8, 0, 0]     |0.7212579729168473  |0.5159432981128641  |134       
 [18, 5, 5, 15, 4]   |2.957195324500121   |1.2702850113054216  |338       
 [13, 3, 12, 0, 0]   |0.6088916675686018  |0.42693866709008593 |142       
 [1, 3, 0, 0, 0]     |3.555238850595131   |3.441551021888535   |13        
 [12, 9, 2, 0, 0]    |0.865576895990556   |0.5574630462660122  |176       
 [13, 7, 17, 3, 0]   |1.2500835114110653  |0.5464624729023326  |331       
 [14, 5, 17, 0, 0]   |0.8077801695520954  |0.4466565497103037  |237       
 [13, 3, 20, 0, 0]   |0.6819693351822625  |0.4326740589093906  |182       
 [10, 7, 1, 0, 0]    |0.6041638030038816  |0.4509449897848924  |117       
 [10, 10, 0, 0, 0]   |0.7303877361662201  |0.5007342586813797  |151       
 [16, 3, 0, 0, 0]    |0.6488545963799783  |0.5015526811507744  |103       
 [15, 3, 20, 0, 0]   |0.776564614621625   |0.47812865632887186 |194       
 [10, 2, 4, 0, 0]    |0.5892922094068833  |0.4959237433585658  |69        
 [15, 3, 0, 0, 0]    |0.5834115835053463  |0.45778191949414176 |97        
 [6, 13, 20, 11, 11] |8.906258006492273   |1.3188421287203085  |764       
Gen 2 Train time: 8.403957386811575 minutes:
 Average MSE:        0.556158409303844
 Average Error:      1.2903374311118894
 Structure           |Error               |MSE                 |weights&biases
 [15, 5, 0, 0, 0]    |0.6588952954956453  |0.4748811859755916  |131       
 [13, 7, 0, 0, 0]    |0.6746072916174077  |0.46948236249436814 |145       
 [15, 3, 0, 0, 0]    |0.6715244734276966  |0.5269209099106047  |97        
 [12, 5, 7, 0, 0]    |0.6480275442730067  |0.44427031824205254 |151       
 [10, 3, 0, 0, 0]    |0.4746062415517133  |0.40141086152378014 |67        
 [11, 9, 4, 0, 0]    |0.706075788767099   |0.44351098984908033 |186       
 [11, 6, 4, 0, 0]    |0.7250801064574467  |0.513516489287763   |138       
 [13, 5, 6, 0, 0]    |0.8020398291047325  |0.5484840877759994  |152       
 [12, 6, 9, 6, 0]    |0.9506602057291956  |0.5165420489775012  |244       
 [16, 4, 0, 0, 0]    |0.6432337261525967  |0.47532945421215206 |121       
 [10, 5, 3, 0, 0]    |0.6390242111694774  |0.4890390498418797  |107       
 [10, 5, 9, 0, 0]    |1.03284396509397    |0.7116394605030564  |149       
 [15, 4, 2, 2, 5]    |0.7503703115024074  |0.5209045571632369  |146       
 [12, 9, 5, 2, 5]    |0.9062462585098147  |0.5023570277805517  |236       
 [12, 9, 1, 6, 0]    |0.8889322787858321  |0.563981277919259   |182       
 [5, 12, 18, 20, 13] |11.319935161474415  |0.9574951195401677  |988       
 [13, 5, 4, 0, 0]    |0.6677233763241689  |0.4728952855990157  |138       
 [12, 5, 10, 0, 0]   |0.7655218406941071  |0.4979789195808505  |172       
 [12, 8, 14, 17, 0]  |2.1507289223431125  |0.5589511590367986  |539       
 [12, 5, 14, 0, 0]   |0.8742940733262214  |0.5302861610773986  |200       
 [15, 3, 10, 0, 0]   |0.6070859819095973  |0.4235495174679123  |144       
 [8, 10, 5, 10, 14]  |1.764244779569729   |0.6522826569213942  |398       
 [14, 4, 1, 0, 0]    |1.5955807522172996  |1.2149923469168606  |109       
 [13, 5, 0, 0, 0]    |0.5748566488521422  |0.43122099295541777 |115       
 [6, 5, 10, 0, 0]    |0.7662967134484013  |0.5620379920434063  |124       
Gen 3 Train time: 8.553905272483826 minutes:
 Average MSE:        0.7280105040913729
 Average Error:      1.3475825162637338
 Structure           |Error               |MSE                 |weights&biases
 [10, 3, 0, 0, 0]    |0.51286366899343    |0.43376809909160874 |67        
 [13, 5, 0, 0, 0]    |0.5246764138564542  |0.39357896375599133 |115       
 [15, 3, 10, 0, 0]   |0.6655135237892708  |0.4643130302278842  |144       
 [8, 5, 10, 0, 0]    |0.7167264980651598  |0.5050686267723206  |140       
 [12, 14, 20, 0, 0]  |1.7177042683263535  |0.4464127402059931  |539       
 [15, 3, 5, 13, 0]   |0.7261118028105473  |0.43493822144223004 |205       
 [14, 6, 5, 20, 0]   |0.9393446302722254  |0.4349288394640191  |308       
 [13, 6, 7, 0, 0]    |0.7585199331263843  |0.4836536629276475  |180       
 [11, 5, 2, 0, 0]    |0.5723620093926446  |0.4369294213077823  |108       
 [5, 4, 7, 11, 11]   |1.5103387142783014  |0.7028118510178123  |306       
