/tmp/tmp.vkQFk9cagE ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k7.mat
  Evaluating with: datasets/N2dataset100k7.mat
Gen 0 Train time: 8.583554708957672 minutes:
 Average MSE:        1.0481689256497722
 Average Error:      2.5323666079240605
 Structure           |Error               |MSE                 |weights&biases
 [15, 20, 12, 15, 16]|7.483586614200489   |0.49669067594165484 |1085      
 [5, 0, 0, 0, 0]     |0.9353547673518279  |0.8875154127219256  |21        
 [18, 5, 6, 6, 20]   |1.232012313932587   |0.46703497094636337 |388       
 [16, 0, 0, 0, 0]    |0.4575473971729408  |0.38892264963775053 |65        
 [9, 13, 12, 0, 0]   |1.4514952033929467  |0.6235004450250338  |338       
 [6, 4, 20, 0, 0]    |0.8337565545534884  |0.5491883487569155  |167       
 [7, 13, 20, 19, 0]  |3.664049771623461   |0.4669976892856214  |824       
 [5, 17, 12, 3, 4]   |4.492900850831358   |1.6820252315651303  |393       
 [10, 2, 7, 12, 13]  |1.4652354112756132  |0.6077546101878583  |352       
 [4, 18, 6, 2, 0]    |3.025606967448081   |1.6898026073881822  |233       
 [12, 0, 0, 0, 0]    |0.4971130761247857  |0.4397988738722174  |49        
 [19, 2, 4, 0, 0]    |0.5495572894055213  |0.41327491519807424 |114       
 [10, 6, 20, 7, 3]   |7.067706259611592   |2.5295362724028463  |411       
 [4, 17, 16, 0, 0]   |1.7239479870961607  |0.6310419113577315  |402       
 [3, 10, 0, 0, 0]    |0.7069627832865331  |0.6084885066103786  |60        
 [15, 5, 12, 2, 5]   |0.9702855291346274  |0.5272054855057107  |244       
 [3, 17, 11, 14, 0]  |4.853246606760889   |1.5444191492065074  |458       
 [4, 20, 14, 18, 0]  |5.127534570121869   |0.9022397040344169  |695       
 [4, 10, 6, 13, 0]   |1.114071157213102   |0.6222091522556535  |233       
 [16, 19, 9, 0, 0]   |2.8803594824623944  |0.7085144014781998  |561       
 [2, 1, 18, 0, 0]    |3.9843363384610138  |3.395227463971929   |64        
 [13, 0, 0, 0, 0]    |0.5545069959208576  |0.4856943047094956  |53        
 [3, 2, 0, 0, 0]     |1.140857429912397   |1.085217156492933   |20        
 [1, 4, 4, 14, 6]    |6.465357060506876   |3.9410935693677756  |198       
 [16, 2, 0, 0, 0]    |0.6317767803000938  |0.5108296333239926  |85        
Gen 1 Train time: 8.153280011812846 minutes:
 Average MSE:        0.917734052721473
 Average Error:      2.96375396456906
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.5298342119786997  |0.4503676053337891  |65        
 [12, 0, 0, 0, 0]    |0.6652870227033015  |0.5885833574678803  |49        
 [19, 2, 4, 0, 0]    |0.5071147749021353  |0.3813575393023709  |114       
 [8, 5, 0, 0, 0]     |0.7479490121036568  |0.6200715099481963  |75        
 [9, 2, 10, 0, 0]    |0.5624775574253955  |0.4513988132658994  |88        
 [14, 0, 0, 0, 0]    |0.564452530648326   |0.4894862095669959  |57        
 [11, 3, 10, 0, 0]   |0.679861909968421   |0.5036540904520799  |120       
 [10, 5, 3, 7, 15]   |2.3960275882766346  |1.229136873865166   |267       
 [10, 8, 9, 8, 3]    |2.9436530295603434  |1.3561520806675107  |310       
 [16, 1, 0, 0, 0]    |0.6018390818026754  |0.5090214227592907  |67        
 [13, 19, 3, 7, 2]   |9.125406153969106   |3.257833514987503   |412       
 [19, 20, 15, 19, 19]|23.439560713676773  |0.5853327580119924  |1476      
 [14, 11, 0, 0, 0]   |0.6666535152094641  |0.38558838619487473 |219       
 [5, 0, 0, 0, 0]     |2.1459728485064264  |2.036215610173749   |21        
 [10, 6, 17, 19, 2]  |17.639564657210524  |3.935918886911967   |600       
 [13, 13, 0, 0, 0]   |0.6284933787334958  |0.3492630953070207  |235       
 [9, 14, 4, 6, 4]    |3.205544269588114   |1.5525238466355955  |290       
 [16, 1, 2, 0, 0]    |0.5738971835080258  |0.47935922179708224 |72        
 [16, 14, 0, 0, 0]   |0.9405626597261844  |0.4431810026097812  |301       
 [16, 1, 8, 0, 0]    |0.6268700658977928  |0.500565914674147   |90        
