/tmp/tmp.23B2ostQM8 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k3.mat
  Evaluating with: datasets/N3dataset100k3.mat
Gen 0 Train time: 8.676440985997518 minutes:
 Average MSE:        0.6257950434587838
 Average Error:      1.3118604360048718
 Structure           |Error               |MSE                 |weights&biases
 [7, 8, 13, 17, 15]  |2.3270518949276737  |0.37893226328546686 |726       
 [15, 0, 0, 0, 0]    |0.41278489327182016 |0.3544001414093623  |61        
 [13, 5, 8, 10, 16]  |1.3733665508375914  |0.4571540120920027  |440       
 [20, 7, 1, 5, 5]    |1.8348123630748057  |0.9554643959861551  |261       
 [8, 6, 9, 0, 0]     |0.6759493462037806  |0.4634127573857357  |151       
 [13, 0, 0, 0, 0]    |0.5460698442938016  |0.4783041788438583  |53        
 [12, 18, 5, 12, 7]  |1.2212405206015022  |0.31977654061428573 |536       
 [10, 20, 6, 0, 0]   |0.9324627181732132  |0.35792704123815006 |383       
 [17, 13, 0, 0, 0]   |0.5253541378345945  |0.2487808985105861  |299       
 [15, 7, 10, 17, 12] |1.9375075216227293  |0.3786671713292623  |653       
 [2, 13, 1, 16, 11]  |6.291071823164726   |3.046920649021483   |290       
 [1, 2, 8, 10, 6]    |4.170356223866886   |2.5676766365433314  |194       
 [20, 12, 7, 5, 8]   |0.970534801998102   |0.27806287629221105 |500       
 [20, 13, 1, 19, 0]  |0.9396623502262673  |0.34138832380358164 |405       
 [5, 7, 14, 0, 0]    |0.7318695600302315  |0.46201728389143454 |184       
 [5, 9, 0, 0, 0]     |0.6701854343687886  |0.5500748950678671  |79        
 [15, 12, 3, 19, 0]  |0.8846824528208291  |0.34905474426110705 |372       
 [20, 12, 4, 0, 0]   |0.7846132238478983  |0.31190257763769014 |369       
 [7, 0, 0, 0, 0]     |0.6390854045905641  |0.5943914440002092  |29        
 [11, 0, 0, 0, 0]    |0.5800625662199083  |0.5183423703310677  |45        
 [19, 11, 6, 19, 6]  |1.6114612462992315  |0.3515657160793034  |609       
 [9, 19, 7, 0, 0]    |0.8769769867075492  |0.3521230720874331  |365       
 [11, 9, 0, 0, 0]    |0.42697260310298035 |0.29272097449809    |151       
 [14, 0, 0, 0, 0]    |0.4564034916477819  |0.3957874276924856  |57        
 [3, 10, 0, 0, 0]    |0.9759729403885408  |0.8400276945674345  |60        
Gen 1 Train time: 8.31942485968272 minutes:
 Average MSE:        0.7145478069601887
 Average Error:      1.10993404162125
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.47347587448151807 |0.4065069231098889  |61        
 [11, 9, 0, 0, 0]    |0.6103550268815472  |0.4184430498822497  |151       
 [14, 0, 0, 0, 0]    |0.6000014520744155  |0.520313791796214   |57        
 [7, 8, 1, 9, 3]     |3.4607958733350626  |2.40247290464153    |146       
 [14, 4, 0, 0, 0]    |0.37861629643841627 |0.28975139068054534 |107       
 [9, 13, 8, 0, 0]    |0.9110400987236679  |0.45467683436283834 |278       
 [10, 4, 7, 0, 0]    |0.46101567599354787 |0.3440999084485868  |117       
 [13, 5, 0, 0, 0]    |0.4765333848782267  |0.35746511728430785 |115       
 [16, 4, 1, 3, 9]    |1.7099335296422467  |1.1095499672515867  |173       
 [8, 10, 4, 0, 0]    |0.6411288945986868  |0.4265503953986659  |163       
