/tmp/tmp.OumE1csajd ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k4.mat
  Evaluating with: datasets/N3dataset100k4.mat
Gen 0 Train time: 8.902525568008423 minutes:
 Average MSE:        1.1183301969946282
 Average Error:      3.542055068828368
 Structure           |Error               |MSE                 |weights&biases
 [4, 14, 18, 0, 0]   |1.182977753317391   |0.46791659231765204 |371       
 [9, 0, 0, 0, 0]     |0.6772660328203416  |0.6174290444336956  |37        
 [16, 9, 14, 3, 0]   |1.0369485869709631  |0.39112907804356756 |390       
 [1, 3, 8, 19, 15]   |13.66702574292294   |3.6509450488107698  |528       
 [9, 17, 20, 0, 0]   |1.3034766042736832  |0.3072894953398807  |578       
 [14, 0, 0, 0, 0]    |0.4532362685578298  |0.39304085124721205 |57        
 [15, 9, 20, 18, 7]  |11.834309543656525  |1.2226283187333944  |908       
 [19, 11, 19, 20, 0] |2.9740005228836144  |0.2937306828655585  |926       
 [4, 8, 19, 3, 16]   |3.06362290693063    |1.233182433343924   |364       
 [7, 17, 1, 11, 0]   |0.6258400630961434  |0.3711457520758256  |209       
 [5, 0, 0, 0, 0]     |0.7585986270579159  |0.7197995852309018  |21        
 [9, 9, 0, 0, 0]     |0.46834090208647045 |0.34093657196273475 |127       
 [18, 16, 12, 8, 17] |2.697904995992775   |0.33286294323977844 |837       
 [9, 0, 0, 0, 0]     |1.3627050222016968  |1.2423089582674862  |37        
 [1, 7, 16, 19, 8]   |17.932658130458552  |3.6477973769596614  |637       
 [14, 0, 0, 0, 0]    |0.38126833974158875 |0.3306311590695769  |57        
 [1, 10, 7, 16, 3]   |6.8274119216014295  |3.3650595968697963  |283       
 [19, 1, 0, 0, 0]    |0.45486015272034125 |0.37334018011575004 |79        
 [7, 17, 8, 0, 0]    |0.8845337883324154  |0.40750806070608264 |310       
 [14, 11, 1, 1, 11]  |0.6772623995656315  |0.358009237627107   |255       
 [4, 1, 8, 4, 0]     |3.030621984338577   |2.518762913920221   |74        
 [14, 7, 0, 0, 0]    |0.3874462412702257  |0.2629797694467335  |155       
 [9, 0, 0, 0, 0]     |1.1859271342605637  |1.081149536209988   |37        
 [7, 19, 10, 0, 0]   |0.9970597100888487  |0.3817670698854278  |384       
 [13, 8, 13, 16, 2]  |13.686073345562098  |3.6469046681429753  |529       
Gen 1 Train time: 8.586780377229054 minutes:
 Average MSE:        0.36890548845251425
 Average Error:      0.7808243688021232
 Structure           |Error               |MSE                 |weights&biases
