/tmp/tmp.Lc7ajIQEGz ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k5.mat
  Evaluating with: datasets/N3dataset100k5.mat
Gen 0 Train time: 8.2350878794988 minutes:
 Average MSE:        0.9612164028989746
 Average Error:      2.1983875487421467
 Structure           |Error               |MSE                 |weights&biases
 [4, 0, 0, 0, 0]     |2.0734464083153585  |1.987171268498092   |17        
 [14, 4, 0, 0, 0]    |0.3848691866239857  |0.294536667078008   |107       
 [13, 8, 14, 17, 1]  |14.530381439103007  |3.6555323378558766  |552       
 [11, 3, 7, 12, 5]   |2.1618126462383866  |1.1173357511293418  |264       
 [15, 0, 0, 0, 0]    |0.48510810184215813 |0.41649387536688937 |61        
 [2, 2, 0, 0, 0]     |1.4410597303837371  |1.388020687907888   |15        
 [13, 20, 2, 3, 7]   |1.031014809722897   |0.3736422722368606  |406       
 [5, 11, 0, 0, 0]    |0.6396324399909996  |0.5069405299889348  |93        
 [4, 5, 0, 0, 0]     |1.258609054092826   |1.1303272424247792  |43        
 [18, 0, 0, 0, 0]    |0.40051532547941754 |0.3337032188474079  |73        
 [8, 19, 7, 0, 0]    |0.8408408353884556  |0.35670260153732053 |343       
 [8, 1, 17, 0, 0]    |0.7279553799863462  |0.5885958323096632  |85        
 [9, 13, 14, 16, 16] |9.220345352684564   |1.0165479186222421  |882       
 [9, 0, 0, 0, 0]     |0.578783583259308   |0.5276475969975319  |37        
 [13, 0, 0, 0, 0]    |0.5795649589438564  |0.507642648044065   |53        
 [15, 8, 11, 15, 0]  |1.0581437238693903  |0.32841283099661267 |468       
 [6, 13, 12, 0, 0]   |1.1079052314787134  |0.536585723679319   |290       
 [4, 14, 12, 15, 0]  |2.6745152467353166  |0.8197696832617549  |473       
 [4, 5, 20, 1, 0]    |3.7581102370228887  |2.3962768840237687  |180       
 [18, 13, 0, 0, 0]   |0.8051313411155301  |0.36631932319745564 |315       
 [11, 11, 0, 0, 0]   |0.5684023754514061  |0.3651577950635847  |177       
 [8, 0, 0, 0, 0]     |0.6110630253715729  |0.5626738230135271  |33        
 [2, 7, 6, 6, 2]     |5.089258557882365   |3.64054047774896    |134       
 [8, 0, 0, 0, 0]     |0.5487937937877773  |0.5053356023446138  |33        
 [19, 18, 20, 0, 0]  |2.384425933783399   |0.30849748029986657 |818       
Gen 1 Train time: 8.303146036465963 minutes:
 Average MSE:        0.5310274193995373
 Average Error:      1.399949459136036
 Structure           |Error               |MSE                 |weights&biases
 [14, 4, 0, 0, 0]    |0.4658409667291299  |0.3565035874457925  |107       
 [18, 0, 0, 0, 0]    |0.37544161596080433 |0.3128121891101798  |73        
 [15, 0, 0, 0, 0]    |0.4160640579862994  |0.35721549743972647 |61        
 [16, 0, 0, 0, 0]    |0.47785739550798373 |0.40618647501498806 |65        
 [10, 17, 7, 2, 4]   |1.1605811819026224  |0.4533553148444554  |376       
 [12, 0, 0, 0, 0]    |0.43685897611254465 |0.3864917157943325  |49        
 [11, 2, 17, 0, 0]   |0.46968623653766245 |0.34277178982249057 |126       
 [13, 1, 9, 0, 0]    |0.5109942891185757  |0.4173221286079717  |81        
 [15, 2, 0, 0, 0]    |0.4320625105650934  |0.35374286465172244 |80        
 [5, 15, 5, 4, 14]   |1.0091488498339056  |0.4838923824135934  |294       
 [13, 6, 9, 0, 0]    |0.5034265594154845  |0.308412397831375   |196       
 [12, 17, 0, 0, 0]   |0.7673887547315478  |0.38586729845881956 |275       
 [2, 12, 16, 4, 3]   |8.478864069469058   |3.651275237670734   |337       
 [8, 4, 6, 0, 0]     |0.4804296522248686  |0.37697573136270773 |97        
 [10, 6, 9, 0, 0]    |0.7111131244842933  |0.46606798932090693 |169       
 [10, 8, 0, 0, 0]    |1.4368351474822558  |1.0459681131325262  |127       
 [15, 7, 8, 12, 18]  |1.8668628051154907  |0.43572645806747967 |582       
 [18, 3, 9, 7, 12]   |0.6078366917951391  |0.26905242440174926 |326       
 [5, 8, 0, 0, 0]     |0.4555757244474194  |0.3805288316730394  |72        
 [11, 2, 0, 0, 0]    |0.3815508572966414  |0.3284038662870382  |60        
 [8, 19, 7, 0, 0]    |0.9280434676523666  |0.3936958165196413  |343       
 [14, 9, 10, 0, 0]   |0.6131361864993853  |0.2984454219892697  |288       
 [11, 20, 14, 20, 18]|9.127004675558334   |0.3872199372058547  |1264      
 [19, 20, 12, 13, 0] |2.418730026134705   |0.2600822426325751  |892       
 [11, 0, 0, 0, 0]    |0.46740265583929014 |0.4176697732894642  |45        
Gen 2 Train time: 8.290796168645223 minutes:
 Average MSE:        0.49728779044450827
 Average Error:      0.8220890298753587
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.40203648060595887 |0.334970621939875   |73        
 [11, 2, 0, 0, 0]    |0.462285698282108   |0.39789298789863803 |60        
 [15, 0, 0, 0, 0]    |0.40144197954482974 |0.34466158194567464 |61        
 [16, 5, 5, 0, 0]    |0.5360015870976982  |0.35129879251294416 |169       
 [9, 5, 8, 0, 0]     |0.5720369141120057  |0.4091997914639059  |134       
 [14, 15, 0, 0, 0]   |0.7404353388321328  |0.36494195332133683 |283       
 [11, 1, 9, 0, 0]    |0.436413193004606   |0.36361277081916843 |73        
 [15, 2, 5, 4, 6]    |0.7598244007383195  |0.5183171714224957  |153       
 [10, 10, 7, 2, 0]   |2.0740492104755774  |1.1497020672486749  |236       
 [15, 1, 15, 0, 0]   |0.4958441248808962  |0.3794647142674867  |107       
 [13, 4, 8, 4, 6]    |0.5704882424996418  |0.3391669825414401  |208       
 [17, 1, 0, 0, 0]    |0.49589630069634927 |0.4152442219179985  |71        
 [13, 6, 14, 0, 0]   |0.4683833047801497  |0.25963764555375546 |236       
 [18, 2, 9, 0, 0]    |0.370912972081399   |0.2686655932518527  |129       
 [15, 1, 17, 0, 0]   |0.4593443406288274  |0.34629815590309143 |113       
 [13, 1, 5, 0, 0]    |1.2385076505255628  |1.042276379056582   |69        
