/tmp/tmp.HHSkQtXcMX ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k6.mat
  Evaluating with: datasets/N3dataset100k6.mat
Gen 0 Train time: 8.736007877190907 minutes:
 Average MSE:        0.9282807673852713
 Average Error:      2.4148243719551696
 Structure           |Error               |MSE                 |weights&biases
 [19, 19, 7, 1, 10]  |1.8754397434481496  |0.4020588378603433  |616       
 [18, 2, 6, 19, 17]  |1.4913419729138147  |0.3319325038387154  |601       
 [8, 4, 0, 0, 0]     |0.4423018889188982  |0.37596372231815023 |65        
 [14, 15, 7, 0, 0]   |0.8826247071868744  |0.3354255721038283  |387       
 [10, 10, 13, 15, 0] |1.8108744334235032  |0.5072810148631274  |509       
 [6, 10, 7, 0, 0]    |1.549469446804242   |1.0054272544258933  |173       
 [5, 20, 15, 0, 0]   |2.4770261047319866  |0.772640576512359   |466       
 [2, 14, 20, 10, 0]  |10.09962396556909   |2.435125248633857   |569       
 [6, 7, 0, 0, 0]     |0.47426443767651183 |0.39317902855128206 |75        
 [6, 2, 0, 0, 0]     |1.1959698973187942  |1.0957701898498415  |35        
 [4, 0, 0, 0, 0]     |2.0451936505946025  |1.960094094873846   |17        
 [20, 0, 0, 0, 0]    |0.40119308095236395 |0.3276489661256853  |81        
 [5, 16, 8, 16, 0]   |1.2589831453996279  |0.4539829519942928  |408       
 [6, 11, 20, 0, 0]   |1.0191913231393086  |0.41853678000243183 |356       
 [10, 20, 0, 0, 0]   |0.784029554810788   |0.39819694401488415 |271       
 [20, 16, 6, 8, 17]  |2.9657769850981888  |0.4841497837565095  |725       
 [16, 5, 20, 16, 0]  |1.532028462622717   |0.3367523955042063  |606       
 [20, 20, 20, 0, 0]  |2.876020385736948   |0.2876265125335171  |921       
 [18, 19, 0, 0, 0]   |0.9536188074657351  |0.32142493048876114 |435       
 [1, 17, 11, 7, 20]  |6.8242488096078     |1.955180018920077   |500       
 [4, 0, 0, 0, 0]     |3.145380789575691   |3.0145029591620904  |17        
 [5, 18, 8, 11, 13]  |2.448984564570948   |0.6285582810900452  |544       
 [18, 1, 16, 17, 0]  |1.0626458413162774  |0.37937196196976863 |412       
 [11, 2, 9, 17, 4]   |7.922809143956164   |3.463382916116091   |331       
 [9, 2, 20, 6, 17]   |2.831568156040198   |1.1228057391221806  |370       
Gen 1 Train time: 8.369502902030945 minutes:
 Average MSE:        0.4684120260901618
 Average Error:      0.861488289825019
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.3760407731773285  |0.30710741635966643 |81        
 [8, 4, 0, 0, 0]     |0.555443880836094   |0.47213623592791854 |65        
 [6, 7, 0, 0, 0]     |0.5306696626413725  |0.4399406024646676  |75        
 [8, 3, 0, 0, 0]     |0.6817062676253068  |0.5941304288438103  |55        
 [6, 7, 20, 0, 0]    |1.0306578024726305  |0.5544366319037023  |248       
 [10, 1, 3, 18, 12]  |2.7349206382339997  |1.1119357533043392  |360       
 [17, 8, 4, 0, 0]    |0.5247649686283152  |0.29089154018352276 |236       
 [17, 3, 18, 17, 0]  |1.2866412179302826  |0.35240828175191447 |518       
 [17, 8, 13, 0, 0]   |0.7517889786428786  |0.33277136782416095 |326       
 [15, 10, 19, 0, 0]  |1.1034301955526267  |0.372851033687385   |434       
 [9, 12, 17, 0, 0]   |1.219433388661587   |0.46458363428127425 |386       
 [12, 5, 10, 8, 0]   |0.6354754181153787  |0.33341014831466453 |258       
 [13, 3, 8, 9, 0]    |0.6139084645857167  |0.3686493187791494  |204       
 [7, 6, 0, 0, 0]     |0.5641303258210103  |0.4665127256721295  |76        
 [9, 7, 7, 8, 0]     |0.8210684128059386  |0.46666256360036407 |226       
 [13, 4, 14, 2, 13]  |0.8352024297572513  |0.4492925013534702  |248       
 [19, 1, 8, 9, 0]    |0.5529013347153572  |0.3490375701847558  |184       
 [11, 8, 4, 0, 0]    |0.6223144707195762  |0.406850397805532   |170       
 [14, 2, 0, 0, 0]    |0.44316296494087015 |0.36739500203514125 |75        
 [20, 6, 3, 13, 8]   |0.9859844751652364  |0.3813206450356527  |380       
 [6, 0, 0, 0, 0]     |1.2607192837543646  |1.1843361636996992  |25        
 [11, 10, 4, 0, 0]   |0.7641619541768015  |0.4611759998749224  |202       
 [20, 16, 7, 5, 14]  |1.478065696781882   |0.28815241252360635 |654       
 [20, 1, 0, 0, 0]    |0.3998167834433588  |0.32489641250920037 |83        
 [7, 6, 6, 0, 0]     |0.76479745644031    |0.5694158643333938  |118       
Gen 2 Train time: 8.566443586349488 minutes:
 Average MSE:        0.8092341545592897
 Average Error:      1.8794567093379615
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.4766953678777012  |0.3893106632628523  |81        
 [20, 1, 0, 0, 0]    |0.4168270747389455  |0.3387192004624118  |83        
 [14, 2, 0, 0, 0]    |0.5093809489300857  |0.42229163890940447 |75        
 [11, 6, 4, 9, 6]    |1.7349721557545839  |0.940344825557492   |245       
 [12, 6, 6, 5, 0]    |0.5453723392794386  |0.33327525919905276 |197       
 [15, 9, 5, 4, 19]   |0.97053665994574    |0.3772277725321308  |378       
 [20, 1, 13, 0, 0]   |0.4385374020120405  |0.3240653210098425  |121       
 [4, 6, 13, 20, 1]   |9.717709623316965   |3.2672542564118103  |436       
 [5, 6, 6, 5, 0]     |0.7793773531960433  |0.5575183043817808  |134       
 [20, 1, 4, 5, 0]    |0.5511006126165049  |0.4082653752551638  |120       
 [8, 5, 0, 0, 0]     |0.39464169148914674 |0.32716945349246895 |75        
 [20, 4, 7, 0, 0]    |0.41859270690424416 |0.26227626302858226 |187       
 [8, 4, 0, 0, 0]     |0.4374714975573338  |0.3718578119387347  |65        
 [13, 6, 2, 0, 0]    |1.5278945967310638  |1.0766891246619572  |140       
 [5, 14, 6, 18, 16]  |3.812352890654959   |0.7774363953735093  |636       
 [11, 9, 2, 20, 12]  |1.6473609554164568  |0.488788492629069   |486       
 [15, 8, 2, 0, 0]    |0.5187271014518919  |0.3193788222495928  |194       
 [20, 1, 16, 0, 0]   |0.4504758754157327  |0.32548114214372514 |130       
 [1, 9, 18, 4, 5]    |7.770533275006956   |3.5978584540754666  |308       
 [9, 4, 2, 0, 0]     |0.3913523140761516  |0.3204121748223785  |80        
 [17, 2, 4, 5, 0]    |0.7672009954880038  |0.5543237049815107  |130       
 [4, 11, 10, 17, 5]  |11.16492429796512   |3.4479405299915697  |470       
 [10, 6, 2, 20, 0]   |0.515817120019435   |0.3199780130112943  |191       
 [14, 4, 3, 0, 0]    |0.42573471710762645 |0.314604540300372   |121       
 [16, 2, 8, 9, 0]    |0.6028281604968704  |0.3683863243000693  |197       
Increasing Epochs
Gen 3 Train time: 9.791946911811829 minutes:
 Average MSE:        0.43151950305768133
 Average Error:      0.7368482163638116
 Structure           |Error               |MSE                 |weights&biases
 [9, 4, 2, 0, 0]     |0.4219472252551356  |0.34546116949230204 |80        
