/tmp/tmp.monxQtvxTO ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k2.mat
  Evaluating with: datasets/N4dataset100k2.mat
Gen 0 Train time: 8.244944628079732 minutes:
 Average MSE:        0.6021454026242047
 Average Error:      1.1969388095504607
 Structure           |Error               |MSE                 |weights&biases
 [3, 5, 15, 12, 0]   |4.118739108467502   |1.8322543150696535  |324       
 [16, 17, 1, 0, 0]   |2.3181292231753026  |0.9495761907434082  |357       
 [10, 20, 0, 0, 0]   |0.4716022736101429  |0.2395197770157404  |271       
 [12, 3, 0, 0, 0]    |0.5509743254285112  |0.45222878430747926 |79        
 [12, 13, 16, 3, 10] |1.104971937259403   |0.2929714656703433  |531       
 [8, 2, 12, 0, 0]    |0.530054245833931   |0.4222000914166696  |91        
 [10, 0, 0, 0, 0]    |0.3724595967987174  |0.336173893736307   |41        
 [9, 0, 0, 0, 0]     |0.5062530811453863  |0.461525221974519   |37        
 [5, 3, 7, 7, 2]     |4.055617743756595   |2.8866683504753987  |136       
 [17, 20, 1, 0, 0]   |0.856074405912993   |0.28926907061675583 |434       
 [13, 0, 0, 0, 0]    |0.37404917351509237 |0.3276307685818697  |53        
 [17, 16, 9, 0, 0]   |0.7976684897993718  |0.2273960213314748  |502       
 [10, 3, 7, 18, 0]   |0.8918009012250024  |0.47259694607271935 |254       
 [9, 0, 0, 0, 0]     |0.6385532498425647  |0.5821365663777669  |37        
 [8, 9, 20, 10, 0]   |1.172119959733029   |0.3146841129445262  |526       
 [2, 10, 2, 0, 0]    |2.3175233574207272  |1.9897302904652499  |61        
 [15, 0, 0, 0, 0]    |0.44207677135512    |0.3795489438584658  |61        
 [13, 6, 20, 10, 0]  |0.9898707262501432  |0.2951767575550795  |484       
 [5, 7, 18, 7, 0]    |1.0571297570328781  |0.44957951645897154 |342       
 [19, 0, 0, 0, 0]    |0.3322112092849123  |0.27403913898267235 |77        
 [12, 12, 20, 0, 0]  |0.8404337591916706  |0.257602613189823   |473       
 [20, 19, 0, 0, 0]   |0.8018920379459911  |0.24212980890457353 |479       
 [12, 10, 14, 17, 15]|3.253391460474625   |0.378022326060904   |861       
 [9, 8, 6, 5, 0]     |0.6769110821928416  |0.4085196121717316  |202       
 [10, 12, 0, 0, 0]   |0.4529623621090654  |0.2924544816230153  |175       
Gen 1 Train time: 7.898713910579682 minutes:
 Average MSE:        0.5533929317310844
 Average Error:      1.3670428926683866
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.3332757931055397  |0.2749173081275593  |77        
 [10, 0, 0, 0, 0]    |0.48188631345595384 |0.43494005719033313 |41        
 [13, 0, 0, 0, 0]    |0.32255871412717046 |0.2825301241255126  |53        
 [14, 4, 3, 3, 0]    |0.410194433180674   |0.2941621878422739  |133       
 [20, 0, 0, 0, 0]    |0.36566650233890285 |0.29863488959911244 |81        
 [10, 10, 0, 0, 0]   |0.5984464650082224  |0.4102788589924898  |151       
 [13, 9, 11, 0, 0]   |0.6041672062617583  |0.294815869767039   |287       
 [10, 6, 0, 0, 0]    |0.380152452788661   |0.29385086120363885 |103       
 [15, 10, 0, 0, 0]   |0.6377193370530275  |0.37162982917275106 |216       
 [14, 11, 6, 0, 0]   |0.7301701485529811  |0.357193476941274   |286       
 [12, 0, 0, 0, 0]    |0.48263720684581035 |0.4269919868419179  |49        
 [8, 2, 12, 0, 0]    |0.37968374409990824 |0.30242661525369297 |91        
 [15, 0, 0, 0, 0]    |0.3571304015506654  |0.3066174825535424  |61        
 [2, 16, 13, 13, 3]  |10.740312551589765  |3.054158761731227   |503       
 [11, 2, 0, 0, 0]    |0.3273698646363599  |0.28176985373370644 |60        
 [12, 11, 4, 9, 0]   |0.6740985511243588  |0.33307787400418776 |282       
 [8, 11, 2, 4, 19]   |1.9005666331138444  |0.958057070408611   |274       
 [3, 16, 7, 19, 16]  |9.470989696033316   |1.7258736918563033  |681       
 [12, 16, 0, 0, 0]   |0.7881752943178479  |0.41043620953948723 |261       
 [14, 0, 0, 0, 0]    |0.3696798394039745  |0.3205817558038862  |57        
 [10, 12, 0, 0, 0]   |0.4605958748078072  |0.29738304784842656 |175       
 [8, 1, 0, 0, 0]     |1.296493298141813   |1.1878716267264167  |35        
 [12, 10, 0, 0, 0]   |0.4421792701756485  |0.2840684949494355  |177       
 [11, 7, 13, 8, 10]  |1.1908268608470867  |0.4023825229716255  |434       
 [14, 13, 0, 0, 0]   |0.4310958641485625  |0.2301728360926604  |251       
Gen 2 Train time: 7.787710467974345 minutes:
