/tmp/tmp.ReUMQbzf5m ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k3.mat
  Evaluating with: datasets/N4dataset100k3.mat
Gen 0 Train time: 8.339037557442984 minutes:
 Average MSE:        0.6800322951389016
 Average Error:      1.3472660891313717
 Structure           |Error               |MSE                 |weights&biases
 [6, 17, 12, 0, 0]   |1.2331541228550893  |0.49389872873590346 |366       
 [15, 3, 17, 5, 8]   |0.8222270581608494  |0.3807018730475694  |308       
 [16, 11, 6, 7, 0]   |0.7205353284627253  |0.2900329239782795  |364       
 [18, 8, 7, 0, 0]    |0.6173895847997769  |0.30889463832971104 |277       
 [13, 0, 0, 0, 0]    |0.38439775293804573 |0.3366951196622656  |53        
 [18, 11, 13, 0, 0]  |0.642903142049289   |0.21778189459061914 |433       
 [9, 4, 18, 0, 0]    |0.5420085317686775  |0.3490732349968272  |176       
 [15, 15, 13, 16, 11]|2.7558495369136313  |0.2790751320049065  |916       
 [12, 0, 0, 0, 0]    |0.3734187599219822  |0.3303657819196507  |49        
 [16, 7, 16, 0, 0]   |0.6049024965063653  |0.27729094065205484 |312       
 [18, 13, 0, 0, 0]   |0.7164173365320388  |0.32595615205057893 |315       
 [19, 3, 0, 0, 0]    |0.4632730690684352  |0.34234419950058304 |121       
 [16, 6, 0, 0, 0]    |0.388080833784538   |0.2620967348025281  |157       
 [14, 0, 0, 0, 0]    |0.36703145430355816 |0.31828510920583214 |57        
 [13, 12, 7, 11, 0]  |0.8010906208094825  |0.29618198371762045 |398       
 [3, 0, 0, 0, 0]     |3.0687930235594805  |2.970660540691269   |13        
 [2, 17, 14, 5, 13]  |5.903935490799553   |1.796102717979317   |476       
 [16, 0, 0, 0, 0]    |0.46034904890343714 |0.39130409868788024 |65        
 [10, 2, 10, 9, 0]   |0.5563298474424181  |0.3451093658093284  |191       
 [3, 2, 10, 0, 0]    |2.780489428294692   |2.405185341233649   |58        
 [19, 7, 0, 0, 0]    |0.39441871997007294 |0.23625532032849178 |205       
 [4, 5, 15, 9, 10]   |1.4403524906939311  |0.5542651308561557  |382       
 [8, 5, 3, 0, 0]     |1.162300602441237   |0.9257984903644878  |91        
 [10, 11, 5, 16, 5]  |6.113250104246921   |2.2602118859014992  |398       
 [18, 0, 0, 0, 0]    |0.3687538430580591  |0.3072400394255324  |73        
Gen 1 Train time: 8.39113689661026 minutes:
 Average MSE:        0.5491895677620466
 Average Error:      1.3441383227036174
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.3091752372440288  |0.26811291783337704 |57        
 [18, 0, 0, 0, 0]    |0.3226794131849119  |0.26885153197747347 |73        
 [12, 0, 0, 0, 0]    |0.4132674319603751  |0.36562013737617316 |49        
 [18, 3, 4, 19, 8]   |0.7186104377685881  |0.2703775727506442  |391       
 [2, 3, 0, 0, 0]     |1.8734362942452072  |1.7865284709390064  |19        
 [18, 14, 7, 20, 20] |3.7332021945791927  |0.28715485696389165 |1026      
 [14, 3, 0, 0, 0]    |0.33624546794408455 |0.26782705434437953 |91        
 [16, 7, 0, 0, 0]    |0.33762182974840715 |0.21798503686694773 |175       
 [15, 0, 0, 0, 0]    |0.4275025277343487  |0.36703609737516535 |61        
 [16, 2, 0, 0, 0]    |0.3512414566187077  |0.28399990326883    |85        
 [15, 9, 0, 0, 0]    |0.39868936158302115 |0.24242262111436794 |199       
 [19, 8, 4, 0, 0]    |0.43935074711163347 |0.23051087985602042 |258       
 [16, 4, 8, 0, 0]    |0.41988647660139694 |0.2779619908926098  |165       
 [17, 17, 7, 16, 9]  |1.9024107580845844  |0.2747542827384063  |774       
 [17, 13, 0, 0, 0]   |0.5279410900987521  |0.25000594702992174 |299       
 [1, 18, 0, 0, 0]    |3.426224976971859   |2.9637609862934946  |58        
 [10, 3, 3, 15, 15]  |0.7923922411560542  |0.29813801688643127 |391       
 [20, 20, 11, 10, 4] |8.083855942906919   |0.895716770220209   |880       
 [15, 9, 7, 16, 0]   |0.9272379131339874  |0.3377176465416897  |404       
 [14, 8, 5, 5, 0]    |0.5045110748942108  |0.2748127046887101  |243       
 [18, 4, 4, 0, 0]    |0.4401763675771321  |0.2987704288518297  |155       
 [13, 3, 14, 7, 4]   |3.1751810537035965  |1.580695050213452   |279       
 [11, 8, 11, 12, 7]  |2.5972840946694222  |0.8000879019612714  |471       
