/tmp/tmp.MiGBe8cwOj ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k0.mat
  Evaluating with: datasets/N5dataset100k0.mat
Gen 0 Train time: 8.524580530325572 minutes:
 Average MSE:        1.1034061681982228
 Average Error:      1.9816577918431677
 Structure           |Error               |MSE                 |weights&biases
 [8, 6, 14, 14, 0]   |0.9027155856589929  |0.3312613158445591  |401       
 [17, 4, 3, 0, 0]    |0.33223118895037856 |0.23295168669761473 |142       
 [13, 3, 10, 17, 1]  |8.222387070651104   |3.621399541515602   |328       
 [11, 10, 0, 0, 0]   |0.3555050744532255  |0.23593103158561393 |164       
 [1, 11, 1, 11, 1]   |4.346567202074014   |3.621493046570597   |73        
 [8, 7, 11, 11, 12]  |1.2821124123720105  |0.40192452361668557 |464       
 [3, 13, 12, 0, 0]   |3.295099053335583   |1.7993693262712778  |242       
 [19, 6, 15, 17, 7]  |1.2369218587978574  |0.22149083252245627 |688       
 [13, 19, 0, 0, 0]   |0.5275759004577277  |0.23411038669172024 |325       
 [4, 3, 19, 0, 0]    |2.0429005234233246  |1.5021097549776052  |123       
 [19, 9, 15, 2, 0]   |0.6629316524425066  |0.23082778120206493 |422       
 [15, 12, 13, 0, 0]  |0.6639869906201452  |0.23235411293670344 |420       
 [14, 4, 12, 20, 0]  |0.8729988047349553  |0.28842474038261345 |443       
 [7, 6, 0, 0, 0]     |0.7109818857235246  |0.5879529644673445  |76        
 [3, 19, 13, 0, 0]   |3.4162092141473632  |1.3924036793592793  |359       
 [14, 5, 0, 0, 0]    |0.39905566754469207 |0.293418795543463   |123       
 [8, 6, 12, 16, 7]   |3.4894950953462     |1.0072834501579622  |497       
 [1, 14, 5, 9, 5]    |6.215143322777451   |3.621863909602431   |216       
 [3, 12, 0, 0, 0]    |0.6634575332300259  |0.5569440842521649  |70        
 [6, 7, 0, 0, 0]     |0.506698186107331   |0.420067550412169   |75        
 [3, 7, 12, 0, 0]    |1.8611480268421756  |1.292002727021997   |146       
 [9, 3, 4, 1, 0]     |2.0792937490615526  |1.7023817370395051  |80        
 [18, 12, 17, 17, 0] |1.4562603674468255  |0.18421932594124235 |827       
 [2, 0, 0, 0, 0]     |3.1078710013779602  |3.0387247166345936  |9         
 [6, 11, 5, 7, 0]    |0.8918974285022834  |0.5342431837083021  |205       
Gen 1 Train time: 8.313703989982605 minutes:
 Average MSE:        0.5061717551950641
 Average Error:      0.9657812157723211
 Structure           |Error               |MSE                 |weights&biases
 [17, 4, 3, 0, 0]    |0.2667422137975318  |0.18703255649749254 |142       
 [11, 10, 0, 0, 0]   |0.3726687339888278  |0.24732169852967104 |164       
 [14, 5, 0, 0, 0]    |0.3896358652439231  |0.2864925762960202  |123       
 [10, 8, 2, 0, 0]    |0.3420777061260471  |0.24166148441315133 |139       
 [10, 6, 0, 0, 0]    |0.31008631173243495 |0.23969102154048733 |103       
 [10, 8, 2, 14, 0]   |0.4012448357126059  |0.2476637065261848  |193       
 [10, 6, 6, 0, 0]    |0.39583549032759563 |0.275475500290784   |145       
 [12, 6, 2, 0, 0]    |0.36065575315108406 |0.25993300142850834 |131       
 [16, 8, 8, 0, 0]    |0.6936235653506267  |0.357605134103214   |265       
 [15, 9, 7, 0, 0]    |0.4213497019831022  |0.2161479517320714  |267       
 [10, 8, 2, 18, 0]   |0.4946261834865538  |0.29333118426186544 |209       
 [13, 3, 7, 0, 0]    |0.3666333457880394  |0.2736533859677888  |117       
 [13, 8, 0, 0, 0]    |0.4212828746460708  |0.28239435592678064 |160       
 [14, 7, 2, 0, 0]    |0.3099462206657292  |0.20466997435785617 |166       
 [7, 11, 16, 0, 0]   |0.7104143546234994  |0.3208097915676162  |318       
 [9, 9, 8, 0, 0]     |0.5372093934579166  |0.3209829320256079  |206       
 [14, 6, 7, 20, 3]   |6.427116058585921   |2.317585530631221   |408       
 [15, 9, 6, 0, 0]    |0.37526432697384393 |0.19787403662692132 |256       
 [17, 4, 14, 0, 0]   |0.3650608426419129  |0.21703617220993093 |208       
 [4, 1, 8, 17, 2]    |6.355484190247844   |3.6212457344521396  |225       
 [10, 6, 4, 0, 0]    |0.5473569366318555  |0.396470296726214   |129       
 [16, 5, 2, 0, 0]    |1.3421781471340413  |0.9270885240567169  |148       
 [15, 8, 13, 10, 0]  |0.9120397695984633  |0.30283363524963064 |441       
 [11, 10, 13, 0, 0]  |0.47784111066247087 |0.22014320639894555 |310       
 [18, 8, 10, 9, 0]   |0.5481564617500814  |0.1991504880597814  |405       
Gen 2 Train time: 8.450757936636608 minutes:
 Average MSE:        0.5978206291958622
 Average Error:      0.978762219451723
 Structure           |Error               |MSE                 |weights&biases
 [17, 4, 3, 0, 0]    |0.3053788770197636  |0.2141235586831148  |142       
 [14, 7, 2, 0, 0]    |0.56793814589577    |0.37503243468388026 |166       
 [10, 6, 0, 0, 0]    |0.35302886532261807 |0.272884826452681   |103       
 [15, 9, 7, 0, 0]    |0.47005869825463426 |0.24113515292258986 |267       
 [15, 7, 7, 5, 0]    |0.4530235195734852  |0.23709100238035666 |259       
 [10, 8, 2, 14, 0]   |0.42870822682632215 |0.2646151651659491  |193       
 [13, 5, 5, 0, 0]    |0.41579949637623703 |0.2893691371385215  |145       
 [14, 5, 2, 0, 0]    |0.35099228057762294 |0.25233668075865084 |132       
 [13, 7, 10, 5, 0]   |0.5578593182458067  |0.2784133313068903  |278       
 [14, 6, 3, 7, 0]    |0.3242060762791011  |0.2021235919227482  |189       
 [5, 4, 9, 11, 4]    |4.426203586308844   |2.3870116749045125  |247       
 [20, 7, 2, 0, 0]    |0.4176536553766897  |0.23737769286371857 |226       
 [13, 8, 3, 0, 0]    |0.3810886538855438  |0.24178092206580892 |182       
 [15, 7, 3, 0, 0]    |0.3421941960270314  |0.2154822200457016  |185       
 [14, 5, 7, 0, 0]    |0.3509877879543771  |0.23119266966811067 |167       
 [11, 1, 11, 5, 0]   |0.8610995759518612  |0.6175191926617007  |133       
 [12, 18, 10, 0, 0]  |0.7356835780649259  |0.2266257787083724  |471       
 [11, 9, 8, 1, 0]    |5.114552354760035   |2.8636295091433746  |232       
 [12, 7, 1, 0, 0]    |1.3015163874329334  |0.924067679844922   |137       
 [13, 8, 7, 0, 0]    |0.5045503706091296  |0.2896483721430828  |222       
 [1, 13, 3, 9, 0]    |4.07711102278397    |3.0431362808893354  |117       
 [17, 6, 5, 9, 0]    |0.4796080586784403  |0.25163238328103843 |258       
 [14, 8, 1, 0, 0]    |0.44115008925556154 |0.28625561087684603 |173       
 [12, 6, 0, 0, 0]    |0.3383439878105967  |0.2500255451838993  |121       
 [13, 9, 4, 7, 0]    |0.4703186770217735  |0.2530053162007493  |248       
Increasing Epochs
Gen 3 Train time: 10.039967624346415 minutes:
 Average MSE:        0.2719848649377157
 Average Error:      0.794897016073108
 Structure           |Error               |MSE                 |weights&biases
 [17, 4, 3, 0, 0]    |0.28287672611046955 |0.1983456480504462  |142       
 [14, 6, 3, 7, 0]    |0.36944169327323273 |0.23032536252073185 |189       
 [12, 6, 0, 0, 0]    |0.27053387915557203 |0.19991601170242096 |121       
 [16, 6, 3, 0, 0]    |0.3730311044831077  |0.24084698292128753 |175       
 [19, 6, 3, 0, 0]    |0.3872010815409825  |0.23367801152136308 |202       
 [16, 7, 3, 5, 0]    |0.41666666350523734 |0.24220549871008173 |217       
 [18, 8, 5, 0, 0]    |0.4575040498071912  |0.24063607662599273 |257       
 [18, 16, 15, 18, 7] |3.3381641972186777  |0.24670080665502114 |1042      
 [14, 7, 7, 0, 0]    |0.4294680595532205  |0.25341979237476625 |211       
 [16, 5, 3, 0, 0]    |0.30590374344104587 |0.20763266578423528 |155       
 [14, 13, 7, 0, 0]   |0.49271794072275393 |0.20902145077043274 |343       
 [15, 7, 1, 0, 0]    |0.3505841910690817  |0.23092682383363022 |167       
 [20, 12, 8, 11, 15] |1.5619791618423278  |0.2640686189454223  |711       
