/tmp/tmp.rbkCuJ8iH5 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k3.mat
  Evaluating with: datasets/N5dataset100k3.mat
Gen 0 Train time: 8.224826836585999 minutes:
 Average MSE:        0.9557178803668335
 Average Error:      1.6088133763257386
 Structure           |Error               |MSE                 |weights&biases
 [17, 1, 16, 1, 0]   |1.3325790123594299  |0.9871988128539136  |120       
 [13, 19, 18, 0, 0]  |1.4054736026580348  |0.25420209714718756 |684       
 [19, 12, 0, 0, 0]   |0.4091349535786448  |0.18849002005251803 |310       
 [1, 10, 2, 0, 0]    |2.094208510956922   |1.8573963271147016  |48        
 [13, 0, 0, 0, 0]    |0.3944406795724963  |0.3454917485683942  |53        
 [9, 0, 0, 0, 0]     |0.5719968535794552  |0.521460480239865   |37        
 [19, 20, 0, 0, 0]   |0.6066809369753284  |0.18364471854935932 |478       
 [16, 9, 0, 0, 0]    |0.340249292793259   |0.20077373210252314 |211       
 [10, 1, 0, 0, 0]    |0.320071472920717   |0.2874486753363438  |43        
 [12, 16, 11, 1, 6]  |0.822426166342296   |0.2591115622527207  |462       
 [8, 0, 0, 0, 0]     |0.41574985248818547 |0.3828272194584005  |33        
 [1, 0, 0, 0, 0]     |2.4260861495277313  |2.3959488233592667  |5         
 [16, 2, 13, 0, 0]   |0.33278726497991934 |0.23746101008359757 |135       
 [7, 19, 3, 3, 0]    |0.8147694690814021  |0.437206320603775   |249       
 [1, 10, 12, 8, 4]   |7.524686815430274   |3.5544103714605626  |300       
 [1, 15, 0, 0, 0]    |2.7160587171824635  |2.4029131852645484  |49        
 [16, 5, 3, 11, 0]   |0.3574269100872316  |0.21302955115932315 |207       
 [2, 11, 10, 11, 12] |5.3899999940818795  |1.807682040272018   |437       
 [13, 4, 0, 0, 0]    |0.3797318099585207  |0.29573543095281785 |100       
 [6, 6, 2, 20, 0]    |0.6155075948919869  |0.41777678592709366 |155       
 [14, 8, 0, 0, 0]    |0.2706044856836825  |0.17647130626225815 |171       
 [1, 10, 12, 0, 0]   |4.549039554495589   |2.988931972494229   |168       
 [2, 7, 9, 4, 0]     |3.484820932161632   |2.431277064965953   |144       
 [15, 19, 11, 0, 0]  |0.8341201766335499  |0.19517127154013095 |581       
 [19, 1, 10, 5, 20]  |1.8116831997228342  |0.8708864811493389  |293       
Gen 1 Train time: 8.720817506313324 minutes:
 Average MSE:        0.7622822565778656
 Average Error:      1.7687881567088761
 Structure           |Error               |MSE                 |weights&biases
 [14, 8, 0, 0, 0]    |0.6900396517520083  |0.45000066576787534 |171       
 [10, 1, 0, 0, 0]    |0.41247468337711246 |0.370433829246313   |43        
 [16, 2, 13, 0, 0]   |0.3171638708056609  |0.22631290631893738 |135       
 [15, 9, 0, 0, 0]    |0.34034886956169347 |0.20694875008666797 |199       
 [7, 2, 8, 18, 17]   |3.9985809255319444  |0.9762266751140782  |564       
 [6, 11, 7, 11, 3]   |7.582405115871844   |3.519540519773629   |307       
 [15, 3, 8, 6, 1]    |5.683954468545198   |3.552484435656342   |188       
 [14, 8, 5, 0, 0]    |0.3962445781422834  |0.2326491773244251  |213       
 [9, 0, 0, 0, 0]     |0.6280383912426054  |0.5725507038317111  |37        
 [13, 3, 2, 6, 0]    |0.34194401736169655 |0.2571467752352303  |114       
 [11, 8, 1, 10, 0]   |0.39525013514359    |0.25904941059663783 |169       
 [18, 11, 0, 0, 0]   |0.42085892459218316 |0.2116211571558407  |275       
 [18, 13, 2, 6, 0]   |0.6933951314682271  |0.28617399843962726 |354       
 [20, 15, 11, 11, 17]|2.348295068811023   |0.2444338795858715  |905       
 [9, 1, 18, 0, 0]    |0.3491074594593647  |0.2773776074250357  |92        
 [15, 9, 12, 0, 0]   |0.4301259654545076  |0.19230412605439717 |322       
 [8, 12, 1, 10, 0]   |0.5137161879159531  |0.3308519351178649  |176       
 [12, 1, 18, 10, 2]  |6.122360327600113   |2.8919982425868147  |300       
 [13, 2, 8, 0, 0]    |0.3878585744499617  |0.302064561502589   |100       
 [13, 2, 7, 0, 0]    |0.32601317330220075 |0.2564510451942298  |96        
 [17, 20, 6, 0, 0]   |0.9200840215557451  |0.23614947983504977 |544       
 [17, 5, 15, 17, 11] |1.3435722004446442  |0.226011790253157   |713       
 [17, 6, 7, 20, 5]   |7.299733964776042   |2.2041410892079356  |479       
 [16, 6, 7, 0, 0]    |0.40956830184492266 |0.24410627473408839 |207       
 [6, 1, 14, 13, 17]  |1.8685699087113732  |0.5300273784022893  |504       
Increasing Epochs
Gen 2 Train time: 10.144323563575744 minutes:
 Average MSE:        0.4198578644757501
 Average Error:      1.0361330334700367
 Structure           |Error               |MSE                 |weights&biases
 [16, 2, 13, 0, 0]   |0.3389399765263392  |0.24185128955734497 |135       
