/tmp/tmp.DlQyjnbVJw ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k7.mat
  Evaluating with: datasets/N5dataset100k7.mat
Gen 0 Train time: 8.289724012215933 minutes:
 Average MSE:        1.1276048519224113
 Average Error:      1.9313436720700592
 Structure           |Error               |MSE                 |weights&biases
 [18, 17, 0, 0, 0]   |0.6487805668517953  |0.24167516954813192 |395       
 [4, 8, 11, 9, 5]    |2.8000013119936176  |1.2739469117428266  |315       
 [10, 7, 13, 19, 8]  |1.276368293940949   |0.2538577457113205  |646       
 [9, 0, 0, 0, 0]     |0.46028296033088406 |0.4196165976060371  |37        
 [13, 6, 1, 0, 0]    |0.3827721392812137  |0.2751839754257754  |132       
 [14, 10, 5, 0, 0]   |0.4516263076396025  |0.23993188843442015 |253       
 [3, 0, 0, 0, 0]     |3.1007924017956956  |3.0016366572045685  |13        
 [1, 18, 2, 13, 2]   |5.162280279121763   |3.574689775999308   |147       
 [17, 6, 4, 1, 9]    |0.4223615874630119  |0.24368143779878607 |220       
 [19, 7, 0, 0, 0]    |0.3182269406131301  |0.19061673289091244 |205       
 [12, 13, 0, 0, 0]   |0.42569197687067006 |0.2462176807484377  |219       
 [4, 5, 0, 0, 0]     |1.3501818051092456  |1.2125665802088585  |43        
 [12, 8, 11, 13, 0]  |0.6726618949630623  |0.24195283694545636 |409       
 [6, 13, 1, 16, 11]  |1.1704832926311874  |0.4830750444552205  |354       
 [12, 5, 0, 0, 0]    |0.325137867500569   |0.24882486611751092 |107       
 [17, 0, 0, 0, 0]    |0.31029407332340997 |0.26113054937448377 |69        
 [17, 4, 14, 18, 0]  |0.7072969060175525  |0.21197122401393295 |482       
 [3, 0, 0, 0, 0]     |2.5052830486593476  |2.4251702342840646  |13        
 [1, 7, 18, 0, 0]    |4.856611489656377   |3.096712207294662   |180       
 [1, 9, 9, 14, 10]   |6.766995679826243   |2.415864559839318   |412       
 [12, 15, 9, 0, 0]   |0.5990534771920772  |0.228800597643317   |385       
 [7, 9, 2, 17, 0]    |0.6562319814669961  |0.416345047144375   |182       
 [1, 2, 0, 0, 0]     |3.0711271464553644  |2.9953007470372057  |10        
 [12, 14, 6, 4, 1]   |8.41443359608444    |3.569582051518379   |343       
 [9, 14, 20, 0, 0]   |1.428614776963268   |0.4217701790729789  |488       
Gen 1 Train time: 8.478528594970703 minutes:
 Average MSE:        0.31429095257147593
 Average Error:      0.6801184694034761
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.3086916856212676  |0.2597820467218558  |69        
 [19, 7, 0, 0, 0]    |0.3301529676559933  |0.19776037794779938 |205       
 [12, 5, 0, 0, 0]    |0.25729320938668115 |0.19690400527854113 |107       
 [13, 0, 0, 0, 0]    |0.45323970211178904 |0.3969939849331375  |53        
 [15, 6, 3, 1, 5]    |1.541026976496102   |0.9777014337913539  |182       
 [13, 10, 12, 1, 5]  |2.333922134916456   |0.9975531704689441  |340       
 [16, 7, 1, 0, 0]    |0.4439752790480277  |0.28522230194968207 |177       
 [18, 9, 0, 0, 0]    |0.4015103601101512  |0.2231252641873444  |235       
 [16, 8, 5, 1, 5]    |0.49115997860569593 |0.26224256517553607 |251       
 [19, 9, 11, 0, 0]   |0.4148278190299402  |0.16907857373777285 |359       
 [11, 3, 1, 8, 0]    |0.34605327338653147 |0.2708574675530921  |98        
 [16, 11, 5, 0, 0]   |0.5840807232305422  |0.27521130873057936 |301       
 [14, 4, 17, 0, 0]   |0.32201589643968076 |0.1928863030892543  |205       
 [14, 8, 5, 1, 5]    |0.7191474036615403  |0.4056806804349911  |229       
 [13, 7, 6, 7, 0]    |0.5095558590697906  |0.2782554235824405  |242       
 [13, 11, 19, 13, 11]|2.540725739956599   |0.30573082060634454 |847       
 [17, 9, 3, 0, 0]    |0.5274773899237428  |0.28446379915527886 |247       
 [15, 2, 6, 7, 0]    |0.33673865945593484 |0.23028257419181522 |152       
 [8, 19, 10, 0, 0]   |0.7743681710253634  |0.2806329067645331  |406       
 [13, 16, 0, 0, 0]   |0.6344935230784189  |0.3150801589115783  |280       
 [11, 7, 0, 0, 0]    |0.28840084102775465 |0.21099856269726117 |125       
 [13, 8, 18, 14, 0]  |0.9271384984344053  |0.20999904002665937 |594       
 [19, 7, 17, 9, 0]   |0.70270320910226    |0.19882690558003396 |505       
 [15, 7, 2, 0, 0]    |0.3503037611386833  |0.2256083806157212  |176       
 [16, 11, 5, 4, 0]   |0.463958673173552   |0.20639575815534786 |324       
Gen 2 Train time: 8.323220403989156 minutes:
 Average MSE:        0.3225654500634566
 Average Error:      0.5277194938224583
 Structure           |Error               |MSE                 |weights&biases
 [12, 5, 0, 0, 0]    |0.2696070207099335  |0.20632764601734    |107       
 [11, 7, 0, 0, 0]    |1.249488797197827   |0.9141455322236711  |125       
 [17, 0, 0, 0, 0]    |0.30019168656684786 |0.25262880206271665 |69        
 [14, 2, 9, 15, 0]   |0.49888406312670713 |0.25720507665595155 |265       
 [15, 7, 0, 0, 0]    |0.37943760097855433 |0.2511851104164943  |165       
 [13, 5, 3, 4, 0]    |0.3818229764793748  |0.26373823808044333 |148       
 [14, 7, 1, 2, 0]    |0.422635060920099   |0.28188778508946466 |162       
 [14, 6, 12, 4, 0]   |0.5374271846562423  |0.2715899196806435  |273       
 [15, 6, 3, 0, 0]    |0.40763043736384746 |0.269174797432738   |166       
 [17, 10, 3, 2, 0]   |0.43295098569989654 |0.21770142732355327 |275       
 [9, 3, 0, 0, 0]     |0.34439308694816156 |0.2956817478164421  |61        
