/tmp/tmp.Yo5OoNz1Rf ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k0.mat
  Evaluating with: datasets/N6dataset100k0.mat
Gen 0 Train time: 8.572389821211496 minutes:
 Average MSE:        0.8091692708268886
 Average Error:      2.010213750083632
 Structure           |Error               |MSE                 |weights&biases
 [20, 5, 0, 0, 0]    |0.2591566598933356  |0.16900575089283693 |171       
 [6, 15, 10, 16, 0]  |1.0034407201399569  |0.30526800429698153 |476       
 [18, 14, 0, 0, 0]   |0.4816941095077966  |0.20847294758186793 |335       
 [11, 10, 19, 0, 0]  |0.5385637173499795  |0.20724585905186982 |382       
 [11, 0, 0, 0, 0]    |0.5213812065851268  |0.4659048630367062  |45        
 [16, 6, 1, 0, 0]    |1.4288582624190924  |0.9601898126806387  |159       
 [14, 9, 18, 0, 0]   |0.6119799019265006  |0.23905638437246898 |376       
 [1, 4, 3, 0, 0]     |2.69258488752744    |2.4980280907902817  |30        
 [14, 16, 1, 0, 0]   |0.5617787195424433  |0.26470289203713326 |301       
 [16, 5, 17, 9, 2]   |8.320988463398674   |2.911827973261623   |420       
 [17, 10, 7, 4, 0]   |0.5402900482026083  |0.2280594000728891  |345       
 [7, 2, 1, 3, 0]     |1.0100528036792153  |0.8913684706937939  |50        
 [8, 9, 15, 13, 17]  |3.2991499617409787  |0.546710890930703   |719       
 [11, 15, 20, 4, 11] |5.049433355720276   |0.9132697661496822  |684       
 [10, 5, 0, 0, 0]    |0.6380506274166564  |0.5082216307879092  |91        
 [3, 20, 11, 12, 15] |2.682456852285352   |0.49620462372668533 |675       
 [7, 17, 6, 7, 5]    |3.924607441962083   |1.595626312293947   |360       
 [12, 0, 0, 0, 0]    |0.34627025431150593 |0.30634733869567105 |49        
 [1, 10, 15, 11, 10] |10.368487479049545  |3.0079872162445587  |495       
 [4, 6, 8, 0, 0]     |1.39544390370777    |1.0679197264341258  |107       
 [18, 0, 0, 0, 0]    |0.26743717846848875 |0.2228245503154652  |73        
 [14, 17, 0, 0, 0]   |0.4228102276601314  |0.19237054692570574 |315       
 [11, 15, 17, 12, 0] |1.3092476269865658  |0.21968790392981336 |714       
 [17, 4, 4, 5, 10]   |0.35999277195988655 |0.19806276063224898 |239       
 [5, 12, 3, 0, 0]    |2.221186570649385   |1.6048680548366097  |130       
Gen 1 Train time: 8.474388186136881 minutes:
 Average MSE:        0.423020449453668
 Average Error:      1.9194520599599887
 Structure           |Error               |MSE                 |weights&biases
 [20, 5, 0, 0, 0]    |0.2881732394122965  |0.1879285476751465  |171       
 [18, 0, 0, 0, 0]    |0.24206759108625997 |0.20168699968579423 |73        
 [12, 0, 0, 0, 0]    |0.342009009807014   |0.30257739052013904 |49        
 [18, 5, 4, 2, 11]   |0.4113357601883827  |0.2326208362333427  |228       
 [18, 2, 2, 3, 5]    |0.2967852938262492  |0.21283324270002493 |133       
 [17, 11, 16, 0, 0]  |0.5957157544747264  |0.1895710012784228  |458       
 [17, 11, 0, 0, 0]   |0.3622890672582735  |0.18865923937869228 |261       
 [3, 2, 2, 3, 5]     |0.636318642838854   |0.5504298115775803  |58        
 [12, 11, 0, 0, 0]   |0.44214900347063785 |0.27427930189701333 |191       
 [13, 5, 9, 0, 0]    |0.3485253417017043  |0.22615281516374558 |173       
 [19, 3, 6, 0, 0]    |0.2855360059015179  |0.19722952190924872 |148       
 [15, 12, 10, 0, 0]  |0.5307142629997081  |0.20627779201416666 |378       
 [19, 5, 2, 3, 5]    |0.3324578259531904  |0.19963945462642863 |204       
 [18, 9, 16, 0, 0]   |0.6083654797690252  |0.2226889198694224  |402       
 [3, 16, 4, 12, 20]  |4.202147493697979   |1.259349984635924   |482       
