/tmp/tmp.A3dmh4ivEz ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k7.mat
  Evaluating with: datasets/N6dataset100k7.mat
Gen 0 Train time: 8.366087631384532 minutes:
 Average MSE:        0.9838387112521865
 Average Error:      2.0036874344852196
 Structure           |Error               |MSE                 |weights&biases
 [5, 17, 2, 20, 18]  |4.966263569542145   |1.0807635266750653  |610       
 [3, 4, 9, 19, 0]    |3.1117920060528617  |1.5452701786614398  |280       
 [2, 13, 1, 0, 0]    |2.9439681444453445  |2.5275700339378546  |61        
 [12, 6, 3, 10, 0]   |0.36760522351357905 |0.23090574573996342 |186       
 [5, 15, 15, 0, 0]   |1.1064288609087438  |0.4487172090736191  |361       
 [12, 8, 16, 9, 19]  |1.3036174953700752  |0.258629973825368   |647       
 [20, 0, 0, 0, 0]    |0.26987485839482417 |0.2204031488441322  |81        
 [3, 8, 18, 15, 2]   |12.993375073931222  |3.5146488430525173  |523       
 [10, 17, 2, 0, 0]   |1.857753921869065   |0.9795795687378195  |256       
 [19, 13, 2, 11, 0]  |0.639092540598349   |0.24106081953294867 |390       
 [20, 17, 0, 0, 0]   |0.5272531830982743  |0.17771494899279264 |435       
 [19, 17, 15, 15, 8] |3.0226692659162206  |0.222270605415764   |1044      
 [12, 0, 0, 0, 0]    |0.2863883058597459  |0.25336942530087764 |49        
 [2, 13, 8, 13, 0]   |3.620258366455789   |1.7621689270303171  |288       
 [3, 0, 0, 0, 0]     |2.449352053651231   |2.3710277754748055  |13        
 [2, 0, 0, 0, 0]     |3.055967241643343   |2.9879757513390857  |9         
 [4, 2, 17, 0, 0]    |0.8673398641558826  |0.6908556488587493  |91        
 [17, 4, 3, 0, 0]    |0.2782445037457353  |0.19509765674525772 |142       
 [19, 0, 0, 0, 0]    |0.3811486659975387  |0.31440736897225263 |77        
 [5, 12, 3, 0, 0]    |0.7262248670494218  |0.5247173313382845  |130       
 [18, 13, 0, 0, 0]   |0.40460688641256914 |0.18408837567585684 |315       
 [2, 0, 0, 0, 0]     |3.005932820928653   |2.939054534583046   |9         
 [13, 9, 0, 0, 0]    |0.7316190344644833  |0.4723687515085908  |175       
 [12, 6, 20, 4, 11]  |0.675248064556819   |0.24532408354464375 |405       
 [19, 7, 17, 0, 0]   |0.500161043568579   |0.2079775484436135  |351       
Gen 1 Train time: 8.41556321779887 minutes:
 Average MSE:        0.277698032611158
 Average Error:      0.5699819052964336
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.27485504072964095 |0.224470396437851   |81        
 [17, 4, 3, 0, 0]    |0.2795187550174172  |0.19599112789693585 |142       
 [12, 0, 0, 0, 0]    |0.3647875031346673  |0.32272965807282966 |49        
 [15, 5, 3, 5, 0]    |0.3293858978676253  |0.21588157754950354 |169       
 [15, 7, 0, 0, 0]    |0.2968709201106134  |0.19652652940857412 |165       
 [16, 0, 0, 0, 0]    |0.24239632794924887 |0.2060407789684139  |65        
 [20, 7, 0, 0, 0]    |0.35550487933342906 |0.20768841970545132 |215       
 [16, 3, 2, 5, 0]    |0.33838998483011956 |0.24572156163977218 |128       
 [20, 9, 0, 0, 0]    |0.40093655263616734 |0.20983115676848224 |259       
 [19, 10, 10, 6, 0]  |0.5895417495718474  |0.19624140106524263 |440       
 [17, 15, 8, 17, 9]  |1.5288314326322385  |0.22080036181235924 |774       
 [5, 12, 16, 8, 13]  |1.6871896389441812  |0.4139807553856093  |562       
 [20, 4, 9, 0, 0]    |0.27395721372793275 |0.1665793778931444  |199       
 [19, 2, 2, 0, 0]    |0.2793825048750272  |0.21434392005927938 |106       
 [19, 11, 2, 0, 0]   |0.4032174757685657  |0.1885712762006398  |304       
 [18, 2, 2, 0, 0]    |0.2542587123923115  |0.19752246039049132 |101       
 [15, 5, 12, 2, 6]   |2.8435667049053137  |1.5296808918332307  |248       
 [19, 2, 3, 6, 0]    |0.2985632566296297  |0.2119778579083796  |137       
 [16, 11, 1, 6, 0]   |0.48018957121615147 |0.2469487847572652  |266       
 [16, 0, 0, 0, 0]    |0.28646284984035897 |0.24349803161612726 |65        
 [19, 4, 10, 6, 0]   |0.42415178055912256 |0.22142664574655516 |260       
 [11, 8, 11, 0, 0]   |0.421500399824965   |0.23132432404222536 |240       
 [15, 5, 3, 4, 0]    |0.30309606072136624 |0.20114977651306773 |164       
 [13, 4, 16, 12, 14] |0.9328685497290535  |0.22102245463234613 |576       
 [16, 9, 0, 0, 0]    |0.36012386946384567 |0.2125012889751718  |211       
Gen 2 Train time: 8.423888043562572 minutes:
 Average MSE:        0.232428783953176
 Average Error:      0.3719841176869646
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.2763442444269997  |0.23489705420413004 |65        
 [18, 2, 2, 0, 0]    |0.26510571263554866 |0.20594901992011963 |101       
 [20, 4, 9, 0, 0]    |0.3166670201943543  |0.1925490280231774  |199       
 [17, 7, 2, 14, 0]   |0.4094858306043654  |0.21918197064757788 |250       
 [18, 3, 2, 11, 0]   |0.4441037401135221  |0.2947295582128139  |164       
 [18, 5, 2, 0, 0]    |0.3122011296057861  |0.2071923577557214  |164       
 [19, 6, 6, 3, 0]    |0.35732598264664306 |0.19415338321395315 |244       
 [14, 10, 6, 3, 0]   |0.49255670671893587 |0.2427688107850917  |283       
 [19, 2, 3, 3, 0]    |0.33551378906342194 |0.2473150563493504  |122       
 [18, 4, 0, 0, 0]    |0.2717174063798694  |0.19388449188448503 |135       
 [18, 4, 13, 0, 0]   |0.37331064089074184 |0.22138668765604091 |209       
 [19, 6, 6, 3, 15]   |0.4662824682747432  |0.21161987135790236 |316       
 [18, 6, 1, 3, 0]    |0.3905402530172759  |0.24592609025643702 |185       
 [18, 8, 3, 0, 0]    |0.3668374828820637  |0.20284029069365278 |237       
 [8, 7, 2, 0, 0]     |0.3729314757981966  |0.28611524716565323 |106       
 [20, 1, 2, 3, 0]    |0.36902353627743084 |0.2888363965624078  |98        
 [16, 2, 0, 0, 0]    |0.32546560517263995 |0.2631585726701427  |85        
 [20, 5, 1, 0, 0]    |0.40096359607499404 |0.2601792041513848  |173       
 [18, 2, 5, 0, 0]    |0.27081494619680346 |0.20416647853016429 |113       
 [16, 2, 5, 3, 0]    |0.415274795739187   |0.30841320529810473 |119       
 [18, 8, 6, 6, 0]    |0.4518971661471838  |0.2087118610379355  |309       
 [18, 14, 6, 6, 0]   |0.7485423328261124  |0.2376093073672405  |459       
 [18, 3, 3, 4, 0]    |0.29729601828649566 |0.20741639379366839 |144       
 [20, 0, 0, 0, 0]    |0.3085636877701862  |0.2519997928225351  |81        
 [17, 5, 1, 0, 0]    |0.2608373744306137  |0.17971946846970968 |149       
Increasing Epochs
Gen 3 Train time: 9.973432199160259 minutes:
 Average MSE:        0.2152550334680486
 Average Error:      0.4147844913487203
 Structure           |Error               |MSE                 |weights&biases
 [17, 5, 1, 0, 0]    |0.31993961668818555 |0.2204414838138887  |149       
 [18, 2, 2, 0, 0]    |0.24827209551270188 |0.19287171987367788 |101       
 [18, 2, 5, 0, 0]    |0.25647726121505765 |0.19335734596895554 |113       
 [18, 3, 1, 0, 0]    |0.2779373764856359  |0.2074511362266263  |117       
 [19, 3, 1, 2, 7]    |0.43623051239702637 |0.29683332969240983 |154       
 [18, 3, 3, 20, 0]   |0.3532557131519026  |0.20178286520874372 |224       
 [18, 4, 3, 0, 0]    |0.26404486608801814 |0.1819294611789527  |149       
 [16, 9, 5, 2, 0]    |0.4197514446243478  |0.21586705618691832 |266       
 [19, 3, 3, 4, 0]    |0.27501612320179697 |0.1890156329712522  |150       
 [18, 4, 7, 0, 0]    |0.27613721078483355 |0.1791812534650743  |173       
 [18, 4, 2, 2, 0]    |0.29839499387472057 |0.20559703075623723 |149       
 [17, 4, 1, 7, 0]    |0.373245729593757   |0.2565277883043035  |150       
 [18, 4, 2, 13, 0]   |0.36520980021074134 |0.22542150011536707 |193       
 [12, 10, 14, 13, 18]|1.5170252208121766  |0.21262001484148368 |786       
 [15, 4, 13, 20, 15] |1.5101956713119347  |0.21219263230712232 |785       
 [17, 3, 2, 2, 0]    |0.3559232601042483  |0.2623593545125125  |122       
 [17, 4, 3, 3, 0]    |0.29843661351628264 |0.20307138353389717 |154       
 [18, 3, 1, 13, 0]   |0.27416228308962515 |0.186088097697182   |155       
 [17, 5, 2, 0, 0]    |0.3860651267156792  |0.26138804804685567 |156       
 [17, 3, 4, 7, 0]    |0.38687990262551075 |0.25675294415013505 |164       
 [20, 2, 5, 0, 0]    |0.2579547799968536  |0.1896697303337486  |123       
 [17, 2, 3, 0, 0]    |0.20424213292514212 |0.15906393305827465 |100       
 [19, 5, 5, 2, 0]    |0.30588753258071844 |0.1846048313660841  |202       
 [18, 2, 20, 0, 0]   |0.42921056996923274 |0.2785082376582406  |173       
 [19, 2, 3, 2, 0]    |0.2797164462418765  |0.20877902543327148 |117       
Gen 4 Train time: 10.093024814128876 minutes:
 Average MSE:        0.30069490631796875
 Average Error:      0.518664213313841
 Structure           |Error               |MSE                 |weights&biases
 [17, 2, 3, 0, 0]    |0.25000414840764906 |0.19470342655097683 |100       
 [18, 2, 2, 0, 0]    |0.26635903838507313 |0.2069226738153492  |101       
 [18, 2, 5, 0, 0]    |0.25616610363463543 |0.19312276531395503 |113       
 [17, 5, 2, 4, 0]    |0.2957233624230318  |0.19333499910918145 |170       
 [18, 4, 2, 0, 0]    |0.2738008679441677  |0.19150254203037154 |143       
 [19, 15, 4, 1, 0]   |0.6942162361289845  |0.23812208192259776 |428       
 [19, 4, 4, 1, 4]    |0.3542492234127566  |0.2287204890846714  |175       
 [17, 4, 2, 5, 0]    |0.3009607555263417  |0.20478893757051259 |154       
 [13, 6, 1, 18, 5]   |1.8901189652325383  |0.9696110877547026  |267       
 [18, 2, 17, 0, 0]   |0.2722819024508712  |0.1820602972296247  |161       
 [18, 4, 2, 6, 0]    |0.32407454737422964 |0.2145351455824014  |165       
 [18, 3, 3, 7, 0]    |0.32672658748731565 |0.21955959459974358 |159       
 [18, 3, 5, 0, 0]    |0.26951880246440263 |0.1913564952947594  |137       
 [19, 2, 13, 0, 0]   |0.2664618702202092  |0.18313638660894122 |150       
 [18, 3, 20, 7, 0]   |0.5567627254270212  |0.23442580998606619 |346       
 [18, 3, 2, 14, 0]   |0.35053674666800827 |0.22575843178219185 |176       
 [19, 7, 4, 3, 0]    |0.37956785954493955 |0.2041864187319169  |248       
 [18, 5, 2, 1, 0]    |0.30172083344105566 |0.19923841984900809 |166       
 [18, 1, 17, 6, 0]   |0.5394976133863966  |0.3097106148268093  |222       
 [19, 3, 2, 1, 4]    |0.346209577768858   |0.24336060335583598 |141       
 [19, 4, 4, 11, 0]   |0.4163624894837431  |0.23783002783977092 |224       
 [18, 4, 2, 13, 0]   |0.36080986067588916 |0.22270568862895307 |193       
 [19, 4, 13, 11, 0]  |0.6270302630704001  |0.24988349916978647 |368       
 [10, 11, 2, 3, 11]  |0.47096064879249855 |0.2584686841997153  |240       
 [18, 6, 5, 1, 0]    |2.576484303495008   |1.5203275371113754  |211       
Increasing Epochs
Gen 5 Train time: 11.526583969593048 minutes:
 Average MSE:        0.4243421781066337
 Average Error:      0.7390917528026706
 Structure           |Error               |MSE                 |weights&biases
 [17, 2, 3, 0, 0]    |0.21149339358079444 |0.16471122053515155 |100       
 [18, 2, 5, 0, 0]    |0.2876216089356724  |0.2168369651315404  |113       
 [18, 2, 2, 0, 0]    |0.24322839712554384 |0.18895349144592652 |101       
 [18, 3, 3, 1, 2]    |0.33489834340796915 |0.23956554009609912 |134       
 [18, 16, 5, 3, 0]   |0.9046265163022107  |0.28287982741558937 |465       
 [19, 5, 9, 2, 0]    |0.4419361789395239  |0.24620523583408258 |234       
 [18, 3, 2, 3, 0]    |0.2671068693582916  |0.19202946774437674 |132       
 [19, 4, 13, 11, 0]  |0.437728891658109   |0.1744432981585768  |368       
 [18, 4, 2, 8, 0]    |0.314151101133533   |0.20384789112105936 |173       
 [18, 4, 3, 1, 0]    |0.3117351620101201  |0.2137172730656764  |151       
 [19, 3, 17, 4, 0]   |0.41719106841070963 |0.2167065890681533  |262       
 [18, 7, 3, 7, 0]    |0.38787415946042475 |0.20917703602466092 |247       
 [20, 5, 5, 1, 6]    |0.37709285739975923 |0.217563652572627   |220       
 [18, 4, 2, 7, 0]    |0.28606183928097784 |0.18748671858899235 |169       
 [18, 4, 10, 1, 0]   |1.8315500355952896  |1.1305029501453696  |193       
 [19, 3, 8, 3, 0]    |0.3301704290461577  |0.21052596039286936 |180       
 [17, 9, 11, 15, 13] |1.1845591586847384  |0.19337396689151992 |725       
 [18, 3, 3, 7, 0]    |0.36231869322926874 |0.2434774164328315  |159       
 [18, 2, 3, 0, 0]    |0.2575022838864197  |0.19805179542216553 |105       
 [19, 4, 2, 1, 2]    |2.022300883971969   |1.3657939592337507  |157       
 [16, 11, 11, 1, 17] |0.5769312882918466  |0.19641370508955153 |431       
 [19, 4, 3, 4, 2]    |1.4166863541790295  |0.901063624210624   |181       
 [19, 5, 5, 2, 0]    |0.333958532471213   |0.2015458363078094  |202       
 [19, 4, 3, 7, 2]    |4.553064978861848   |2.7684860762202215  |199       
 [18, 4, 2, 10, 0]   |0.38550479484535044 |0.24519495551661635 |181       
Result:  [17, 2, 3]
Fold 0
Fold 0 Train time: 18.887582365671793 minutes, MSE: 0.010636627585576479
Fold 1
Fold 1 Train time: 18.886230719089507 minutes, MSE: 0.009707006245916574
Fold 2
Fold 2 Train time: 18.889399059613545 minutes, MSE: 0.017943550673079747
Fold 3
Fold 3 Train time: 18.962949415047962 minutes, MSE: 0.018605025322472876
Fold 4
Fold 4 Train time: 18.946744378407796 minutes, MSE: 0.008616847593939247
Total Time: 151.377134680748 minutes
CellsPerSensor: 6
 Resulting Network Architecture: [17, 2, 3]
 MSE after 5-Fold CV: 0.013101811484196984
 Weights and Biases: 100
 Objective Function Value: 0.016823058950360268
~/workspace/SolarCellResearch
