/tmp/tmp.FeNAkm1Nfu ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k0.mat
  Evaluating with: datasets/N7dataset100k0.mat
Gen 0 Train time: 8.293902452786764 minutes:
 Average MSE:        1.026698438566965
 Average Error:      1.859624295087425
 Structure           |Error               |MSE                 |weights&biases
 [7, 0, 0, 0, 0]     |1.3067606928119229  |1.2153733594664238  |29        
 [8, 14, 5, 0, 0]    |0.41076940767528564 |0.23056481250871697 |231       
 [11, 18, 6, 4, 9]   |0.8125046054544469  |0.2664326743047951  |446       
 [2, 0, 0, 0, 0]     |3.117164950419257   |3.047811886808133   |9         
 [9, 1, 18, 17, 0]   |0.8769066093603796  |0.3115003612522579  |414       
 [14, 19, 0, 0, 0]   |0.4655706565880264  |0.19553978677580006 |347       
 [9, 6, 2, 19, 3]    |6.2236891082447485  |3.572847279353693   |222       
 [2, 2, 4, 0, 0]     |1.3527518574384798  |1.2581481663345984  |29        
 [1, 0, 0, 0, 0]     |3.6219914554264485  |3.5769983549576843  |5         
 [15, 14, 0, 0, 0]   |0.32050105755404124 |0.15757248522654718 |284       
 [10, 11, 7, 4, 20]  |2.3999317550710697  |0.909773420953163   |388       
 [2, 13, 9, 3, 10]   |3.331837717698023   |1.7745094507314998  |252       
 [20, 9, 9, 5, 0]    |0.407574495236221   |0.1518242689013974  |395       
 [7, 18, 13, 0, 0]   |0.6064938901483526  |0.2090753376802677  |426       
 [7, 8, 0, 0, 0]     |0.3293233128098485  |0.26035341121063177 |94        
 [13, 0, 0, 0, 0]    |0.39169689361059534 |0.34308845839380575 |53        
 [19, 15, 0, 0, 0]   |0.43345482916071465 |0.1705941920922341  |373       
 [4, 0, 0, 0, 0]     |1.3681752025847238  |1.3112460693193895  |17        
 [9, 1, 18, 3, 5]    |4.81105384880483    |3.2573570819141637  |156       
 [19, 17, 11, 3, 2]  |10.192811962932351  |2.047629458517169   |642       
 [15, 0, 0, 0, 0]    |0.31182659069848057 |0.2677214928162809  |61        
 [12, 18, 9, 0, 0]   |0.6234540901796156  |0.20190052588150875 |451       
 [20, 0, 0, 0, 0]    |0.2729241844537846  |0.22289349221751936 |81        
 [11, 16, 10, 13, 18]|2.0020849573581745  |0.2649243716401639  |809       
 [12, 0, 0, 0, 0]    |0.49935324546580373 |0.44178076491628937 |49        
Gen 1 Train time: 8.281731828053791 minutes:
 Average MSE:        0.3928851043497351
 Average Error:      0.8255024989859803
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.22405729296253657 |0.18298456249002845 |81        
 [15, 0, 0, 0, 0]    |0.29545169862371407 |0.253662683587914   |61        
 [15, 14, 0, 0, 0]   |0.5141522227057849  |0.252779956904957   |284       
 [20, 5, 5, 17, 0]   |0.3636681997590481  |0.16546205817748158 |315       
 [1, 4, 16, 15, 1]   |8.886037981796365   |3.5768455433559985  |364       
 [17, 0, 0, 0, 0]    |0.5730253655228211  |0.4822342460551262  |69        
 [15, 10, 0, 0, 0]   |0.3461254177103852  |0.20170398227294412 |216       
 [15, 17, 0, 0, 0]   |0.49523637726708747 |0.21433392121845038 |335       
 [14, 7, 0, 0, 0]    |0.31239529787626397 |0.2120388189659716  |155       
 [14, 0, 0, 0, 0]    |0.4255447254613429  |0.36902708971479103 |57        
 [18, 5, 5, 3, 0]    |0.2775053992234727  |0.16789526958066084 |201       
 [11, 16, 7, 0, 0]   |0.761935586641053   |0.3160378611407898  |352       
 [7, 8, 0, 0, 0]     |0.4789727919867191  |0.37866192710998814 |94        
 [14, 7, 3, 0, 0]    |0.26936564372823213 |0.17391553094343362 |175       
 [14, 4, 0, 0, 0]    |0.2896738166164603  |0.22168457089118668 |107       
 [13, 13, 4, 2, 10]  |0.4739529570303936  |0.208743885022907   |328       
 [19, 16, 9, 11, 17] |1.650435281206262   |0.19129071499186948 |862       
 [7, 8, 8, 0, 0]     |0.33904479268074816 |0.22388493357036796 |166       
 [17, 10, 0, 0, 0]   |0.3405691017370009  |0.18597607696223362 |242       
 [20, 12, 5, 3, 0]   |0.4756649360271002  |0.1754253665190783  |399       
 [10, 4, 1, 0, 0]    |1.149774771425132   |0.939005513855238   |81        
 [17, 14, 5, 3, 0]   |0.5588494440565718  |0.20558922117850287 |400       
 [17, 15, 0, 0, 0]   |0.37921215606110276 |0.16330111485515747 |337       
 [20, 5, 5, 3, 0]    |0.2997291245441703  |0.1742305023335385  |217       
 [14, 10, 14, 0, 0]  |0.4571820919997315  |0.18541225704476458 |361       
Gen 2 Train time: 8.46910560131073 minutes:
 Average MSE:        0.2190190692111117
 Average Error:      0.41553369721264594
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.2744973490267437  |0.2241782744591573  |81        
 [14, 7, 3, 0, 0]    |0.3100430847490786  |0.20017886079740066 |175       
 [18, 5, 5, 3, 0]    |0.2583599134870301  |0.15631194003836182 |201       
 [7, 5, 6, 8, 13]    |0.908607299449291   |0.4467115065449215  |284       
 [11, 7, 4, 0, 0]    |0.26408597987681204 |0.17969747301988867 |154       
 [14, 10, 4, 1, 5]   |0.4714278987919223  |0.2479596847834081  |257       
 [19, 3, 3, 6, 0]    |0.28816290384474036 |0.19316137097096986 |160       
 [18, 11, 3, 2, 0]   |0.42002184702204853 |0.19350565302522696 |310       
 [16, 0, 0, 0, 0]    |0.2579024848349389  |0.21922126181880977 |65        
 [11, 13, 4, 0, 0]   |0.5247914543625944  |0.28090062353668077 |250       
 [11, 8, 6, 0, 0]    |0.5116948630858525  |0.3182153888230061  |190       
 [8, 8, 0, 0, 0]     |0.3352118085803062  |0.2578202396267841  |105       
 [17, 6, 4, 9, 0]    |0.4323534785317349  |0.23609717789490103 |242       
 [7, 8, 4, 15, 0]    |0.4741928352303647  |0.2791122594024621  |212       
 [17, 4, 2, 16, 0]   |0.3008747983779444  |0.1834045238298377  |198       
 [16, 9, 0, 0, 0]    |0.33404392896450635 |0.1971120814206812  |211       
 [16, 13, 14, 0, 0]  |0.5152101081532461  |0.15517830249441739 |480       
 [20, 3, 3, 2, 0]    |0.26937249087589354 |0.1869974810047042  |146       
 [19, 13, 5, 3, 0]   |0.5137609433736433  |0.1847970261015795  |409       
 [18, 0, 0, 0, 0]    |0.22684625763141641 |0.189004818391106   |73        
 [16, 10, 0, 0, 0]   |0.32416583628251894 |0.18286628911861175 |229       
 [17, 3, 3, 9, 0]    |0.26158804301236965 |0.17403752056492952 |163       
 [19, 5, 5, 10, 0]   |0.4079638864503604  |0.21404336975273147 |258       
 [18, 16, 14, 5, 10] |1.2554282493988431  |0.19641544393571597 |742       
 [15, 5, 0, 0, 0]    |0.24773468692194703 |0.17854815892150136 |131       
Increasing Epochs
Gen 3 Train time: 9.864050455888112 minutes:
 Average MSE:        0.35502167997726247
 Average Error:      1.8418739273280877
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.3315425052867583  |0.27623612421445437 |73        
 [15, 5, 0, 0, 0]    |0.2766907145832757  |0.19941744247983978 |131       
 [16, 0, 0, 0, 0]    |0.2547554891326124  |0.21654626483596212 |65        
 [14, 6, 5, 5, 0]    |0.2762483253239211  |0.1663011315820313  |203       
 [18, 2, 2, 3, 0]    |0.2349797850011163  |0.17803844127100632 |111       
 [8, 4, 18, 9, 8]    |0.6690766774350037  |0.24006234694923734 |410       
 [16, 11, 5, 4, 13]  |0.6224846221959288  |0.23014715869398597 |398       
 [19, 4, 4, 5, 0]    |0.2495042396584105  |0.15594071573265716 |188       
 [13, 5, 11, 18, 5]  |3.2201416071899307  |0.9412234908629303  |492       
 [14, 4, 5, 5, 7]    |0.477770898027461   |0.2847556160193341  |207       
 [15, 4, 3, 20, 0]   |0.5812203613805998  |0.33116937929856605 |225       
 [18, 5, 0, 0, 0]    |0.2708089855466808  |0.18381204150977726 |155       
 [13, 7, 3, 0, 0]    |0.26985673911313396 |0.17864332537406796 |165       
 [14, 3, 3, 4, 7]    |0.38377623148117    |0.2585423866870171  |158       
 [14, 9, 2, 0, 0]    |0.3285430699517567  |0.19927144496185284 |200       
 [8, 8, 3, 0, 0]     |0.27735808652997807 |0.20190744563714244 |127       
 [17, 4, 2, 0, 0]    |0.3113436174361827  |0.22160514707263027 |136       
 [18, 2, 2, 5, 0]    |0.24229617086393737 |0.1799467231200244  |119       
 [13, 6, 2, 5, 0]    |0.28747424785047226 |0.19366566257494483 |158       
 [19, 2, 2, 7, 0]    |0.24606655330475555 |0.17690308517458092 |132       
 [17, 9, 19, 2, 0]   |0.8949147997911444  |0.2934562361648826  |446       
 [18, 4, 13, 6, 0]   |0.3540879451366558  |0.17321702964302427 |286       
