/tmp/tmp.9MNXlnuhKs ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k1.mat
  Evaluating with: datasets/N7dataset100k1.mat
Gen 0 Train time: 8.541137353579204 minutes:
 Average MSE:        0.5764308923892721
 Average Error:      1.4991929085133604
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.44613481593926374 |0.39866488797607197 |45        
 [11, 0, 0, 0, 0]    |0.4452309316475656  |0.39785717937091747 |45        
 [14, 9, 14, 15, 0]  |0.7492668375091842  |0.18569307538917212 |558       
 [16, 19, 19, 11, 6] |2.7707060711229046  |0.20070927460546867 |1050      
 [8, 10, 17, 10, 0]  |0.7521325805580693  |0.21984277072907474 |492       
 [17, 12, 0, 0, 0]   |0.3965250075501261  |0.1969084913351703  |280       
 [3, 9, 3, 7, 2]     |4.743996929941264   |3.4969110251018263  |122       
 [9, 8, 11, 20, 0]   |1.1541722150453948  |0.3591135626886945  |467       
 [19, 14, 0, 0, 0]   |0.392062821275474   |0.16262095857073655 |352       
 [17, 0, 0, 0, 0]    |0.3354625692301548  |0.28231130572173    |69        
 [2, 12, 12, 20, 3]  |13.0697908412805    |3.517686483584775   |525       
 [9, 3, 11, 5, 0]    |0.4002058386569853  |0.2636121809112639  |167       
 [8, 15, 0, 0, 0]    |0.36665720990422396 |0.2367316872788245  |175       
 [7, 11, 1, 0, 0]    |0.5677294075068359  |0.41744170674284015 |123       
 [9, 1, 14, 4, 0]    |1.2524278213794038  |0.9049133594089664  |130       
 [18, 13, 9, 10, 16] |1.2794323009237691  |0.21148873689748537 |720       
 [10, 11, 16, 5, 0]  |0.7614397226339553  |0.25729184212918843 |434       
 [14, 9, 0, 0, 0]    |0.39762251971022006 |0.24913704143789978 |187       
 [17, 1, 2, 0, 0]    |0.22729519610003276 |0.1879638385163698  |76        
 [12, 1, 13, 0, 0]   |0.37938138685201217 |0.30370049345674965 |89        
 [2, 4, 13, 9, 14]   |1.9232370381166553  |0.7741494964006551  |364       
 [17, 12, 4, 0, 0]   |0.35441800532844303 |0.1576657084850032  |324       
 [11, 9, 15, 13, 0]  |0.7811264751773309  |0.21664001885909787 |513       
 [4, 16, 10, 11, 19] |2.9539145690103705  |0.6099558284874359  |631       
 [15, 15, 8, 0, 0]   |0.5794536004338681  |0.20176135564638406 |422       
Gen 1 Train time: 8.39496188958486 minutes:
 Average MSE:        0.6024363837832919
 Average Error:      1.1378014510741643
 Structure           |Error               |MSE                 |weights&biases
 [17, 1, 2, 0, 0]    |0.23692971849145927 |0.19593119480914178 |76        
 [17, 0, 0, 0, 0]    |0.3076586903639045  |0.2589127210007186  |69        
 [17, 12, 4, 0, 0]   |0.5034198785822807  |0.22395039368430117 |324       
 [10, 8, 7, 0, 0]    |0.4434347486980353  |0.2764557198275611  |189       
 [13, 2, 6, 3, 0]    |1.1090605598195475  |0.8424114842072059  |110       
 [17, 7, 2, 0, 0]    |0.307318362643931   |0.1882713403732102  |196       
 [14, 9, 7, 8, 0]    |0.42034001656069647 |0.1888709442182335  |320       
 [16, 2, 9, 14, 3]   |5.924386781030731   |2.812509611065895   |298       
 [3, 8, 8, 3, 0]     |2.9323890022659187  |2.0458583857119828  |144       
 [14, 0, 0, 0, 0]    |0.46995458365432874 |0.4075387660276323  |57        
 [7, 10, 16, 6, 8]   |2.6176516810974846  |0.8626705684792091  |444       
 [3, 5, 5, 2, 12]    |1.739946509627009   |1.2889840773432462  |120       
 [13, 6, 10, 5, 0]   |0.3792736708710261  |0.20099057797903397 |254       
 [8, 15, 0, 0, 0]    |0.5627083682023021  |0.36331182873846    |175       
 [13, 8, 4, 0, 0]    |0.32833096007028373 |0.20316574510725674 |192       
 [17, 2, 14, 16, 8]  |1.2787085027983869  |0.35375545359434063 |514       
 [12, 14, 2, 0, 0]   |0.5563447907878049  |0.29704636251596445 |251       
 [13, 15, 1, 4, 0]   |1.7121607210925973  |0.8544956667411203  |278       
