/tmp/tmp.5rTlG3sYPL ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k2.mat
  Evaluating with: datasets/N7dataset100k2.mat
Gen 0 Train time: 8.382500513394673 minutes:
 Average MSE:        0.8425486445046225
 Average Error:      1.9426494050827545
 Structure           |Error               |MSE                 |weights&biases
 [9, 17, 15, 0, 0]   |0.8564569378097793  |0.25603241039476743 |483       
 [6, 14, 0, 0, 0]    |0.952963216058689   |0.6868227855423428  |131       
 [20, 8, 3, 4, 0]    |0.37178409916371075 |0.1864780069997986  |276       
 [9, 12, 11, 1, 0]   |2.213922052583775   |1.0353770160102984  |304       
 [7, 9, 2, 12, 0]    |0.45682117255729343 |0.30468912880489235 |162       
 [5, 15, 13, 4, 6]   |4.684964271505501   |1.6978424356719963  |406       
 [18, 4, 15, 7, 1]   |6.450097781269487   |2.847938190611551   |327       
 [9, 14, 7, 18, 5]   |1.2575162062359775  |0.3452931580027432  |517       
 [13, 5, 0, 0, 0]    |0.28016051781337825 |0.21015864897730804 |115       
 [10, 15, 0, 0, 0]   |0.3963883657591312  |0.23390018213450786 |211       
 [9, 14, 4, 0, 0]    |0.7243723178593405  |0.40557487755463895 |232       
 [14, 12, 2, 0, 0]   |0.43661331776512846 |0.2331187422183036  |251       
 [7, 0, 0, 0, 0]     |0.5700533339882139  |0.5301870797119292  |29        
 [7, 12, 19, 12, 11] |7.302006255894185   |1.0948847865500348  |759       
 [6, 0, 0, 0, 0]     |2.520818555622863   |2.368089880134716   |25        
 [7, 0, 0, 0, 0]     |0.47548341217921486 |0.44223083477303843 |29        
 [3, 18, 14, 0, 0]   |4.229342809490049   |1.710946312898002   |362       
 [2, 17, 12, 19, 0]  |5.225588366365908   |1.3546828901248364  |540       
 [9, 17, 0, 0, 0]    |0.39117060546544735 |0.2285245846320624  |215       
 [11, 14, 13, 18, 9] |2.871662657425314   |0.36145822116863324 |829       
 [6, 2, 2, 0, 0]     |0.38901997304814184 |0.3511209274907248  |41        
 [5, 19, 1, 7, 8]    |1.9245526260416428  |1.066832031522329   |236       
 [9, 9, 20, 0, 0]    |0.5894981082566912  |0.25322325005297264 |338       
 [19, 0, 0, 0, 0]    |0.28573258957039593 |0.2356991896622218  |77        
 [3, 0, 0, 0, 0]     |2.709245577339605   |2.6226105409709155  |13        
Gen 1 Train time: 8.374755108356476 minutes:
 Average MSE:        0.48759109354759994
 Average Error:      0.8381631777463397
 Structure           |Error               |MSE                 |weights&biases
 [13, 5, 0, 0, 0]    |0.23166351481156056 |0.1737792736468425  |115       
 [19, 0, 0, 0, 0]    |0.24288998182933302 |0.20035856595959328 |77        
 [20, 8, 3, 4, 0]    |0.36509119843158594 |0.18312100815993013 |276       
 [2, 7, 1, 3, 0]     |2.309597172058421   |2.0638499058407347  |45        
 [13, 5, 2, 2, 19]   |0.28455422677767345 |0.1708735551123358  |204       
 [6, 4, 1, 0, 0]     |0.39280769420172973 |0.34406141189078726 |53        
 [16, 3, 0, 0, 0]    |0.21556028921741816 |0.1666241429278847  |103       
 [14, 5, 10, 0, 0]   |0.27109862632102477 |0.16943725637896478 |188       
 [15, 13, 2, 2, 0]   |0.3539291566866645  |0.17141658625300377 |290       
 [20, 4, 2, 2, 0]    |0.27514750453561426 |0.18305878559113511 |163       
 [11, 6, 1, 0, 0]    |1.2176764121883     |0.9157100191140856  |114       
 [9, 13, 10, 0, 0]   |0.6682205382660682  |0.3093948417311526  |308       
 [10, 5, 0, 0, 0]    |0.3747261510284766  |0.29847778121563706 |91        
 [19, 13, 0, 0, 0]   |0.3987242311999492  |0.17429861877120426 |331       
 [17, 6, 17, 0, 0]   |0.33291118042129025 |0.15883655681153133 |296       
 [7, 1, 1, 0, 0]     |1.0601952194459694  |0.9762398844269535  |33        
 [16, 3, 19, 0, 0]   |0.3187356061473106  |0.19575462041953035 |195       
 [5, 5, 1, 6, 14]    |0.705836487636822   |0.4545844053675139  |176       
 [7, 12, 1, 6, 0]    |0.4182725951048956  |0.28819385500943473 |149       
 [20, 7, 2, 2, 1]    |4.994378511867474   |2.7823975450701317  |234       
 [13, 3, 0, 0, 0]    |0.22180998241653144 |0.17934674954596647 |85        
 [14, 16, 16, 10, 16]|2.809100361431951   |0.2837573736792742  |917       
 [15, 11, 4, 2, 0]   |1.6839077266273255  |0.8320332459827287  |282       
 [13, 5, 8, 2, 0]    |0.3162256722614448  |0.2026450874897737  |178       
 [15, 8, 0, 0, 0]    |0.4910194027436603  |0.31152626229386793 |182       
Gen 2 Train time: 8.273666445414225 minutes:
 Average MSE:        0.600362531747989
 Average Error:      0.9870662801038788
 Structure           |Error               |MSE                 |weights&biases
 [16, 3, 0, 0, 0]    |0.24561835885381775 |0.18985847847927279 |103       
 [13, 3, 0, 0, 0]    |0.2839730952548763  |0.2296093757260647  |85        
 [13, 5, 0, 0, 0]    |0.397180725383864   |0.29793978572705987 |115       
 [16, 3, 3, 0, 0]    |0.2792116611226856  |0.20944687687699415 |115       
 [19, 0, 0, 0, 0]    |0.31129654623319686 |0.2567867522641694  |77        
 [17, 5, 1, 1, 0]    |0.29608290198981463 |0.20298650305152574 |151       
 [1, 3, 0, 0, 0]     |3.0302246171993645  |2.93332545748046    |13        
 [18, 2, 0, 0, 0]    |0.22567469267792375 |0.1779663610189206  |95        
 [18, 4, 1, 1, 0]    |1.5688578276545762  |1.1083227719157351  |139       
 [13, 7, 0, 0, 0]    |0.39827783151577945 |0.2771752093293518  |145       
 [15, 4, 4, 1, 0]    |1.1976770701534794  |0.8524709947885187  |136       
 [15, 6, 10, 1, 10]  |0.43626606220497316 |0.23177157396290854 |253       
