/tmp/tmp.UnPnL8JViR ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k5.mat
  Evaluating with: datasets/N7dataset100k5.mat
Gen 0 Train time: 8.483446049690247 minutes:
 Average MSE:        0.9595526832693732
 Average Error:      2.472125799643699
 Structure           |Error               |MSE                 |weights&biases
 [15, 11, 16, 0, 0]  |0.6226117168002775  |0.21249598136803272 |430       
 [5, 3, 16, 16, 0]   |3.309026878288237   |1.2606836481137231  |386       
 [2, 11, 0, 0, 0]    |2.0632322123394773  |1.8162497318595154  |51        
 [15, 20, 18, 0, 0]  |1.1312262532885724  |0.16835208041794808 |762       
 [6, 10, 0, 0, 0]    |0.4539031183826479  |0.35438495990402014 |99        
 [12, 3, 4, 0, 0]    |0.3058808558081366  |0.24061440334556136 |96        
 [11, 19, 16, 12, 0] |1.6503272132468456  |0.22446703484469638 |798       
 [1, 15, 1, 8, 0]    |2.197666703808657   |1.8264902120145554  |74        
 [16, 11, 15, 0, 0]  |0.5795389963740244  |0.19730148777114082 |431       
 [9, 6, 9, 9, 15]    |0.6926862895103225  |0.25103119443019273 |406       
 [8, 9, 4, 8, 7]     |0.6973147450755575  |0.36768878225185114 |256       
 [10, 3, 4, 7, 0]    |0.3471439312627623  |0.2558879060119826  |122       
 [20, 4, 0, 0, 0]    |0.29900227370934634 |0.20601545242349087 |149       
 [11, 18, 19, 9, 6]  |8.381083955868197   |0.9836130083055161  |857       
 [5, 18, 17, 15, 0]  |3.4420797203432993  |0.5521562885068375  |732       
 [18, 2, 0, 0, 0]    |0.26740437712602144 |0.2108742604363118  |95        
 [4, 13, 17, 3, 0]   |2.6458126739458776  |1.0413086789531119  |373       
 [17, 11, 2, 0, 0]   |0.42338770821284355 |0.21236114237628417 |276       
 [2, 17, 10, 19, 19] |14.539883704668714  |1.7539940010145485  |846       
 [1, 13, 20, 0, 0]   |6.781394164014526   |2.971844220368756   |330       
 [17, 4, 11, 0, 0]   |0.28418151546648945 |0.17672823779219277 |190       
 [3, 0, 0, 0, 0]     |3.0681538522347847  |2.970041808499675   |13        
 [13, 0, 0, 0, 0]    |0.43821115270997846 |0.3838304344167316  |53        
 [1, 0, 0, 0, 0]     |3.568802218433876   |3.524469845278612   |5         
 [2, 16, 10, 4, 0]   |3.613188760172997   |1.8259322810290413  |273       
Gen 1 Train time: 8.617468619346619 minutes:
 Average MSE:        0.548704592546554
 Average Error:      1.286213856013338
 Structure           |Error               |MSE                 |weights&biases
