/tmp/tmp.Vtyr1NCvOk ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k6.mat
  Evaluating with: datasets/N7dataset100k6.mat
Gen 0 Train time: 8.267649531364441 minutes:
 Average MSE:        0.8970322414420334
 Average Error:      1.3498981098569127
 Structure           |Error               |MSE                 |weights&biases
 [8, 18, 6, 8, 0]    |0.5655546151691814  |0.22708101985007753 |365       
 [14, 4, 2, 17, 0]   |0.34898049040651685 |0.22196418038255405 |181       
 [3, 5, 9, 0, 0]     |0.805044361622572   |0.6380377070170064  |93        
 [10, 7, 15, 2, 0]   |1.6877492773500897  |0.8766879657565305  |262       
 [18, 6, 8, 7, 7]    |0.5460652055394588  |0.22706547060953305 |351       
 [2, 0, 0, 0, 0]     |3.5367700105491062  |3.4580812534826775  |9         
 [1, 0, 0, 0, 0]     |2.3644183749678342  |2.335047098198051   |5         
 [4, 1, 18, 0, 0]    |1.257935130766113   |1.0507157426166773  |72        
 [11, 0, 0, 0, 0]    |0.47140215542080194 |0.42124371550526474 |45        
 [10, 11, 16, 2, 0]  |2.8012696501157195  |1.0833658914577857  |380       
 [20, 17, 4, 13, 12] |1.2014425762703742  |0.19128763940099164 |735       
 [14, 13, 17, 0, 0]  |0.736796966042439   |0.21482255616130633 |493       
 [6, 0, 0, 0, 0]     |2.45498481842316    |2.3062448074354855  |25        
 [19, 8, 19, 12, 19] |1.6524471292085152  |0.1763573927653666  |895       
 [14, 7, 16, 14, 0]  |0.8116342980869522  |0.21681617330529898 |528       
 [11, 8, 10, 19, 0]  |0.8285819200748837  |0.27034953871039674 |448       
 [1, 15, 0, 0, 0]    |3.9113644639565717  |3.4604072376484822  |49        
 [3, 4, 0, 0, 0]     |3.727686245188043   |3.458336633049748   |30        
 [19, 12, 19, 16, 0] |1.4547481144995045  |0.16078821229531234 |881       
 [18, 3, 12, 0, 0]   |0.2630914455808907  |0.1711433780942739  |172       
 [15, 8, 9, 0, 0]    |0.34115869831805606 |0.1763283284991383  |264       
 [8, 9, 20, 8, 0]    |0.8979929087505828  |0.2691212903721783  |482       
 [12, 0, 0, 0, 0]    |0.334311724519241   |0.29576755677401173 |49        
 [20, 0, 0, 0, 0]    |0.38762701317125803 |0.31656974194684634 |81        
 [11, 15, 0, 0, 0]   |0.3583951524249529  |0.20217550471583917 |229       
Gen 1 Train time: 8.559230200449626 minutes:
 Average MSE:        0.4473700913178187
 Average Error:      0.9042577236563113
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 12, 0, 0]   |0.33707003014218867 |0.21926712016615615 |172       
 [12, 0, 0, 0, 0]    |0.4458332941890127  |0.3944313479894248  |49        
 [15, 8, 9, 0, 0]    |0.3754626195216226  |0.19405835595149973 |264       
 [15, 9, 6, 0, 0]    |0.4383146434228884  |0.23111999082401927 |256       
 [17, 2, 1, 9, 0]    |0.2700054630873112  |0.2010275960568638  |118       
 [17, 2, 1, 9, 10]   |0.5503857810544693  |0.3183398276010255  |219       
 [19, 2, 6, 0, 0]    |0.2511920248552581  |0.18515951298157346 |122       
 [20, 7, 0, 0, 0]    |0.2585212393913338  |0.1510299036405715  |215       
 [15, 2, 6, 0, 0]    |0.3365175081991173  |0.26077296895624935 |102       
 [14, 4, 5, 0, 0]    |0.3574384207766706  |0.256329338892419   |133       
 [15, 11, 13, 0, 0]  |0.5311997502520479  |0.19986419841726272 |391       
 [13, 12, 5, 0, 0]   |0.4283935455647119  |0.21380027227310378 |278       
 [2, 5, 7, 4, 4]     |3.918667270181265   |2.9030201145393693  |120       
 [16, 4, 5, 9, 0]    |0.27259662067197815 |0.1632843439637175  |205       
 [3, 16, 11, 8, 8]   |5.9866962796343275  |2.007800251788624   |437       
 [9, 2, 18, 15, 0]   |0.6489107846058147  |0.2375303111714225  |402       
 [18, 4, 5, 0, 0]    |0.2810124068620427  |0.1878979170411332  |161       
 [16, 8, 7, 8, 13]   |0.695808731956987   |0.23045942398314773 |442       
 [16, 5, 5, 12, 4]   |1.2360611054986186  |0.5956689590406186  |292       
