/tmp/tmp.hXJ2Ol5rzo ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k5.mat
  Evaluating with: datasets/N8dataset100k5.mat
Gen 0 Train time: 8.082670605182647 minutes:
 Average MSE:        0.7865840355006667
 Average Error:      1.549179528045348
 Structure           |Error               |MSE                 |weights&biases
 [3, 0, 0, 0, 0]     |2.4486133999391395  |2.3703127420988492  |13        
 [19, 0, 0, 0, 0]    |0.4159719857324158  |0.34313292756254016 |77        
 [5, 0, 0, 0, 0]     |1.829911513122558   |1.7363194463760987  |21        
 [9, 1, 15, 11, 0]   |0.38783013746328454 |0.2050117826282653  |255       
 [20, 1, 6, 0, 0]    |0.2317249566262201  |0.18046757767768756 |100       
 [15, 5, 3, 18, 17]  |1.2489116203782926  |0.31107304230375354 |556       
 [12, 16, 2, 0, 0]   |1.7431257483287625  |0.8634493054876957  |281       
 [8, 0, 0, 0, 0]     |1.345300271046607   |1.238767876931575   |33        
 [4, 16, 7, 14, 0]   |0.6710197879193526  |0.28824148740576755 |338       
 [1, 6, 13, 0, 0]    |2.6262256551948866  |1.9455558169901543  |120       
 [5, 2, 16, 0, 0]    |0.3481491216369625  |0.27661617582258724 |92        
 [3, 19, 8, 15, 19]  |10.311896143613627  |1.7741087677854464  |704       
 [10, 16, 15, 14, 0] |1.7704881818432268  |0.3076647131913063  |700       
 [13, 13, 16, 0, 0]  |0.6936704413453129  |0.21854610067295793 |462       
 [11, 3, 3, 1, 0]    |0.23763105032124657 |0.1911807397695356  |87        
 [14, 0, 0, 0, 0]    |0.24140281333105337 |0.20934151529182593 |57        
 [1, 7, 5, 0, 0]     |2.8685390657171053  |2.4505264127722532  |63        
 [20, 1, 9, 14, 0]   |0.37421110236751887 |0.19830774326698672 |254       
 [4, 8, 0, 0, 0]     |1.1458056897142967  |0.9837416656500505  |61        
 [7, 14, 0, 0, 0]    |0.7374945610290401  |0.5094128119610837  |148       
 [11, 2, 12, 3, 0]   |1.3640405381532907  |0.9708835741026516  |136       
 [18, 0, 0, 0, 0]    |0.22793230790292165 |0.18990969879985836 |73        
 [20, 3, 10, 20, 4]  |5.003897057222931   |1.5375911758333747  |472       
 [8, 2, 0, 0, 0]     |0.1974693092939989  |0.17645805092046835 |45        
 [20, 3, 0, 0, 0]    |0.25822574188965264 |0.18797973621389455 |127       
Gen 1 Train time: 8.18614006837209 minutes:
 Average MSE:        0.5849567013380992
 Average Error:      0.9494632651343509
 Structure           |Error               |MSE                 |weights&biases
 [8, 2, 0, 0, 0]     |0.2608092948854719  |0.23305849401090023 |45        
 [18, 0, 0, 0, 0]    |0.3106662567530785  |0.258842354513361   |73        
 [20, 1, 6, 0, 0]    |0.22602044109340685 |0.1760248965136896  |100       
 [3, 1, 6, 0, 0]     |1.764167881681325   |1.6285322093503154  |32        
 [13, 1, 0, 0, 0]    |0.23130122333664968 |0.2015869613342544  |55        
 [16, 2, 5, 1, 0]    |0.19820382714856913 |0.15244378897871555 |105       
 [20, 3, 6, 13, 12]  |0.5373575519799877  |0.1885123845585632  |419       
 [11, 1, 4, 0, 0]    |0.284999047201978   |0.24653052934503145 |58        
 [15, 1, 11, 6, 0]   |0.28302812541309297 |0.18877319647127705 |162       
 [19, 1, 3, 0, 0]    |0.1948568796618001  |0.15676773869645916 |87        
 [5, 1, 6, 12, 0]    |1.4709243481473864  |1.0627830766746211  |130       
 [16, 0, 0, 0, 0]    |0.39200933012015676 |0.33321423812061307 |65        
