/tmp/tmp.2jpoiICLNY ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k3.mat
  Evaluating with: datasets/N9dataset100k3.mat
Gen 0 Train time: 8.517111154397329 minutes:
 Average MSE:        1.0512828928793332
 Average Error:      2.4330260795164844
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.25339572472785465 |0.20694486313339078 |81        
 [20, 14, 3, 5, 14]  |0.6560284548474143  |0.17968479272336496 |518       
 [5, 13, 14, 5, 4]   |5.592934776302475   |2.093849324651378   |393       
 [19, 9, 18, 1, 0]   |6.320898812090356   |2.114591004158629   |438       
 [3, 9, 15, 0, 0]    |4.110026733946008   |2.425237682762445   |211       
 [16, 13, 18, 3, 0]  |0.7144793210796662  |0.1667597335398416  |582       
 [20, 14, 19, 0, 0]  |0.7630769784628553  |0.14691569449142974 |659       
 [18, 17, 0, 0, 0]   |0.33928870438855613 |0.12638734781586256 |395       
 [16, 9, 14, 2, 4]   |2.2843296959003165  |0.8659506411517051  |388       
 [20, 18, 16, 12, 8] |2.281460402169257   |0.1615914189573508  |1059      
 [17, 7, 0, 0, 0]    |0.29589986739030144 |0.1863303383773759  |185       
 [6, 2, 17, 3, 0]    |1.860637054839803   |1.3078949438953695  |141       
 [3, 2, 0, 0, 0]     |1.902457330846122   |1.8096733919579209  |20        
 [9, 0, 0, 0, 0]     |0.5000386970386772  |0.45585988360700763 |37        
 [12, 19, 0, 0, 0]   |0.3872891298259497  |0.18157549535299572 |303       
 [1, 0, 0, 0, 0]     |3.55993470741193    |3.515712488247703   |5         
 [19, 0, 0, 0, 0]    |0.31120480586402904 |0.25671107615489297 |77        
 [8, 4, 13, 7, 0]    |1.5872474747360794  |0.8909217911056164  |231       
 [3, 16, 7, 12, 0]   |2.3599692501294856  |1.1119870936670166  |301       
 [12, 19, 20, 2, 0]  |1.2001062535769196  |0.1944481169362467  |728       
 [11, 3, 9, 17, 0]   |0.4019089006794571  |0.1931999084105212  |293       
 [8, 8, 1, 19, 18]   |3.136547656829739   |0.8505455793938566  |522       
 [13, 0, 0, 0, 0]    |0.4775475729282952  |0.41828532030318977 |53        
 [13, 12, 19, 7, 1]  |15.725963397763925  |3.4740222275900168  |604       
 [1, 15, 4, 0, 0]    |3.8029802841366402  |2.946992163598202   |102       
Gen 1 Train time: 8.469999289512634 minutes:
 Average MSE:        0.37309299827702175
 Average Error:      0.7454699986476993
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.28786077898048257 |0.2350920070635225  |81        
 [17, 7, 0, 0, 0]    |0.25996015277983847 |0.16369883386331413 |185       
 [19, 0, 0, 0, 0]    |0.23798395189564878 |0.19631160974236034 |77        
 [15, 4, 0, 0, 0]    |0.22617445641363212 |0.17008641518598927 |114       
 [15, 9, 0, 0, 0]    |0.24240538337925077 |0.1473943226819569  |199       
 [18, 17, 0, 0, 0]   |0.4150115423717586  |0.15459461949333964 |395       
 [2, 12, 17, 0, 0]   |1.9629342653639692  |0.9723304413187142  |281       
 [4, 19, 0, 0, 0]    |2.34654628710885    |1.7082075119099145  |127       
 [15, 9, 8, 6, 4]    |1.9741119002621277  |0.8106804084195073  |356       
 [16, 2, 5, 9, 0]    |0.23988333273510426 |0.1603971122027332  |161       
 [1, 7, 9, 2, 0]     |3.20022868101464    |2.418680806051166   |112       
 [18, 17, 16, 0, 0]  |0.692195282357976   |0.12582198817354157 |682       
 [18, 12, 16, 0, 0]  |0.48718855870612116 |0.1371604258485675  |507       
 [18, 10, 9, 7, 18]  |0.6830217645319955  |0.16182681580167363 |576       
 [19, 19, 17, 0, 0]  |0.9903634625257238  |0.13571702365229674 |795       
 [15, 18, 0, 0, 0]   |0.4323675610497239  |0.17933867588886837 |352       
 [15, 18, 12, 0, 0]  |0.6857246971854304  |0.16328158588416977 |574       
 [12, 15, 19, 9, 7]  |1.2811825927741392  |0.17645022600854676 |793       
 [12, 2, 5, 9, 0]    |0.26428140979388604 |0.18577095341397665 |141       
 [18, 2, 5, 9, 0]    |0.20284139735516019 |0.1322804618884607  |171       
 [16, 2, 5, 9, 16]   |0.34142937075916935 |0.15037630266040317 |328       
 [14, 9, 19, 0, 0]   |0.4508957684865593  |0.17135478972239743 |387       
 [19, 4, 0, 0, 0]    |0.22759933297522836 |0.15958660797421523 |142       
 [14, 5, 5, 9, 0]    |0.26780790887267236 |0.15802764176091808 |211       
 [16, 7, 0, 0, 0]    |0.23675012651339425 |0.15285737031499    |175       
Gen 2 Train time: 8.734394252300262 minutes:
 Average MSE:        0.5367255667408087
 Average Error:      0.8149518620084474
 Structure           |Error               |MSE                 |weights&biases
 [18, 2, 5, 9, 0]    |0.2650193646656967  |0.17282903995175486 |171       
 [15, 4, 0, 0, 0]    |0.2262610155189997  |0.17015150886706681 |114       
 [19, 4, 0, 0, 0]    |1.1538762473822144  |0.8090673814135737  |142       
 [17, 3, 3, 5, 0]    |0.2273699991259442  |0.15902773844727386 |143       
 [17, 7, 11, 5, 0]   |0.3211608490623878  |0.1403925019216854  |331       
 [2, 5, 3, 5, 0]     |3.4704447332706656  |2.949933863518056   |65        
 [3, 3, 3, 5, 0]     |1.9457485441655193  |1.6789133331789265  |59        
 [5, 7, 3, 13, 14]   |1.3288940698345608  |0.5623375817709008  |344       
 [12, 2, 5, 9, 0]    |0.2450918122788782  |0.17228203707750886 |141       
 [18, 4, 0, 0, 0]    |0.2543662457314801  |0.18150353694037707 |135       
 [13, 15, 5, 9, 0]   |0.6422528289681622  |0.24044275608010332 |393       
 [18, 6, 7, 8, 9]    |0.40576388898418303 |0.16009564793351985 |372       
 [17, 10, 5, 9, 8]   |0.49509439438194425 |0.1693975704642794  |429       
 [18, 8, 6, 19, 17]  |1.1671734477374573  |0.17854492465029187 |751       
 [16, 13, 0, 0, 0]   |0.36002228166239175 |0.17744592649550067 |283       
 [17, 6, 3, 5, 0]    |0.283749434392632   |0.16954045577218618 |206       
 [16, 2, 5, 9, 8]    |0.6414857403349119  |0.3520548386841908  |240       
 [15, 7, 10, 0, 0]   |0.3071179613005145  |0.16521239896702827 |248       
 [15, 5, 3, 5, 0]    |0.31301938685601544 |0.20515486387098533 |169       
 [10, 5, 3, 5, 0]    |1.2185438415936884  |0.8826350889483431  |129       
 [14, 3, 3, 5, 0]    |0.22335187594458347 |0.16340772319560876 |125       
 [18, 3, 3, 5, 2]    |2.224273157711948   |1.4984484281875878  |158       
 [2, 5, 3, 5, 0]     |2.0375674516271878  |1.7319651188026703  |65        
 [17, 11, 2, 0, 0]   |0.3022059082046953  |0.15157925148584828 |276       
 [16, 5, 8, 5, 0]    |0.31394206947452447 |0.1757756518949482  |232       
Increasing Epochs
Gen 3 Train time: 10.337083490689595 minutes:
 Average MSE:        0.19809241589355783
 Average Error:      0.47869861948563996
 Structure           |Error               |MSE                 |weights&biases
 [14, 3, 3, 5, 0]    |0.1932113089823506  |0.14135641334072638 |125       
 [15, 4, 0, 0, 0]    |0.19163541675949075 |0.14411256503557257 |114       
 [17, 3, 3, 5, 0]    |0.20726483412172766 |0.14496572967733581 |143       
 [16, 5, 7, 5, 0]    |0.3142173164149663  |0.18083496812307825 |221       
 [15, 5, 7, 3, 10]   |0.35800909621803734 |0.1954996119490653  |242       
 [16, 3, 3, 5, 0]    |0.2514865192947104  |0.17855369831746604 |137       
 [18, 5, 17, 3, 0]   |0.3592539757945758  |0.16592395679892807 |309       
 [16, 5, 5, 7, 5]    |0.3070050693086486  |0.16391766512805933 |251       
 [17, 5, 7, 5, 0]    |0.2639244663679139  |0.14888332566374424 |229       
 [15, 9, 4, 7, 0]    |0.3720920741686342  |0.18850816749838736 |272       
 [16, 9, 5, 9, 0]    |0.32316835880745565 |0.14703540705937151 |315       
 [20, 11, 17, 19, 20]|3.1090369308419525  |0.13389665735936268 |1258      
 [13, 3, 19, 7, 0]   |0.42068303620763453 |0.19624809841417937 |305       
 [16, 7, 11, 3, 0]   |0.39803848764343425 |0.1903850695837314  |295       
 [18, 5, 8, 7, 11]   |0.4084847725711635  |0.16607751499347395 |360       
 [15, 5, 2, 3, 0]    |0.2604462421697299  |0.17900190994465257 |150       
 [17, 9, 0, 0, 0]    |0.3328294096426214  |0.19059105804739845 |223       
 [18, 8, 1, 0, 0]    |0.2956295540056833  |0.1718474498512059  |217       
 [18, 5, 5, 7, 10]   |0.39968067818621456 |0.18321602548310928 |312       
 [17, 5, 4, 4, 5]    |0.2756456938164777  |0.16063204634596823 |216       
 [14, 3, 12, 5, 10]  |0.31303799274228294 |0.1589873383033537  |271       
 [16, 5, 8, 5, 4]    |0.32821921069827625 |0.17350071327158267 |255       
 [9, 5, 17, 3, 0]    |1.6384941195623104  |0.9059941773145066  |237       
 [17, 9, 3, 3, 12]   |0.3663760277531355  |0.16627785331198447 |316       
 [17, 5, 3, 5, 0]    |0.27959489506157037 |0.1760629765227021  |185       
Gen 4 Train time: 10.36411048968633 minutes:
 Average MSE:        0.487494952709101
 Average Error:      0.8812843191542181
 Structure           |Error               |MSE                 |weights&biases
 [15, 4, 0, 0, 0]    |0.2052273470983915  |0.154333890394142   |114       
 [14, 3, 3, 5, 0]    |0.2689433696719386  |0.19676317255356454 |125       
 [17, 3, 3, 5, 0]    |0.26715752665737713 |0.18685603833756684 |143       
 [17, 7, 4, 7, 0]    |0.37532963769748595 |0.19989748771257027 |252       
 [15, 5, 2, 3, 0]    |0.22076622476700303 |0.15173025940151919 |150       
 [18, 7, 4, 3, 0]    |0.2306978963655018  |0.12724432365966687 |238       
 [16, 4, 4, 6, 3]    |2.0818759739958126  |1.2914548812765922  |191       
 [17, 6, 3, 4, 15]   |0.3325403734357112  |0.16226994515923732 |287       
 [18, 5, 6, 6, 6]    |0.3650467527109318  |0.1830987152500776  |276       
 [16, 5, 5, 4, 2]    |3.4194884298666466  |2.074024573246734   |200       
 [16, 7, 6, 6, 0]    |0.30741006560511747 |0.15888530264418577 |264       
 [15, 4, 10, 0, 0]   |0.28723095256365105 |0.1877829181401795  |170       
 [17, 12, 7, 5, 0]   |0.43525524106678326 |0.1585282197545012  |404       
 [16, 7, 3, 3, 6]    |0.27495174073090267 |0.15317722647664694 |234       
 [16, 4, 3, 5, 0]    |0.22828841961089605 |0.1541783158672166  |157       
 [15, 7, 2, 4, 0]    |0.24263197508622444 |0.15088919952671603 |190       
 [17, 5, 5, 6, 5]    |0.2710272242634842  |0.1457975877292657  |248       
 [16, 5, 5, 4, 1]    |2.574609451845913   |1.5851798222643614  |194       
 [17, 6, 1, 0, 0]    |0.30995504434079996 |0.20365497616975756 |168       
 [15, 7, 18, 5, 5]   |0.9105102986567677  |0.30920522347747553 |432       
 [17, 5, 13, 4, 2]   |2.973287203429894   |1.4472542538864162  |288       
 [14, 11, 3, 5, 0]   |0.32554164780153705 |0.16616651760942505 |269       
 [17, 7, 5, 3, 2]    |3.986261130940818   |2.1551357867685725  |246       
 [10, 8, 17, 5, 18]  |0.6853902145494796  |0.20234786744952876 |488       
 [17, 4, 4, 5, 3]    |0.45268383609638546 |0.28151731297160254 |190       
Increasing Epochs
Gen 5 Train time: 11.358770656585694 minutes:
 Average MSE:        0.5023434437386469
 Average Error:      0.9128732494591689
 Structure           |Error               |MSE                 |weights&biases
 [15, 4, 0, 0, 0]    |0.2516519717346052  |0.18924586987200148 |114       
 [15, 5, 2, 3, 0]    |0.22017115756477076 |0.15132127609326482 |150       
 [16, 4, 3, 5, 0]    |0.24430391981049238 |0.16499464572202704 |157       
 [17, 4, 4, 6, 3]    |1.5367729440908837  |0.9367720778379004  |198       
 [17, 9, 5, 5, 8]    |0.38597706191559145 |0.16089917757971012 |350       
 [16, 4, 2, 3, 2]    |0.5050059763433958  |0.35057345745094914 |146       
 [2, 14, 6, 15, 6]   |8.350090892703788   |3.515818734952184   |346       
 [16, 7, 3, 6, 0]    |0.3355457955510098  |0.1926275335869252  |222       
 [15, 4, 3, 4, 0]    |0.264753308594549   |0.18425091211089717 |145       
 [2, 5, 3, 5, 8]     |3.93666727932066    |2.9456647027942813  |116       
 [15, 5, 3, 5, 0]    |0.21450223656461542 |0.14058610741154445 |169       
