/tmp/tmp.2Dn7Z722Lh ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k5.mat
  Evaluating with: datasets/N10dataset100k5.mat
Gen 0 Train time: 8.361949682235718 minutes:
 Average MSE:        0.6781930214514026
 Average Error:      1.3923761396625443
 Structure           |Error               |MSE                 |weights&biases
 [7, 17, 0, 0, 0]    |0.5757069857196603  |0.3717043669841421  |175       
 [16, 9, 0, 0, 0]    |0.2057142841136291  |0.12138753979244236 |211       
 [5, 8, 13, 18, 0]   |1.059366182957478   |0.3430671043934947  |451       
 [16, 5, 0, 0, 0]    |0.17227185885785262 |0.12170180163351949 |139       
 [7, 20, 8, 7, 0]    |3.138805745374131   |1.0983866174333856  |420       
 [7, 14, 8, 20, 0]   |0.8222623801082481  |0.26429331850785875 |454       
 [19, 12, 20, 17, 0] |1.582297234748905   |0.15395079157259653 |932       
 [1, 0, 0, 0, 0]     |3.5853053460096227  |3.5407679677111377  |5         
 [17, 14, 0, 0, 0]   |0.3504872001968671  |0.15827344268946303 |318       
 [3, 8, 2, 0, 0]     |2.806021719607807   |2.4031195890207946  |62        
 [10, 8, 15, 0, 0]   |0.39205346492586013 |0.20011620455750317 |269       
 [9, 3, 14, 6, 17]   |0.3725912532562651  |0.15925106515521734 |340       
 [5, 4, 8, 0, 0]     |0.38553896489402706 |0.3094022666744528  |88        
 [20, 9, 16, 13, 0]  |0.689188778842279   |0.13776030065014558 |644       
 [17, 0, 0, 0, 0]    |0.2989125251693133  |0.2515523131858934  |69        
 [18, 2, 13, 16, 20] |0.8624411414772575  |0.14399331930887915 |716       
 [4, 13, 17, 0, 0]   |2.6938830815375403  |1.1717327984237536  |333       
 [2, 20, 0, 0, 0]    |2.2224911147959237  |1.7880554535423627  |87        
 [7, 10, 0, 0, 0]    |1.2418949432684803  |0.938604006718398   |112       
 [9, 0, 0, 0, 0]     |0.5701209395845613  |0.5197503047265829  |37        
 [17, 18, 17, 1, 0]  |5.0323280891821165  |0.8360078448292315  |718       
 [9, 12, 19, 6, 8]   |1.5700631954656306  |0.3692120533925451  |579       
 [11, 9, 16, 10, 6]  |3.4064980251353507  |0.8743144298219928  |544       
 [18, 1, 0, 0, 0]    |0.2639846712516345  |0.21885097922088542 |75        
 [10, 0, 0, 0, 0]    |0.5091743650831665  |0.4595696563383851  |41        
Gen 1 Train time: 8.270729982852936 minutes:
 Average MSE:        0.3653578941953834
 Average Error:      0.7537467121148367
 Structure           |Error               |MSE                 |weights&biases
 [16, 5, 0, 0, 0]    |0.27597605450629525 |0.19496383950230722 |139       
 [16, 9, 0, 0, 0]    |0.263434315470289   |0.15544687910043833 |211       
 [18, 1, 0, 0, 0]    |0.35579853676327694 |0.29496734718273626 |75        
 [16, 7, 0, 0, 0]    |0.19760868745527352 |0.12758575786484722 |175       
 [5, 15, 3, 10, 1]   |5.92538097330171    |3.5404186548873624  |206       
 [9, 10, 13, 8, 7]   |0.7895937936323925  |0.25442818818633045 |453       
 [15, 9, 16, 7, 0]   |0.4517778232815346  |0.13744042047601251 |476       
 [16, 7, 8, 0, 0]    |0.23391395880581958 |0.12837470243745255 |240       
 [16, 5, 14, 0, 0]   |0.3207402850919286  |0.17958196171469218 |232       
 [17, 10, 0, 0, 0]   |0.24410829059639347 |0.13330129482542513 |242       
 [17, 5, 0, 0, 0]    |0.2149525894734497  |0.14884678521291755 |147       
 [19, 17, 14, 15, 12]|2.4759407599095398  |0.1668133808774832  |1079      
 [13, 8, 4, 10, 0]   |0.373673556908775   |0.20101561141529256 |248       
 [17, 12, 0, 0, 0]   |0.3067371157588369  |0.15232114381320275 |280       
 [17, 12, 17, 0, 0]  |0.4820925036293195  |0.1360654488989618  |506       
 [16, 5, 19, 0, 0]   |0.32919385674090484 |0.16887297539890303 |267       
 [17, 3, 0, 0, 0]    |0.19035469142240094 |0.14495003963700367 |109       
 [18, 8, 0, 0, 0]    |0.2207380612250842  |0.12895670852856278 |215       
 [17, 18, 0, 0, 0]   |0.3499682637497472  |0.13069187786707104 |394       
 [13, 6, 7, 3, 9]    |0.2987810578643054  |0.16315669486405643 |242       
 [12, 16, 0, 0, 0]   |0.36676784151759656 |0.1909915265534261  |261       
 [12, 16, 13, 0, 0]  |1.078656866361972   |0.32569843391239783 |479       
 [17, 10, 1, 0, 0]   |1.5712101632586404  |0.853718407705269   |244       
 [17, 12, 8, 3, 0]   |0.41034018370663955 |0.15020282269030943 |402       
 [8, 5, 0, 0, 0]     |1.1159275724387885  |0.9251364513321236  |75        
Increasing Epochs
Gen 2 Train time: 9.787735335032146 minutes:
 Average MSE:        0.5418447153245785
 Average Error:      1.7704140289655366
 Structure           |Error               |MSE                 |weights&biases
 [17, 3, 0, 0, 0]    |0.2009249039176611  |0.15299897559288003 |109       
 [16, 7, 0, 0, 0]    |0.19386263774443857 |0.125167126389121   |175       
 [17, 5, 0, 0, 0]    |0.24818631511772402 |0.17185992143479747 |147       
 [17, 7, 0, 0, 0]    |0.19108841906844906 |0.12032979297708515 |185       
