/tmp/tmp.xQ6RXKIUhJ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k6.mat
  Evaluating with: datasets/N10dataset100k6.mat
Gen 0 Train time: 8.417544118563335 minutes:
 Average MSE:        0.9582286323395468
 Average Error:      1.739572421801864
 Structure           |Error               |MSE                 |weights&biases
 [6, 0, 0, 0, 0]     |1.2737848423580713  |1.1966101201249764  |25        
 [13, 3, 6, 6, 0]    |2.096749460008441   |1.4267345040243693  |154       
 [6, 7, 1, 0, 0]     |1.0719185642923443  |0.8842195332617188  |77        
 [17, 12, 18, 2, 0]  |0.6417831484640895  |0.16554622677108624 |542       
 [6, 0, 0, 0, 0]     |0.7386592731078842  |0.6939061701258532  |25        
 [18, 20, 9, 0, 0]   |0.6430220187871529  |0.13211582070960576 |633       
 [5, 0, 0, 0, 0]     |1.9456485529565273  |1.8461370367287677  |21        
 [1, 15, 0, 0, 0]    |3.3246774268711428  |2.9413617515852066  |49        
 [5, 1, 7, 15, 4]    |4.831197872096144   |2.7596240137884247  |224       
 [8, 17, 7, 2, 8]    |0.872349213146987   |0.3618355466322437  |352       
 [5, 3, 4, 11, 0]    |0.8823236064516249  |0.6602106095222788  |116       
 [14, 0, 0, 0, 0]    |0.28139444486655074 |0.2440217604352509  |57        
 [12, 6, 14, 0, 0]   |0.2365476124933386  |0.13410854495082034 |227       
 [3, 1, 0, 0, 0]     |2.4865923315005016  |2.395071852848686   |15        
 [19, 14, 3, 0, 0]   |0.47197574457822994 |0.1798148293687702  |386       
 [2, 17, 2, 9, 0]    |4.098116477187184   |2.9610012531790275  |130       
 [11, 1, 10, 0, 0]   |0.1883641811883634  |0.15576948014147957 |76        
 [17, 2, 11, 19, 12] |0.8370008068897541  |0.18629380691479874 |601       
 [3, 20, 14, 3, 9]   |7.835358314948757   |2.3956308697990463  |474       
 [18, 17, 1, 4, 19]  |0.5936222732821911  |0.16259187287156987 |518       
 [16, 0, 0, 0, 0]    |0.22443513908596394 |0.1907734794350445  |65        
 [17, 19, 10, 12, 4] |5.431829064545367   |0.7689540390143523  |782       
 [14, 16, 10, 0, 0]  |0.4029433118436542  |0.1266333479121924  |463       
 [15, 3, 15, 0, 0]   |0.1930325242402541  |0.12651472367556    |169       
 [12, 15, 2, 6, 4]   |1.8859843398560765  |0.8602346146675393  |314       
Gen 1 Train time: 8.322164905071258 minutes:
 Average MSE:        0.2888945912163972
 Average Error:      0.5756636926752601
 Structure           |Error               |MSE                 |weights&biases
 [11, 1, 10, 0, 0]   |0.30176720343740104 |0.2495491452071036  |76        
