/tmp/tmp.bf8bd2M98s ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k1.mat
  Evaluating with: datasets/N2dataset100k1.mat
Gen 0 Train time: 8.479283626874288 minutes:
 Average MSE:        1.3557702662510562
 Average Error:      3.267476131016533
 Structure           |Error               |MSE                 |weights&biases
 [10, 0, 0, 0, 0]    |0.9254368039653861  |0.8352790382363391  |41        
 [11, 17, 9, 7, 6]   |1.8836995340856533  |0.5082599144987993  |524       
 [4, 5, 9, 17, 0]    |1.463876906339198   |0.7287593812242992  |279       
 [15, 16, 20, 10, 0] |4.1585922228834065  |0.4819941070900905  |862       
 [7, 11, 4, 7, 0]    |0.9628559020779766  |0.5840016254955579  |200       
 [9, 8, 16, 20, 1]   |18.43156130731503   |3.9711847808050336  |614       
 [4, 9, 5, 14, 0]    |1.3923514159219694  |0.8319307989309216  |206       
 [4, 9, 15, 17, 16]  |10.560218949843089  |1.4874957658553936  |784       
 [1, 0, 0, 0, 0]     |3.4314945218648076  |3.3888678123100497  |5         
 [1, 10, 7, 19, 0]   |7.835588790965288   |3.969642426692361   |272       
 [17, 6, 19, 3, 16]  |1.8035158434714855  |0.6109366584574978  |433       
 [6, 0, 0, 0, 0]     |0.9154787786455025  |0.8600127233881116  |25        
 [2, 4, 0, 0, 0]     |0.9918442610009344  |0.936421878665126   |23        
 [15, 10, 0, 0, 0]   |0.7227838791356885  |0.42120104241041545 |216       
 [8, 16, 6, 10, 0]   |1.5346805296898278  |0.6381526476587189  |351       
 [6, 2, 1, 5, 19]    |2.004739046307444   |1.2814777456623094  |179       
 [4, 0, 0, 0, 0]     |2.5197808846275067  |2.41493397502894    |17        
 [2, 0, 0, 0, 0]     |3.412007430380884   |3.3360944863677653  |9         
 [8, 2, 8, 10, 14]   |4.270938077269637   |1.8952172833112606  |325       
 [17, 18, 5, 0, 0]   |1.492847890700703   |0.45415607236828076 |476       
 [6, 7, 14, 17, 8]   |5.852149851283168   |1.3489264983027809  |587       
 [17, 1, 0, 0, 0]    |0.7982547742421864  |0.6684274154839738  |71        
 [3, 20, 16, 0, 0]   |2.2355496542979982  |0.7404383732957955  |442       
 [18, 11, 0, 0, 0]   |1.0531544125578236  |0.5295592951135097  |275       
 [6, 0, 0, 0, 0]     |1.0335016065407319  |0.9708849096230768  |25        
Gen 1 Train time: 8.669545062383015 minutes:
 Average MSE:        0.7325244078847197
 Average Error:      1.8151351014927986
 Structure           |Error               |MSE                 |weights&biases
 [15, 10, 0, 0, 0]   |1.0555013654581438  |0.615091576099093   |216       
 [17, 1, 0, 0, 0]    |0.6195332551906572  |0.5187729856881813  |71        
 [6, 0, 0, 0, 0]     |1.4996673775267715  |1.4088071243238776  |25        
 [16, 6, 0, 0, 0]    |0.7108315124021488  |0.4800716814033212  |157       
 [13, 14, 5, 4, 3]   |1.4477149723462333  |0.5989880878964347  |353       
 [18, 3, 20, 0, 0]   |1.1516409791755629  |0.6778616036279835  |212       
 [12, 6, 0, 0, 0]    |0.6693781160187033  |0.4946493344679614  |121       
 [17, 14, 18, 9, 8]  |4.254746154669221   |0.5302191338029855  |833       
 [3, 5, 5, 9, 0]     |1.6291110256644947  |1.1978574265043285  |123       
 [7, 8, 3, 5, 0]     |0.82887601730039    |0.5870268659534644  |138       
 [7, 14, 5, 7, 0]    |2.4362135975815478  |1.2781900192217828  |258       
 [12, 6, 4, 5, 7]    |0.9351270666669527  |0.5435830062188745  |217       
 [10, 19, 10, 19, 9] |8.41307656118176    |1.0353993822641239  |838       
 [17, 11, 8, 0, 0]   |0.923245724396297   |0.38103659587763505 |354       
 [6, 13, 6, 12, 0]   |1.231760419615697   |0.596571834286649   |290       
 [13, 5, 0, 0, 0]    |0.6864605013002997  |0.5149391236692938  |115       
 [17, 11, 14, 0, 0]  |1.2380755188847703  |0.4204449066238043  |432       
 [7, 6, 2, 4, 0]     |0.753511565134078   |0.5868353969797799  |100       
 [13, 5, 14, 0, 0]   |0.6952007648624986  |0.4133111396753509  |208       
 [10, 8, 5, 9, 0]    |0.9563482973440011  |0.542193080163133   |227       
 [18, 11, 14, 0, 0]  |1.3630815286829734  |0.44697525964095475 |446       
 [9, 18, 15, 6, 13]  |3.6295554770977825  |0.6418569513563073  |693       
 [13, 13, 2, 4, 0]   |1.1865853326762712  |0.6102294249603735  |266       
 [1, 4, 18, 7, 13]   |6.330214964754249   |2.6256649946510864  |352       
 [16, 3, 0, 0, 0]    |0.7329194413884532  |0.5665332617612162  |103       
Gen 2 Train time: 8.724224698543548 minutes:
 Average MSE:        0.9401216178200553
 Average Error:      1.7067830439627942
 Structure           |Error               |MSE                 |weights&biases
 [17, 1, 0, 0, 0]    |0.6254591318337896  |0.5237350836760151  |71        
 [12, 6, 0, 0, 0]    |0.6115842750337208  |0.45194150716461107 |121       
 [13, 5, 0, 0, 0]    |0.5799838896468571  |0.4350671237621734  |115       
 [12, 6, 2, 3, 4]    |1.7719241487818151  |1.1937099300973495  |158       
 [15, 3, 7, 0, 0]    |0.848559313630664   |0.6146420011321039  |129       
 [12, 19, 8, 2, 13]  |1.9722992083790294  |0.5456377270949376  |514       
 [15, 4, 0, 0, 0]    |0.6266541866811144  |0.47125288091311746 |114       
 [15, 9, 7, 0, 0]    |0.8750714333922478  |0.44890241302358297 |267       
 [13, 15, 2, 20, 14] |3.2346777422793536  |0.6369458129779477  |650       
 [12, 6, 1, 2, 0]    |1.6464263773412195  |1.1955509285190518  |128       
 [10, 4, 0, 0, 0]    |0.5542157411161058  |0.454889273931376   |79        
 [15, 4, 16, 0, 0]   |0.7165130843206635  |0.4281169939333438  |206       
 [12, 7, 10, 5, 0]   |0.9638108630805822  |0.49319028600218473 |268       
 [10, 10, 4, 4, 2]   |4.412957321302734   |2.5652220885652883  |217       
 [7, 16, 4, 14, 19]  |3.144093878317623   |0.7157142625219203  |592       
 [15, 15, 7, 0, 0]   |1.3972219986327779  |0.5076241226222116  |405       
 [15, 4, 2, 3, 4]    |3.11560400903181    |2.146681232655344   |149       
 [7, 7, 5, 2, 1]     |4.601780921404009   |3.291829158130864   |134       
 [10, 6, 1, 12, 0]   |0.8438337328540054  |0.5946395812451002  |140       
 [10, 15, 3, 4, 0]   |1.124542658723708   |0.5812213738541919  |264       
 [15, 6, 7, 0, 0]    |0.6392401181416149  |0.38966217879578413 |198       
 [12, 7, 10, 3, 0]   |1.1413232854799225  |0.6201389990604793  |244       
 [15, 9, 4, 0, 0]    |0.8223695156017682  |0.4581468777173831  |234       
 [16, 1, 1, 20, 4]   |5.369393893242207   |3.2894324197727967  |196       
 [17, 9, 4, 13, 0]   |1.0300353708205194  |0.44914618833222575 |332       
Gen 3 Train time: 8.547303386529286 minutes:
 Average MSE:        0.5762859719507413
 Average Error:      1.116202439140184
 Structure           |Error               |MSE                 |weights&biases
 [10, 4, 0, 0, 0]    |0.5873888530294115  |0.4821171053926383  |79        
 [13, 5, 0, 0, 0]    |0.6100491215609035  |0.45762015360934943 |115       
 [12, 6, 0, 0, 0]    |0.6595742745313941  |0.48740460454495416 |121       
 [13, 4, 4, 0, 0]    |0.6488152660647114  |0.48065417095719487 |120       
 [15, 3, 0, 0, 0]    |0.5722442887705385  |0.44901934815721134 |97        
 [13, 9, 11, 2, 0]   |0.9420503193242884  |0.4427736496927084  |302       
 [12, 14, 12, 5, 3]  |4.487023841492716   |1.3346774343394432  |485       
 [17, 13, 20, 0, 0]  |2.230100458731895   |0.515327134796439   |586       
 [16, 7, 10, 7, 0]   |1.0006918813897745  |0.43635098070776585 |332       
 [11, 7, 6, 9, 0]    |0.9380049053219056  |0.517368392375961   |238       
 [12, 7, 5, 3, 0]    |0.8968838683631516  |0.5591548162566476  |189       
 [10, 6, 1, 12, 0]   |0.794763915278149   |0.5600606652347242  |140       
 [12, 7, 5, 2, 0]    |0.8080168672100578  |0.5126446594693145  |182       
 [13, 18, 0, 0, 0]   |1.0458507573117628  |0.4818273982541609  |310       
 [10, 5, 1, 6, 0]    |0.8879621227653992  |0.6744712749322644  |110       
 [9, 13, 4, 9, 11]   |1.7413877239069888  |0.6734660705748932  |380       
 [7, 4, 0, 0, 0]     |0.5806599327181677  |0.5022837865173982  |58        
 [15, 4, 0, 0, 0]    |0.523980998761305   |0.39404118006100813 |114       
 [14, 4, 4, 0, 0]    |0.6202667135278356  |0.45153350064164927 |127       
 [18, 18, 2, 7, 0]   |1.5739084751788057  |0.49463359649111105 |463       
 [10, 15, 4, 0, 0]   |0.9701529454695914  |0.501424844527011   |264       
 [14, 6, 5, 2, 0]    |0.781333900213686   |0.49571570527963676 |182       
 [6, 9, 4, 3, 6]     |1.9299630341870253  |1.2712502302002133  |167       
 [15, 6, 16, 0, 0]   |1.0400832419593795  |0.5295650606099331  |270       
 [11, 6, 5, 2, 0]    |1.0339032714357552  |0.7017635351449025  |155       
Gen 4 Train time: 8.459306565920512 minutes:
 Average MSE:        0.875254459785325
 Average Error:      1.5814873162300103
 Structure           |Error               |MSE                 |weights&biases
 [15, 4, 0, 0, 0]    |0.5892282492262986  |0.4431080424658303  |114       
 [15, 3, 0, 0, 0]    |0.5763629494458131  |0.45225111187767747 |97        
 [7, 4, 0, 0, 0]     |0.8410852527740889  |0.7275574940562699  |58        
 [14, 19, 2, 6, 0]   |1.5825812631696594  |0.5939603129018408  |392       
 [10, 5, 18, 4, 0]   |1.0489157517395744  |0.5287481820990527  |274       
 [14, 8, 8, 18, 1]   |11.257821106919943  |3.9691941793720837  |417       
 [15, 5, 3, 1, 0]    |2.133945637975306   |1.4703091404648256  |149       
 [11, 5, 4, 1, 0]    |2.554229094938146   |1.8733915551819043  |124       
 [15, 5, 7, 7, 0]    |0.8641564669304391  |0.4850509070371545  |231       
 [11, 5, 0, 0, 0]    |0.5611514929973705  |0.43811915206607777 |99        
 [14, 10, 11, 6, 0]  |1.7634891533732047  |0.6618570519650218  |392       
 [19, 4, 4, 12, 8]   |1.1145632121845057  |0.48844060089338637 |330       
 [11, 4, 2, 0, 0]    |0.779020017367194   |0.6158705170077748  |94        
 [1, 4, 4, 0, 0]     |1.8610225948173504  |1.7008465858979576  |36        
 [12, 12, 3, 1, 0]   |0.9055286164356909  |0.5007058884663871  |237       
 [10, 4, 2, 0, 0]    |0.6653383939479469  |0.5352831045441466  |87        
 [14, 6, 8, 0, 0]    |0.7990062202824035  |0.488270097302885   |197       
 [10, 4, 0, 0, 0]    |0.6218507389060944  |0.5104027369287988  |79        
 [15, 4, 2, 0, 0]    |0.6818865259052805  |0.5026344969274844  |122       
 [13, 14, 1, 1, 0]   |2.5444941124916047  |1.3484177300244167  |254       
 [11, 11, 5, 1, 0]   |2.3628567084152206  |1.3196563432468407  |233       
 [14, 6, 3, 1, 0]    |0.8373417833015585  |0.5626919556715105  |159       
 [11, 6, 3, 5, 0]    |0.9335309077310945  |0.638405762104276   |152       
 [9, 4, 0, 0, 0]     |0.643225852363978   |0.5372673936892556  |72        
 [16, 11, 3, 4, 0]   |1.0145508021104817  |0.4889211524402671  |292       
Increasing Epochs
Gen 5 Train time: 9.896953292687733 minutes:
 Average MSE:        0.6940845862652494
 Average Error:      1.1199009198518226
 Structure           |Error               |MSE                 |weights&biases
 [11, 5, 0, 0, 0]    |0.5473287519137531  |0.42732704391283116 |99        
 [15, 3, 0, 0, 0]    |0.6680229330638102  |0.5241733781263794  |97        
 [15, 4, 0, 0, 0]    |0.5431635038633069  |0.4084666973312679  |114       
 [14, 5, 4, 10, 18]  |1.4580655069314046  |0.5257710442403589  |408       
 [12, 5, 4, 0, 0]    |0.6366335360223159  |0.45998514402199875 |130       
 [15, 5, 4, 4, 0]    |0.8907654833265939  |0.5765610240099924  |174       
 [13, 11, 7, 4, 0]   |1.3480245552369439  |0.6148605581343938  |314       
 [17, 5, 6, 10, 4]   |1.0394620782389172  |0.49594182218420163 |296       
 [10, 4, 1, 0, 0]    |0.6016349372261428  |0.49134712069135383 |81        
