/tmp/tmp.VKD8YIiWyT ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k2.mat
  Evaluating with: datasets/N2dataset100k2.mat
Gen 0 Train time: 8.183228866259258 minutes:
 Average MSE:        0.9271095032434385
 Average Error:      1.91055697193935
 Structure           |Error               |MSE                 |weights&biases
 [15, 14, 10, 4, 6]  |3.965199819171906   |1.1360487687019094  |500       
 [10, 20, 17, 0, 0]  |2.0404574768803774  |0.427703122151725   |625       
 [4, 10, 0, 0, 0]    |0.9434470163089406  |0.7860655663486105  |73        
 [15, 10, 11, 18, 0] |1.7368223972143624  |0.42722572954132376 |561       
 [11, 0, 0, 0, 0]    |0.541353256338408   |0.48375183371255764 |45        
 [13, 7, 13, 16, 7]  |6.2600745217662155  |1.4250288932452633  |592       
 [18, 0, 0, 0, 0]    |0.5281456856450775  |0.4400428750364779  |73        
 [4, 11, 17, 9, 0]   |1.5741519924746856  |0.5200744574789284  |443       
 [9, 1, 0, 0, 0]     |1.3514790569702002  |1.2259298171412953  |39        
 [15, 15, 0, 0, 0]   |1.0161349533110258  |0.4787896933164705  |301       
 [1, 17, 4, 2, 0]    |4.5869625156872225  |3.3811572877712748  |122       
 [10, 5, 9, 9, 0]    |0.8956992770555061  |0.4928006485910531  |239       
 [12, 15, 16, 5, 0]  |2.2515297093025755  |0.5307892952170461  |578       
 [18, 13, 15, 6, 0]  |2.101366536884619   |0.45275137960544276 |614       
 [6, 7, 8, 0, 0]     |0.7964454417937133  |0.5612456169427886  |140       
 [1, 0, 0, 0, 0]     |2.9115221183225026  |2.8753546097022236  |5         
 [5, 0, 0, 0, 0]     |0.9679298396525589  |0.9184244108331793  |21        
 [16, 18, 5, 0, 0]   |1.245312333769705   |0.39927150451897137 |455       
 [4, 0, 0, 0, 0]     |1.5860243062866122  |1.5200305732295634  |17        
 [8, 0, 0, 0, 0]     |0.755916342954071   |0.6960564146549955  |33        
 [13, 8, 14, 0, 0]   |0.8237905147886279  |0.39699205502767565 |292       
 [15, 18, 19, 12, 9] |5.357725307533796   |0.37758464966173316 |1061      
 [12, 0, 0, 0, 0]    |0.5930705276922441  |0.5246929978972762  |49        
 [7, 5, 0, 0, 0]     |0.5950083702518523  |0.5032441666501597  |67        
 [1, 7, 0, 0, 0]     |2.3383549804269466  |2.196681214108023   |25        
Gen 1 Train time: 8.295565577348073 minutes:
 Average MSE:        0.710376013376068
 Average Error:      1.5282991053799722
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.44176390702011076 |0.3680709035709391  |73        
 [11, 0, 0, 0, 0]    |0.5119952738132879  |0.4575176184116521  |45        
 [12, 0, 0, 0, 0]    |0.5021469312638278  |0.44425235523835804 |49        
 [9, 9, 7, 0, 0]     |0.8646610371976713  |0.5310401155808105  |195       
 [9, 3, 5, 5, 0]     |0.6947894750347688  |0.5237994520973916  |113       
 [15, 0, 0, 0, 0]    |0.45590037427452296 |0.3914173210914408  |61        
 [14, 10, 9, 0, 0]   |0.8391558123820873  |0.3953994031461821  |301       
 [20, 8, 17, 1, 19]  |1.450776454840642   |0.4628273906430226  |457       
 [6, 2, 13, 10, 20]  |1.760992311298756   |0.5688590808533869  |452       
 [14, 9, 3, 4, 0]    |0.7847670743387235  |0.4438057439923588  |228       
 [13, 14, 7, 0, 0]   |1.1287113340006218  |0.4728753620329299  |348       
 [12, 10, 9, 0, 0]   |0.8109278804946096  |0.4077601457697352  |275       
 [16, 11, 15, 3, 0]  |1.6092320663916042  |0.5007026274082065  |467       
 [2, 18, 0, 0, 0]    |2.5526538367867517  |2.095167575131731   |79        
 [12, 7, 12, 2, 0]   |0.9382190472891747  |0.4996877721347168  |252       
 [9, 0, 0, 0, 0]     |0.4850367451761747  |0.44218336602863034 |37        
 [13, 4, 2, 0, 0]    |0.7680524997147622  |0.5863155288564112  |108       
 [13, 8, 0, 0, 0]    |0.5676789789789496  |0.38052659932263416 |160       
 [13, 0, 0, 0, 0]    |0.5651021908749221  |0.49497466705718784 |53        
 [14, 8, 9, 20, 0]   |1.4121216709068463  |0.4426806295541505  |464       
 [9, 4, 7, 1, 0]     |1.663672312098402   |1.2573764845940278  |112       
 [11, 11, 12, 0, 0]  |0.9500226421352251  |0.4247436532566793  |322       
 [13, 12, 13, 6, 2]  |6.3452824186713706  |1.9255499410546464  |477       
 [12, 16, 0, 0, 0]   |0.808843415286485   |0.4211989742313351  |261       
 [1, 18, 11, 10, 9]  |9.294971944229008   |2.820667623343136   |477       
Gen 2 Train time: 8.179446069399516 minutes:
 Average MSE:        0.7694451139731197
 Average Error:      2.2866344383527863
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.4521400891203509  |0.3767161791594632  |73        
 [15, 0, 0, 0, 0]    |0.6532766086723922  |0.5608764425893535  |61        
 [9, 0, 0, 0, 0]     |0.5682295081876854  |0.5180259827860275  |37        
 [4, 10, 18, 15, 3]  |15.774386640562714  |3.5462387186560576  |597       
 [15, 16, 0, 0, 0]   |0.8959527872604661  |0.4045954661034198  |318       
 [14, 5, 5, 0, 0]    |0.5664057271023177  |0.3863758706141926  |153       
 [14, 10, 6, 2, 0]   |0.9301075116101025  |0.4676874277455331  |275       
 [13, 8, 0, 0, 0]    |0.6623896740714473  |0.44401307681710467 |160       
 [12, 8, 0, 0, 0]    |0.4871790833472189  |0.3356710904633551  |149       
 [2, 6, 6, 0, 0]     |1.6911118222746893  |1.4090084014849271  |73        
 [18, 6, 13, 14, 17] |2.4622286971740945  |0.3989444536305835  |728       
 [15, 4, 6, 1, 0]    |0.687413613488255   |0.47482018218381505 |148       
 [14, 2, 3, 3, 0]    |0.7138077973584209  |0.5600991013261719  |97        
 [13, 4, 0, 0, 0]    |0.5318628318336063  |0.4142151899185875  |100       
 [16, 5, 5, 0, 0]    |0.6195122035130856  |0.4060321728142787  |169       
 [17, 11, 12, 1, 10] |1.2585619227482463  |0.42209272482749893 |437       
 [1, 8, 19, 18, 12]  |21.267044503625673  |2.9436746096744733  |791       
 [13, 20, 0, 0, 0]   |0.8328982670006025  |0.35599315611027493 |340       
 [13, 4, 2, 0, 0]    |0.7978217275035749  |0.6090407469126338  |108       
 [15, 5, 19, 0, 0]   |0.8667009192744523  |0.45359011361754326 |259       
 [12, 0, 0, 0, 0]    |0.4880114589962443  |0.43174661945406206 |49        
 [1, 9, 3, 4, 0]     |2.264412322452235   |1.8913961592969675  |72        
 [11, 2, 3, 3, 0]    |0.697960577026538   |0.5685917110356316  |82        
 [13, 0, 0, 0, 0]    |0.5274762659943948  |0.4620180090558744  |53        
 [17, 0, 0, 0, 0]    |0.46896839862085654 |0.39466424305016556 |69        
Increasing Epochs
Gen 3 Train time: 9.342444133758544 minutes:
 Average MSE:        0.4606791631799719
 Average Error:      0.6879234651515465
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.39459126296194036 |0.3287673809281745  |73        
 [17, 0, 0, 0, 0]    |0.44366586239269185 |0.3733706839593934  |69        
 [12, 8, 0, 0, 0]    |0.5554333773380807  |0.382698957783328   |149       
 [14, 8, 2, 12, 8]   |1.5501459141707246  |0.6810286281444817  |329       
 [11, 2, 1, 0, 0]    |0.5218943870195315  |0.4469582740870338  |62        
 [13, 3, 5, 2, 0]    |0.6904152634762508  |0.5166125881594346  |116       
 [13, 14, 0, 0, 0]   |0.6666813216766532  |0.35684879660757385 |250       
 [15, 1, 2, 2, 0]    |0.5899498238660916  |0.4903098258729158  |74        
 [12, 3, 3, 0, 0]    |0.5898354050757997  |0.46981712513593    |91        
 [10, 5, 3, 0, 0]    |0.8775018410888564  |0.6715436740890292  |107       
 [18, 6, 14, 0, 0]   |0.7547325504154834  |0.3738532903377763  |281       
 [11, 4, 0, 0, 0]    |0.5812614135619572  |0.46881141761376977 |86        
 [6, 4, 0, 0, 0]     |0.5485555737774852  |0.4828898598154835  |51        
 [12, 6, 14, 6, 14]  |1.3011014361446813  |0.4610315336189882  |415       
 [15, 10, 0, 0, 0]   |0.6641966455727444  |0.387059434440183   |216       
 [17, 3, 3, 0, 0]    |0.5296673800110892  |0.39140750308687033 |121       
 [12, 5, 2, 2, 0]    |0.6350044742738727  |0.4680766408305386  |122       
 [13, 2, 3, 3, 0]    |0.5571564909070612  |0.4426795538785034  |92        
 [10, 1, 2, 2, 0]    |0.6302658458439647  |0.5506732981073897  |54        
 [16, 5, 12, 0, 0]   |0.7411871657267454  |0.42977128796360226 |218       
 [16, 3, 3, 0, 0]    |0.5531053230605096  |0.4149045281033654  |115       
 [14, 10, 15, 0, 0]  |0.8808279024780761  |0.346666167467776   |373       
 [14, 1, 2, 2, 0]    |0.6458377319673122  |0.5421530183776218  |70        
 [13, 2, 1, 0, 0]    |0.70125914038432    |0.5857408704428979  |72        
 [13, 4, 2, 0, 0]    |0.5938130955967355  |0.45330474064723736 |108       
Gen 4 Train time: 9.28930637439092 minutes:
 Average MSE:        0.7076394439925603
 Average Error:      1.0899398438445251
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.5192486396229664  |0.43262999291453125 |73        
