/tmp/tmp.ejXVuG4KV0 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k5.mat
  Evaluating with: datasets/N2dataset100k5.mat
Gen 0 Train time: 8.159517697493236 minutes:
 Average MSE:        1.1828647244085824
 Average Error:      2.2041879166533436
 Structure           |Error               |MSE                 |weights&biases
 [1, 4, 0, 0, 0]     |2.519442163280138   |2.42065342303464    |16        
 [16, 19, 12, 6, 0]  |2.8729694577467675  |0.5042647501841089  |696       
 [20, 4, 7, 6, 11]   |1.0142013858381196  |0.4602900203307829  |316       
 [2, 12, 5, 13, 20]  |7.4328726492033494  |2.205407749990944   |486       
 [12, 10, 15, 0, 0]  |1.0493430153140977  |0.4407243166331261  |347       
 [12, 15, 0, 0, 0]   |1.0097689384799609  |0.5445592815846177  |247       
 [18, 8, 0, 0, 0]    |0.768467263101751   |0.4489439125792842  |215       
 [5, 4, 10, 0, 0]    |0.9426600446457221  |0.7341443809402138  |100       
 [17, 15, 0, 0, 0]   |0.8903364228265768  |0.3834078842670475  |337       
 [17, 13, 6, 2, 13]  |1.5354198572898454  |0.5162334807856847  |436       
 [8, 0, 0, 0, 0]     |0.6872956067870974  |0.6328696559182921  |33        
 [4, 4, 20, 0, 0]    |1.0269193561069343  |0.7005170344873781  |153       
 [3, 0, 0, 0, 0]     |3.368750431119978   |3.261026045203029   |13        
 [19, 0, 0, 0, 0]    |0.6635390553367062  |0.5473495966534353  |77        
 [9, 20, 3, 13, 1]   |9.942769926558102   |4.062691343529352   |358       
 [19, 0, 0, 0, 0]    |0.6232449440991039  |0.5141112132364732  |77        
 [5, 8, 4, 10, 0]    |1.9200096037111056  |1.287020925948498   |160       
 [13, 12, 20, 0, 0]  |1.5389804401796006  |0.45435345224701634 |488       
 [5, 13, 9, 0, 0]    |1.111177573891185   |0.626830149097549   |229       
 [5, 7, 9, 1, 0]     |3.8376777836766065  |2.6976133558741635  |141       
 [13, 0, 0, 0, 0]    |0.5583457186255825  |0.4890566531897842  |53        
 [13, 0, 0, 0, 0]    |0.6131851158785677  |0.5370906421482896  |53        
 [3, 0, 0, 0, 0]     |3.56454295903152    |3.4505576077306244  |13        
 [17, 20, 4, 5, 2]   |4.8377733374847365  |1.2699208308733723  |535       
 [14, 15, 0, 0, 0]   |0.7750048661204503  |0.3819804037468561  |283       
Gen 1 Train time: 8.077865254878997 minutes:
 Average MSE:        0.5918618478064568
 Average Error:      1.2231414645752217
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.5739497374001976  |0.5027242590183179  |53        
 [13, 0, 0, 0, 0]    |0.5611645769677485  |0.4915256994825171  |53        
 [19, 0, 0, 0, 0]    |0.5147525517217053  |0.4246164551960412  |77        
 [16, 5, 8, 0, 0]    |0.7559362536514095  |0.4701054597859625  |190       
 [16, 12, 0, 0, 0]   |0.7760985152921279  |0.40012598692210205 |265       
 [7, 15, 2, 11, 19]  |2.044311033312349   |0.6570867889945567  |454       
 [7, 6, 11, 7, 9]    |3.2920000426318503  |1.5090726087594923  |312       
 [19, 6, 4, 3, 6]    |0.9307492605914836  |0.496950248930387   |251       
 [12, 2, 5, 6, 0]    |0.7052069409687083  |0.5224301512208357  |120       
 [13, 15, 0, 0, 0]   |0.8216336893631945  |0.4236021386036926  |265       
 [19, 4, 0, 0, 0]    |0.7116468157618916  |0.4989878481561821  |142       
 [16, 0, 0, 0, 0]    |0.5048634576752853  |0.4291420623908218  |65        
 [10, 10, 5, 0, 0]   |0.8532811900069761  |0.5162489660569118  |201       
 [16, 8, 0, 0, 0]    |0.6207091210072972  |0.3831254832483013  |193       
 [16, 15, 0, 0, 0]   |0.970597184740896   |0.437209085167099   |319       
 [11, 9, 13, 1, 7]   |1.3228347352445955  |0.6140229096849097  |307       
 [14, 8, 0, 0, 0]    |0.728558407264688   |0.47512018691603874 |171       
 [18, 8, 0, 0, 0]    |0.6780962140092501  |0.396148518017226   |215       
 [17, 2, 4, 3, 6]    |0.7923216715180792  |0.5514038386806489  |145       
 [16, 14, 20, 0, 0]  |1.9654364844408594  |0.4309403274484248  |607       
 [15, 8, 0, 0, 0]    |0.6524043301087487  |0.4139166015181206  |182       
 [3, 17, 20, 2, 5]   |8.01822096171855    |2.297258767817291   |500       
 [11, 8, 0, 0, 0]    |0.6824462783614627  |0.4833223444839397  |138       
