/tmp/tmp.40H3pB77DN ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k6.mat
  Evaluating with: datasets/N2dataset100k6.mat
Gen 0 Train time: 8.16699858903885 minutes:
 Average MSE:        1.0752060110460802
 Average Error:      1.8953498584571418
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.5180879888047399  |0.42311545725327254 |81        
 [3, 2, 0, 0, 0]     |1.6368310602494638  |1.557001867445991   |20        
 [2, 0, 0, 0, 0]     |2.885855295863195   |2.8216485858911806  |9         
 [2, 16, 8, 5, 0]    |4.988133394048636   |2.7307103326260544  |241       
 [12, 3, 4, 7, 0]    |0.8493294603201628  |0.6075577108282777  |134       
 [8, 16, 2, 1, 13]   |1.0054547008769952  |0.5449506046343017  |245       
 [3, 17, 15, 6, 7]   |7.132479574523427   |2.0434896116082895  |500       
 [6, 0, 0, 0, 0]     |0.9789144908067159  |0.9196050600412311  |25        
 [4, 0, 0, 0, 0]     |2.888191317870938   |2.768015021647886   |17        
 [16, 2, 19, 4, 0]   |2.120518474364245   |1.2112593726157175  |224       
 [18, 17, 12, 13, 0] |2.4957522368581     |0.35864945410304616 |776       
 [3, 8, 14, 12, 0]   |5.148971708058327   |2.093415675359245   |360       
 [13, 6, 18, 12, 0]  |1.762835441956606   |0.5178464854779912  |490       
 [6, 19, 0, 0, 0]    |0.6933091646811039  |0.45213283743524857 |171       
 [4, 0, 0, 0, 0]     |1.6551741633755437  |1.5863031369557312  |17        
 [9, 15, 10, 4, 10]  |1.5243433008161058  |0.5048790895029558  |442       
 [15, 7, 3, 0, 0]    |0.808062003240263   |0.5088426291690642  |185       
 [13, 0, 0, 0, 0]    |0.5294245493650634  |0.4637245161767134  |53        
 [7, 3, 0, 0, 0]     |0.6602997058846362  |0.5841710488285831  |49        
 [11, 6, 3, 17, 0]   |0.7983326967070493  |0.46990259273849233 |212       
 [14, 0, 0, 0, 0]    |0.48553287443758764 |0.42104806591202015 |57        
 [8, 8, 18, 2, 0]    |2.963535460717031   |1.4033790953356748  |299       
 [15, 0, 0, 0, 0]    |0.5130603167403877  |0.4404924980735448  |61        
 [6, 0, 0, 0, 0]     |0.9494681719045648  |0.891942803412779   |25        
 [10, 10, 12, 4, 7]  |1.3918489089576624  |0.5560667230787079  |367       
Gen 1 Train time: 8.283671220143637 minutes:
 Average MSE:        0.6615813771452133
 Average Error:      1.3103840943654494
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.6304335601008643  |0.5467041371276278  |57        
 [15, 0, 0, 0, 0]    |0.4848585405965896  |0.41627961233991967 |61        
 [20, 0, 0, 0, 0]    |0.6028887537295277  |0.49237109568132664 |81        
 [20, 11, 0, 0, 0]   |0.8501317519417899  |0.39857326758309064 |303       
 [4, 13, 6, 11, 4]   |6.973066788612932   |3.368795042821958   |291       
 [7, 8, 1, 1, 7]     |0.827961873295182   |0.61644376788571    |118       
 [13, 3, 2, 9, 0]    |0.676150673200352   |0.4934472386311498  |126       
