/tmp/tmp.nSMZ7qt8fk ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k4.mat
  Evaluating with: datasets/N3dataset100k4.mat
Gen 0 Train time: 8.497268180052439 minutes:
 Average MSE:        0.70535978645722
 Average Error:      2.2048714507566873
 Structure           |Error               |MSE                 |weights&biases
 [10, 1, 8, 4, 0]    |1.3700971414136012  |1.0723812504166363  |98        
 [12, 9, 19, 18, 8]  |8.945991112929708   |1.03169750790405    |864       
 [18, 19, 11, 0, 0]  |1.637957205350518   |0.3249609879059021  |647       
 [13, 4, 20, 17, 6]  |8.903375989721637   |1.6802297323293456  |667       
 [17, 20, 9, 12, 0]  |2.0172782782224714  |0.322790819194601   |733       
 [13, 8, 5, 0, 0]    |0.46637806526269243 |0.28146176264291106 |202       
 [12, 15, 17, 0, 0]  |1.1240132266827725  |0.3055644731936009  |521       
 [14, 20, 0, 0, 0]   |0.8911357059123546  |0.35960158968616207 |363       
 [19, 0, 0, 0, 0]    |0.36366927434557056 |0.29998871811288863 |77        
 [19, 16, 0, 0, 0]   |0.7754370958664962  |0.28957862961839376 |394       
 [7, 0, 0, 0, 0]     |1.077786616174352   |1.0024124139126536  |29        
 [8, 0, 0, 0, 0]     |0.6491072282717331  |0.5977053601881396  |33        
 [3, 18, 0, 0, 0]    |0.7962113423136986  |0.6200900168842429  |100       
 [10, 10, 10, 12, 13]|1.521883135451143   |0.3706298115520624  |565       
 [17, 8, 0, 0, 0]    |0.5217844061177096  |0.31332922896686843 |204       
 [12, 9, 0, 0, 0]    |0.5632385694785065  |0.3747290701430944  |163       
 [10, 3, 1, 18, 10]  |1.0933275534793119  |0.5113125904871553  |304       
 [8, 13, 17, 0, 0]   |2.857639731585452   |1.0591810502691852  |397       
 [2, 2, 3, 17, 13]   |5.945259421214921   |2.5602224930550173  |337       
 [4, 15, 4, 19, 0]   |3.4394294370676337  |1.7688075098988072  |266       
 [10, 0, 0, 0, 0]    |0.6116202038254532  |0.5520350319202848  |41        
 [16, 13, 0, 0, 0]   |0.55147082674263    |0.27180609859683547 |283       
 [18, 20, 8, 0, 0]   |1.7056001113631132  |0.37024772153155117 |611       
 [20, 19, 15, 15, 0] |3.7890433943681456  |0.2995762163092103  |1015      
 [17, 16, 9, 1, 0]   |3.5030511957555692  |0.9936545767109024  |504       
Gen 1 Train time: 8.187674820423126 minutes:
 Average MSE:        0.6272065446855426
 Average Error:      0.9862726539331979
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.35919436174393593 |0.2962973881333425  |77        
 [13, 8, 5, 0, 0]    |0.5294650337571195  |0.31953509986608786 |202       
 [17, 8, 0, 0, 0]    |0.5071148764219006  |0.30452024124127985 |204       
 [19, 8, 5, 0, 0]    |0.6815005668827709  |0.34872968584030517 |268       
 [8, 6, 3, 9, 19]    |1.1912462295254633  |0.5028315834216337  |345       
 [14, 11, 0, 0, 0]   |0.5121651843043967  |0.2962332641703429  |219       
 [15, 11, 3, 0, 0]   |0.6008330976720451  |0.3128792046036077  |261       
 [14, 0, 0, 0, 0]    |0.5006456849420858  |0.43415370709189827 |57        
 [19, 10, 4, 0, 0]   |0.6269699769885012  |0.29175040399493407 |306       
 [14, 1, 7, 8, 0]    |0.5661281339081105  |0.39497419655045923 |144       
 [12, 10, 10, 7, 13] |1.287315968458375   |0.3965549762072508  |471       
 [7, 5, 13, 16, 20]  |2.395131504048725   |0.3919731788240564  |724       
 [11, 9, 17, 0, 0]   |0.867261039527887   |0.3810154841512457  |329       
 [14, 3, 3, 0, 0]    |0.4641210357313267  |0.3587570330058992  |103       
 [13, 9, 3, 0, 0]    |0.6725257997216648  |0.40892856154530904 |199       
