/tmp/tmp.0XLrpfaejC ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k7.mat
  Evaluating with: datasets/N3dataset100k7.mat
Gen 0 Train time: 8.526288096110026 minutes:
 Average MSE:        0.776279429232467
 Average Error:      1.8590811102629277
 Structure           |Error               |MSE                 |weights&biases
 [20, 8, 0, 0, 0]    |0.5287852831382637  |0.2923882251715648  |237       
 [10, 15, 10, 13, 0] |1.2823639183299322  |0.3565450020510346  |512       
 [2, 17, 5, 12, 0]   |3.752297272861616   |2.1009051139430315  |232       
 [3, 2, 1, 0, 0]     |1.8800394388806367  |1.7794294064673242  |22        
 [15, 1, 0, 0, 0]    |0.46075182606592435 |0.39360960183588617 |63        
 [20, 3, 19, 19, 0]  |1.4711331511401067  |0.32907583770225196 |599       
 [5, 11, 11, 0, 0]   |1.9095631842605614  |1.0880363051301587  |225       
 [7, 15, 13, 3, 0]   |0.8981939581180147  |0.3345833525326071  |395       
 [17, 19, 0, 0, 0]   |0.8401942033321476  |0.29920622745166614 |413       
 [1, 19, 7, 14, 9]   |5.971992870477491   |1.9978681475894269  |438       
 [5, 0, 0, 0, 0]     |0.8080363819371974  |0.7667088125714056  |21        
 [4, 3, 0, 0, 0]     |1.1328749994218825  |1.0483931397283344  |31        
 [18, 2, 0, 0, 0]    |0.49082388694492046 |0.3870621912640117  |95        
 [5, 20, 1, 0, 0]    |1.7258485584886714  |1.1626697246202498  |158       
 [5, 0, 0, 0, 0]     |1.5114961493026648  |1.434189652525038   |21        
 [19, 0, 0, 0, 0]    |0.4150474566037105  |0.34237028873725744 |77        
 [5, 13, 5, 1, 0]    |2.6041450076374937  |1.6982603597019312  |171       
 [2, 17, 18, 0, 0]   |2.078631112451801   |0.764685652050342   |400       
 [7, 17, 15, 12, 0]  |1.8054918897932817  |0.3718863693082918  |632       
 [12, 11, 19, 17, 11]|3.9176921214318594  |0.35808056925818366 |957       
 [17, 19, 12, 4, 12] |1.7927571885199505  |0.2694842757207846  |758       
 [9, 11, 15, 20, 10] |6.157664896443245   |0.7208657422021345  |858       
 [15, 4, 0, 0, 0]    |0.4494540817245599  |0.3379958761188978  |114       
 [17, 6, 15, 0, 0]   |0.7551510440876941  |0.3749969106366876  |280       
 [9, 17, 13, 12, 0]  |1.8365978751795606  |0.3976889464931668  |612       
Gen 1 Train time: 8.013483198483785 minutes:
