/tmp/tmp.M3zmvtQJMr ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k2.mat
  Evaluating with: datasets/N4dataset100k2.mat
Gen 0 Train time: 8.178529942035675 minutes:
 Average MSE:        0.871238970094694
 Average Error:      1.7291770558432649
 Structure           |Error               |MSE                 |weights&biases
 [9, 4, 10, 1, 0]    |3.174243942620872   |2.2934780756762363  |130       
 [10, 0, 0, 0, 0]    |0.5158755869746586  |0.4656180327942918  |41        
 [3, 20, 0, 0, 0]    |1.5318722472332458  |1.1635674553403603  |110       
 [10, 20, 0, 0, 0]   |0.7351665976791562  |0.37338017520054817 |271       
 [6, 7, 0, 0, 0]     |1.7667303537756858  |1.4646709072532036  |75        
 [7, 5, 9, 0, 0]     |1.2846743655155688  |0.9398878439183008  |125       
 [16, 18, 13, 8, 18] |2.8590068841243714  |0.30589123579718297 |894       
 [9, 4, 7, 3, 0]     |0.3962114799781056  |0.2862736321111895  |130       
 [9, 0, 0, 0, 0]     |0.4538382857404835  |0.4137413151007757  |37        
 [17, 19, 17, 0, 0]  |1.6531131213541668  |0.25288011671507826 |751       
 [20, 9, 20, 0, 0]   |0.7098253579631418  |0.2192075428028609  |470       
 [1, 18, 6, 1, 13]   |4.034457141986761   |2.4470219519115757  |200       
 [6, 9, 3, 0, 0]     |0.49560930548665927 |0.37177466287751326 |115       
 [7, 4, 0, 0, 0]     |0.3905524167789906  |0.3378365471421044  |58        
 [13, 11, 7, 0, 0]   |0.6540241632638408  |0.3207443209038737  |285       
 [9, 17, 16, 7, 0]   |1.7419242135025     |0.37718872198467457 |612       
 [5, 6, 0, 0, 0]     |0.5711653825643485  |0.4940707889712866  |58        
 [1, 5, 0, 0, 0]     |2.5463681408151606  |2.4282433275325914  |19        
 [1, 14, 19, 8, 7]   |11.669227768973286  |2.972654342751418   |547       
 [9, 6, 7, 0, 0]     |0.5204340947735837  |0.3630945472037367  |144       
 [2, 8, 6, 14, 0]    |2.031482151870047   |1.2414321225335108  |197       
 [13, 18, 0, 0, 0]   |0.5556292817603334  |0.2559805109407253  |310       
 [5, 0, 0, 0, 0]     |1.373762952931281   |1.3035009139952232  |21        
 [18, 18, 10, 0, 0]  |1.046362798499132   |0.23523274497768742 |597       
 [13, 0, 0, 0, 0]    |0.517868359916241   |0.4536024159314027  |53        
Gen 1 Train time: 8.251471829414367 minutes:
 Average MSE:        0.5780342756776551
 Average Error:      1.2181825025357083
 Structure           |Error               |MSE                 |weights&biases
 [7, 4, 0, 0, 0]     |0.4334145567646525  |0.3749132537601353  |58        
 [9, 4, 7, 3, 0]     |0.5265146953556412  |0.3804212694889733  |130       
 [9, 0, 0, 0, 0]     |0.5889640796285175  |0.5369286384797484  |37        
 [6, 8, 2, 0, 0]     |0.6254824569952065  |0.49325352094962477 |95        
 [12, 9, 0, 0, 0]    |0.4456233477432879  |0.29647831626393517 |163       
 [10, 2, 4, 2, 0]    |1.1093778544014363  |0.9151194888366492  |77        
 [7, 7, 6, 0, 0]     |0.584586743512111   |0.4202732841605387  |132       
 [8, 8, 2, 0, 0]     |0.511309730985014   |0.38163915194779024 |117       
 [14, 5, 14, 0, 0]   |0.4794805691260094  |0.2794164637054679  |216       
 [8, 7, 5, 2, 0]     |1.3958994199320693  |0.978767602646618   |142       
 [17, 14, 10, 0, 0]  |0.8206500265104594  |0.25726244265197273 |464       
 [4, 5, 0, 0, 0]     |1.1249895664905363  |1.0103267176672568  |43        
 [15, 5, 10, 0, 0]   |0.4031745155505225  |0.2469953496887654  |196       
 [7, 6, 4, 0, 0]     |1.3017022186333227  |1.0087105246515038  |102       
 [9, 2, 4, 2, 4]     |0.440714698423221   |0.35545466757358096 |86        
 [14, 14, 9, 18, 3]  |13.87659613241349   |2.8869589728626894  |628       
 [9, 2, 4, 2, 0]     |0.3720473002330868  |0.3107600271206834  |72        
 [14, 11, 9, 2, 0]   |0.5830227680775546  |0.25044172003210685 |338       
 [11, 2, 4, 2, 6]    |0.4274362038926519  |0.32957536284128575 |104       
 [13, 11, 7, 0, 0]   |0.6115903152201864  |0.2999340564846224  |285       
 [8, 2, 0, 0, 0]     |0.3815412843338029  |0.3409442794930621  |45        
 [7, 4, 18, 0, 0]    |0.6381028934701264  |0.4255998328862697  |162       
 [13, 0, 0, 0, 0]    |0.4396629155146563  |0.38510203771697515 |53        
 [13, 18, 4, 0, 0]   |0.681202798835023   |0.2687710917958777  |372       
 [8, 15, 2, 0, 0]    |1.6514754713501176  |1.016808818235244   |194       
Gen 2 Train time: 8.550605460007985 minutes:
 Average MSE:        0.7263728076580204
 Average Error:      1.2081836883040293
 Structure           |Error               |MSE                 |weights&biases
 [9, 2, 4, 2, 0]     |0.5949727783619708  |0.4969630383663553  |72        
 [8, 2, 0, 0, 0]     |0.4303229224056542  |0.38453542186167616 |45        
 [15, 5, 10, 0, 0]   |0.4089277194481837  |0.2505199142475973  |196       
 [8, 3, 20, 0, 0]    |0.5501448907527454  |0.37622286026115004 |152       
 [11, 7, 6, 0, 0]    |0.4472304380667755  |0.2909274673995304  |172       
 [14, 8, 9, 0, 0]    |0.6428051729748031  |0.34149795182067566 |253       
 [16, 10, 10, 14, 0] |1.273492468122143   |0.36760845107678386 |497       
 [16, 10, 12, 0, 0]  |0.5581151166898954  |0.22521719403453408 |363       
 [13, 7, 7, 2, 3]    |2.7637501873769796  |1.5865923194495763  |222       
 [8, 2, 6, 0, 0]     |0.5867007158869488  |0.49621774684380676 |67        
 [9, 4, 7, 3, 0]     |0.4284323058557596  |0.30955406016473286 |130       
 [12, 10, 4, 1, 3]   |2.7938693646606954  |1.5918987785255603  |225       
 [1, 7, 13, 4, 5]    |5.080636100274308   |3.0205425583722327  |208       
 [8, 6, 7, 2, 0]     |0.5070274772230073  |0.35197677659132237 |146       
 [12, 4, 7, 1, 0]    |2.2864909820165553  |1.6397082343030398  |133       
 [19, 5, 7, 0, 0]    |0.40878075358222604 |0.24363688911094764 |207       
 [12, 5, 9, 2, 0]    |0.5243841173201892  |0.33603807234455674 |178       
 [15, 8, 10, 1, 0]   |1.964644096313886   |0.9854184629429519  |276       
 [9, 9, 1, 0, 0]     |3.0967834428550534  |2.2431115206846437  |129       
 [14, 5, 14, 0, 0]   |0.4226502616127454  |0.2462987013202369  |216       
 [10, 7, 10, 0, 0]   |0.434827672476663   |0.2650582988291419  |198       
 [4, 11, 4, 6, 16]   |0.8338140394064695  |0.4203175105471198  |274       
 [7, 5, 1, 0, 0]     |1.1888162692874769  |1.000458185293165   |69        
 [11, 5, 7, 0, 0]    |0.36213192925552895 |0.2532832913332395  |143       
 [11, 5, 15, 20, 0]  |1.6148409853740695  |0.4357164857259347  |524       
Gen 3 Train time: 8.680106314023336 minutes:
 Average MSE:        0.5120292087658093
 Average Error:      0.8927052002818592
 Structure           |Error               |MSE                 |weights&biases
 [11, 5, 7, 0, 0]    |0.39867304428500144 |0.2788409766295299  |143       
 [19, 5, 7, 0, 0]    |0.3697379351074944  |0.2203670292852363  |207       
 [15, 5, 10, 0, 0]   |0.5769776548524939  |0.3534717402172639  |196       
 [15, 15, 9, 0, 0]   |0.814472635520061   |0.2717930227389973  |439       
 [15, 5, 7, 0, 0]    |0.38699315444875    |0.24986155990751707 |175       
 [14, 4, 17, 0, 0]   |0.4632321860759174  |0.27747432605667743 |205       
 [10, 4, 6, 1, 0]    |1.3616056051005354  |1.0265098933582828  |113       
 [15, 12, 7, 0, 0]   |0.8196068136481521  |0.35383288652608397 |336       
 [14, 6, 7, 1, 0]    |3.563383189903813   |2.210481638648033   |191       
 [15, 6, 9, 0, 0]    |0.5177840516343636  |0.303250217968993   |214       
 [11, 6, 9, 16, 0]   |0.667578943719006   |0.2817887427546264  |345       
 [8, 4, 3, 1, 0]     |1.1965222461288332  |0.9771835445413478  |81        
 [15, 5, 10, 7, 0]   |0.6235841152371363  |0.31750185606186576 |270       
 [10, 6, 3, 2, 0]    |0.4764639808590077  |0.3459838609010659  |128       
 [14, 8, 10, 0, 0]   |0.4438828896256605  |0.22999573506060683 |263       
 [9, 2, 2, 1, 0]     |1.3550057674288027  |1.1721101961195428  |58        
 [8, 5, 7, 6, 0]     |0.7273977082913203  |0.4803300068772517  |166       
 [7, 9, 7, 12, 8]    |2.8639660364638533  |1.1299884260650614  |372       
 [13, 5, 11, 0, 0]   |0.40282899078066964 |0.2523992429846561  |187       
 [11, 6, 7, 0, 0]    |0.5428126054729363  |0.3620434204921183  |162       
 [13, 6, 8, 0, 0]    |0.5206520011977195  |0.32540868173450216 |188       
 [11, 15, 7, 15, 0]  |1.0599960938660884  |0.33479570235131667 |461       
 [10, 11, 8, 3, 8]   |0.6874671219653028  |0.3127843594933369  |315       
 [18, 10, 6, 4, 4]   |0.9314662475681494  |0.37587624549459425 |363       
 [9, 4, 14, 2, 0]    |0.545538987865411   |0.3566569068767241  |170       
Increasing Epochs
Gen 4 Train time: 10.092220532894135 minutes:
 Average MSE:        0.6819400929039336
 Average Error:      1.7069006476104074
 Structure           |Error               |MSE                 |weights&biases
 [19, 5, 7, 0, 0]    |0.4143126368214495  |0.24693393969740166 |207       
 [15, 5, 7, 0, 0]    |0.44563146743582277 |0.2877213002798381  |175       
 [11, 5, 7, 0, 0]    |0.37690005446744057 |0.2636124533272789  |143       
 [13, 6, 10, 0, 0]   |0.3741892788016263  |0.22469900755932692 |204       
 [1, 13, 13, 8, 19]  |10.815664982008968  |2.992160029640678   |514       
 [12, 6, 10, 8, 0]   |0.6417070208931025  |0.3178666152157744  |281       
 [12, 5, 12, 5, 17]  |0.7912014814487514  |0.3232909373758561  |358       
 [11, 6, 8, 8, 0]    |0.525439692770419   |0.2869291789633516  |242       
 [15, 5, 6, 0, 0]    |0.3590231760757626  |0.235895036080481   |168       
 [6, 5, 9, 3, 0]     |1.5865095578204738  |1.1152028944697805  |141       
 [13, 6, 10, 8, 0]   |0.7447109279166021  |0.36068179915955634 |290       
 [10, 6, 7, 3, 0]    |0.5272664657050596  |0.34213522316174994 |173       
 [18, 5, 9, 0, 0]    |0.3470319009356158  |0.20375467756939628 |213       
 [4, 5, 12, 0, 0]    |2.4286691038574024  |1.7902287651160589  |122       
 [11, 6, 5, 1, 0]    |2.9304569112191845  |2.0241671930325933  |148       
 [15, 7, 10, 0, 0]   |0.49271136387854325 |0.26505133753814797 |248       
 [15, 6, 10, 0, 0]   |0.398785707565976   |0.22893181287522052 |222       
 [12, 6, 8, 0, 0]    |0.5216215217302059  |0.3334331084072953  |179       
 [8, 19, 6, 19, 7]   |7.414671100003956   |1.6710641157594228  |596       
 [12, 6, 12, 1, 0]   |2.7463706623950808  |1.6124911493545313  |213       
 [15, 7, 9, 0, 0]    |0.45193340939594784 |0.24864715532921838 |239       
 [10, 5, 6, 9, 0]    |0.44339059586872415 |0.2729943469480195  |194       
 [9, 8, 18, 3, 5]    |1.1350906550219557  |0.4708162069125602  |352       
 [13, 6, 8, 0, 0]    |0.37609950509655826 |0.2350630437853501  |188       
 [16, 18, 8, 20, 6]  |5.383127011125545   |0.694730995039456   |819       
Gen 5 Train time: 10.10420884291331 minutes:
 Average MSE:        0.28857551856784586
 Average Error:      0.5843487794156291
 Structure           |Error               |MSE                 |weights&biases
 [18, 5, 9, 0, 0]    |0.41509864756916587 |0.24371906694145534 |213       
 [15, 5, 6, 0, 0]    |0.5210310171082658  |0.34234177281599054 |168       
 [13, 6, 10, 0, 0]   |0.4900885862604893  |0.29429602927577764 |204       
 [14, 6, 9, 0, 0]    |0.40610766261114156 |0.24325695272610356 |205       
 [14, 20, 7, 2, 14]  |1.249770153084732   |0.3066524237051238  |562       
 [13, 6, 9, 20, 0]   |0.8608721078007256  |0.31120316241514845 |407       
 [16, 6, 9, 0, 0]    |0.4709526256157398  |0.26968578078086336 |223       
 [13, 6, 8, 4, 0]    |0.5001123744662187  |0.28853973961721985 |220       
 [14, 7, 10, 0, 0]   |0.6066837415174187  |0.3346240411416426  |238       
 [15, 7, 10, 0, 0]   |0.48846643681522184 |0.2627678026364391  |248       
 [13, 6, 7, 2, 0]    |0.4911978750764514  |0.30470590052616114 |191       
 [17, 5, 7, 4, 0]    |0.4653911539727679  |0.26850733803734433 |220       
 [14, 7, 10, 9, 0]   |0.7535059275138455  |0.3252964383739165  |336       
 [14, 6, 9, 9, 0]    |0.5585001139148077  |0.26713518001667175 |295       
 [11, 13, 8, 10, 4]  |0.8369540018581627  |0.2785977856039711  |440       
 [15, 6, 9, 0, 0]    |0.4178433973707154  |0.24471804592979587 |214       
 [13, 11, 7, 4, 0]   |0.8214290007070956  |0.37466995084059607 |314       
 [11, 5, 9, 7, 9]    |0.6036430536526819  |0.2858545321188087  |299       
 [19, 7, 10, 0, 0]   |0.4426116339374299  |0.21544221133317318 |288       
 [17, 5, 8, 0, 0]    |0.37164032095571914 |0.22654112763286932 |198       
 [17, 6, 9, 0, 0]    |0.3566691612332254  |0.19969848077873492 |232       
 [5, 6, 10, 13, 0]   |1.137173150733905   |0.5675340624660414  |278       
 [16, 6, 8, 0, 0]    |0.3931918303365819  |0.22970539824042238 |215       
 [14, 5, 8, 5, 0]    |0.4168991131974077  |0.2429472296320554  |216       
 [15, 6, 9, 4, 0]    |0.5328863980808131  |0.285947510609819   |249       
Increasing Epochs
Gen 6 Train time: 11.529868539174398 minutes:
 Average MSE:        0.7114618359888436
 Average Error:      1.4571680102403983
 Structure           |Error               |MSE                 |weights&biases
 [17, 6, 9, 0, 0]    |0.4140398565001224  |0.231820239347392   |232       
 [17, 5, 8, 0, 0]    |0.35735458137340015 |0.21783295639427633 |198       
 [16, 6, 8, 0, 0]    |0.3768741693146835  |0.22017250733529142 |215       
 [16, 6, 9, 5, 0]    |0.8055186784902549  |0.4111616273309278  |269       
 [15, 6, 8, 0, 0]    |0.47743211820752063 |0.28526597451883823 |206       
 [14, 6, 9, 0, 0]    |0.44345201748150276 |0.2656260799395064  |205       
 [12, 6, 9, 2, 0]    |0.5017637269411536  |0.30433508432148754 |200       
 [17, 17, 6, 10, 14] |1.5707540847618537  |0.2702401726123535  |704       
 [18, 6, 9, 0, 0]    |0.47347169315347415 |0.2591979689722665  |241       
 [17, 7, 10, 0, 0]   |0.49797245352812947 |0.25481677597175423 |268       
 [15, 6, 9, 5, 0]    |0.5445327323600863  |0.28427101323671966 |260       
 [13, 10, 9, 5, 2]   |2.293597474069918   |0.972992927373945   |343       
 [14, 10, 17, 6, 0]  |1.0248336073402775  |0.2980572386573977  |494       
 [16, 6, 9, 1, 0]    |1.7333412201663196  |0.9876280566489104  |225       
 [16, 6, 9, 7, 0]    |0.7870464493292708  |0.38023415770243635 |291       
 [14, 9, 8, 7, 2]    |4.496639173673153   |1.9267415642712007  |339       
 [17, 6, 9, 11, 0]   |0.5378377547230058  |0.22759254423768976 |344       
 [14, 10, 8, 1, 2]   |4.248788401425105   |2.0271560704242884  |296       
 [17, 7, 8, 16, 7]   |0.9521081638770649  |0.2647215836238265  |512       
 [2, 14, 7, 14, 3]   |6.530863288767483   |2.9788554156754032  |314       
 [1, 7, 10, 5, 0]    |5.253851265527591   |3.53941472676834    |158       
 [16, 5, 9, 3, 0]    |0.62314405060845    |0.35862515730688616 |221       
 [15, 7, 10, 0, 0]   |0.5039868961726021  |0.27111694741665604 |248       
 [14, 5, 8, 5, 0]    |0.49411257893123434 |0.2879432418481818  |216       
 [15, 6, 9, 4, 0]    |0.4858838192862932  |0.26072586778511964 |249       
Result:  [17, 5, 8]
Fold 0
Fold 0 Train time: 19.209530635674795 minutes, MSE: 0.015955194632765696
Fold 1
Fold 1 Train time: 18.973006411393484 minutes, MSE: 0.02514796612599403
Fold 2
Fold 2 Train time: 19.075963807106017 minutes, MSE: 0.03436754132768802
Fold 3
Fold 3 Train time: 19.116921798388162 minutes, MSE: 0.028651252702093826
Fold 4
Fold 4 Train time: 18.83896561861038 minutes, MSE: 0.01382774376145722
Total Time: 160.60681749184926 minutes
CellsPerSensor: 4
 Resulting Network Architecture: [17, 5, 8]
 MSE after 5-Fold CV: 0.023589939709999758
 Weights and Biases: 198
 Objective Function Value: 0.038699254553716436
~/workspace/SolarCellResearch
