/tmp/tmp.tf8C7fZnqj ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k4.mat
  Evaluating with: datasets/N4dataset100k4.mat
Gen 0 Train time: 8.511684989929199 minutes:
 Average MSE:        0.9090334451797599
 Average Error:      2.2287270876350607
 Structure           |Error               |MSE                 |weights&biases
 [12, 20, 6, 0, 0]   |0.7912055554250634  |0.2707126163166561  |429       
 [17, 5, 15, 13, 14] |1.6433058145837791  |0.3235861008224846  |650       
 [1, 20, 0, 0, 0]    |2.2961911929004097  |1.9566850633089998  |64        
 [12, 1, 0, 0, 0]    |0.3530527305019605  |0.3107899941031695  |51        
 [9, 0, 0, 0, 0]     |0.5569697354195547  |0.507761019826322   |37        
 [12, 8, 0, 0, 0]    |0.48076583086207797 |0.33125229760321545 |149       
 [5, 0, 0, 0, 0]     |2.127363039140688   |2.0185576121430433  |21        
 [17, 0, 0, 0, 0]    |0.3604493975703616  |0.303339178222548   |69        
 [11, 0, 0, 0, 0]    |0.72190686902028    |0.6450940630159369  |45        
 [9, 17, 14, 20, 16] |5.599324516894245   |0.3561675433269622  |1102      
 [3, 4, 10, 14, 1]   |6.77661781541921    |3.6637167228973064  |246       
 [7, 14, 18, 0, 0]   |1.0396395542864165  |0.36199461993052073 |422       
 [4, 4, 12, 20, 0]   |1.32556346962555    |0.5217001033431895  |373       
 [3, 18, 13, 5, 0]   |5.722163810885968   |2.0841206641419867  |404       
 [13, 12, 19, 14, 9] |9.128873550887187   |1.0140399553813462  |879       
 [13, 20, 4, 14, 0]  |1.007023161634343   |0.29730361610565564 |488       
 [19, 10, 3, 0, 0]   |0.6169919742467029  |0.29585101979499134 |294       
 [16, 4, 0, 0, 0]    |0.33806096021097093 |0.2498163967064683  |121       
 [3, 14, 9, 3, 15]   |5.327195103768756   |2.4789246387038304  |306       
 [4, 19, 4, 3, 0]    |3.823977151324751   |2.2848286217230926  |206       
 [4, 15, 4, 0, 0]    |1.7235530322305457  |1.1669434290338476  |156       
 [11, 13, 18, 0, 0]  |0.8726496612736518  |0.2763129695454142  |460       
 [12, 18, 3, 0, 0]   |0.7718860652733066  |0.3374228714943826  |331       
 [9, 11, 12, 18, 0]  |1.2058156193900504  |0.31732023833506684 |534       
 [20, 13, 7, 3, 0]   |1.107631578100682   |0.35159477366756303 |459       
Gen 1 Train time: 8.426121898492177 minutes:
 Average MSE:        0.5600231915940146
 Average Error:      1.5470509634674523
 Structure           |Error               |MSE                 |weights&biases
 [16, 4, 0, 0, 0]    |0.32654124105858845 |0.2413036872592646  |121       
 [12, 1, 0, 0, 0]    |0.4383281130905696  |0.38585735192866627 |51        
 [17, 0, 0, 0, 0]    |0.30528266948131727 |0.2569131609325875  |69        
 [13, 2, 0, 0, 0]    |0.35907252126719214 |0.301425948943045   |70        
 [20, 17, 4, 18, 20] |3.144197155222139   |0.2713240491852363  |980       
 [17, 2, 13, 0, 0]   |0.3297046851836312  |0.23233896477336285 |140       
 [9, 15, 0, 0, 0]    |0.6440791841196658  |0.3975503828034091  |193       
 [3, 10, 3, 0, 0]    |2.9258757022908544  |2.3598400027055138  |86        
 [8, 6, 6, 10, 0]    |0.5233718607861636  |0.3166484684748881  |201       
 [14, 6, 0, 0, 0]    |0.47951309361332684 |0.33875299068873    |139       
 [12, 11, 3, 0, 0]   |0.46817518511597567 |0.2707897130470167  |219       
 [1, 12, 11, 20, 11] |15.839007400297303  |3.0955813394265133  |653       
 [14, 17, 2, 11, 6]  |0.8927345576044429  |0.2934740702731529  |445       
 [10, 2, 15, 9, 0]   |0.6243365626868316  |0.33334886567236455 |251       
 [17, 5, 8, 7, 7]    |0.6190281889352599  |0.2809427216813305  |316       
 [12, 1, 18, 0, 0]   |0.43603029671394755 |0.3362018517396888  |104       
 [4, 11, 11, 10, 19] |4.822740321352836   |1.2254918797716643  |548       
 [17, 2, 0, 0, 0]    |0.3331644014014578  |0.26603717803232335 |90        
 [4, 1, 0, 0, 0]     |0.7826775878803095  |0.7463695448888447  |19        
 [12, 13, 2, 0, 0]   |0.5383353354884629  |0.29841396479795956 |236       
 [12, 12, 18, 0, 0]  |1.0392636576443819  |0.3416434740851611  |445       
 [15, 9, 10, 0, 0]   |0.5163613911064211  |0.24391185028549495 |300       
 [13, 6, 6, 9, 0]    |0.7227828725512172  |0.39865997574966994 |238       
 [7, 11, 6, 10, 0]   |0.8595627228589997  |0.446493033684818   |262       
 [18, 10, 2, 12, 0]  |0.7061073789350188  |0.3212653190196575  |315       
Gen 2 Train time: 8.359878480434418 minutes:
 Average MSE:        0.6836349943847897
 Average Error:      1.6037336338703534
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.42555708828799577 |0.3581310950113664  |69        
 [16, 4, 0, 0, 0]    |0.3211547049422243  |0.2373232068084028  |121       
 [17, 2, 13, 0, 0]   |0.3306615855477764  |0.2330132810630235  |140       
 [13, 10, 17, 0, 0]  |0.6673491096967558  |0.25552322656471244 |384       
 [4, 8, 20, 9, 2]    |10.949451887499798  |3.608489988387201   |444       
 [12, 8, 7, 9, 4]    |3.696778082013606   |1.6610694661624226  |320       
 [15, 4, 4, 4, 4]    |0.540375006798261   |0.3497656488725671  |174       
 [13, 11, 2, 0, 0]   |0.5478081906947216  |0.31605783174619717 |220       
 [14, 1, 1, 5, 0]    |0.5083484683548802  |0.4214356824486035  |75        
 [15, 1, 9, 0, 0]    |0.3174417622481174  |0.2541168944488562  |89        
 [17, 2, 0, 0, 0]    |0.3720240615954707  |0.2970672469527208  |90        
 [15, 2, 7, 16, 0]   |0.5399592697249641  |0.2941217244160062  |243       
 [17, 3, 7, 0, 0]    |0.3961633003981055  |0.2784745021603342  |141       
 [15, 1, 2, 0, 0]    |0.4262497981836266  |0.3596119578088349  |68        
 [18, 2, 0, 0, 0]    |0.36542486816128467 |0.28817291491915886 |95        
 [17, 10, 0, 0, 0]   |0.5106980665735112  |0.2788791538901383  |242       
 [13, 4, 3, 5, 0]    |0.4150337981371459  |0.2954087404574682  |136       
 [12, 11, 0, 0, 0]   |0.4989078988017425  |0.30948867716567174 |191       
 [11, 14, 1, 0, 0]   |1.787872850117427   |1.0366833817969827  |218       
 [17, 3, 11, 4, 14]  |0.6313959252316371  |0.3119781404073417  |282       
 [14, 8, 2, 0, 0]    |0.5367192326683207  |0.3396701886989504  |183       
 [13, 2, 19, 0, 0]   |0.37276529402597475 |0.26006952082282975 |144       
 [1, 5, 19, 8, 20]   |10.786951012869675  |3.1846333481306783  |488       
 [15, 9, 8, 4, 4]    |3.670815794937395   |1.6086799322346057  |330       
 [15, 8, 8, 0, 0]    |0.47743378924841995 |0.2530091082446685  |254       
Increasing Epochs
Gen 3 Train time: 9.746922787030538 minutes:
 Average MSE:        0.47433264584902657
 Average Error:      1.0359899780821076
 Structure           |Error               |MSE                 |weights&biases
 [15, 1, 9, 0, 0]    |0.3111773057951817  |0.24910210304914787 |89        
 [16, 4, 0, 0, 0]    |0.3427526381492284  |0.25328339885990026 |121       
 [17, 2, 13, 0, 0]   |0.4119361696081738  |0.2902865124472279  |140       
 [17, 6, 7, 15, 0]   |0.5518282963705593  |0.2335128109740217  |344       
 [11, 13, 20, 12, 11]|2.4572593068814506  |0.2750084721358431  |876       
 [16, 3, 7, 8, 0]    |0.45507135189569936 |0.27601472728161847 |200       
 [16, 5, 9, 0, 0]    |0.38567962693847896 |0.2356875631161326  |197       
