/tmp/tmp.rtYpj8CqCy ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k5.mat
  Evaluating with: datasets/N4dataset100k5.mat
Gen 0 Train time: 8.427878816922506 minutes:
 Average MSE:        0.8888156630877826
 Average Error:      1.7437640725940151
 Structure           |Error               |MSE                 |weights&biases
 [7, 14, 16, 14, 0]  |1.8095002651239003  |0.37834481527128505 |626       
 [6, 1, 7, 6, 14]    |0.8247979515831851  |0.5002652457033779  |200       
 [13, 7, 0, 0, 0]    |0.4083292146081815  |0.2841703117232837  |145       
 [12, 8, 16, 0, 0]   |1.9413315713442052  |0.9147304151291891  |301       
 [13, 0, 0, 0, 0]    |0.44434316515389444 |0.38920148210833333 |53        
 [14, 16, 16, 18, 0] |2.3067430976887904  |0.2562342062049092  |879       
 [1, 3, 9, 0, 0]     |2.790299918983745   |2.4318422261886203  |55        
 [7, 0, 0, 0, 0]     |1.4751558964092077  |1.371991970234142   |29        
 [4, 1, 10, 0, 0]    |3.306068082662407   |2.932219347691597   |48        
 [4, 5, 2, 19, 0]    |1.531095216750875   |1.1173762546313584  |126       
 [17, 18, 13, 11, 15]|3.2489316853436008  |0.2860256548541601  |972       
 [7, 8, 4, 17, 10]   |1.0073089534545878  |0.3733579651321698  |397       
 [4, 17, 18, 7, 0]   |3.2959058771355294  |0.8087067234186451  |562       
 [20, 0, 0, 0, 0]    |0.3907334631812168  |0.31910673767884645 |81        
 [12, 4, 16, 6, 0]   |0.568781289128446   |0.284574756231135   |277       
 [20, 9, 9, 0, 0]    |0.5856728586545539  |0.24475589624504676 |349       
 [13, 12, 7, 8, 4]   |0.76164401871056    |0.27809958792387707 |403       
 [10, 12, 0, 0, 0]   |0.7443375940858444  |0.48058047078640787 |175       
 [19, 16, 3, 14, 0]  |1.0630237665524584  |0.3053237643624259  |499       
 [13, 0, 0, 0, 0]    |0.6065410581026536  |0.5312710924479953  |53        
 [19, 4, 13, 11, 0]  |0.6067815229492819  |0.24181399067354895 |368       
 [2, 11, 7, 15, 14]  |8.029180510532132   |2.406281161654163   |482       
 [9, 9, 14, 0, 0]    |0.5804574678711778  |0.29406961656904196 |272       
 [4, 15, 0, 0, 0]    |1.582537078568356   |1.2232720846931564  |103       
 [3, 0, 0, 0, 0]     |3.6846002902715904  |3.5667757996378464  |13        
Gen 1 Train time: 8.65913139184316 minutes:
 Average MSE:        0.6404011562512122
 Average Error:      2.4087471353924577
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.36230587727590136 |0.2958903125370787  |81        
 [13, 7, 0, 0, 0]    |0.39984918315484347 |0.2782687668538316  |145       
 [13, 0, 0, 0, 0]    |0.33554766405156833 |0.29390718347525124 |53        
 [13, 3, 8, 3, 0]    |0.4169076099634383  |0.290866569630346   |144       
 [13, 2, 8, 3, 0]    |0.4791646990325334  |0.3532034998402097  |122       
 [10, 12, 0, 0, 0]   |0.5043077164299837  |0.3256055339792342  |175       
 [14, 0, 0, 0, 0]    |0.435123942747498   |0.37733406772520595 |57        
 [12, 14, 0, 0, 0]   |0.5038892364514765  |0.28142232442990184 |233       
 [9, 3, 12, 6, 7]    |1.7316493109293851  |0.9503492914722493  |240       
 [13, 4, 8, 16, 0]   |0.6816521083291552  |0.32522570642809157 |296       
 [20, 15, 0, 0, 0]   |0.5957296128509264  |0.22414359473885623 |391       
 [10, 4, 14, 0, 0]   |0.4277123392805643  |0.2874218120415267  |159       
 [14, 9, 7, 9, 5]    |1.631604298813107   |0.638945423925266   |375       
 [12, 6, 19, 8, 0]   |0.8009938778699702  |0.2831150363534603  |416       
 [19, 2, 6, 2, 3]    |1.4205772196841515  |0.9960710204695971  |142       
 [13, 4, 15, 10, 0]  |0.6468381682370457  |0.27577798417362037 |341       
 [18, 10, 17, 4, 7]  |1.009126310163192   |0.25771135924683053 |546       
 [11, 7, 15, 3, 0]   |0.670073611155717   |0.32534546068522874 |289       
 [10, 1, 4, 3, 7]    |1.2632234010780474  |0.9837993739537068  |100       
 [1, 11, 17, 20, 16] |31.804136963209007  |3.018006078746322   |942       
 [20, 12, 7, 6, 0]   |0.8233384441526462  |0.2620059853657232  |458       
 [10, 7, 4, 15, 8]   |0.8910070377325803  |0.3704995855564264  |351       
 [17, 4, 0, 0, 0]    |0.4033076472151985  |0.29286145966977223 |128       
 [15, 17, 1, 20, 14] |2.4846381539054674  |0.44938604907285534 |684       
 [3, 12, 20, 3, 2]   |9.495973951098033   |3.572865425909712   |391       
Gen 2 Train time: 8.425045724709829 minutes:
 Average MSE:        0.485176372567232
 Average Error:      0.8001774908938444
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.38813727207112697 |0.33997057544307774 |53        
 [20, 0, 0, 0, 0]    |0.3408022611919671  |0.2783285999543503  |81        
 [13, 7, 0, 0, 0]    |0.33996378055960924 |0.2365924602993481  |145       
 [13, 2, 8, 3, 0]    |0.3795773518383389  |0.2797953384297145  |122       
 [13, 3, 18, 4, 0]   |0.5625706118523727  |0.31341138554621806 |234       
