/tmp/tmp.y8sRRZLpNI ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k7.mat
  Evaluating with: datasets/N4dataset100k7.mat
Gen 0 Train time: 8.349283560117085 minutes:
 Average MSE:        0.7859499738880763
 Average Error:      1.828231955269879
 Structure           |Error               |MSE                 |weights&biases
 [16, 19, 11, 0, 0]  |1.1895849386526396  |0.2634489824422348  |603       
 [20, 0, 0, 0, 0]    |0.4940054408283567  |0.4034475658544398  |81        
 [14, 9, 0, 0, 0]    |0.45338186352861404 |0.284073991089437   |187       
 [3, 3, 17, 5, 0]    |3.7650720713450663  |2.370893773141069   |185       
 [11, 11, 2, 11, 4]  |2.017361132958288   |1.0143928818226613  |275       
 [6, 3, 0, 0, 0]     |1.147913891017866   |1.0309145153182946  |43        
 [4, 10, 15, 18, 0]  |4.887358640053804   |1.2861483825158166  |534       
 [7, 8, 0, 0, 0]     |0.43601735193546026 |0.34470260837248823 |94        
 [12, 20, 4, 20, 7]  |5.664589662336939   |1.1580464122648475  |635       
 [19, 12, 0, 0, 0]   |0.6116861763226912  |0.2818061342166639  |310       
 [6, 5, 0, 0, 0]     |1.3208300961247     |1.1396946773504153  |59        
 [7, 4, 15, 0, 0]    |0.5895096955504459  |0.4112869585748872  |144       
 [3, 19, 11, 5, 0]   |3.335438741263598   |1.3193038713701035  |371       
 [11, 0, 0, 0, 0]    |0.3740067221100022  |0.3342114146782498  |45        
 [2, 17, 16, 10, 0]  |6.980577330813225   |1.8741057747092373  |526       
 [6, 4, 10, 0, 0]    |0.6317620665194545  |0.48348140076163293 |107       
 [13, 13, 0, 0, 0]   |0.6224001771805004  |0.3458770128012397  |235       
 [8, 19, 0, 0, 0]    |0.7016463738579946  |0.40990668497112914 |215       
 [13, 7, 15, 4, 0]   |0.7060232369776875  |0.3125136507172874  |326       
 [16, 19, 7, 20, 0]  |1.435462473247939   |0.2544851176036624  |692       
 [16, 0, 0, 0, 0]    |0.3396305018440054  |0.28869139129873134 |65        
 [7, 16, 1, 18, 0]   |0.5415423533060334  |0.3116626267282604  |221       
 [15, 14, 15, 4, 0]  |1.2297601010381505  |0.300989201755025   |563       
 [2, 7, 20, 2, 0]    |5.5314155422103015  |3.0970305268780254  |232       
 [12, 19, 0, 0, 0]   |0.6988223007231984  |0.32763378996606396 |303       
Gen 1 Train time: 8.284719987710316 minutes:
 Average MSE:        0.3451692993409671
 Average Error:      0.6954463292350564
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.28041686985360625 |0.2383588513462067  |65        
 [11, 0, 0, 0, 0]    |0.5549401220060851  |0.49589302082871367 |45        
 [7, 8, 0, 0, 0]     |0.48875593398386297 |0.38639619399070874 |94        
 [11, 9, 16, 2, 0]   |0.6825674234015363  |0.29320185919707503 |338       
 [15, 6, 0, 0, 0]    |0.39104077079862    |0.2701052850695     |148       
 [14, 4, 0, 0, 0]    |0.36258837691008367 |0.27748537884551167 |107       
 [20, 6, 20, 12, 13] |1.5998636212230193  |0.23869191644551688 |761       
