/tmp/tmp.YYgpifKtjz ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k2.mat
  Evaluating with: datasets/N5dataset100k2.mat
Gen 0 Train time: 8.184556265672049 minutes:
 Average MSE:        0.97409422011279
 Average Error:      1.6946981302608457
 Structure           |Error               |MSE                 |weights&biases
 [13, 17, 0, 0, 0]   |0.40326544598247616 |0.1928851665793295  |295       
 [1, 16, 9, 0, 0]    |4.005641121611678   |2.4417222928042364  |198       
 [5, 12, 1, 14, 20]  |5.3936658199565475  |1.7554500604937135  |449       
 [6, 0, 0, 0, 0]     |1.9932366206632688  |1.8724725187292637  |25        
 [15, 10, 0, 0, 0]   |0.4144981706972593  |0.24154808458604352 |216       
 [13, 11, 3, 9, 0]   |0.7096856865090408  |0.3568523736107315  |275       
 [17, 0, 0, 0, 0]    |0.361285903840902   |0.3040431470081643  |69        
 [14, 5, 0, 0, 0]    |0.28974113628916287 |0.2130416935372538  |123       
 [11, 5, 0, 0, 0]    |0.3675081203286903  |0.28693204609643325 |99        
 [20, 15, 6, 8, 0]   |0.9173028076116153  |0.24019176694967354 |536       
 [6, 17, 9, 0, 0]    |0.8914749184584275  |0.41173391478958654 |309       
 [19, 14, 6, 0, 0]   |0.7485272019320037  |0.25292867832359656 |434       
 [19, 0, 0, 0, 0]    |0.3291977170894365  |0.27155332639267343 |77        
 [1, 5, 18, 2, 0]    |4.483874154855726   |2.990640084096409   |162       
 [10, 11, 0, 0, 0]   |0.3307381785239519  |0.22004389758651066 |163       
 [1, 11, 3, 2, 0]    |3.589231033190934   |2.9979777638972895  |72        
 [1, 15, 8, 0, 0]    |3.894191597807211   |2.545904804152877   |170       
 [17, 6, 18, 0, 0]   |0.5109234848394132  |0.23894176063029993 |304       
 [2, 9, 8, 10, 1]    |6.102263516271415   |3.556083399632724   |216       
 [17, 13, 9, 0, 0]   |0.7126457349537034  |0.24875896896096866 |421       
 [19, 17, 0, 0, 0]   |0.5509370149559187  |0.19521870461170576 |415       
 [15, 0, 0, 0, 0]    |0.3095134714091574  |0.2657355436776504  |61        
 [7, 1, 8, 0, 0]     |1.0902631120108703  |0.9525802288904112  |54        
 [10, 18, 11, 3, 0]  |3.046209880081345   |0.9244079093738605  |477       
 [9, 20, 6, 0, 0]    |0.9216314066509916  |0.3747073674083434  |360       
Gen 1 Train time: 8.18844051361084 minutes:
 Average MSE:        0.4936802593335696
 Average Error:      1.2904968485481583
 Structure           |Error               |MSE                 |weights&biases
 [14, 5, 0, 0, 0]    |0.3133885046156147  |0.23042919833028633 |123       
 [15, 0, 0, 0, 0]    |0.37742946040577174 |0.3240454200725382  |61        
