/tmp/tmp.1rtFjZCmIg ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k4.mat
  Evaluating with: datasets/N5dataset100k4.mat
Gen 0 Train time: 8.105146376291911 minutes:
 Average MSE:        0.834889177239029
 Average Error:      1.3563736636752437
 Structure           |Error               |MSE                 |weights&biases
 [12, 4, 0, 0, 0]    |0.3288134454089857  |0.2606010137407421  |93        
 [13, 11, 20, 6, 0]  |1.1226660629740253  |0.2727243420460496  |566       
 [1, 13, 8, 0, 0]    |3.581039507655877   |2.461210060538786   |150       
 [7, 0, 0, 0, 0]     |1.4256517591929876  |1.3259498678913655  |29        
 [12, 0, 0, 0, 0]    |1.2228187460047504  |1.0818349652659884  |49        
 [18, 10, 9, 0, 0]   |0.5346533128772265  |0.22121133764943432 |353       
 [14, 0, 0, 0, 0]    |0.3163307520647455  |0.2743180912304563  |57        
 [3, 2, 0, 0, 0]     |1.3599193191439098  |1.293595271316664   |20        
 [15, 3, 18, 17, 0]  |0.930575233162907   |0.26264489881370223 |506       
 [14, 9, 12, 5, 16]  |0.856656834418302   |0.26126557319614524 |475       
 [4, 0, 0, 0, 0]     |2.5950737057998112  |2.48709389696265    |17        
 [18, 0, 0, 0, 0]    |0.2806416726162348  |0.2338263320702087  |73        
 [7, 17, 0, 0, 0]    |0.5437731739903207  |0.35108634849786824 |175       
 [16, 5, 9, 12, 0]   |0.49395859967070577 |0.22194990590683156 |320       
 [6, 4, 15, 7, 16]   |1.067946983864906   |0.4150891754344331  |378       
 [17, 0, 0, 0, 0]    |0.28273873774060804 |0.2379411283137868  |69        
 [1, 15, 8, 0, 0]    |3.826266446348512   |2.501497392478811   |170       
 [5, 10, 0, 0, 0]    |0.5035530523509992  |0.40613640404886386 |86        
 [19, 4, 0, 0, 0]    |0.29739525589161714 |0.20852565556741967 |142       
 [18, 8, 0, 0, 0]    |0.3155923262987769  |0.18437122900551078 |215       
 [2, 10, 13, 14, 0]  |5.134575618032589   |1.9367226619137135  |390       
 [17, 2, 1, 0, 0]    |1.1542126453809327  |0.9170607311894156  |92        
 [18, 14, 2, 13, 13] |1.282443221037376   |0.2970861915587616  |585       
 [4, 0, 0, 0, 0]     |1.8817055564741778  |1.80340866424264    |17        
 [7, 9, 11, 6, 15]   |2.570339623479811   |0.9550782920954791  |396       
Gen 1 Train time: 8.286090016365051 minutes:
 Average MSE:        0.3871863395724112
